time,total,free,available,dirty,anon,mapped,pageTable,vmallocTotal,vmallocUsed,own_VmRSS,own_RssAnon,own_RssFile,own_VmPTE,Node0_total,Node0_free,Node0_used,Node0_dirty,Node0_anon,Node0_mapped,Node0_pageTable,Node1_total,Node1_free,Node1_used,Node1_dirty,Node1_anon,Node1_mapped,Node1_pageTable
2025-11-30T22:24:04.956412,525594600,493624532,493778136,110600,61768,66332,4516,34359738367,324100,15540,6144,9396,104,262466300,242819128,19647172,57228,17800,25204,2076,263128300,250805404,12322896,53372,43968,41128,2440
2025-11-30T22:24:05.956721,525594600,496871796,494848188,117756,117292,88972,4920,34359738367,324968,15540,6144,9396,104,262466300,243942204,18524096,57588,18396,24512,1752,263128300,252929592,10198708,60168,98896,64460,3168
2025-11-30T22:24:06.957121,525594600,497020180,495029840,128372,160040,114652,5160,34359738367,325944,15540,6144,9396,104,262466300,244128852,18337448,57588,18528,24512,1620,263128300,252891328,10236972,70784,141512,90140,3540
2025-11-30T22:24:07.957470,525594600,497056636,495083368,136928,198852,124720,5388,34359738367,325944,15540,6144,9396,104,262466300,244164704,18301596,57588,18528,24512,1620,263128300,252891932,10236368,79340,180324,100208,3768
2025-11-30T22:24:08.957812,525594600,497209896,495236688,109844,200972,124732,4684,34359738367,325768,15540,6144,9396,104,262466300,244267024,18199276,50268,25616,24508,1616,263128300,252942872,10185428,59576,175356,100224,3068
2025-11-30T22:24:09.958165,525594600,497179692,495206484,109844,252168,124732,4724,34359738367,325768,15540,6144,9396,104,262466300,244236388,18229912,50268,77092,24508,1712,263128300,252943304,10184996,59576,175076,100224,3012
2025-11-30T22:24:10.958526,525594600,497137032,495163824,109848,312024,124732,4840,34359738367,325768,15540,6144,9396,104,262466300,244193224,18273076,50272,137452,24508,1828,263128300,252943808,10184492,59576,175076,100224,3012
2025-11-30T22:24:11.958882,525594600,497100048,495126852,111192,362636,124732,4944,34359738367,325768,15540,6144,9396,104,262466300,244155184,18311116,50384,187560,24508,1932,263128300,252944864,10183436,60808,175076,100224,3012
2025-11-30T22:24:12.959266,525594600,497101156,495127968,111192,421396,124732,5052,34359738367,325768,15540,6144,9396,104,262466300,244145756,18320544,50384,246320,24508,2048,263128300,252955400,10172900,60808,175076,100224,3004
2025-11-30T22:24:13.959621,525594600,497134176,495172476,83260,475128,124732,5140,34359738367,325752,15540,6144,9396,104,262466300,244116016,18350284,34656,300040,24508,2152,263128300,253018160,10110140,48604,175088,100224,2988
2025-11-30T22:24:14.960002,525594600,497120720,495159020,83260,534156,124732,5256,34359738367,325720,15540,6144,9396,104,262466300,244093572,18372728,34656,359260,24508,2268,263128300,253027148,10101152,48604,174896,100224,2988
2025-11-30T22:24:15.960355,525594600,497084220,495122536,83176,601592,124732,5388,34359738367,325704,15540,6144,9396,104,262466300,244048764,18417536,34652,426792,24508,2400,263128300,253035456,10092844,48524,174800,100224,2988
2025-11-30T22:24:16.960694,525594600,496831508,495030060,395264,663784,124732,6000,34359738367,325704,15540,6144,9396,104,262466300,243673284,18793016,347140,490988,24508,2996,263128300,253158224,9970076,48628,172796,100224,3004
2025-11-30T22:24:17.962943,525594600,497215896,495499656,557812,1137500,126936,6404,34359738367,328728,15540,6144,9396,104,262466300,243598492,18867808,509184,964592,25856,3748,263128300,253617404,9510896,48628,172908,101080,2656
2025-11-30T22:24:18.963313,525594600,497779844,496063768,534628,1138104,127084,7116,34359738367,328728,15540,6144,9396,104,262466300,243930852,18535448,488016,963152,25924,4248,263128300,253848992,9279308,46612,174952,101160,2868
