ops_sec,mb_sec,lsm_sz,blob_sz,c_wgb,w_amp,c_mbps,c_wsecs,c_csecs,b_rgb,b_wgb,usec_op,p50,p99,p99.9,p99.99,pmax,uptime,stall%,Nstall,u_cpu,s_cpu,rss,test,date,version,job_id,githash,tag,start_time,end_time
16268963,4118.4,2GB,0GB,0.0,NA,0.0,0,0,0,0,11.8,9.8,40,63,109,16454,300,0.0,,56.5,0.3,1.9,readrandom.t192,2025-11-30T18:50:08,10.5.0,,11a259a5f0,readrandom,2025-11-30T18:50:08.376076,2025-11-30T18:55:09.545456
15988638,4048.2,2GB,0GB,0.0,NA,0.0,0,0,0,0,12.0,10.0,41,63,106,19133,300,0.0,,56.6,0.3,1.9,readrandom.t192,2025-11-30T18:55:18,10.5.0,,11a259a5f0,imbalanced-readrandom,2025-11-30T18:55:18.059069,2025-11-30T19:00:19.226423
16430372,4159.0,2GB,0GB,0.0,NA,0.0,0,0,0,0,11.7,9.8,39,61,106,16215,300,0.0,,56.5,0.3,1.9,readrandom.t192,2025-11-30T19:00:27,10.5.0,,11a259a5f0,interleaved-readrandom,2025-11-30T19:00:27.672986,2025-11-30T19:05:28.847350
15950969,4039.8,2GB,0GB,0.0,NA,0.0,0,0,0,0,12.0,10.1,41,64,104,15846,300,0.0,,56.6,0.3,1.9,readrandom.t192,2025-11-30T19:05:37,10.5.0,,11a259a5f0,balancing-readrandom,2025-11-30T19:05:37.262574,2025-11-30T19:10:38.425544
33499173,8481.8,2GB,0GB,0.0,NA,0.0,0,0,0,0,5.7,56.5,109,160,170,28858,300,0.0,,53.7,3.2,1.9,multireadrandom.t192,2025-11-30T19:10:47,10.5.0,,11a259a5f0,multireadrandom,2025-11-30T19:10:47.022557,2025-11-30T19:15:48.208395
33549202,8497.4,2GB,0GB,0.0,NA,0.0,0,0,0,0,5.7,56.5,108,156,170,14416,300,0.0,,53.6,3.3,1.9,multireadrandom.t192,2025-11-30T19:15:56,10.5.0,,11a259a5f0,imbalanced-multireadrandom,2025-11-30T19:15:56.943908,2025-11-30T19:20:58.117642
32921957,8336.1,2GB,0GB,0.0,NA,0.0,0,0,0,0,5.8,57.2,110,166,697,24742,300,0.0,,52.7,3.9,1.9,multireadrandom.t192,2025-11-30T19:21:06,10.5.0,,11a259a5f0,interleaved-multireadrandom,2025-11-30T19:21:06.461571,2025-11-30T19:26:07.642159
33360331,8444.0,2GB,0GB,0.0,NA,0.0,0,0,0,0,5.8,56.5,109,165,697,31484,300,0.0,,53.0,3.6,1.9,multireadrandom.t192,2025-11-30T19:26:16,10.5.0,,11a259a5f0,balancing-multireadrandom,2025-11-30T19:26:16.165032,2025-11-30T19:31:17.349103
4836233,19371.2,2GB,0GB,0.0,NA,0.0,0,0,0,0,39.7,37.6,91,110,1082,25737,300,0.0,,56.8,0.2,1.9,fwdrange.t192,2025-11-30T19:31:25,10.5.0,,11a259a5f0,fwdrange,2025-11-30T19:31:25.814552,2025-11-30T19:36:26.996216
7481056,29964.8,2GB,0GB,0.0,NA,0.0,0,0,0,0,25.7,23.9,62,76,132,20139,300,0.0,,56.8,0.3,1.9,fwdrange.t192,2025-11-30T19:36:35,10.5.0,,11a259a5f0,imbalanced-fwdrange,2025-11-30T19:36:35.434916,2025-11-30T19:41:36.614760
7389188,29596.8,2GB,0GB,0.0,NA,0.0,0,0,0,0,26.0,24.1,65,87,740,11740,300,0.0,,56.5,0.2,1.9,fwdrange.t192,2025-11-30T19:41:45,10.5.0,,11a259a5f0,interleaved-fwdrange,2025-11-30T19:41:45.072857,2025-11-30T19:46:46.251326
5096304,20412.9,2GB,0GB,0.0,NA,0.0,0,0,0,0,37.7,35.2,83,109,831,17952,300,0.0,,56.8,0.2,1.9,fwdrange.t192,2025-11-30T19:46:54,10.5.0,,11a259a5f0,balancing-fwdrange,2025-11-30T19:46:54.700842,2025-11-30T19:51:55.879468
4846320,19411.6,2GB,0GB,0.0,NA,0.0,0,0,0,0,39.6,37.5,88,109,606,15428,300,0.0,,57.0,0.1,1.9,revrange.t192,2025-11-30T19:52:04,10.5.0,,11a259a5f0,revrange,2025-11-30T19:52:04.300246,2025-11-30T19:57:05.487913
4752271,19034.9,2GB,0GB,0.0,NA,0.0,0,0,0,0,40.4,38.0,96,110,630,35682,300,0.0,,57.0,0.1,1.9,revrange.t192,2025-11-30T19:57:13,10.5.0,,11a259a5f0,imbalanced-revrange,2025-11-30T19:57:13.915938,2025-11-30T20:02:15.111888
4958686,19861.7,2GB,0GB,0.0,NA,0.0,0,0,0,0,38.7,36.5,85,109,365,30188,300,0.0,,57.1,0.1,1.9,revrange.t192,2025-11-30T20:02:23,10.5.0,,11a259a5f0,interleaved-revrange,2025-11-30T20:02:23.589726,2025-11-30T20:07:24.782065
4787364,19175.5,2GB,0GB,0.0,NA,0.0,0,0,0,0,40.1,38.0,92,109,446,26131,300,0.0,,57.0,0.1,1.9,revrange.t192,2025-11-30T20:07:33,10.5.0,,11a259a5f0,balancing-revrange,2025-11-30T20:07:33.187672,2025-11-30T20:12:34.374091
316889,126.9,5GB,0GB,180.4,5.8,614.7,599,308,86,0,605.8,516.8,1298,1843,2088,26115,300,0.0,,3.1,1.5,1.8,overwrite.t192.s1,2025-11-30T20:12:42,10.5.0,,11a259a5f0,overwrite,2025-11-30T20:12:42.865825,2025-11-30T20:17:44.588859
316161,126.6,5GB,0GB,178.8,5.8,609.0,586,312,86,0,607.2,517.3,1298,1846,2332,30199,301,0.0,,3.0,1.4,1.7,overwrite.t192.s1,2025-11-30T20:17:53,10.5.0,,11a259a5f0,imbalanced-overwrite,2025-11-30T20:17:53.331315,2025-11-30T20:22:55.289266
310473,124.4,5GB,0GB,176.6,5.8,601.7,570,317,84,0,618.3,522.0,1327,1850,2208,40228,301,0.0,,2.8,1.3,1.9,overwrite.t192.s1,2025-11-30T20:23:04,10.5.0,,11a259a5f0,interleaved-overwrite,2025-11-30T20:23:04.331172,2025-11-30T20:28:06.095674
315043,126.2,5GB,0GB,178.8,5.8,609.4,599,306,86,0,609.4,518.9,1299,1847,2363,25399,300,0.0,,3.0,1.4,1.9,overwrite.t192.s1,2025-11-30T20:28:15,10.5.0,,11a259a5f0,balancing-overwrite,2025-11-30T20:28:15.319373,2025-11-30T20:33:17.033531
15577316,4111.1,2GB,0GB,0.3,1.3,1.2,272,1,0,0,12.3,10.5,38,61,105,31019,300,0.0,,56.7,0.3,2.3,readwhilewriting.t192,2025-11-30T20:33:25,10.5.0,,11a259a5f0,readwhilewriting,2025-11-30T20:33:25.953892,2025-11-30T20:38:27.168395
14521503,3826.8,2GB,0GB,0.9,2.7,3.1,209,4,62,0,13.2,11.3,44,69,110,43113,300,0.0,,56.6,0.3,2.4,readwhilewriting.t192,2025-11-30T20:38:35,10.5.0,,11a259a5f0,imbalanced-readwhilewriting,2025-11-30T20:38:35.893651,2025-11-30T20:43:37.138890
14747047,3888.3,2GB,0GB,0.9,2.7,3.1,224,4,62,0,13.0,11.0,43,68,108,42566,300,0.0,,56.8,0.3,2.3,readwhilewriting.t192,2025-11-30T20:43:45,10.5.0,,11a259a5f0,interleaved-readwhilewriting,2025-11-30T20:43:45.696950,2025-11-30T20:48:46.917729
15308782,4042.7,2GB,0GB,0.9,2.7,3.1,231,4,62,0,12.5,10.6,41,65,108,35004,300,0.0,,56.5,0.3,2.9,readwhilewriting.t192,2025-11-30T20:48:55,10.5.0,,11a259a5f0,balancing-readwhilewriting,2025-11-30T20:48:55.834827,2025-11-30T20:53:57.078854
3960767,15864.6,2GB,0GB,0.3,1.3,1.2,222,2,0,0,48.5,45.6,107,163,525,37130,300,0.0,,56.7,0.3,2.3,fwdrangewhilewriting.t192,2025-11-30T20:54:05,10.5.0,,11a259a5f0,fwdrangewhilewriting,2025-11-30T20:54:05.661806,2025-11-30T20:59:06.890062
3888234,15574.0,2GB,0GB,0.3,1.3,1.2,220,2,0,0,49.4,46.6,107,160,641,64833,300,0.0,,56.6,0.3,2.3,fwdrangewhilewriting.t192,2025-11-30T20:59:15,10.5.0,,11a259a5f0,imbalanced-fwdrangewhilewriting,2025-11-30T20:59:15.580030,2025-11-30T21:04:16.797422
3975250,15922.6,2GB,0GB,0.3,1.3,1.2,237,2,0,0,48.3,45.5,107,162,607,79501,300,0.0,,56.6,0.3,2.3,fwdrangewhilewriting.t192,2025-11-30T21:04:25,10.5.0,,11a259a5f0,interleaved-fwdrangewhilewriting,2025-11-30T21:04:25.408047,2025-11-30T21:09:26.636373
