time,total,free,available,dirty,anon,mapped,pageTable,vmallocTotal,vmallocUsed,own_VmRSS,own_RssAnon,own_RssFile,own_VmPTE,Node0_total,Node0_free,Node0_used,Node0_dirty,Node0_anon,Node0_mapped,Node0_pageTable,Node1_total,Node1_free,Node1_used,Node1_dirty,Node1_anon,Node1_mapped,Node1_pageTable
2026-03-15T10:04:49.999246,395390156,376934420,386571680,147280,100632,76080,4148,34359738367,263724,16520,6832,9688,100,197260592,183432440,13828152,85852,94756,72748,3284,198129564,193506516,4623048,61428,5876,3332,864
2026-03-15T10:04:50.999916,395390156,384916116,386683140,147284,374880,76432,9528,34359738367,280316,16524,6836,9688,100,197260592,190669768,6590824,85856,360048,72220,4500,198129564,194246348,3883216,61428,14832,4212,5028
2026-03-15T10:04:52.001291,395390156,389151984,387640196,148552,150552,77224,9820,34359738367,280284,16524,6836,9688,100,197260592,194331960,2928632,87060,135416,73968,4788,198129564,194820024,3309540,61492,15136,3256,5032
2026-03-15T10:04:53.002702,395390156,389376076,387882860,63640,176052,94884,9816,34359738367,281276,16528,6840,9688,100,197260592,194389220,2871372,43644,160792,91628,4784,198129564,194986856,3142708,19996,15260,3256,5032
2026-03-15T10:04:54.004018,395390156,389721460,388245352,71028,192728,107004,10200,34359738367,282220,16528,6840,9688,100,197260592,194518100,2742492,50800,178424,103748,5176,198129564,195203360,2926204,20228,14304,3256,5024
2026-03-15T10:04:55.005192,395390156,389847908,388383636,76448,215300,114984,10348,34359738367,282220,16528,6840,9688,100,197260592,194514040,2746552,56220,200992,111728,5324,198129564,195333868,2795696,20228,14308,3256,5024
2026-03-15T10:04:56.006400,395390156,389936244,388484112,82336,229968,122396,10388,34359738367,282220,16528,6840,9688,100,197260592,194506356,2754236,62108,215660,119140,5364,198129564,195429888,2699676,20228,14308,3256,5024
2026-03-15T10:04:57.007647,395390156,390092404,388651140,86780,255728,130196,10560,34359738367,282220,16528,6840,9688,100,197260592,194520904,2739688,66548,241420,126940,5536,198129564,195571500,2558064,20232,14308,3256,5024
2026-03-15T10:04:58.008858,395390156,390121144,388680080,57264,364872,130196,10764,34359738367,282220,16532,6844,9688,100,197260592,194459800,2800792,41880,350564,126940,5744,198129564,195661344,2468220,15384,14308,3256,5020
2026-03-15T10:04:59.010056,395390156,390132804,388691740,57272,473208,130196,10976,34359738367,282220,16532,6844,9688,100,197260592,194370760,2889832,41888,458968,126940,5956,198129564,195764060,2365504,15384,14308,3256,5020
2026-03-15T10:05:00.011483,395390156,390142324,388701244,58336,598792,130196,11224,34359738367,282204,16532,6844,9688,100,197260592,194301044,2959548,42944,584808,126940,6204,198129564,195841280,2288284,15392,14308,3256,5020
2026-03-15T10:05:01.012847,395390156,389775296,388334216,58336,1111592,130196,11956,34359738367,282204,16532,6844,9688,100,197260592,193840196,3420396,42944,1099332,126940,6936,198129564,195935100,2194464,15392,14308,3256,5020
2026-03-15T10:05:02.014127,395390156,389244328,388048376,534092,1207132,132524,13232,34359738367,283804,16532,6844,9688,100,197260592,193174580,4086012,518688,1192460,129268,8016,198129564,196069748,2059816,15404,14672,3256,5216
2026-03-15T10:05:03.018551,395390156,389390964,388195012,534092,1208360,132524,13264,34359738367,283804,16532,6844,9688,100,197260592,193222452,4038140,518688,1191112,129268,8028,198129564,196168512,1961052,15404,17248,3256,5236
2026-03-15T10:05:04.019191,395390156,389600460,388404584,521212,1212540,132564,13292,34359738367,283804,16532,6844,9688,100,197260592,193301256,3959336,511072,1192348,129308,8036,198129564,196299204,1830360,10140,20192,3256,5256
2026-03-15T10:05:05.019849,395390156,388942980,388167700,992764,1992172,132784,15068,34359738367,283804,16532,6844,9688,100,197260592,192930448,4330144,982624,1389996,129528,8680,198129564,196012532,2117032,10140,602176,3256,6388
2026-03-15T10:05:06.021128,395390156,388856704,388081744,992856,2117064,132876,14844,34359738367,283804,16532,6844,9688,100,197260592,192826444,4434148,982716,1514752,129620,8452,198129564,196030260,2099304,10140,602312,3256,6392
2026-03-15T10:05:07.022442,395390156,388745200,387970240,992860,2249752,132876,15668,34359738367,283804,16532,6844,9688,100,197260592,192714688,4545904,982720,1647440,129620,9276,198129564,196030512,2099052,10140,602312,3256,6392
2026-03-15T10:05:08.023748,395390156,388587016,387812076,992860,2475852,132876,16000,34359738367,283804,16532,6844,9688,100,197260592,192515056,4745536,982720,1873540,129620,9708,198129564,196071960,2057604,10140,602312,3256,6292
2026-03-15T10:05:09.025044,395390156,385342708,384567776,990968,6155216,132916,24764,34359738367,285388,16532,6844,9688,100,197260592,190854488,6406104,981804,3726472,129660,14688,198129564,194488220,3641344,9164,2430792,3256,10076
2026-03-15T10:05:10.026336,395390156,384546632,383771700,990968,6961836,132916,25396,34359738367,285388,16532,6844,9688,100,197260592,190236100,7024492,981804,4347244,129660,15016,198129564,194310532,3819032,9164,2614592,3256,10380
2026-03-15T10:05:11.030580,395390156,384063536,383288604,990968,7460848,132916,25936,34359738367,285388,16532,6844,9688,100,197260592,189974716,7285876,981804,4603572,129660,15316,198129564,194088820,4040744,9164,2859356,3256,10620
2026-03-15T10:05:12.031652,395390156,383421696,382646772,990968,8069000,132916,27320,34359738367,285388,16532,6844,9688,100,197260592,189784112,7476480,981804,4776488,129660,15748,198129564,193637584,4491980,9164,3292512,3256,11572
2026-03-15T10:05:13.032789,395390156,382798796,382023876,990968,8731624,132916,28848,34359738367,285388,16532,6844,9688,100,197260592,189262684,7997908,981804,5325864,129660,17196,198129564,193536112,4593452,9164,3405760,3256,11652
2026-03-15T10:05:14.033877,395390156,382602352,381827432,981728,8962000,132916,29244,34359738367,285388,16536,6848,9688,100,197260592,189167988,8092604,979880,5420184,129660,17384,198129564,193434364,4695200,1848,3541816,3256,11860
2026-03-15T10:05:15.038583,395390156,382132500,381357588,981736,9524068,132916,30688,34359738367,285372,16536,6848,9688,100,197260592,188749096,8511496,979880,5879148,129660,18540,198129564,193383404,4746160,1856,3644920,3256,12148
2026-03-15T10:05:16.039637,395390156,383465200,382690288,981736,7965388,132916,29260,34359738367,285180,16536,6848,9688,100,197260592,190021632,7238960,979880,4408468,129660,17528,198129564,193459256,4670308,1856,3555912,3256,11732
2026-03-15T10:05:17.040972,395390156,384009128,383234216,981736,7382660,132916,26716,34359738367,284860,16536,6848,9688,100,197260592,190352976,6907616,979880,4054280,129660,15848,198129564,193656152,4473412,1856,3328380,3256,10868
2026-03-15T10:05:18.042291,395390156,385031896,384256992,981744,6154756,132916,25996,34359738367,284540,16536,6848,9688,100,197260592,190474644,6785948,979888,3931384,129660,11680,198129564,194557756,3571808,1856,2223372,3256,14316
2026-03-15T10:05:19.043647,395390156,385684036,386990752,3036920,3512472,133064,18912,34359738367,286028,16536,6848,9688,100,197260592,190125888,7134704,3035064,2244756,129808,10920,198129564,195558148,2571416,1856,1267716,3256,7992
2026-03-15T10:05:20.046571,395390156,385740248,387046964,3036920,3557528,133064,18992,34359738367,286028,16536,6848,9688,100,197260592,190148060,7112532,3035064,2271380,129808,10960,198129564,195592188,2537376,1856,1286148,3256,8032
2026-03-15T10:05:21.047449,395390156,385835252,387141968,3036920,3600536,133064,19060,34359738367,286028,16536,6848,9688,100,197260592,190197116,7063476,3035064,2295956,129808,11008,198129564,195638136,2491428,1856,1304580,3256,8052
2026-03-15T10:05:22.048321,395390156,385896916,387203632,3036920,3641548,133064,19156,34359738367,286028,16536,6848,9688,100,197260592,190221792,7038800,3035064,2310344,129808,11044,198129564,195675124,2454440,1856,1331204,3256,8112
2026-03-15T10:05:23.050576,395390156,385991128,387297844,3034992,3680472,133064,19212,34359738367,286028,16536,6848,9688,100,197260592,190267348,6993244,3033204,2324680,129808,11068,198129564,195723780,2405784,1788,1355792,3256,8144
2026-03-15T10:05:24.052093,395390156,386051068,387357788,3022544,3719468,133064,19316,34359738367,286028,16536,6848,9688,100,197260592,190300900,6959692,3022284,2334940,129808,11100,198129564,195750564,2379000,260,1384528,3256,8220
2026-03-15T10:05:25.054565,395390156,386093416,387400136,3019336,3752260,133064,19376,34359738367,286028,16536,6848,9688,100,197260592,190316136,6944456,3019316,2349288,129808,11120,198129564,195777280,2352284,20,1402972,3256,8256
2026-03-15T10:05:26.055421,395390156,386123812,387430532,3019336,3789208,133064,19420,34359738367,286028,16536,6848,9688,100,197260592,190333696,6926896,3019316,2365692,129808,11144,198129564,195790116,2339448,20,1423516,3256,8276
2026-03-15T10:05:27.056219,395390156,386155840,387462560,3019336,3824052,133064,19504,34359738367,286028,16536,6848,9688,100,197260592,190344152,6916440,3019316,2382076,129808,11176,198129564,195811688,2317876,20,1441976,3256,8328
2026-03-15T10:05:28.058567,395390156,386174012,387480740,3019356,3858972,133064,19580,34359738367,286028,16536,6848,9688,100,197260592,190341384,6919208,3019328,2406744,129808,11228,198129564,195832628,2296936,28,1452228,3256,8352
2026-03-15T10:05:29.059447,395390156,386217560,387524332,3001532,3893724,133064,19636,34359738367,286028,16556,6868,9688,100,197260592,190350692,6909900,3001468,2425104,129808,11256,198129564,195866868,2262696,64,1468620,3256,8380
2026-03-15T10:05:30.060241,395390156,386221604,387528376,3001532,3928540,133064,19712,34359738367,286028,16560,6872,9688,100,197260592,190366520,6894072,3001468,2435344,129808,11284,198129564,195855084,2274480,64,1493196,3256,8428
2026-03-15T10:05:31.062567,395390156,386222156,387528928,3001532,3961336,133064,19764,34359738367,286028,16560,6872,9688,100,197260592,190377500,6883092,3001468,2451744,129808,11308,198129564,195844656,2284908,64,1509592,3256,8456
2026-03-15T10:05:32.063369,395390156,385911060,387625944,3404272,3545024,595788,18968,34359738367,288236,16560,6872,9688,100,197260592,189877436,7383156,3404208,2217256,592516,10584,198129564,196033624,2095940,64,1327768,3272,8384
2026-03-15T10:05:33.066607,395390156,385933552,387648520,3404272,3546184,604880,19680,34359738367,285004,16560,6872,9688,100,197260592,189884172,7376420,3404208,2218024,601608,10956,198129564,196049380,2080184,64,1328160,3272,8724
2026-03-15T10:05:34.068184,395390156,385957332,387672316,3264584,3545408,604880,19552,34359738367,284716,16560,6872,9688,100,197260592,189894236,7366356,3264520,2217336,601608,10744,198129564,196063096,2066468,64,1328072,3272,8808
2026-03-15T10:05:35.069620,395390156,386009868,387725012,2741560,3545416,604880,19508,34359738367,284716,16560,6872,9688,100,197260592,189922880,7337712,2741524,2217336,601608,10740,198129564,196087968,2041596,36,1328080,3272,8768
2026-03-15T10:05:36.075504,395390156,386077888,387793108,2458376,3545416,604880,19508,34359738367,284284,16560,6872,9688,100,197260592,189962008,7298584,2458340,2217336,601608,10740,198129564,196115880,2013684,36,1328080,3272,8768
2026-03-15T10:05:37.077028,395390156,386123996,387839228,2458388,3545416,604880,19508,34359738367,284284,16560,6872,9688,100,197260592,189986508,7274084,2458352,2217336,601608,10740,198129564,196137488,1992076,36,1328080,3272,8768
2026-03-15T10:05:38.078458,395390156,386154512,387869744,2458388,3545416,604880,19508,34359738367,284284,16560,6872,9688,100,197260592,190004348,7256244,2458352,2217336,601608,10740,198129564,196150164,1979400,36,1328080,3272,8768
2026-03-15T10:05:39.082609,395390156,386188500,387903732,2458388,3545552,604880,19508,34359738367,284284,16560,6872,9688,100,197260592,190027532,7233060,2458352,2217472,601608,10740,198129564,196160968,1968596,36,1328080,3272,8768
2026-03-15T10:05:40.084168,395390156,386216648,387931896,2458436,3545552,604880,19508,34359738367,284284,16560,6872,9688,100,197260592,190046468,7214124,2458356,2217472,601608,10740,198129564,196170180,1959384,80,1328080,3272,8768
2026-03-15T10:05:41.085956,395390156,386232048,387947300,2458448,3545556,604880,19508,34359738367,284284,16560,6872,9688,100,197260592,190056868,7203724,2458356,2217476,601608,10740,198129564,196175180,1954384,92,1328080,3272,8768
2026-03-15T10:05:42.090613,395390156,386248716,387963968,2458452,3545556,604880,19508,34359738367,284284,16560,6872,9688,100,197260592,190069484,7191108,2458360,2217476,601608,10740,198129564,196179232,1950332,92,1328080,3272,8768
2026-03-15T10:05:43.092143,395390156,386260812,387976064,2458452,3545556,604880,19508,34359738367,284284,16560,6872,9688,100,197260592,190078400,7182192,2458360,2217476,601608,10740,198129564,196182412,1947152,92,1328080,3272,8768
2026-03-15T10:05:44.093690,395390156,386273832,387989084,2458452,3545556,604880,19508,34359738367,284284,16560,6872,9688,100,197260592,190088120,7172472,2458360,2217476,601608,10740,198129564,196185712,1943852,92,1328080,3272,8768
2026-03-15T10:05:45.095107,395390156,386277636,387992888,2458452,3545556,604880,19508,34359738367,284284,16560,6872,9688,100,197260592,190089476,7171116,2458360,2217476,601608,10740,198129564,196188160,1941404,92,1328080,3272,8768
2026-03-15T10:05:46.096465,395390156,386287972,388003224,2458460,3545556,604880,19508,34359738367,284284,16560,6872,9688,100,197260592,190098172,7162420,2458368,2217476,601608,10740,198129564,196189800,1939764,92,1328080,3272,8768
2026-03-15T10:05:47.097804,395390156,386290592,388005844,2458460,3545556,604880,19508,34359738367,284284,16564,6876,9688,100,197260592,190098916,7161676,2458368,2217476,601608,10740,198129564,196191676,1937888,92,1328080,3272,8768
2026-03-15T10:05:48.099200,395390156,386303340,388018592,2458460,3545560,604880,19508,34359738367,284284,16564,6876,9688,100,197260592,190107612,7152980,2458368,2217480,601608,10740,198129564,196195728,1933836,92,1328080,3272,8768
