System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System Core C-States,System Core C-States,System Core C-States,System Core C-States,System Core C-States,System Pack C-States,System Pack C-States,System Pack C-States,System,System,System,System,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,SKT0dataIn,SKT0dataIn,SKT0dataIn,SKT0dataIn (percent),SKT0dataIn (percent),SKT0dataIn (percent),SKT1dataIn,SKT1dataIn,SKT1dataIn,SKT1dataIn (percent),SKT1dataIn (percent),SKT1dataIn (percent),SKT0trafficOut,SKT0trafficOut,SKT0trafficOut,SKT0trafficOut (percent),SKT0trafficOut (percent),SKT0trafficOut (percent),SKT1trafficOut,SKT1trafficOut,SKT1trafficOut,SKT1trafficOut (percent),SKT1trafficOut (percent),SKT1trafficOut (percent),SKT0 Core C-State,SKT0 Core C-State,SKT0 Core C-State,SKT0 Core C-State,SKT0 Core C-State,SKT0 Package C-State,SKT0 Package C-State,SKT0 Package C-State,SKT1 Core C-State,SKT1 Core C-State,SKT1 Core C-State,SKT1 Core C-State,SKT1 Core C-State,SKT1 Package C-State,SKT1 Package C-State,SKT1 Package C-State,Proc Energy (Joules),Proc Energy (Joules),DRAM Energy (Joules),DRAM Energy (Joules),LLCRDMISSLAT (ns),LLCRDMISSLAT (ns),UncFREQ (Ghz),UncFREQ (Ghz),
Date,Time,EXEC,IPC,FREQ,AFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,Frontend_bound(%),Bad_Speculation(%),Backend_Bound(%),Retiring(%),READ,WRITE,LOCAL,PMM_RD,PMM_WR,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,TotalUPIin,UPItoMC,TotalUPIout,C0res%,C1res%,C3res%,C6res%,C7res%,C0res%,C2res%,C6res%,Proc Energy (Joules),DRAM Energy (Joules),LLCRDMISSLAT (ns),UncFREQ (Ghz),EXEC,IPC,FREQ,AFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,Frontend_bound(%),Bad_Speculation(%),Backend_Bound(%),Retiring(%),L3OCC,LMB,RMB,READ,WRITE,LOCAL,PMM_RD,PMM_WR,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,EXEC,IPC,FREQ,AFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,Frontend_bound(%),Bad_Speculation(%),Backend_Bound(%),Retiring(%),L3OCC,LMB,RMB,READ,WRITE,LOCAL,PMM_RD,PMM_WR,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,UPI0,UPI1,UPI2,UPI0,UPI1,UPI2,UPI0,UPI1,UPI2,UPI0,UPI1,UPI2,UPI0,UPI1,UPI2,UPI0,UPI1,UPI2,UPI0,UPI1,UPI2,UPI0,UPI1,UPI2,C0res%,C1res%,C3res%,C6res%,C7res%,C0res%,C2res%,C6res%,C0res%,C1res%,C3res%,C6res%,C7res%,C0res%,C2res%,C6res%,SKT0,SKT1,SKT0,SKT1,SKT0,SKT1,SKT0,SKT1,
2026-03-15,10:04:52.032,0.01,1.46,0.01,0.87,1.58,3.55,0.55,0.62,0.0005,0.0011,24,7,36,31,0.52,0.65,37,0.00,0.00,3242.22,2217.57,2198.31,2.92,58.48,0.03,0.57,556.19,0.48,1556.02,1.11,1.87,0.00,97.02,0.00,55.35,44.65,0.00,110.91,10.32,218.27,1.10,0.01,1.38,0.01,0.83,0.14,1.33,0.90,0.72,0.0001,0.0013,37,16,20,26, 25844,852147,6,0.41,0.58,26,0.00,0.00,49,1033.43,748.14,2198.31,2.76,55.25,0.02,0.36,0.02,1.50,0.01,0.90,1.44,2.21,0.34,0.51,0.0007,0.0010,18,3,45,33, 36556,852098,0,0.10,0.07,93,0.00,0.00,47,2208.79,1469.43,2198.31,3.01,60.13,0.04,0.77,83.20,83.40,83.37,  0%,  0%,  0%,102.11,102.12,101.99,  0%,  0%,  0%,267.26,263.12,269.55,  1%,  1%,  1%,256.19,245.37,254.52,  1%,  0%,  1%,0.79,1.32,0.00,97.89,0.00,48.20,51.80,0.00,1.44,2.41,0.00,96.15,0.00,62.51,37.49,0.00,56.78,54.13,5.68 ,4.64 ,160.19 ,225.86 ,1.11,1.08,
2026-03-15,10:04:53.032,0.05,0.63,0.08,0.95,0.30,2.59,0.88,0.76,0.0000,0.0002,16,2,50,30,0.24,0.13,81,0.00,0.00,11390.31,18165.34,2194.22,1.25,25.08,0.10,2.00,70.76,0.19,267.85,8.38,6.57,0.00,85.05,0.00,56.83,43.17,0.00,114.80,9.83,196.12,0.92,0.06,0.72,0.09,0.95,0.21,2.26,0.91,0.78,0.0000,0.0003,17,3,48,30, 26988,852131,0,0.18,0.11,97,0.00,0.00,48,7028.37,9814.35,2194.22,1.43,28.65,0.12,2.46,0.04,0.52,0.07,0.95,0.09,0.33,0.69,0.22,0.0000,0.0001,14,0,54,30, 38844,851991,0,0.07,0.02,27,0.00,0.00,48,4361.93,8350.98,2194.22,1.04,20.89,0.08,1.53,20.02,20.02,20.00,  0%,  0%,  0%,3.60,3.58,3.53,  0%,  0%,  0%,38.12,38.53,38.44,  0%,  0%,  0%,50.98,50.96,50.82,  0%,  0%,  0%,9.04,7.12,0.00,83.84,0.00,94.02,5.98,0.00,7.72,6.02,0.00,86.26,0.00,19.64,80.36,0.00,58.55,56.26,4.74 ,5.09 ,198.16 ,198.25 ,0.90,0.95,
2026-03-15,10:04:54.034,0.05,0.63,0.08,0.95,0.35,3.06,0.88,0.76,0.0000,0.0003,20,2,45,31,0.15,0.12,92,0.00,0.00,11755.95,18613.47,2195.14,1.26,25.26,0.10,2.06,27.34,0.10,153.69,8.56,5.69,0.00,85.75,0.00,60.24,39.76,0.00,128.33,11.30,148.80,1.29,0.07,0.73,0.09,0.96,0.24,2.68,0.91,0.78,0.0000,0.0003,21,4,42,31, 26936,162,851985,0.13,0.10,96,0.00,0.00,50,7704.85,10590.85,2195.14,1.46,29.10,0.13,2.70,0.04,0.50,0.07,0.94,0.10,0.38,0.69,0.23,0.0000,0.0001,18,0,49,31, 40248,1703964,0,0.02,0.02,64,0.00,0.00,47,4051.10,8022.62,2195.14,1.01,20.20,0.07,1.42,5.29,5.30,5.38,  0%,  0%,  0%,3.86,3.76,3.74,  0%,  0%,  0%,24.77,25.13,25.37,  0%,  0%,  0%,26.46,25.97,25.99,  0%,  0%,  0%,9.65,6.46,0.00,83.89,0.00,100.00,0.00,0.00,7.46,4.93,0.00,87.61,0.00,20.47,79.53,0.00,66.27,62.06,5.90 ,5.40 ,148.66 ,150.28 ,1.28,1.29,
2026-03-15,10:04:55.032,0.02,1.96,0.01,0.89,0.25,2.67,0.91,0.81,0.0001,0.0006,34,16,13,36,0.15,0.12,95,0.00,0.00,4135.41,2106.46,2194.61,3.93,78.53,0.04,0.72,16.16,0.06,111.54,1.04,1.79,0.00,97.17,0.00,53.45,46.55,0.00,155.18,13.57,110.33,2.15,0.04,2.02,0.02,0.94,0.20,2.41,0.92,0.83,0.0000,0.0006,34,16,12,37, 29640,852130,851979,0.14,0.10,98,0.00,0.00,49,4095.59,2031.75,2194.61,4.03,80.63,0.07,1.44,0.00,0.53,0.00,0.36,0.05,0.27,0.79,0.22,0.0013,0.0067,33,8,43,13, 40040,1703952,0,0.01,0.02,57,0.00,0.00,46,39.82,74.71,2194.61,1.07,21.32,0.00,0.01,3.31,3.34,3.35,  0%,  0%,  0%,2.07,2.06,2.03,  0%,  0%,  0%,17.89,18.22,18.18,  0%,  0%,  0%,19.21,19.01,19.03,  0%,  0%,  0%,1.89,2.44,0.00,95.67,0.00,99.99,0.01,0.00,0.18,1.15,0.00,98.67,0.00,6.91,93.09,0.00,81.95,73.23,9.12 ,4.45 ,107.30 ,115.27 ,2.20,2.10,
2026-03-15,10:04:56.034,0.02,1.83,0.01,0.89,0.20,3.17,0.94,0.81,0.0001,0.0008,33,17,14,34,0.11,0.09,94,0.00,0.00,3865.23,2113.00,2197.44,3.66,73.17,0.03,0.68,13.72,0.07,93.46,1.04,1.83,0.00,97.14,0.00,53.37,46.63,0.00,138.19,12.27,121.42,1.76,0.03,1.88,0.02,0.94,0.16,2.96,0.95,0.82,0.0000,0.0008,33,17,13,34, 28652,852100,2555907,0.10,0.08,98,0.00,0.00,48,3830.67,2042.02,2197.44,3.75,75.04,0.07,1.34,0.00,0.49,0.00,0.36,0.04,0.21,0.81,0.24,0.0011,0.0061,33,7,45,13, 38948,3407877,0,0.01,0.01,53,0.00,0.00,47,34.56,70.98,2197.44,0.97,19.48,0.00,0.01,2.85,2.89,2.85,  0%,  0%,  0%,1.73,1.71,1.68,  0%,  0%,  0%,14.98,15.26,15.22,  0%,  0%,  0%,16.08,15.97,15.95,  0%,  0%,  0%,1.90,2.39,0.00,95.71,0.00,100.00,0.00,0.00,0.17,1.26,0.00,98.56,0.00,6.73,93.27,0.00,72.44,65.76,7.83 ,4.44 ,118.79 ,125.01 ,1.79,1.72,
2026-03-15,10:04:57.033,0.01,1.82,0.01,0.84,0.31,2.60,0.88,0.75,0.0001,0.0009,33,16,15,34,0.15,0.12,94,0.00,0.00,2773.43,1522.63,2194.44,3.64,72.86,0.02,0.49,18.02,0.07,124.77,0.80,1.76,0.00,97.44,0.00,40.50,35.95,23.55,132.39,12.58,147.21,1.62,0.02,1.90,0.01,0.91,0.24,2.29,0.89,0.78,0.0001,0.0008,33,17,14,35, 30004,172,1703945,0.13,0.10,98,0.00,0.00,50,2726.13,1434.98,2194.44,3.80,75.99,0.05,0.96,0.00,0.54,0.00,0.36,0.07,0.32,0.77,0.22,0.0014,0.0067,35,9,40,14, 38740,851981,0,0.02,0.02,58,0.00,0.00,47,47.29,87.65,2194.44,1.08,21.58,0.00,0.02,3.99,4.03,4.02,  0%,  0%,  0%,2.01,1.99,1.97,  0%,  0%,  0%,19.80,20.19,20.07,  0%,  0%,  0%,21.67,21.54,21.50,  0%,  0%,  0%,1.38,2.03,0.00,96.59,0.00,72.72,3.73,23.55,0.21,1.50,0.00,98.29,0.00,8.29,68.16,23.55,69.69,62.70,7.94 ,4.64 ,143.86 ,150.73 ,1.66,1.58,
2026-03-15,10:04:58.033,0.00,0.91,0.00,0.56,0.12,2.39,0.95,0.83,0.0001,0.0026,40,9,30,19,0.20,0.19,96,0.00,0.00,910.13,997.18,2194.43,1.83,36.51,0.01,0.16,17.73,0.05,189.80,0.78,1.70,0.00,97.52,0.00,40.71,42.34,16.95,131.42,12.01,148.74,1.61,0.01,0.95,0.01,0.58,0.08,2.21,0.96,0.84,0.0001,0.0025,41,9,29,20, 32604,262,1703940,0.18,0.18,99,0.00,0.00,50,876.80,926.85,2194.43,1.89,37.84,0.02,0.31,0.00,0.47,0.00,0.36,0.04,0.18,0.78,0.27,0.0011,0.0053,33,6,45,13, 37960,851975,6,0.02,0.01,42,0.00,0.00,47,33.33,70.33,2194.43,0.95,18.96,0.00,0.01,4.30,4.36,4.36,  0%,  0%,  0%,1.58,1.60,1.52,  0%,  0%,  0%,30.74,30.79,30.72,  0%,  0%,  0%,32.55,32.44,32.56,  0%,  0%,  0%,1.39,2.26,0.00,96.35,0.00,76.11,6.94,16.96,0.17,1.14,0.00,98.69,0.00,5.31,77.75,16.95,66.42,65.00,7.33 ,4.68 ,146.01 ,150.69 ,1.64,1.57,
2026-03-15,10:04:59.033,0.00,0.93,0.00,0.56,0.12,2.02,0.94,0.83,0.0002,0.0026,40,8,30,20,0.14,0.15,97,0.00,0.00,764.88,824.45,2195.05,1.86,37.11,0.01,0.13,11.26,0.04,137.61,0.65,1.48,0.00,97.88,0.00,34.09,36.48,29.43,121.33,11.98,171.36,1.37,0.01,0.96,0.01,0.58,0.08,1.80,0.96,0.85,0.0001,0.0025,41,8,29,20, 32552,852194,851974,0.13,0.14,99,0.00,0.00,50,729.51,760.38,2195.05,1.92,38.38,0.01,0.26,0.00,0.55,0.00,0.36,0.04,0.22,0.79,0.23,0.0012,0.0063,34,8,42,14, 39208,1703948,0,0.01,0.01,59,0.00,0.00,47,35.37,64.08,2195.05,1.10,22.08,0.00,0.01,2.33,2.36,2.35,  0%,  0%,  0%,1.41,1.44,1.37,  0%,  0%,  0%,22.67,22.78,22.74,  0%,  0%,  0%,23.14,23.13,23.15,  0%,  0%,  0%,1.14,1.88,0.00,96.97,0.00,63.07,7.50,29.43,0.15,1.07,0.00,98.78,0.00,5.12,65.46,29.43,61.39,59.94,6.96 ,5.02 ,172.21 ,166.34 ,1.40,1.35,
2026-03-15,10:05:00.033,0.00,0.88,0.00,0.58,0.11,1.88,0.94,0.87,0.0001,0.0021,39,7,34,19,0.16,0.16,97,0.00,0.00,886.44,1005.90,2196.22,1.76,35.25,0.01,0.16,11.02,0.03,120.70,0.75,1.73,0.00,97.52,0.00,39.66,39.15,21.19,100.04,9.63,221.16,0.82,0.01,0.91,0.01,0.61,0.08,1.71,0.95,0.88,0.0001,0.0020,39,7,33,19, 32240,269,1703944,0.15,0.15,99,0.00,0.00,51,851.81,936.32,2196.22,1.82,36.39,0.01,0.30,0.00,0.50,0.00,0.36,0.03,0.17,0.80,0.26,0.0009,0.0049,33,6,46,13, 38116,851984,0,0.01,0.01,57,0.00,0.00,48,34.62,69.58,2196.22,1.00,19.90,0.00,0.01,2.10,2.14,2.14,  0%,  0%,  0%,1.55,1.58,1.51,  0%,  0%,  0%,19.92,19.96,20.07,  0%,  0%,  0%,20.36,20.14,20.25,  0%,  0%,  0%,1.34,2.22,0.00,96.44,0.00,73.77,5.04,21.19,0.17,1.23,0.00,98.60,0.00,5.56,73.25,21.19,49.87,50.17,5.01 ,4.62 ,221.02 ,226.69 ,0.81,0.83,
