,,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,System,System,System,System,System,System,System
Date,Time,Ch0Read,Ch0Write,Ch0PMM_Read,Ch0PMM_Write,Ch1Read,Ch1Write,Ch1PMM_Read,Ch1PMM_Write,Ch2Read,Ch2Write,Ch2PMM_Read,Ch2PMM_Write,Ch3Read,Ch3Write,Ch3PMM_Read,Ch3PMM_Write,Ch4Read,Ch4Write,Ch4PMM_Read,Ch4PMM_Write,Ch5Read,Ch5Write,Ch5PMM_Read,Ch5PMM_Write,Ch6Read,Ch6Write,Ch6PMM_Read,Ch6PMM_Write,Ch7Read,Ch7Write,Ch7PMM_Read,Ch7PMM_Write,Mem Read (MB/s),Mem Write (MB/s),PMM_Read (MB/s), PMM_Write (MB/s),Memory (MB/s),Ch0Read,Ch0Write,Ch0PMM_Read,Ch0PMM_Write,Ch1Read,Ch1Write,Ch1PMM_Read,Ch1PMM_Write,Ch2Read,Ch2Write,Ch2PMM_Read,Ch2PMM_Write,Ch3Read,Ch3Write,Ch3PMM_Read,Ch3PMM_Write,Ch4Read,Ch4Write,Ch4PMM_Read,Ch4PMM_Write,Ch5Read,Ch5Write,Ch5PMM_Read,Ch5PMM_Write,Ch6Read,Ch6Write,Ch6PMM_Read,Ch6PMM_Write,Ch7Read,Ch7Write,Ch7PMM_Read,Ch7PMM_Write,Mem Read (MB/s),Mem Write (MB/s),PMM_Read (MB/s), PMM_Write (MB/s),Memory (MB/s),DRAMRead,DRAMWrite,PMMREAD,PMMWrite,Read,Write,Memory
2026-03-14,20:17:23.249,  662.29,  964.28,    0.00,    0.00,  662.62,  964.52,    0.00,    0.00,  662.17,  963.39,    0.00,    0.00,,,,,  659.89,  958.37,    0.00,    0.00,  659.56,  957.56,    0.00,    0.00,  659.67,  957.47,    0.00,    0.00,,,,, 3966.20, 5765.59,    0.00,    0.00, 9731.79,   15.05,   11.43,    0.00,    0.00,   15.11,   11.48,    0.00,    0.00,   15.03,   11.34,    0.00,    0.00,,,,,   14.63,   11.01,    0.00,    0.00,   14.54,   10.90,    0.00,    0.00,   14.64,   11.18,    0.00,    0.00,,,,,   88.99,   67.34,    0.00,    0.00,  156.33,   4055.19,   5832.92,      0.00,      0.00,   4055.19,   5832.92,   9888.12
2026-03-14,20:17:24.248,   42.49,   32.14,    0.00,    0.00,   42.41,   32.05,    0.00,    0.00,   42.35,   31.95,    0.00,    0.00,,,,,   42.13,   31.58,    0.00,    0.00,   42.12,   31.53,    0.00,    0.00,   42.15,   31.61,    0.00,    0.00,,,,,  253.66,  190.87,    0.00,    0.00,  444.52,   14.06,    7.18,    0.00,    0.00,   14.09,    7.24,    0.00,    0.00,   14.00,    7.10,    0.00,    0.00,,,,,   13.75,    6.77,    0.00,    0.00,   13.73,    6.75,    0.00,    0.00,   13.92,    7.01,    0.00,    0.00,,,,,   83.54,   42.04,    0.00,    0.00,  125.58,    337.19,    232.91,      0.00,      0.00,    337.19,    232.91,    570.11
2026-03-14,20:17:25.250,   22.17,   17.65,    0.00,    0.00,   22.20,   17.73,    0.00,    0.00,   22.18,   17.63,    0.00,    0.00,,,,,   21.66,   17.22,    0.00,    0.00,   21.61,   17.15,    0.00,    0.00,   21.64,   17.16,    0.00,    0.00,,,,,  131.46,  104.54,    0.00,    0.00,  236.00,    3.81,    2.78,    0.00,    0.00,    3.81,    2.82,    0.00,    0.00,    3.80,    2.69,    0.00,    0.00,,,,,    3.54,    2.32,    0.00,    0.00,    3.53,    2.26,    0.00,    0.00,    3.58,    2.43,    0.00,    0.00,,,,,   22.07,   15.28,    0.00,    0.00,   37.35,    153.54,    119.82,      0.00,      0.00,    153.54,    119.82,    273.36
2026-03-14,20:17:26.251,   29.18,   23.40,    0.00,    0.00,   29.25,   23.45,    0.00,    0.00,   29.19,   23.30,    0.00,    0.00,,,,,   28.91,   23.18,    0.00,    0.00,   28.96,   23.12,    0.00,    0.00,   29.01,   23.14,    0.00,    0.00,,,,,  174.50,  139.59,    0.00,    0.00,  314.09,    3.35,    3.98,    0.00,    0.00,    3.42,    4.04,    0.00,    0.00,    3.35,    3.96,    0.00,    0.00,,,,,    3.24,    3.75,    0.00,    0.00,    3.20,    3.72,    0.00,    0.00,    3.27,    3.82,    0.00,    0.00,,,,,   19.83,   23.29,    0.00,    0.00,   43.12,    194.33,    162.88,      0.00,      0.00,    194.33,    162.88,    357.21
2026-03-14,20:17:27.252,   22.45,   15.54,    0.00,    0.00,   22.42,   15.57,    0.00,    0.00,   22.40,   15.50,    0.00,    0.00,,,,,   21.88,   15.09,    0.00,    0.00,   21.76,   15.00,    0.00,    0.00,   21.89,   15.08,    0.00,    0.00,,,,,  132.79,   91.78,    0.00,    0.00,  224.57,    3.57,    2.85,    0.00,    0.00,    3.56,    2.93,    0.00,    0.00,    3.55,    2.88,    0.00,    0.00,,,,,    3.26,    2.60,    0.00,    0.00,    3.29,    2.57,    0.00,    0.00,    3.33,    2.68,    0.00,    0.00,,,,,   20.57,   16.52,    0.00,    0.00,   37.08,    153.36,    108.29,      0.00,      0.00,    153.36,    108.29,    261.65
2026-03-14,20:17:28.252,   15.99,   12.05,    0.00,    0.00,   15.99,   12.09,    0.00,    0.00,   15.97,   11.94,    0.00,    0.00,,,,,   15.64,   11.74,    0.00,    0.00,   15.64,   11.72,    0.00,    0.00,   15.68,   11.76,    0.00,    0.00,,,,,   94.93,   71.30,    0.00,    0.00,  166.23,    2.57,    2.90,    0.00,    0.00,    2.58,    2.94,    0.00,    0.00,    2.55,    2.88,    0.00,    0.00,,,,,    2.38,    2.55,    0.00,    0.00,    2.35,    2.49,    0.00,    0.00,    2.40,    2.60,    0.00,    0.00,,,,,   14.82,   16.36,    0.00,    0.00,   31.18,    109.75,     87.67,      0.00,      0.00,    109.75,     87.67,    197.41
2026-03-14,20:17:29.252,   36.60,   27.70,    0.00,    0.00,   36.68,   27.75,    0.00,    0.00,   36.64,   27.64,    0.00,    0.00,,,,,   36.59,   27.03,    0.00,    0.00,   36.58,   26.98,    0.00,    0.00,   36.57,   26.89,    0.00,    0.00,,,,,  219.67,  163.99,    0.00,    0.00,  383.66,   10.34,    3.40,    0.00,    0.00,   10.36,    3.46,    0.00,    0.00,   10.35,    3.39,    0.00,    0.00,,,,,   10.10,    3.17,    0.00,    0.00,   10.09,    3.13,    0.00,    0.00,   10.14,    3.26,    0.00,    0.00,,,,,   61.38,   19.82,    0.00,    0.00,   81.19,    281.04,    183.81,      0.00,      0.00,    281.04,    183.81,    464.85
2026-03-14,20:17:30.252,   25.19,   27.18,    0.00,    0.00,   25.15,   27.18,    0.00,    0.00,   25.19,   27.14,    0.00,    0.00,,,,,   25.31,   26.74,    0.00,    0.00,   25.35,   26.74,    0.00,    0.00,   25.35,   26.74,    0.00,    0.00,,,,,  151.55,  161.70,    0.00,    0.00,  313.25,    1.68,    2.09,    0.00,    0.00,    1.69,    2.14,    0.00,    0.00,    1.67,    2.08,    0.00,    0.00,,,,,    1.57,    1.95,    0.00,    0.00,    1.55,    1.89,    0.00,    0.00,    1.58,    2.03,    0.00,    0.00,,,,,    9.74,   12.19,    0.00,    0.00,   21.93,    161.29,    173.89,      0.00,      0.00,    161.29,    173.89,    335.18
2026-03-14,20:17:31.253,   28.93,   28.33,    0.00,    0.00,   28.93,   28.33,    0.00,    0.00,   28.92,   28.26,    0.00,    0.00,,,,,   28.69,   27.78,    0.00,    0.00,   28.67,   27.74,    0.00,    0.00,   28.65,   27.70,    0.00,    0.00,,,,,  172.81,  168.15,    0.00,    0.00,  340.96,    3.30,    2.75,    0.00,    0.00,    3.34,    2.85,    0.00,    0.00,    3.34,    2.79,    0.00,    0.00,,,,,    3.05,    2.53,    0.00,    0.00,    3.05,    2.49,    0.00,    0.00,    3.10,    2.61,    0.00,    0.00,,,,,   19.17,   16.03,    0.00,    0.00,   35.20,    191.98,    184.18,      0.00,      0.00,    191.98,    184.18,    376.16
