,,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,System,System,System,System,System,System,System
Date,Time,Ch0Read,Ch0Write,Ch0PMM_Read,Ch0PMM_Write,Ch1Read,Ch1Write,Ch1PMM_Read,Ch1PMM_Write,Ch2Read,Ch2Write,Ch2PMM_Read,Ch2PMM_Write,Ch3Read,Ch3Write,Ch3PMM_Read,Ch3PMM_Write,Ch4Read,Ch4Write,Ch4PMM_Read,Ch4PMM_Write,Ch5Read,Ch5Write,Ch5PMM_Read,Ch5PMM_Write,Ch6Read,Ch6Write,Ch6PMM_Read,Ch6PMM_Write,Ch7Read,Ch7Write,Ch7PMM_Read,Ch7PMM_Write,Mem Read (MB/s),Mem Write (MB/s),PMM_Read (MB/s), PMM_Write (MB/s),Memory (MB/s),Ch0Read,Ch0Write,Ch0PMM_Read,Ch0PMM_Write,Ch1Read,Ch1Write,Ch1PMM_Read,Ch1PMM_Write,Ch2Read,Ch2Write,Ch2PMM_Read,Ch2PMM_Write,Ch3Read,Ch3Write,Ch3PMM_Read,Ch3PMM_Write,Ch4Read,Ch4Write,Ch4PMM_Read,Ch4PMM_Write,Ch5Read,Ch5Write,Ch5PMM_Read,Ch5PMM_Write,Ch6Read,Ch6Write,Ch6PMM_Read,Ch6PMM_Write,Ch7Read,Ch7Write,Ch7PMM_Read,Ch7PMM_Write,Mem Read (MB/s),Mem Write (MB/s),PMM_Read (MB/s), PMM_Write (MB/s),Memory (MB/s),DRAMRead,DRAMWrite,PMMREAD,PMMWrite,Read,Write,Memory
2026-03-15,03:18:56.650,  769.70, 1015.54,    0.00,    0.00,  769.57, 1014.88,    0.00,    0.00,  769.65, 1015.14,    0.00,    0.00,,,,,  768.84, 1014.28,    0.00,    0.00,  768.60, 1013.66,    0.00,    0.00,  768.20, 1012.97,    0.00,    0.00,,,,, 4614.56, 6086.47,    0.00,    0.00,10701.03,    3.84,    5.46,    0.00,    0.00,    3.97,    5.51,    0.00,    0.00,    3.92,    5.49,    0.00,    0.00,,,,,    3.73,    5.21,    0.00,    0.00,    3.60,    5.10,    0.00,    0.00,    3.66,    5.30,    0.00,    0.00,,,,,   22.72,   32.08,    0.00,    0.00,   54.80,   4637.29,   6118.55,      0.00,      0.00,   4637.29,   6118.55,  10755.83
2026-03-15,03:18:57.649,  195.85,  204.40,    0.00,    0.00,  195.94,  204.47,    0.00,    0.00,  195.90,  204.49,    0.00,    0.00,,,,,  195.61,  203.42,    0.00,    0.00,  195.64,  203.48,    0.00,    0.00,  195.62,  203.43,    0.00,    0.00,,,,, 1174.56, 1223.70,    0.00,    0.00, 2398.26,    1.49,    1.83,    0.00,    0.00,    1.53,    1.86,    0.00,    0.00,    1.53,    1.88,    0.00,    0.00,,,,,    1.39,    1.61,    0.00,    0.00,    1.38,    1.60,    0.00,    0.00,    1.44,    1.70,    0.00,    0.00,,,,,    8.76,   10.49,    0.00,    0.00,   19.25,   1183.33,   1234.18,      0.00,      0.00,   1183.33,   1234.18,   2417.51
2026-03-15,03:18:58.650,  195.03,  203.06,    0.00,    0.00,  195.07,  203.02,    0.00,    0.00,  195.03,  202.99,    0.00,    0.00,,,,,  194.75,  201.96,    0.00,    0.00,  194.75,  201.99,    0.00,    0.00,  194.77,  202.00,    0.00,    0.00,,,,, 1169.40, 1215.03,    0.00,    0.00, 2384.43,    1.31,    1.76,    0.00,    0.00,    1.33,    1.77,    0.00,    0.00,    1.33,    1.81,    0.00,    0.00,,,,,    1.17,    1.53,    0.00,    0.00,    1.16,    1.53,    0.00,    0.00,    1.19,    1.58,    0.00,    0.00,,,,,    7.49,    9.98,    0.00,    0.00,   17.47,   1176.90,   1225.00,      0.00,      0.00,   1176.90,   1225.00,   2401.90
2026-03-15,03:18:59.650,  194.30,  203.10,    0.00,    0.00,  194.37,  203.09,    0.00,    0.00,  194.33,  203.19,    0.00,    0.00,,,,,  194.10,  201.99,    0.00,    0.00,  194.09,  202.04,    0.00,    0.00,  194.09,  202.05,    0.00,    0.00,,,,, 1165.28, 1215.46,    0.00,    0.00, 2380.73,    1.10,    1.62,    0.00,    0.00,    1.13,    1.64,    0.00,    0.00,    1.13,    1.66,    0.00,    0.00,,,,,    1.01,    1.39,    0.00,    0.00,    1.01,    1.38,    0.00,    0.00,    1.05,    1.47,    0.00,    0.00,,,,,    6.42,    9.16,    0.00,    0.00,   15.58,   1171.70,   1224.62,      0.00,      0.00,   1171.70,   1224.62,   2396.31
2026-03-15,03:19:00.650,  194.43,  202.57,    0.00,    0.00,  194.52,  202.58,    0.00,    0.00,  194.48,  202.51,    0.00,    0.00,,,,,  194.25,  201.38,    0.00,    0.00,  194.23,  201.39,    0.00,    0.00,  194.23,  201.36,    0.00,    0.00,,,,, 1166.14, 1211.79,    0.00,    0.00, 2377.94,    1.19,    1.72,    0.00,    0.00,    1.23,    1.76,    0.00,    0.00,    1.20,    1.76,    0.00,    0.00,,,,,    1.11,    1.52,    0.00,    0.00,    1.09,    1.50,    0.00,    0.00,    1.13,    1.57,    0.00,    0.00,,,,,    6.94,    9.82,    0.00,    0.00,   16.76,   1173.08,   1221.61,      0.00,      0.00,   1173.08,   1221.61,   2394.69
2026-03-15,03:19:01.650,  194.91,  206.76,    0.00,    0.00,  194.95,  206.77,    0.00,    0.00,  194.88,  206.74,    0.00,    0.00,,,,,  194.63,  205.61,    0.00,    0.00,  194.66,  205.73,    0.00,    0.00,  194.67,  205.69,    0.00,    0.00,,,,, 1168.70, 1237.29,    0.00,    0.00, 2405.98,    1.51,    1.97,    0.00,    0.00,    1.53,    1.99,    0.00,    0.00,    1.53,    2.00,    0.00,    0.00,,,,,    1.34,    1.62,    0.00,    0.00,    1.35,    1.61,    0.00,    0.00,    1.38,    1.73,    0.00,    0.00,,,,,    8.65,   10.92,    0.00,    0.00,   19.57,   1177.34,   1248.21,      0.00,      0.00,   1177.34,   1248.21,   2425.55
2026-03-15,03:19:02.650,  194.17,  201.09,    0.00,    0.00,  194.24,  201.09,    0.00,    0.00,  194.19,  201.14,    0.00,    0.00,,,,,  193.99,  200.06,    0.00,    0.00,  193.99,  200.10,    0.00,    0.00,  193.99,  200.06,    0.00,    0.00,,,,, 1164.57, 1203.55,    0.00,    0.00, 2368.12,    1.17,    1.73,    0.00,    0.00,    1.19,    1.75,    0.00,    0.00,    1.17,    1.73,    0.00,    0.00,,,,,    1.08,    1.51,    0.00,    0.00,    1.06,    1.51,    0.00,    0.00,    1.10,    1.61,    0.00,    0.00,,,,,    6.77,    9.84,    0.00,    0.00,   16.62,   1171.35,   1213.39,      0.00,      0.00,   1171.35,   1213.39,   2384.73
2026-03-15,03:19:03.650,  194.46,  212.54,    0.00,    0.00,  194.53,  212.41,    0.00,    0.00,  194.49,  212.55,    0.00,    0.00,,,,,  194.22,  211.41,    0.00,    0.00,  194.24,  211.41,    0.00,    0.00,  194.24,  211.45,    0.00,    0.00,,,,, 1166.19, 1271.77,    0.00,    0.00, 2437.96,    1.61,    1.72,    0.00,    0.00,    1.66,    1.76,    0.00,    0.00,    1.63,    1.75,    0.00,    0.00,,,,,    1.50,    1.49,    0.00,    0.00,    1.50,    1.48,    0.00,    0.00,    1.54,    1.57,    0.00,    0.00,,,,,    9.45,    9.77,    0.00,    0.00,   19.21,   1175.63,   1281.54,      0.00,      0.00,   1175.63,   1281.54,   2457.17
2026-03-15,03:19:04.650,  193.97,  221.22,    0.00,    0.00,  194.04,  221.18,    0.00,    0.00,  193.97,  221.24,    0.00,    0.00,,,,,  193.80,  220.29,    0.00,    0.00,  193.79,  220.27,    0.00,    0.00,  193.80,  220.29,    0.00,    0.00,,,,, 1163.39, 1324.48,    0.00,    0.00, 2487.87,    1.13,    1.74,    0.00,    0.00,    1.15,    1.75,    0.00,    0.00,    1.14,    1.74,    0.00,    0.00,,,,,    1.01,    1.45,    0.00,    0.00,    1.03,    1.48,    0.00,    0.00,    1.05,    1.56,    0.00,    0.00,,,,,    6.51,    9.71,    0.00,    0.00,   16.22,   1169.90,   1334.19,      0.00,      0.00,   1169.90,   1334.19,   2504.10
2026-03-15,03:19:05.650,  194.05,  220.72,    0.00,    0.00,  194.12,  220.62,    0.00,    0.00,  194.06,  220.78,    0.00,    0.00,,,,,  193.86,  219.77,    0.00,    0.00,  193.84,  219.70,    0.00,    0.00,  193.87,  219.75,    0.00,    0.00,,,,, 1163.80, 1321.34,    0.00,    0.00, 2485.14,    1.15,    1.74,    0.00,    0.00,    1.18,    1.77,    0.00,    0.00,    1.17,    1.78,    0.00,    0.00,,,,,    1.04,    1.50,    0.00,    0.00,    1.03,    1.50,    0.00,    0.00,    1.07,    1.59,    0.00,    0.00,,,,,    6.63,    9.88,    0.00,    0.00,   16.52,   1170.43,   1331.23,      0.00,      0.00,   1170.43,   1331.23,   2501.66
2026-03-15,03:19:06.650,  194.28,  221.27,    0.00,    0.00,  194.36,  221.22,    0.00,    0.00,  194.30,  221.27,    0.00,    0.00,,,,,  194.08,  220.27,    0.00,    0.00,  194.08,  220.25,    0.00,    0.00,  194.05,  220.28,    0.00,    0.00,,,,, 1165.16, 1324.54,    0.00,    0.00, 2489.70,    1.14,    1.75,    0.00,    0.00,    1.17,    1.75,    0.00,    0.00,    1.14,    1.76,    0.00,    0.00,,,,,    1.03,    1.52,    0.00,    0.00,    1.02,    1.51,    0.00,    0.00,    1.03,    1.57,    0.00,    0.00,,,,,    6.53,    9.85,    0.00,    0.00,   16.39,   1171.69,   1334.39,      0.00,      0.00,   1171.69,   1334.39,   2506.09
2026-03-15,03:19:07.651,  194.72,  221.84,    0.00,    0.00,  194.79,  221.79,    0.00,    0.00,  194.71,  221.87,    0.00,    0.00,,,,,  194.43,  220.81,    0.00,    0.00,  194.45,  220.78,    0.00,    0.00,  194.44,  220.82,    0.00,    0.00,,,,, 1167.54, 1327.90,    0.00,    0.00, 2495.44,    1.22,    1.94,    0.00,    0.00,    1.23,    1.92,    0.00,    0.00,    1.24,    1.95,    0.00,    0.00,,,,,    1.07,    1.57,    0.00,    0.00,    1.08,    1.58,    0.00,    0.00,    1.12,    1.68,    0.00,    0.00,,,,,    6.97,   10.64,    0.00,    0.00,   17.62,   1174.51,   1338.54,      0.00,      0.00,   1174.51,   1338.54,   2513.05
2026-03-15,03:19:08.651,  194.11,  221.35,    0.00,    0.00,  194.15,  221.23,    0.00,    0.00,  194.15,  221.38,    0.00,    0.00,,,,,  193.90,  220.28,    0.00,    0.00,  193.92,  220.30,    0.00,    0.00,  193.90,  220.25,    0.00,    0.00,,,,, 1164.12, 1324.80,    0.00,    0.00, 2488.91,    1.03,    1.64,    0.00,    0.00,    1.06,    1.65,    0.00,    0.00,    1.04,    1.64,    0.00,    0.00,,,,,    0.95,    1.42,    0.00,    0.00,    0.94,    1.40,    0.00,    0.00,    0.97,    1.47,    0.00,    0.00,,,,,    5.99,    9.22,    0.00,    0.00,   15.21,   1170.11,   1334.02,      0.00,      0.00,   1170.11,   1334.02,   2504.13
2026-03-15,03:19:09.652,  193.91,  221.45,    0.00,    0.00,  193.94,  221.29,    0.00,    0.00,  193.89,  221.44,    0.00,    0.00,,,,,  193.69,  220.42,    0.00,    0.00,  193.73,  220.43,    0.00,    0.00,  193.72,  220.41,    0.00,    0.00,,,,, 1162.86, 1325.45,    0.00,    0.00, 2488.31,    1.03,    1.62,    0.00,    0.00,    1.06,    1.64,    0.00,    0.00,    1.05,    1.64,    0.00,    0.00,,,,,    0.94,    1.39,    0.00,    0.00,    0.94,    1.39,    0.00,    0.00,    0.97,    1.46,    0.00,    0.00,,,,,    6.00,    9.13,    0.00,    0.00,   15.13,   1168.86,   1334.58,      0.00,      0.00,   1168.86,   1334.58,   2503.44
2026-03-15,03:19:10.651,  193.62,  220.35,    0.00,    0.00,  193.66,  220.31,    0.00,    0.00,  193.63,  220.43,    0.00,    0.00,,,,,  193.40,  219.50,    0.00,    0.00,  193.42,  219.61,    0.00,    0.00,  193.47,  219.58,    0.00,    0.00,,,,, 1161.20, 1319.77,    0.00,    0.00, 2480.97,    1.15,    1.79,    0.00,    0.00,    1.19,    1.81,    0.00,    0.00,    1.18,    1.83,    0.00,    0.00,,,,,    1.03,    1.53,    0.00,    0.00,    1.03,    1.54,    0.00,    0.00,    1.10,    1.67,    0.00,    0.00,,,,,    6.69,   10.17,    0.00,    0.00,   16.86,   1167.89,   1329.95,      0.00,      0.00,   1167.89,   1329.95,   2497.83
2026-03-15,03:19:11.651,  316.45,  344.61,    0.00,    0.00,  317.14,  345.78,    0.00,    0.00,  317.04,  346.14,    0.00,    0.00,,,,,  315.35,  339.32,    0.00,    0.00,  315.46,  339.61,    0.00,    0.00,  315.46,  339.52,    0.00,    0.00,,,,, 1896.90, 2054.97,    0.00,    0.00, 3951.87,  101.78,  122.72,    0.00,    0.00,  101.80,  122.87,    0.00,    0.00,  101.69,  122.49,    0.00,    0.00,,,,,  101.74,  121.70,    0.00,    0.00,  101.68,  121.79,    0.00,    0.00,  101.86,  122.07,    0.00,    0.00,,,,,  610.55,  733.63,    0.00,    0.00, 1344.19,   2507.45,   2788.61,      0.00,      0.00,   2507.45,   2788.61,   5296.06
