,,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,System,System,System,System,System,System,System
Date,Time,Ch0Read,Ch0Write,Ch0PMM_Read,Ch0PMM_Write,Ch1Read,Ch1Write,Ch1PMM_Read,Ch1PMM_Write,Ch2Read,Ch2Write,Ch2PMM_Read,Ch2PMM_Write,Ch3Read,Ch3Write,Ch3PMM_Read,Ch3PMM_Write,Ch4Read,Ch4Write,Ch4PMM_Read,Ch4PMM_Write,Ch5Read,Ch5Write,Ch5PMM_Read,Ch5PMM_Write,Ch6Read,Ch6Write,Ch6PMM_Read,Ch6PMM_Write,Ch7Read,Ch7Write,Ch7PMM_Read,Ch7PMM_Write,Mem Read (MB/s),Mem Write (MB/s),PMM_Read (MB/s), PMM_Write (MB/s),Memory (MB/s),Ch0Read,Ch0Write,Ch0PMM_Read,Ch0PMM_Write,Ch1Read,Ch1Write,Ch1PMM_Read,Ch1PMM_Write,Ch2Read,Ch2Write,Ch2PMM_Read,Ch2PMM_Write,Ch3Read,Ch3Write,Ch3PMM_Read,Ch3PMM_Write,Ch4Read,Ch4Write,Ch4PMM_Read,Ch4PMM_Write,Ch5Read,Ch5Write,Ch5PMM_Read,Ch5PMM_Write,Ch6Read,Ch6Write,Ch6PMM_Read,Ch6PMM_Write,Ch7Read,Ch7Write,Ch7PMM_Read,Ch7PMM_Write,Mem Read (MB/s),Mem Write (MB/s),PMM_Read (MB/s), PMM_Write (MB/s),Memory (MB/s),DRAMRead,DRAMWrite,PMMREAD,PMMWrite,Read,Write,Memory
2026-03-16,01:06:52.883,  549.18,  781.17,    0.00,    0.00,  549.28,  780.81,    0.00,    0.00,  549.66,  781.58,    0.00,    0.00,,,,,  548.14,  779.61,    0.00,    0.00,  548.75,  780.49,    0.00,    0.00,  547.96,  778.94,    0.00,    0.00,,,,, 3292.96, 4682.60,    0.00,    0.00, 7975.56,  164.85,  220.85,    0.00,    0.00,  164.73,  220.60,    0.00,    0.00,  164.79,  220.76,    0.00,    0.00,,,,,  170.51,  237.56,    0.00,    0.00,  164.18,  220.43,    0.00,    0.00,  164.10,  220.18,    0.00,    0.00,,,,,  993.17, 1340.39,    0.00,    0.00, 2333.55,   4286.13,   6022.99,      0.00,      0.00,   4286.13,   6022.99,  10309.12
2026-03-16,01:06:53.882,    1.66,    4.74,    0.00,    0.00,    1.65,    4.67,    0.00,    0.00,    1.68,    4.70,    0.00,    0.00,,,,,    1.51,    4.55,    0.00,    0.00,    1.53,    4.58,    0.00,    0.00,    1.51,    4.56,    0.00,    0.00,,,,,    9.54,   27.79,    0.00,    0.00,   37.33,   93.91,    3.42,    0.00,    0.00,   93.86,    3.26,    0.00,    0.00,   93.79,    3.15,    0.00,    0.00,,,,,   93.74,    2.65,    0.00,    0.00,   93.83,    2.95,    0.00,    0.00,   93.75,    2.75,    0.00,    0.00,,,,,  562.88,   18.18,    0.00,    0.00,  581.06,    572.42,     45.97,      0.00,      0.00,    572.42,     45.97,    618.39
2026-03-16,01:06:54.883,    5.62,   16.44,    0.00,    0.00,    6.59,   19.61,    0.00,    0.00,    6.01,   17.44,    0.00,    0.00,,,,,    5.89,   17.92,    0.00,    0.00,    5.53,   17.31,    0.00,    0.00,    5.40,   16.29,    0.00,    0.00,,,,,   35.04,  105.03,    0.00,    0.00,  140.07,   74.13,   55.90,    0.00,    0.00,   73.78,   55.06,    0.00,    0.00,   73.59,   54.82,    0.00,    0.00,,,,,   71.91,   49.35,    0.00,    0.00,   72.03,   49.75,    0.00,    0.00,   71.98,   49.48,    0.00,    0.00,,,,,  437.41,  314.36,    0.00,    0.00,  751.77,    472.46,    419.39,      0.00,      0.00,    472.46,    419.39,    891.84
2026-03-16,01:06:55.883,   19.93,   56.99,    0.00,    0.00,   26.92,   78.87,    0.00,    0.00,   24.19,   67.30,    0.00,    0.00,,,,,   24.47,   73.20,    0.00,    0.00,   19.76,   60.23,    0.00,    0.00,   19.91,   57.70,    0.00,    0.00,,,,,  135.18,  394.29,    0.00,    0.00,  529.47,  104.44,  156.23,    0.00,    0.00,  102.91,  151.88,    0.00,    0.00,  101.58,  149.91,    0.00,    0.00,,,,,   96.84,  134.64,    0.00,    0.00,   97.52,  135.79,    0.00,    0.00,   98.36,  138.28,    0.00,    0.00,,,,,  601.65,  866.72,    0.00,    0.00, 1468.38,    736.83,   1261.02,      0.00,      0.00,    736.83,   1261.02,   1997.85
2026-03-16,01:06:56.883,  145.35,  111.80,    0.00,    0.00,  152.50,  134.29,    0.00,    0.00,  150.80,  123.76,    0.00,    0.00,,,,,  145.54,  130.17,    0.00,    0.00,  139.46,  111.17,    0.00,    0.00,  139.16,  109.55,    0.00,    0.00,,,,,  872.82,  720.75,    0.00,    0.00, 1593.57,  181.85,  130.49,    0.00,    0.00,  179.74,  125.21,    0.00,    0.00,  179.31,  124.10,    0.00,    0.00,,,,,  170.20,  118.47,    0.00,    0.00,  170.91,  118.79,    0.00,    0.00,  172.95,  124.63,    0.00,    0.00,,,,, 1054.95,  741.70,    0.00,    0.00, 1796.65,   1927.77,   1462.45,      0.00,      0.00,   1927.77,   1462.45,   3390.22
2026-03-16,01:06:57.887, 9328.86,  961.39,    0.00,    0.00, 9321.35,  961.01,    0.00,    0.00, 9343.00,  965.66,    0.00,    0.00,,,,, 8928.11,  945.16,    0.00,    0.00, 8938.64,  941.70,    0.00,    0.00, 8933.25,  944.88,    0.00,    0.00,,,,,54793.21, 5719.79,    0.00,    0.00,60513.00,10912.43, 1385.31,    0.00,    0.00,10913.89, 1384.03,    0.00,    0.00,10910.58, 1384.61,    0.00,    0.00,,,,,10450.18, 1370.88,    0.00,    0.00,10448.55, 1372.04,    0.00,    0.00,10446.34, 1373.49,    0.00,    0.00,,,,,64081.97, 8270.36,    0.00,    0.00,72352.33, 118875.19,  13990.15,      0.00,      0.00, 118875.19,  13990.15, 132865.33
2026-03-16,01:06:58.887,12222.97,  497.97,    0.00,    0.00,12212.27,  497.66,    0.00,    0.00,12235.38,  497.12,    0.00,    0.00,,,,,11690.25,  466.16,    0.00,    0.00,11703.71,  466.18,    0.00,    0.00,11695.43,  465.33,    0.00,    0.00,,,,,71760.02, 2890.43,    0.00,    0.00,74650.45,14428.22,  785.33,    0.00,    0.00,14426.92,  785.34,    0.00,    0.00,14423.66,  784.25,    0.00,    0.00,,,,,13799.47,  770.17,    0.00,    0.00,13800.02,  770.20,    0.00,    0.00,13798.83,  769.68,    0.00,    0.00,,,,,84677.12, 4664.96,    0.00,    0.00,89342.08, 156437.12,   7555.39,      0.00,      0.00, 156437.12,   7555.39, 163992.52
2026-03-16,01:06:59.887,12828.84,  570.15,    0.00,    0.00,12816.04,  569.50,    0.00,    0.00,12840.31,  569.31,    0.00,    0.00,,,,,12259.05,  532.62,    0.00,    0.00,12274.02,  533.45,    0.00,    0.00,12265.73,  532.27,    0.00,    0.00,,,,,75283.99, 3307.30,    0.00,    0.00,78591.30,15208.49,  812.89,    0.00,    0.00,15204.46,  813.88,    0.00,    0.00,15204.58,  812.79,    0.00,    0.00,,,,,14530.00,  795.87,    0.00,    0.00,14530.43,  795.47,    0.00,    0.00,14530.46,  794.49,    0.00,    0.00,,,,,89208.42, 4825.39,    0.00,    0.00,94033.81, 164492.41,   8132.69,      0.00,      0.00, 164492.41,   8132.69, 172625.09
2026-03-16,01:07:00.887,12941.08,  594.84,    0.00,    0.00,12931.32,  594.55,    0.00,    0.00,12954.21,  594.98,    0.00,    0.00,,,,,12396.88,  559.65,    0.00,    0.00,12411.52,  560.28,    0.00,    0.00,12401.09,  558.41,    0.00,    0.00,,,,,76036.10, 3462.71,    0.00,    0.00,79498.81,15377.12,  823.50,    0.00,    0.00,15375.08,  824.60,    0.00,    0.00,15373.35,  824.21,    0.00,    0.00,,,,,14728.54,  804.47,    0.00,    0.00,14729.13,  805.80,    0.00,    0.00,14727.06,  804.00,    0.00,    0.00,,,,,90310.28, 4886.58,    0.00,    0.00,95196.87, 166346.38,   8349.29,      0.00,      0.00, 166346.38,   8349.29, 174695.67
