metric,baseline,distribute,patched-repl
build_commit,773340973.0,773340973.0,773340973.0
build_number,7217.0,7217.0,7217.0
model_size,8533004544.0,8533004544.0,8533004544.0
model_n_params,8030326848.0,8030326848.0,8030326848.0
n_batch,2048.0,2048.0,2048.0
n_ubatch,512.0,512.0,512.0
n_threads,104.0,104.0,104.0
cpu_strict,0.0,0.0,0.0
poll,50.0,50.0,50.0
n_gpu_layers,99.0,99.0,99.0
n_cpu_moe,0.0,0.0,0.0
main_gpu,0.0,0.0,0.0
no_kv_offload,0.0,0.0,0.0
flash_attn,0.0,0.0,0.0
tensor_split,0.0,0.0,0.0
use_mmap,1.0,1.0,1.0
embeddings,0.0,0.0,0.0
no_op_offload,0.0,0.0,0.0
no_host,0.0,0.0,0.0
n_prompt,0.0,0.0,0.0
n_gen,512.0,512.0,512.0
n_depth,0.0,0.0,0.0
avg_ns,50832879132.0,35936543259.0,25005276815.0
stddev_ns,494731083.0,6526423.0,4147028.0
avg_ts,10.072976,14.247336,20.475679
stddev_ts,0.097007,0.002585,0.003394
samples,254.0,172.0,122.0
local_pct,51.10629921259842,54.78488372093023,98.0
local_pct_skt0,50.118110236220474,54.00581395348837,97.5
local_pct_skt1,65.63779527559055,55.26744186046512,99.0
lmb_gb_skt0,37.37899502840909,34.93984488553779,78.24559746413935
lmb_gb_skt1,2.3166830708661417,25.90976448946221,76.46671682889344
rmb_gb_skt0,1.182271161417323,19.64148800872093,0.4795562243852459
rmb_gb_skt1,36.5937421875,29.0467898346657,1.0087010117827868
ipc,0.36192913385826764,0.44000000000000006,0.5199180327868851
inst,82517.27948818899,100969.31226744184,117885.57049180327
inst_skt0,53779.047401574804,53850.75656976744,58230.15286885246
inst_skt1,28738.2318503937,47118.55517441861,59655.41770491803
cpu_balance,0.5343759928620856,0.8749840889119767,0.9761083755524845
llc_rd_miss_lat_ns,399.9157480314961,298.7419186046512,214.70344262295086
l3hit,0.5222834645669292,0.41058139534883725,0.46139344262295084
l2miss,28.601417322834646,51.20860465116279,61.130901639344266
l3miss,12.096889763779528,27.807383720930233,29.91098360655738
l3mpi,0.00013464566929133863,0.0003,0.00029344262295081966
upi_in_gb,39.65494313638041,52.30762496593386,3.0729693103227462
upi_out_gb,76.52391951433317,86.85200604106105,17.20779136782787
upi_out_pct,51.78674540682414,58.66860465116279,11.3551912568306
upi_in_pct,26.588582677165352,35.14050387596899,1.5
mem_bw_gb,82.60853684793307,115.32531267438614,165.2156694878472
mem_read_gb,79.96048335999015,113.3998552594866,163.02436089409724
mem_write_gb,2.6480538339689965,1.9254568336123512,2.19130859375
mem_read_gb_skt0,76.3158278097318,66.4933513429179,83.11441715077459
mem_read_gb_skt1,3.6446557040477363,46.90035624306583,79.90994424412395
mem_write_gb_skt0,1.5083634888656494,0.4693129391642012,1.8394175681089742
mem_write_gb_skt1,1.139690306656004,1.4565393283099113,0.35189160990918805
warmup_s,0.0,0.0,0.0
