label,dataset,build_commit,build_number,cpu_info,backends,model_filename,model_type,model_size,model_n_params,n_batch,n_ubatch,n_threads,cpu_mask,cpu_strict,poll,type_k,type_v,n_gpu_layers,n_cpu_moe,split_mode,main_gpu,no_kv_offload,flash_attn,devices,tensor_split,tensor_buft_overrides,use_mmap,embeddings,no_op_offload,no_host,n_prompt,n_gen,n_depth,test_time,avg_ns,stddev_ns,avg_ts,stddev_ts,start_time,end_time,samples,local_pct,local_pct_skt0,local_pct_skt1,lmb_gb_skt0,lmb_gb_skt1,rmb_gb_skt0,rmb_gb_skt1,ipc,inst,inst_skt0,inst_skt1,cpu_balance,llc_rd_miss_lat_ns,l3hit,l2miss,l3miss,l3mpi,upi_in_gb,upi_out_gb,upi_out_pct,upi_in_pct,mem_bw_gb,mem_read_gb,mem_write_gb,mem_read_gb_skt0,mem_read_gb_skt1,mem_write_gb_skt0,mem_write_gb_skt1,warmup_s
llama,baseline,773340973,7217,"MKL, Intel(R) Xeon(R) Gold 5320 CPU @ 2.20GHz",BLAS,./llama.cpp/Llama-3.1-Tulu-3-8B-Q8_0.gguf,llama 8B Q8_0,8533004544,8030326848,2048,512,104,0x0,0,50,f16,f16,99,0,layer,0,0,0,auto,0.0,none,1,0,0,0,512,0,0,2026-03-15T23:52:35Z,6239555943,116025049,82.079979,1.536608,2026-03-16 00:52:41.802220285,2026-03-16 00:53:13.000000000,31,65.03225806451613,77.7741935483871,55.354838709677416,16.6953125,17.217513020833334,12.115990423387096,4.503627232142857,0.9351612903225807,190877.10548387098,98065.65741935484,92811.44709677418,0.9464215051339302,262.53419354838707,0.5403225806451614,60.56612903225806,25.806774193548396,9.999999999999996e-05,20.35369991179436,42.33381804435483,28.370967741935488,13.408602150537634,63.57911258820564,33.93396358366936,29.645148374495975,13.804141570060485,20.129821698588703,11.320849924395159,18.32429908014113,0.0
llama,baseline,773340973,7217,"MKL, Intel(R) Xeon(R) Gold 5320 CPU @ 2.20GHz",BLAS,./llama.cpp/Llama-3.1-Tulu-3-8B-Q8_0.gguf,llama 8B Q8_0,8533004544,8030326848,2048,512,104,0x0,0,50,f16,f16,99,0,layer,0,0,0,auto,0.0,none,1,0,0,0,0,128,0,2026-03-15T23:53:13Z,12638005680,42049832,10.12827,0.033741,2026-03-16 00:53:12.809971600,2026-03-16 00:54:16.000000000,63,50.476190476190474,50.095238095238095,65.44444444444444,36.68463231646825,2.5310484871031744,1.3257688492063493,36.07804624495968,0.36238095238095225,82063.11714285713,53761.65587301588,28301.460952380956,0.5264246514137981,402.80873015873016,0.5528571428571426,29.517777777777777,11.574920634920636,0.00010000000000000005,39.76429671999008,76.61044642857145,51.796296296296305,26.74867724867725,82.68638950892858,79.48497597346233,3.2014141555059523,75.49881541418652,3.9861613343253968,1.745749937996032,1.4556646825396824,0.0
llama,baseline,773340973,7217,"MKL, Intel(R) Xeon(R) Gold 5320 CPU @ 2.20GHz",BLAS,./llama.cpp/Llama-3.1-Tulu-3-8B-Q8_0.gguf,llama 8B Q8_0,8533004544,8030326848,2048,512,104,0x0,0,50,f16,f16,99,0,layer,0,0,0,auto,0.0,none,1,0,0,0,0,256,0,2026-03-15T23:54:16Z,25459738765,515043806,10.058358,0.201881,2026-03-16 00:54:15.701306175,2026-03-16 00:56:23.000000000,127,51.039370078740156,50.46456692913386,64.76377952755905,37.029158464566926,2.3646240234375,1.2643485482283465,35.03182633196721,0.36771653543307087,82667.0662992126,53809.165826771656,28857.90031496063,0.5363008303801463,398.1146456692914,0.5350393700787403,28.239370078740162,11.57535433070866,9.999999999999999e-05,39.30830993171751,75.82049320250982,51.135170603674545,26.39370078740157,82.30996347502463,79.57148914247045,2.738473871186024,75.7915475824311,3.7799417138287406,1.5333829047736218,1.2050914277805118,0.0
llama,baseline,773340973,7217,"MKL, Intel(R) Xeon(R) Gold 5320 CPU @ 2.20GHz",BLAS,./llama.cpp/Llama-3.1-Tulu-3-8B-Q8_0.gguf,llama 8B Q8_0,8533004544,8030326848,2048,512,104,0x0,0,50,f16,f16,99,0,layer,0,0,0,auto,0.0,none,1,0,0,0,0,512,0,2026-03-15T23:56:23Z,50832879132,494731083,10.072976,0.097007,2026-03-16 00:56:23.000000000,2026-03-16 01:00:37.164395660,254,51.10629921259842,50.118110236220474,65.63779527559055,37.37899502840909,2.3166830708661417,1.182271161417323,36.5937421875,0.36192913385826764,82517.27948818899,53779.047401574804,28738.2318503937,0.5343759928620856,399.9157480314961,0.5222834645669292,28.601417322834646,12.096889763779528,0.00013464566929133863,39.65494313638041,76.52391951433317,51.78674540682414,26.588582677165352,82.60853684793307,79.96048335999015,2.6480538339689965,76.3158278097318,3.6446557040477363,1.5083634888656494,1.139690306656004,0.0
llama,distribute,773340973,7217,"MKL, Intel(R) Xeon(R) Gold 5320 CPU @ 2.20GHz",BLAS,./llama.cpp/Llama-3.1-Tulu-3-8B-Q8_0.gguf,llama 8B Q8_0,8533004544,8030326848,2048,512,104,0x0,0,50,f16,f16,99,0,layer,0,0,0,auto,0.0,none,1,0,0,0,512,0,0,2026-03-16T00:00:38Z,6140435043,76567883,83.39206,1.037225,2026-03-16 01:01:06.297824785,2026-03-16 01:01:37.000000000,31,61.225806451612904,69.7741935483871,54.354838709677416,16.814988659274192,17.521842447916665,13.655138739224139,7.170110887096774,0.8225806451612903,182267.20580645162,92500.77451612904,89766.43129032258,0.97043978020606,226.29548387096776,0.544516129032258,62.84483870967742,27.384516129032257,0.00016451612903225804,24.17571572580645,48.59283297631048,32.63978494623655,15.940860215053766,65.89634009576613,34.728582724294355,31.167757686491942,15.318528540826613,19.41005355342742,13.838924836189515,17.328831590221775,0.0
llama,distribute,773340973,7217,"MKL, Intel(R) Xeon(R) Gold 5320 CPU @ 2.20GHz",BLAS,./llama.cpp/Llama-3.1-Tulu-3-8B-Q8_0.gguf,llama 8B Q8_0,8533004544,8030326848,2048,512,104,0x0,0,50,f16,f16,99,0,layer,0,0,0,auto,0.0,none,1,0,0,0,0,128,0,2026-03-16T00:01:37Z,8870453293,3855363,14.42993,0.006271,2026-03-16 01:01:37.647733535,2026-03-16 01:02:22.000000000,45,54.8,54.4,55.4,34.959722222222226,25.8208984375,19.58732638888889,28.785047743055557,0.4497777777777779,103171.93355555554,54824.82511111112,48347.10800000001,0.8818470082123746,296.5482222222222,0.43244444444444446,53.00111111111109,27.685111111111116,0.0002955555555555555,51.978456380208335,86.376986328125,58.392592592592585,34.98888888888889,115.72527388139206,113.37343705610793,2.3518383789062502,66.34032159978693,47.033114790482955,0.7532823597301136,1.5985549094460227,0.0
llama,distribute,773340973,7217,"MKL, Intel(R) Xeon(R) Gold 5320 CPU @ 2.20GHz",BLAS,./llama.cpp/Llama-3.1-Tulu-3-8B-Q8_0.gguf,llama 8B Q8_0,8533004544,8030326848,2048,512,104,0x0,0,50,f16,f16,99,0,layer,0,0,0,auto,0.0,none,1,0,0,0,0,256,0,2026-03-16T00:02:22Z,17697794808,8257723,14.465082,0.006748,2026-03-16 01:02:21.511025960,2026-03-16 01:03:50.000000000,89,54.49438202247191,54.01123595505618,55.47191011235955,35.39727440308989,26.0966248244382,19.8876404494382,29.284267468398877,0.44000000000000006,101012.46258426966,53847.815505617975,47164.64741573034,0.8758878512130102,297.1804494382023,0.41943820224719097,51.58808988764045,27.58494382022472,0.0003,52.82483914150281,87.54243954090589,59.161048689138575,35.48876404494382,116.57560635653408,114.68642300692471,1.8891837935014204,67.19736450195313,47.489056729403416,0.5929196999289772,1.2962644264914773,0.0
llama,distribute,773340973,7217,"MKL, Intel(R) Xeon(R) Gold 5320 CPU @ 2.20GHz",BLAS,./llama.cpp/Llama-3.1-Tulu-3-8B-Q8_0.gguf,llama 8B Q8_0,8533004544,8030326848,2048,512,104,0x0,0,50,f16,f16,99,0,layer,0,0,0,auto,0.0,none,1,0,0,0,0,512,0,2026-03-16T00:03:50Z,35936543259,6526423,14.247336,0.002585,2026-03-16 01:03:50.000000000,2026-03-16 01:06:49.682716295,172,54.78488372093023,54.00581395348837,55.26744186046512,34.93984488553779,25.90976448946221,19.64148800872093,29.0467898346657,0.44000000000000006,100969.31226744184,53850.75656976744,47118.55517441861,0.8749840889119767,298.7419186046512,0.41058139534883725,51.20860465116279,27.807383720930233,0.0003,52.30762496593386,86.85200604106105,58.66860465116279,35.14050387596899,115.32531267438614,113.3998552594866,1.9254568336123512,66.4933513429179,46.90035624306583,0.4693129391642012,1.4565393283099113,0.0
llama-repl,repl,773340973,7217,"MKL, Intel(R) Xeon(R) Gold 5320 CPU @ 2.20GHz",BLAS,./llama.cpp/Llama-3.1-Tulu-3-8B-Q8_0.gguf,llama 8B Q8_0,8533004544,8030326848,2048,512,104,0x0,0,50,f16,f16,99,0,layer,0,0,0,auto,0.0,none,1,0,0,0,512,0,0,2026-03-15T02:19:11Z,6535768148,327168576,78.486914,3.716009,2026-03-15 03:19:19.321159260,2026-03-15 03:19:52.000000000,32,70.15625,72.65625,66.25,22.555572509765625,13.89715786637931,6.87469482421875,7.274566650390625,0.8206249999999999,186788.236875,95620.0878125,91168.1490625,0.953441386095255,227.83531250000001,0.5693750000000001,77.91125,29.396875,0.0001625,17.956939392089843,40.86224548339844,27.333333333333332,11.723958333333334,63.31847212357955,33.55922141335227,29.759252485795457,21.077258522727274,12.481962890625,17.429625355113632,12.329626538825757,0.0
llama-repl,repl,773340973,7217,"MKL, Intel(R) Xeon(R) Gold 5320 CPU @ 2.20GHz",BLAS,./llama.cpp/Llama-3.1-Tulu-3-8B-Q8_0.gguf,llama 8B Q8_0,8533004544,8030326848,2048,512,104,0x0,0,50,f16,f16,99,0,layer,0,0,0,auto,0.0,none,1,0,0,0,0,128,0,2026-03-15T02:19:52Z,6230497446,211639876,20.56226,0.668033,2026-03-15 03:19:53.847512770,2026-03-15 03:20:25.000000000,31,97.58064516129032,97.2258064516129,99.0,75.84532510080645,74.26275831653226,0.08732358870967742,0.9768460181451613,0.5190322580645161,117646.22096774195,58811.40129032258,58834.818709677405,0.9996019802581465,209.9625806451613,0.5235483870967742,69.30677419354839,28.4558064516129,0.00021290322580645152,3.045706905241935,17.23458039314516,11.32795698924731,1.6129032258064517,163.79959677419353,161.4543101058468,2.345285093245968,82.09828125000001,79.35602822580645,2.0431161794354837,0.30217017389112905,0.0
