runner_name,nb_runs,tag,mean_recall,mean_time,std_time,mean_qps,std_qps,start_time,end_time
annoy,10,patched-imbalanced-memory,0.976098,2.113330664599971,0.025361254841867777,4732.556428070004,57.44396551498527
annoy,30,default,0.9760980000000001,2.013884815899989,0.03299937370625324,4966.844188385029,80.41168378088594,2026-04-04T15:15:51.779494,2026-04-04T15:17:01.791789
annoy,30,imbalanced-memory,0.9760980000000001,2.330239680633379,0.8695340014843052,4505.134146367579,573.6839553593296,2026-04-04T15:49:45.698222,2026-04-04T15:51:05.358773
annoy,30,interleaved-memory,0.9760980000000001,1.2264431955999802,0.8759710207059674,9153.639372864547,1424.2545578874497,2026-04-04T16:16:28.434095,2026-04-04T16:17:14.884963
annoy,30,numa-balancing,0.9760980000000001,1.3624873516331415,0.8681037116323599,8106.138163774956,1212.4973720583598,2026-04-04T16:42:40.188175,2026-04-04T16:43:30.478283
annoy,30,patched-repl,0.9760980000000001,1.0395378680333882,0.5392538743999384,10425.611080581124,1621.5678488840153,2026-03-16T18:10:29.984187,2026-03-16T18:11:10.978245
faiss,14,patched-imbalanced-memory,0.978358,8.380841562357157,0.19823922229233082,1193.868737854704,28.381540925720596
faiss,30,default,0.978358,8.334539205833313,0.1820202332092651,1200.400226631255,26.28390903286577,2026-04-04T15:11:30.728743,2026-04-04T15:15:51.722241
faiss,30,imbalanced-memory,0.978358,8.349843935099988,0.34122383791796823,1199.4249841647995,44.146189449928706,2026-04-04T15:45:24.271476,2026-04-04T15:49:45.625670
faiss,30,interleaved-memory,0.978358,3.784348438366639,0.23007650565205293,2650.376837750562,130.82310108589837,2026-04-04T16:14:23.816558,2026-04-04T16:16:28.361804
faiss,30,numa-balancing,0.978358,8.020766612833329,0.32612947751733434,1248.6674589025165,47.00235434693608,2026-04-04T16:38:28.633256,2026-04-04T16:42:40.121486
faiss,30,patched-repl,0.978358,2.741897568766596,0.25785969875235776,3672.4489498092203,274.11099800001165,2026-03-16T18:08:56.426753,2026-03-16T18:10:29.610743
usearch,10,patched-imbalanced-memory,0.983032,0.28899623260003865,0.004970016491703304,34612.46748802851,578.1332159672921
usearch,30,default,0.9831390000000002,0.27651095503334394,0.0042101021357818045,36172.967793866745,528.0257257340087,2026-04-04T15:17:01.980238,2026-04-04T15:17:23.530887
usearch,30,imbalanced-memory,0.9831390000000002,0.3261041526333884,0.14351684825486027,32585.62517726358,4367.210061621883,2026-04-04T15:51:06.003286,2026-04-04T15:51:28.995394
usearch,30,interleaved-memory,0.9831390000000002,0.21724066963327762,0.14470640218623337,51125.92699694236,7681.489279676265,2026-04-04T16:17:15.542465,2026-04-04T16:17:35.279124
usearch,30,numa-balancing,0.9831390000000002,0.45483590886663783,0.11186411883206444,23156.011463250034,6041.182332497131,2026-04-04T16:43:31.184924,2026-04-04T16:43:58.064933
usearch,30,patched-repl,0.9831150000000003,0.19074864509995373,0.12814688285105974,58286.359998126914,8742.876039250395,2026-03-16T18:11:12.487911,2026-03-16T18:11:31.633553
