streams,stream,tag,pass,warmup,query,elapsed_s,rows,start_time,end_time
16,0,imbalanced,1,True,1,0.1159,1,2026-08-27T16:13:12.037000,2026-08-27T16:13:12.152926
16,6,imbalanced,1,True,7,3.3811,1,2026-08-27T16:13:12.044251,2026-08-27T16:13:15.425444
16,0,imbalanced,1,True,2,3.4911,1,2026-08-27T16:13:12.153027,2026-08-27T16:13:15.644148
16,1,imbalanced,1,True,2,3.6066,1,2026-08-27T16:13:12.038621,2026-08-27T16:13:15.645216
16,2,imbalanced,1,True,3,3.6921,1,2026-08-27T16:13:12.039518,2026-08-27T16:13:15.731675
16,3,imbalanced,1,True,4,3.6909,1,2026-08-27T16:13:12.040921,2026-08-27T16:13:15.731807
16,7,imbalanced,1,True,8,3.8016,18,2026-08-27T16:13:12.045527,2026-08-27T16:13:15.847192
16,6,imbalanced,1,True,8,0.4217,18,2026-08-27T16:13:15.425549,2026-08-27T16:13:15.847286
16,0,imbalanced,1,True,3,0.654,1,2026-08-27T16:13:15.644224,2026-08-27T16:13:16.298249
16,1,imbalanced,1,True,3,0.6569,1,2026-08-27T16:13:15.645300,2026-08-27T16:13:16.302251
16,2,imbalanced,1,True,4,0.6497,1,2026-08-27T16:13:15.789372,2026-08-27T16:13:16.439125
16,0,imbalanced,1,True,4,0.6397,1,2026-08-27T16:13:16.298336,2026-08-27T16:13:16.938033
16,1,imbalanced,1,True,4,0.64,1,2026-08-27T16:13:16.302309,2026-08-27T16:13:16.942299
16,10,imbalanced,1,True,11,5.7725,10,2026-08-27T16:13:12.051630,2026-08-27T16:13:17.824141
16,11,imbalanced,1,True,12,5.8337,10,2026-08-27T16:13:12.054793,2026-08-27T16:13:17.888512
16,8,imbalanced,1,True,9,6.1447,10,2026-08-27T16:13:12.047848,2026-08-27T16:13:18.192569
16,7,imbalanced,1,True,9,2.385,10,2026-08-27T16:13:15.847352,2026-08-27T16:13:18.232387
16,6,imbalanced,1,True,9,2.4529,10,2026-08-27T16:13:15.848309,2026-08-27T16:13:18.301272
16,10,imbalanced,1,True,12,0.5434,10,2026-08-27T16:13:17.824257,2026-08-27T16:13:18.367646
16,10,imbalanced,1,True,13,0.7104,10,2026-08-27T16:13:18.367723,2026-08-27T16:13:19.078150
16,11,imbalanced,1,True,13,1.2263,10,2026-08-27T16:13:17.888670,2026-08-27T16:13:19.115001
16,4,imbalanced,1,True,5,7.0843,1,2026-08-27T16:13:12.041765,2026-08-27T16:13:19.126092
16,7,imbalanced,1,True,10,1.0379,10,2026-08-27T16:13:18.232517,2026-08-27T16:13:19.270519
16,6,imbalanced,1,True,10,1.3222,10,2026-08-27T16:13:18.301371,2026-08-27T16:13:19.623598
16,7,imbalanced,1,True,11,0.715,10,2026-08-27T16:13:19.270755,2026-08-27T16:13:19.985781
16,6,imbalanced,1,True,11,0.811,10,2026-08-27T16:13:19.623895,2026-08-27T16:13:20.434984
16,7,imbalanced,1,True,12,0.5597,10,2026-08-27T16:13:19.985968,2026-08-27T16:13:20.545766
16,10,imbalanced,1,True,14,1.7158,10,2026-08-27T16:13:19.078328,2026-08-27T16:13:20.794251
16,4,imbalanced,1,True,6,1.6908,1,2026-08-27T16:13:19.126227,2026-08-27T16:13:20.817114
16,4,imbalanced,1,True,7,0.2072,1,2026-08-27T16:13:20.817692,2026-08-27T16:13:21.024964
16,15,imbalanced,1,True,16,8.9974,10,2026-08-27T16:13:12.061138,2026-08-27T16:13:21.058662
16,4,imbalanced,1,True,8,0.2141,18,2026-08-27T16:13:21.025309,2026-08-27T16:13:21.239433
16,7,imbalanced,1,True,13,0.71,10,2026-08-27T16:13:20.545980,2026-08-27T16:13:21.256031
16,6,imbalanced,1,True,12,0.8475,10,2026-08-27T16:13:20.435198,2026-08-27T16:13:21.282689
16,11,imbalanced,1,True,14,2.1728,10,2026-08-27T16:13:19.115105,2026-08-27T16:13:21.287989
16,6,imbalanced,1,True,13,0.992,10,2026-08-27T16:13:21.282814,2026-08-27T16:13:22.274868
16,10,imbalanced,1,True,15,1.522,10,2026-08-27T16:13:20.794629,2026-08-27T16:13:22.316742
16,13,imbalanced,1,True,14,10.299,10,2026-08-27T16:13:12.058570,2026-08-27T16:13:22.357671
16,11,imbalanced,1,True,15,1.3246,10,2026-08-27T16:13:21.288125,2026-08-27T16:13:22.612790
16,4,imbalanced,1,True,9,1.5326,10,2026-08-27T16:13:21.239568,2026-08-27T16:13:22.772213
16,7,imbalanced,1,True,14,1.8794,10,2026-08-27T16:13:21.256144,2026-08-27T16:13:23.135644
16,10,imbalanced,1,True,16,0.8857,10,2026-08-27T16:13:22.325854,2026-08-27T16:13:23.211688
16,6,imbalanced,1,True,14,1.9148,10,2026-08-27T16:13:22.275147,2026-08-27T16:13:24.190068
16,7,imbalanced,1,True,15,1.2611,10,2026-08-27T16:13:23.136049,2026-08-27T16:13:24.397248
16,11,imbalanced,1,True,16,1.8801,10,2026-08-27T16:13:22.617644,2026-08-27T16:13:24.497910
16,13,imbalanced,1,True,15,2.2416,10,2026-08-27T16:13:22.366127,2026-08-27T16:13:24.607874
16,4,imbalanced,1,True,10,1.8954,10,2026-08-27T16:13:22.772408,2026-08-27T16:13:24.667874
16,10,imbalanced,1,True,17,1.5722,10,2026-08-27T16:13:23.211946,2026-08-27T16:13:24.784167
16,6,imbalanced,1,True,15,0.674,10,2026-08-27T16:13:24.191304,2026-08-27T16:13:24.865394
16,7,imbalanced,1,True,16,1.4413,10,2026-08-27T16:13:24.397463,2026-08-27T16:13:25.838860
16,4,imbalanced,1,True,11,1.2065,10,2026-08-27T16:13:24.668028,2026-08-27T16:13:25.874555
16,6,imbalanced,1,True,16,1.0701,10,2026-08-27T16:13:24.865651,2026-08-27T16:13:25.935755
16,15,imbalanced,1,True,17,4.8946,10,2026-08-27T16:13:21.058961,2026-08-27T16:13:25.953579
16,11,imbalanced,1,True,17,1.499,10,2026-08-27T16:13:24.498206,2026-08-27T16:13:25.997211
16,10,imbalanced,1,True,18,1.396,10,2026-08-27T16:13:24.784379,2026-08-27T16:13:26.180465
16,4,imbalanced,1,True,12,1.0419,10,2026-08-27T16:13:25.874815,2026-08-27T16:13:26.916787
16,9,imbalanced,1,True,10,14.8757,10,2026-08-27T16:13:12.048928,2026-08-27T16:13:26.924702
16,12,imbalanced,1,True,13,15.0452,10,2026-08-27T16:13:12.056585,2026-08-27T16:13:27.101800
16,7,imbalanced,1,True,17,1.2957,10,2026-08-27T16:13:25.839270,2026-08-27T16:13:27.135000
16,0,imbalanced,1,True,5,10.8693,1,2026-08-27T16:13:16.938123,2026-08-27T16:13:27.807415
16,4,imbalanced,1,True,13,1.1016,10,2026-08-27T16:13:26.916999,2026-08-27T16:13:28.018612
