streams,stream,tag,pass,warmup,query,elapsed_s,rows,start_time,end_time
16,0,numa-balancing,1,True,1,0.0664,1,2026-08-27T17:23:58.770712,2026-08-27T17:23:58.837100
16,6,numa-balancing,1,True,7,2.3077,1,2026-08-27T17:23:58.777406,2026-08-27T17:24:01.085175
16,0,numa-balancing,1,True,2,2.3898,1,2026-08-27T17:23:58.837167,2026-08-27T17:24:01.227000
16,1,numa-balancing,1,True,2,2.4549,1,2026-08-27T17:23:58.772186,2026-08-27T17:24:01.227087
16,2,numa-balancing,1,True,3,2.6906,1,2026-08-27T17:23:58.773001,2026-08-27T17:24:01.463636
16,7,numa-balancing,1,True,8,2.7675,18,2026-08-27T17:23:58.779003,2026-08-27T17:24:01.546577
16,6,numa-balancing,1,True,8,0.4616,18,2026-08-27T17:24:01.085260,2026-08-27T17:24:01.546843
16,1,numa-balancing,1,True,3,0.6075,1,2026-08-27T17:24:01.339106,2026-08-27T17:24:01.946603
16,0,numa-balancing,1,True,3,0.6198,1,2026-08-27T17:24:01.339899,2026-08-27T17:24:01.959763
16,3,numa-balancing,1,True,4,5.4663,1,2026-08-27T17:23:58.774263,2026-08-27T17:24:04.240587
16,1,numa-balancing,1,True,4,2.3035,1,2026-08-27T17:24:01.946677,2026-08-27T17:24:04.250213
16,0,numa-balancing,1,True,4,2.3077,1,2026-08-27T17:24:01.959826,2026-08-27T17:24:04.267514
16,2,numa-balancing,1,True,4,2.8097,1,2026-08-27T17:24:01.463711,2026-08-27T17:24:04.273419
16,11,numa-balancing,1,True,12,5.7406,10,2026-08-27T17:23:58.788140,2026-08-27T17:24:04.528756
16,7,numa-balancing,1,True,9,3.0453,10,2026-08-27T17:24:01.546954,2026-08-27T17:24:04.592317
16,3,numa-balancing,1,True,5,0.4225,1,2026-08-27T17:24:04.240729,2026-08-27T17:24:04.663289
16,6,numa-balancing,1,True,9,3.1713,10,2026-08-27T17:24:01.548755,2026-08-27T17:24:04.720128
16,8,numa-balancing,1,True,9,5.9495,10,2026-08-27T17:23:58.784217,2026-08-27T17:24:04.733778
16,10,numa-balancing,1,True,11,6.0635,10,2026-08-27T17:23:58.787035,2026-08-27T17:24:04.850585
16,10,numa-balancing,1,True,12,0.3581,10,2026-08-27T17:24:04.850695,2026-08-27T17:24:05.208785
16,3,numa-balancing,1,True,6,0.5846,1,2026-08-27T17:24:04.663404,2026-08-27T17:24:05.248006
16,3,numa-balancing,1,True,7,0.0447,1,2026-08-27T17:24:05.248337,2026-08-27T17:24:05.293075
16,3,numa-balancing,1,True,8,0.1728,18,2026-08-27T17:24:05.297902,2026-08-27T17:24:05.470758
16,7,numa-balancing,1,True,10,0.9293,10,2026-08-27T17:24:04.592452,2026-08-27T17:24:05.521805
16,11,numa-balancing,1,True,13,1.0152,10,2026-08-27T17:24:04.528888,2026-08-27T17:24:05.544095
16,13,numa-balancing,1,True,14,6.8417,10,2026-08-27T17:23:58.791170,2026-08-27T17:24:05.632893
