streams,stream,tag,pass,warmup,query,elapsed_s,rows,start_time,end_time
1,0,repl,1,True,1,0.0551,1,2026-08-27T14:54:15.927956,2026-08-27T14:54:15.983067
1,0,repl,1,True,2,0.4152,1,2026-08-27T14:54:15.983152,2026-08-27T14:54:16.398348
1,0,repl,1,True,3,0.6373,1,2026-08-27T14:54:16.398410,2026-08-27T14:54:17.035749
1,0,repl,1,True,4,1.3787,1,2026-08-27T14:54:17.035836,2026-08-27T14:54:18.414583
1,0,repl,1,True,5,0.3018,1,2026-08-27T14:54:18.414656,2026-08-27T14:54:18.716519
1,0,repl,1,True,6,2.2938,1,2026-08-27T14:54:18.716608,2026-08-27T14:54:21.010463
1,0,repl,1,True,7,0.0293,1,2026-08-27T14:54:21.010551,2026-08-27T14:54:21.039884
1,0,repl,1,True,8,0.0253,18,2026-08-27T14:54:21.039964,2026-08-27T14:54:21.065292
1,0,repl,1,True,9,0.8073,10,2026-08-27T14:54:21.065360,2026-08-27T14:54:21.872641
1,0,repl,1,True,10,0.334,10,2026-08-27T14:54:21.872699,2026-08-27T14:54:22.206689
1,0,repl,1,True,11,0.5023,10,2026-08-27T14:54:22.206764,2026-08-27T14:54:22.709088
1,0,repl,1,True,12,0.2989,10,2026-08-27T14:54:22.709177,2026-08-27T14:54:23.008140
1,0,repl,1,True,13,0.2483,10,2026-08-27T14:54:23.008223,2026-08-27T14:54:23.256584
1,0,repl,1,True,14,0.3908,10,2026-08-27T14:54:23.256670,2026-08-27T14:54:23.647469
1,0,repl,1,True,15,0.4837,10,2026-08-27T14:54:23.647548,2026-08-27T14:54:24.131231
1,0,repl,1,True,16,0.1691,10,2026-08-27T14:54:24.131311,2026-08-27T14:54:24.300402
1,0,repl,1,True,17,0.3802,10,2026-08-27T14:54:24.300497,2026-08-27T14:54:24.680696
1,0,repl,1,True,18,0.3531,10,2026-08-27T14:54:24.680782,2026-08-27T14:54:25.033854
1,0,repl,1,True,19,2.7123,10,2026-08-27T14:54:25.033932,2026-08-27T14:54:27.746289
1,0,repl,1,True,20,0.0112,4,2026-08-27T14:54:27.746368,2026-08-27T14:54:27.757627
1,0,repl,1,True,21,12.7433,1,2026-08-27T14:54:27.757703,2026-08-27T14:54:40.500989
1,0,repl,1,True,22,0.7143,10,2026-08-27T14:54:40.501075,2026-08-27T14:54:41.215410
1,0,repl,1,True,23,6.5036,10,2026-08-27T14:54:41.215492,2026-08-27T14:54:47.719124
1,0,repl,1,True,24,0.5336,10,2026-08-27T14:54:47.719202,2026-08-27T14:54:48.252817
1,0,repl,1,True,25,0.0351,10,2026-08-27T14:54:48.252891,2026-08-27T14:54:48.288037
1,0,repl,1,True,26,0.1199,10,2026-08-27T14:54:48.288115,2026-08-27T14:54:48.407999
1,0,repl,1,True,27,0.03,10,2026-08-27T14:54:48.408076,2026-08-27T14:54:48.438113
1,0,repl,1,True,28,0.5878,25,2026-08-27T14:54:48.438185,2026-08-27T14:54:49.026046
1,0,repl,1,True,29,7.637,25,2026-08-27T14:54:49.026128,2026-08-27T14:54:56.663196
1,0,repl,1,True,30,0.0653,1,2026-08-27T14:54:56.663339,2026-08-27T14:54:56.728626
1,0,repl,1,True,31,0.5478,10,2026-08-27T14:54:56.728702,2026-08-27T14:54:57.276510
1,0,repl,1,True,32,2.2635,10,2026-08-27T14:54:57.276591,2026-08-27T14:54:59.540082
1,0,repl,1,True,33,1.0054,10,2026-08-27T14:54:59.540168,2026-08-27T14:55:00.545559
1,0,repl,1,True,34,1.0678,10,2026-08-27T14:55:00.545644,2026-08-27T14:55:01.613506
1,0,repl,1,True,35,1.0539,10,2026-08-27T14:55:01.613588,2026-08-27T14:55:02.667529
1,0,repl,1,True,36,0.1597,10,2026-08-27T14:55:02.667612,2026-08-27T14:55:02.827365
1,0,repl,1,True,37,0.0533,10,2026-08-27T14:55:02.827457,2026-08-27T14:55:02.880747
1,0,repl,1,True,38,0.0216,10,2026-08-27T14:55:02.880837,2026-08-27T14:55:02.902472
1,0,repl,1,True,39,0.0437,10,2026-08-27T14:55:02.902544,2026-08-27T14:55:02.946276
1,0,repl,1,True,40,0.108,10,2026-08-27T14:55:02.946339,2026-08-27T14:55:03.054320
1,0,repl,1,True,41,0.0641,10,2026-08-27T14:55:03.054405,2026-08-27T14:55:03.118491
1,0,repl,1,True,42,0.0245,10,2026-08-27T14:55:03.118565,2026-08-27T14:55:03.143040
1,0,repl,1,True,43,0.0261,10,2026-08-27T14:55:03.143099,2026-08-27T14:55:03.169207
1,0,repl,2,False,1,0.0024,1,2026-08-27T14:55:03.172509,2026-08-27T14:55:03.174928
1,0,repl,2,False,2,0.028,1,2026-08-27T14:55:03.174980,2026-08-27T14:55:03.203016
1,0,repl,2,False,3,0.0177,1,2026-08-27T14:55:03.203054,2026-08-27T14:55:03.220729
1,0,repl,2,False,4,0.0179,1,2026-08-27T14:55:03.220794,2026-08-27T14:55:03.238688
