bench,streams,tag,phase,mean_s,std_s,n
clickbench,16,firsttouch,cold,90.7536,0.0,1
clickbench,16,firsttouch,warm,65.8642,1.6802,9
clickbench,16,imbalanced,cold,136.7796,0.0,1
clickbench,16,imbalanced,warm,118.6795,5.3213,9
clickbench,16,interleaved,cold,107.2635,0.0,1
clickbench,16,interleaved,warm,76.1628,3.3098,9
clickbench,16,numa-balancing,cold,91.8439,0.0,1
clickbench,16,numa-balancing,warm,67.3243,1.6245,9
clickbench,16,repl,cold,102.4817,0.0,1
clickbench,16,repl,warm,66.3983,3.4327,9
clickbench,1,firsttouch,cold,44.0467,0.0,1
clickbench,1,firsttouch,warm,8.5544,0.0369,9
clickbench,1,imbalanced,cold,48.2365,0.0,1
clickbench,1,imbalanced,warm,13.0506,0.0807,9
clickbench,1,interleaved,cold,45.1256,0.0,1
clickbench,1,interleaved,warm,9.7051,0.1584,9
clickbench,1,numa-balancing,cold,44.1767,0.0,1
clickbench,1,numa-balancing,warm,8.6894,0.1886,9
clickbench,1,repl,cold,47.237,0.0,1
clickbench,1,repl,warm,9.4464,0.8494,9
tpch-sf10,16,firsttouch,cold,16.4619,0.0,1
tpch-sf10,16,firsttouch,warm,11.3613,0.1228,9
tpch-sf10,16,imbalanced,cold,19.2817,0.0,1
tpch-sf10,16,imbalanced,warm,14.3933,0.218,9
tpch-sf10,16,interleaved,cold,16.9133,0.0,1
tpch-sf10,16,interleaved,warm,12.0459,0.0839,9
tpch-sf10,16,numa-balancing,cold,16.6275,0.0,1
tpch-sf10,16,numa-balancing,warm,11.3806,0.1246,9
tpch-sf10,16,repl,cold,17.4269,0.0,1
tpch-sf10,16,repl,warm,11.3243,0.1846,9
tpch-sf10,1,firsttouch,cold,7.9813,0.0,1
tpch-sf10,1,firsttouch,warm,2.7879,0.0417,9
tpch-sf10,1,imbalanced,cold,8.4175,0.0,1
tpch-sf10,1,imbalanced,warm,3.0638,0.0535,9
tpch-sf10,1,interleaved,cold,8.2734,0.0,1
tpch-sf10,1,interleaved,warm,3.0232,0.031,9
tpch-sf10,1,numa-balancing,cold,8.1297,0.0,1
tpch-sf10,1,numa-balancing,warm,2.8184,0.0248,9
tpch-sf10,1,repl,cold,8.6073,0.0,1
tpch-sf10,1,repl,warm,2.9037,0.1822,9
tpch-sf30,16,firsttouch,cold,47.4689,0.0,1
tpch-sf30,16,firsttouch,warm,31.5089,0.9812,9
tpch-sf30,16,imbalanced,cold,52.5643,0.0,1
tpch-sf30,16,imbalanced,warm,40.9306,0.7606,9
tpch-sf30,16,interleaved,cold,48.323,0.0,1
tpch-sf30,16,interleaved,warm,33.619,1.0096,9
tpch-sf30,16,numa-balancing,cold,44.695,0.0,1
tpch-sf30,16,numa-balancing,warm,31.4251,1.2116,9
tpch-sf30,16,repl,cold,51.4985,0.0,1
tpch-sf30,16,repl,warm,31.1276,1.1899,9
tpch-sf30,1,firsttouch,cold,20.7367,0.0,1
tpch-sf30,1,firsttouch,warm,5.1693,0.0447,9
tpch-sf30,1,imbalanced,cold,21.5932,0.0,1
tpch-sf30,1,imbalanced,warm,5.9281,0.052,9
tpch-sf30,1,interleaved,cold,20.9855,0.0,1
tpch-sf30,1,interleaved,warm,5.5535,0.0375,9
tpch-sf30,1,numa-balancing,cold,21.0078,0.0,1
tpch-sf30,1,numa-balancing,warm,5.2079,0.0553,9
tpch-sf30,1,repl,cold,22.2944,0.0,1
tpch-sf30,1,repl,warm,5.5525,0.4366,9
