sf,streams,stream,tag,pass,warmup,query,elapsed_s,rows,start_time,end_time
10,16,5,imbalanced,1,True,6,3.0421,1,2026-08-27T16:01:46.946867,2026-08-27T16:01:49.988996
10,16,0,imbalanced,1,True,1,3.3051,4,2026-08-27T16:01:46.932502,2026-08-27T16:01:50.237603
10,16,1,imbalanced,1,True,2,3.7486,100,2026-08-27T16:01:46.935888,2026-08-27T16:01:50.684499
10,16,0,imbalanced,1,True,2,0.4523,100,2026-08-27T16:01:50.237688,2026-08-27T16:01:50.689986
10,16,10,imbalanced,1,True,11,3.8839,0,2026-08-27T16:01:47.013647,2026-08-27T16:01:50.897543
10,16,10,imbalanced,1,True,12,0.4025,2,2026-08-27T16:01:50.897624,2026-08-27T16:01:51.301884
10,16,3,imbalanced,1,True,4,4.3826,5,2026-08-27T16:01:46.942480,2026-08-27T16:01:51.325769
10,16,15,imbalanced,1,True,16,4.2303,27840,2026-08-27T16:01:47.121701,2026-08-27T16:01:51.352036
10,16,11,imbalanced,1,True,12,4.2469,2,2026-08-27T16:01:47.107145,2026-08-27T16:01:51.354042
10,16,14,imbalanced,1,True,15,4.2415,1,2026-08-27T16:01:47.118828,2026-08-27T16:01:51.360357
10,16,1,imbalanced,1,True,3,0.7016,10,2026-08-27T16:01:50.684628,2026-08-27T16:01:51.386242
10,16,13,imbalanced,1,True,14,4.276,1,2026-08-27T16:01:47.116558,2026-08-27T16:01:51.392625
10,16,1,imbalanced,1,True,4,0.5738,5,2026-08-27T16:01:51.386338,2026-08-27T16:01:51.960158
10,16,13,imbalanced,1,True,15,0.841,1,2026-08-27T16:01:51.392741,2026-08-27T16:01:52.233759
10,16,2,imbalanced,1,True,3,5.3038,10,2026-08-27T16:01:46.939684,2026-08-27T16:01:52.243504
10,16,15,imbalanced,1,True,17,0.9804,1,2026-08-27T16:01:51.352098,2026-08-27T16:01:52.336753
10,16,0,imbalanced,1,True,3,1.6678,10,2026-08-27T16:01:50.690039,2026-08-27T16:01:52.359604
10,16,3,imbalanced,1,True,5,1.0341,5,2026-08-27T16:01:51.325843,2026-08-27T16:01:52.359970
10,16,4,imbalanced,1,True,5,5.5305,5,2026-08-27T16:01:46.944214,2026-08-27T16:01:52.474727
10,16,14,imbalanced,1,True,16,1.114,27840,2026-08-27T16:01:51.360432,2026-08-27T16:01:52.480162
10,16,6,imbalanced,1,True,7,5.7308,4,2026-08-27T16:01:46.952354,2026-08-27T16:01:52.683224
10,16,3,imbalanced,1,True,6,0.3331,1,2026-08-27T16:01:52.399252,2026-08-27T16:01:52.732445
10,16,4,imbalanced,1,True,6,0.3409,1,2026-08-27T16:01:52.477615,2026-08-27T16:01:52.818591
10,16,1,imbalanced,1,True,5,0.9627,5,2026-08-27T16:01:51.960303,2026-08-27T16:01:52.923034
10,16,1,imbalanced,1,True,6,0.0552,1,2026-08-27T16:01:52.923153,2026-08-27T16:01:52.978377
10,16,8,imbalanced,1,True,9,6.0308,175,2026-08-27T16:01:46.992989,2026-08-27T16:01:53.023863
10,16,14,imbalanced,1,True,17,0.5826,1,2026-08-27T16:01:52.489671,2026-08-27T16:01:53.076563
10,16,5,imbalanced,1,True,7,3.0916,4,2026-08-27T16:01:49.989084,2026-08-27T16:01:53.080738
10,16,2,imbalanced,1,True,4,0.8627,5,2026-08-27T16:01:52.243618,2026-08-27T16:01:53.106680
10,16,0,imbalanced,1,True,4,0.7391,5,2026-08-27T16:01:52.371063,2026-08-27T16:01:53.112010
10,16,13,imbalanced,1,True,16,0.8903,27840,2026-08-27T16:01:52.233948,2026-08-27T16:01:53.124398
10,16,7,imbalanced,1,True,8,6.1874,2,2026-08-27T16:01:46.965003,2026-08-27T16:01:53.152487
10,16,9,imbalanced,1,True,10,6.1696,20,2026-08-27T16:01:47.010167,2026-08-27T16:01:53.179868
10,16,15,imbalanced,1,True,18,0.9141,100,2026-08-27T16:01:52.336903,2026-08-27T16:01:53.251087
10,16,9,imbalanced,1,True,11,0.2253,0,2026-08-27T16:01:53.179996,2026-08-27T16:01:53.405348
10,16,15,imbalanced,1,True,19,0.1752,1,2026-08-27T16:01:53.251276,2026-08-27T16:01:53.426485
10,16,4,imbalanced,1,True,7,0.7114,4,2026-08-27T16:01:52.818818,2026-08-27T16:01:53.530217
10,16,6,imbalanced,1,True,8,0.903,2,2026-08-27T16:01:52.683349,2026-08-27T16:01:53.586367
10,16,1,imbalanced,1,True,7,0.6565,4,2026-08-27T16:01:52.978535,2026-08-27T16:01:53.635021
10,16,13,imbalanced,1,True,17,0.5843,1,2026-08-27T16:01:53.153282,2026-08-27T16:01:53.737663
10,16,3,imbalanced,1,True,7,1.0796,4,2026-08-27T16:01:52.732600,2026-08-27T16:01:53.812268
