sf,streams,stream,tag,pass,warmup,query,elapsed_s,rows,start_time,end_time
10,16,10,numa-balancing,1,True,11,2.2663,0,2026-08-27T17:14:47.802826,2026-08-27T17:14:50.069158
10,16,1,numa-balancing,1,True,2,2.5594,100,2026-08-27T17:14:47.757679,2026-08-27T17:14:50.317075
10,16,15,numa-balancing,1,True,16,2.8648,27840,2026-08-27T17:14:47.868277,2026-08-27T17:14:50.733168
10,16,3,numa-balancing,1,True,4,3.3094,5,2026-08-27T17:14:47.763335,2026-08-27T17:14:51.072765
10,16,11,numa-balancing,1,True,12,3.3671,2,2026-08-27T17:14:47.803055,2026-08-27T17:14:51.170213
10,16,10,numa-balancing,1,True,12,1.1035,2,2026-08-27T17:14:50.069241,2026-08-27T17:14:51.172724
10,16,5,numa-balancing,1,True,6,4.5706,1,2026-08-27T17:14:47.767869,2026-08-27T17:14:52.338535
10,16,1,numa-balancing,1,True,3,2.064,10,2026-08-27T17:14:50.317152,2026-08-27T17:14:52.381170
10,16,13,numa-balancing,1,True,14,4.6109,1,2026-08-27T17:14:47.863321,2026-08-27T17:14:52.474227
10,16,14,numa-balancing,1,True,15,4.637,1,2026-08-27T17:14:47.865333,2026-08-27T17:14:52.502381
10,16,15,numa-balancing,1,True,17,1.9794,1,2026-08-27T17:14:50.733399,2026-08-27T17:14:52.712785
10,16,4,numa-balancing,1,True,5,5.028,5,2026-08-27T17:14:47.765112,2026-08-27T17:14:52.793144
10,16,7,numa-balancing,1,True,8,5.1042,2,2026-08-27T17:14:47.779347,2026-08-27T17:14:52.883584
10,16,1,numa-balancing,1,True,4,0.7137,5,2026-08-27T17:14:52.381269,2026-08-27T17:14:53.095011
10,16,2,numa-balancing,1,True,3,5.405,10,2026-08-27T17:14:47.761170,2026-08-27T17:14:53.166198
10,16,4,numa-balancing,1,True,6,0.4444,1,2026-08-27T17:14:52.793675,2026-08-27T17:14:53.238062
10,16,13,numa-balancing,1,True,15,0.7969,1,2026-08-27T17:14:52.474340,2026-08-27T17:14:53.271293
10,16,3,numa-balancing,1,True,5,2.2106,5,2026-08-27T17:14:51.072861,2026-08-27T17:14:53.283538
10,16,6,numa-balancing,1,True,7,5.5328,4,2026-08-27T17:14:47.770562,2026-08-27T17:14:53.303375
10,16,10,numa-balancing,1,True,13,2.1369,45,2026-08-27T17:14:51.172788,2026-08-27T17:14:53.309681
10,16,8,numa-balancing,1,True,9,5.5528,175,2026-08-27T17:14:47.793273,2026-08-27T17:14:53.346063
10,16,3,numa-balancing,1,True,6,0.1033,1,2026-08-27T17:14:53.283672,2026-08-27T17:14:53.387019
10,16,15,numa-balancing,1,True,18,0.7076,100,2026-08-27T17:14:52.712915,2026-08-27T17:14:53.420583
10,16,14,numa-balancing,1,True,16,1.0154,27840,2026-08-27T17:14:52.502461,2026-08-27T17:14:53.517838
10,16,11,numa-balancing,1,True,13,2.3594,45,2026-08-27T17:14:51.170291,2026-08-27T17:14:53.529677
10,16,1,numa-balancing,1,True,5,0.475,5,2026-08-27T17:14:53.095142,2026-08-27T17:14:53.570130
10,16,10,numa-balancing,1,True,14,0.2713,1,2026-08-27T17:14:53.317619,2026-08-27T17:14:53.588968
10,16,1,numa-balancing,1,True,6,0.077,1,2026-08-27T17:14:53.573660,2026-08-27T17:14:53.650690
10,16,12,numa-balancing,1,True,13,5.8774,45,2026-08-27T17:14:47.861260,2026-08-27T17:14:53.738661
10,16,10,numa-balancing,1,True,15,0.1922,1,2026-08-27T17:14:53.589362,2026-08-27T17:14:53.781587
10,16,15,numa-balancing,1,True,19,0.3691,1,2026-08-27T17:14:53.425608,2026-08-27T17:14:53.794787
10,16,7,numa-balancing,1,True,9,0.9276,175,2026-08-27T17:14:52.883716,2026-08-27T17:14:53.811366
10,16,3,numa-balancing,1,True,7,0.4391,4,2026-08-27T17:14:53.387117,2026-08-27T17:14:53.826267
10,16,11,numa-balancing,1,True,14,0.3653,1,2026-08-27T17:14:53.530003,2026-08-27T17:14:53.895363
10,16,0,numa-balancing,1,True,1,6.1537,4,2026-08-27T17:14:47.754539,2026-08-27T17:14:53.908285
10,16,4,numa-balancing,1,True,7,0.7271,4,2026-08-27T17:14:53.238607,2026-08-27T17:14:53.965698
10,16,2,numa-balancing,1,True,4,0.8036,5,2026-08-27T17:14:53.166294,2026-08-27T17:14:53.969971
10,16,5,numa-balancing,1,True,7,1.6318,4,2026-08-27T17:14:52.338609,2026-08-27T17:14:53.970416
10,16,14,numa-balancing,1,True,17,0.5017,1,2026-08-27T17:14:53.517962,2026-08-27T17:14:54.019734
10,16,9,numa-balancing,1,True,10,6.2579,20,2026-08-27T17:14:47.793610,2026-08-27T17:14:54.051550
10,16,11,numa-balancing,1,True,15,0.1647,1,2026-08-27T17:14:53.895496,2026-08-27T17:14:54.060187
10,16,6,numa-balancing,1,True,8,0.8305,2,2026-08-27T17:14:53.303513,2026-08-27T17:14:54.137129
10,16,12,numa-balancing,1,True,14,0.3998,1,2026-08-27T17:14:53.738774,2026-08-27T17:14:54.138631
10,16,15,numa-balancing,1,True,20,0.3716,1804,2026-08-27T17:14:53.800766,2026-08-27T17:14:54.172960
10,16,9,numa-balancing,1,True,11,0.1481,0,2026-08-27T17:14:54.051658,2026-08-27T17:14:54.199777
10,16,1,numa-balancing,1,True,7,0.6032,4,2026-08-27T17:14:53.650796,2026-08-27T17:14:54.254047
10,16,13,numa-balancing,1,True,16,0.9806,27840,2026-08-27T17:14:53.271506,2026-08-27T17:14:54.262045
10,16,8,numa-balancing,1,True,10,0.924,20,2026-08-27T17:14:53.353802,2026-08-27T17:14:54.277855
10,16,0,numa-balancing,1,True,2,0.3911,100,2026-08-27T17:14:53.908733,2026-08-27T17:14:54.299842
10,16,12,numa-balancing,1,True,15,0.2509,1,2026-08-27T17:14:54.173107,2026-08-27T17:14:54.424087
10,16,10,numa-balancing,1,True,16,0.6611,27840,2026-08-27T17:14:53.781698,2026-08-27T17:14:54.453957
10,16,13,numa-balancing,1,True,17,0.3709,1,2026-08-27T17:14:54.262158,2026-08-27T17:14:54.633123
10,16,8,numa-balancing,1,True,11,0.3901,0,2026-08-27T17:14:54.281563,2026-08-27T17:14:54.671698
10,16,2,numa-balancing,1,True,5,0.6852,5,2026-08-27T17:14:53.996057,2026-08-27T17:14:54.681282
10,16,9,numa-balancing,1,True,12,0.5072,2,2026-08-27T17:14:54.199912,2026-08-27T17:14:54.707189
10,16,15,numa-balancing,1,True,21,0.6427,100,2026-08-27T17:14:54.186160,2026-08-27T17:14:54.828866
10,16,2,numa-balancing,1,True,6,0.3009,1,2026-08-27T17:14:54.681813,2026-08-27T17:14:54.982716
10,16,7,numa-balancing,1,True,10,1.1843,20,2026-08-27T17:14:53.811493,2026-08-27T17:14:54.995799
10,16,5,numa-balancing,1,True,8,1.0404,2,2026-08-27T17:14:53.982173,2026-08-27T17:14:55.022656
10,16,3,numa-balancing,1,True,8,1.1892,2,2026-08-27T17:14:53.833675,2026-08-27T17:14:55.022923
10,16,4,numa-balancing,1,True,8,1.0779,2,2026-08-27T17:14:53.974147,2026-08-27T17:14:55.052079
10,16,10,numa-balancing,1,True,17,0.683,1,2026-08-27T17:14:54.454080,2026-08-27T17:14:55.139855
10,16,12,numa-balancing,1,True,16,0.8926,27840,2026-08-27T17:14:54.424205,2026-08-27T17:14:55.316851
10,16,7,numa-balancing,1,True,11,0.3331,0,2026-08-27T17:14:54.995908,2026-08-27T17:14:55.329029
10,16,6,numa-balancing,1,True,9,1.1841,175,2026-08-27T17:14:54.145031,2026-08-27T17:14:55.329171
10,16,11,numa-balancing,1,True,16,1.2686,27840,2026-08-27T17:14:54.060299,2026-08-27T17:14:55.330501
10,16,0,numa-balancing,1,True,3,1.0406,10,2026-08-27T17:14:54.299980,2026-08-27T17:14:55.340630
10,16,14,numa-balancing,1,True,18,1.3313,100,2026-08-27T17:14:54.019846,2026-08-27T17:14:55.351129
10,16,15,numa-balancing,1,True,22,0.5407,7,2026-08-27T17:14:54.828974,2026-08-27T17:14:55.369735
10,16,13,numa-balancing,1,True,18,0.7405,100,2026-08-27T17:14:54.633301,2026-08-27T17:14:55.373820
10,16,8,numa-balancing,1,True,12,0.7157,2,2026-08-27T17:14:54.671847,2026-08-27T17:14:55.387613
10,16,2,numa-balancing,1,True,7,0.4349,4,2026-08-27T17:14:54.982838,2026-08-27T17:14:55.417804
10,16,1,numa-balancing,1,True,8,1.1811,2,2026-08-27T17:14:54.254166,2026-08-27T17:14:55.435270
10,16,12,numa-balancing,1,True,17,0.2573,1,2026-08-27T17:14:55.316950,2026-08-27T17:14:55.574253
10,16,9,numa-balancing,1,True,13,0.9247,45,2026-08-27T17:14:54.707315,2026-08-27T17:14:55.632031
10,16,0,numa-balancing,1,True,4,0.4863,5,2026-08-27T17:14:55.359367,2026-08-27T17:14:55.845698
10,16,13,numa-balancing,1,True,19,0.4629,1,2026-08-27T17:14:55.399934,2026-08-27T17:14:55.862919
10,16,7,numa-balancing,1,True,12,0.5553,2,2026-08-27T17:14:55.330729,2026-08-27T17:14:55.886037
10,16,9,numa-balancing,1,True,14,0.2761,1,2026-08-27T17:14:55.632145,2026-08-27T17:14:55.908258
10,16,10,numa-balancing,1,True,18,0.7799,100,2026-08-27T17:14:55.141729,2026-08-27T17:14:55.921663
10,16,5,numa-balancing,1,True,9,0.9193,175,2026-08-27T17:14:55.022781,2026-08-27T17:14:55.942082
10,16,14,numa-balancing,1,True,19,0.5732,1,2026-08-27T17:14:55.377779,2026-08-27T17:14:55.951010
10,16,3,numa-balancing,1,True,9,1.0513,175,2026-08-27T17:14:55.023000,2026-08-27T17:14:56.074293
10,16,9,numa-balancing,1,True,15,0.2373,1,2026-08-27T17:14:55.908383,2026-08-27T17:14:56.145669
10,16,12,numa-balancing,1,True,18,0.5911,100,2026-08-27T17:14:55.574502,2026-08-27T17:14:56.165602
10,16,6,numa-balancing,1,True,10,0.8545,20,2026-08-27T17:14:55.341184,2026-08-27T17:14:56.195705
10,16,10,numa-balancing,1,True,19,0.2895,1,2026-08-27T17:14:55.922015,2026-08-27T17:14:56.211551
10,16,11,numa-balancing,1,True,17,0.8548,1,2026-08-27T17:14:55.385162,2026-08-27T17:14:56.240001
10,16,8,numa-balancing,1,True,13,0.8589,45,2026-08-27T17:14:55.387795,2026-08-27T17:14:56.246738
10,16,15,numa-balancing,1,True,1,0.8798,4,2026-08-27T17:14:55.391196,2026-08-27T17:14:56.271034
10,16,0,numa-balancing,1,True,5,0.4958,5,2026-08-27T17:14:55.845828,2026-08-27T17:14:56.341686
10,16,0,numa-balancing,1,True,6,0.1128,1,2026-08-27T17:14:56.341825,2026-08-27T17:14:56.454677
10,16,12,numa-balancing,1,True,19,0.3048,1,2026-08-27T17:14:56.165710,2026-08-27T17:14:56.470543
10,16,6,numa-balancing,1,True,11,0.295,0,2026-08-27T17:14:56.195831,2026-08-27T17:14:56.490825
10,16,13,numa-balancing,1,True,20,0.6389,1804,2026-08-27T17:14:55.863021,2026-08-27T17:14:56.501977
10,16,14,numa-balancing,1,True,20,0.5859,1804,2026-08-27T17:14:55.951281,2026-08-27T17:14:56.537264
10,16,4,numa-balancing,1,True,9,1.5057,175,2026-08-27T17:14:55.052200,2026-08-27T17:14:56.557904
10,16,7,numa-balancing,1,True,13,0.7395,45,2026-08-27T17:14:55.886166,2026-08-27T17:14:56.625678
10,16,10,numa-balancing,1,True,20,0.5352,1804,2026-08-27T17:14:56.211663,2026-08-27T17:14:56.761665
10,16,9,numa-balancing,1,True,16,0.6373,27840,2026-08-27T17:14:56.145974,2026-08-27T17:14:56.783353
10,16,0,numa-balancing,1,True,7,0.3366,4,2026-08-27T17:14:56.457624,2026-08-27T17:14:56.794271
10,16,12,numa-balancing,1,True,20,0.3546,1804,2026-08-27T17:14:56.470682,2026-08-27T17:14:56.825304
10,16,7,numa-balancing,1,True,14,0.2016,1,2026-08-27T17:14:56.625809,2026-08-27T17:14:56.827452
10,16,6,numa-balancing,1,True,12,0.4596,2,2026-08-27T17:14:56.490966,2026-08-27T17:14:56.950620
10,16,2,numa-balancing,1,True,8,1.5491,2,2026-08-27T17:14:55.417918,2026-08-27T17:14:56.967062
10,16,9,numa-balancing,1,True,17,0.195,1,2026-08-27T17:14:56.783456,2026-08-27T17:14:56.978459
10,16,11,numa-balancing,1,True,18,0.7522,100,2026-08-27T17:14:56.240120,2026-08-27T17:14:56.992302
10,16,7,numa-balancing,1,True,15,0.1645,1,2026-08-27T17:14:56.839187,2026-08-27T17:14:57.003745
10,16,8,numa-balancing,1,True,14,0.7629,1,2026-08-27T17:14:56.249291,2026-08-27T17:14:57.012207
10,16,1,numa-balancing,1,True,9,1.5899,175,2026-08-27T17:14:55.435419,2026-08-27T17:14:57.025336
10,16,15,numa-balancing,1,True,2,1.1068,100,2026-08-27T17:14:56.271141,2026-08-27T17:14:57.377993
10,16,11,numa-balancing,1,True,19,0.3963,1,2026-08-27T17:14:56.992408,2026-08-27T17:14:57.388693
10,16,5,numa-balancing,1,True,10,1.5018,20,2026-08-27T17:14:55.942192,2026-08-27T17:14:57.444002
10,16,10,numa-balancing,1,True,21,0.7721,100,2026-08-27T17:14:56.765607,2026-08-27T17:14:57.537728
10,16,13,numa-balancing,1,True,21,1.0956,100,2026-08-27T17:14:56.502107,2026-08-27T17:14:57.597695
10,16,0,numa-balancing,1,True,8,0.8107,2,2026-08-27T17:14:56.801622,2026-08-27T17:14:57.612353
10,16,8,numa-balancing,1,True,15,0.6174,1,2026-08-27T17:14:57.012332,2026-08-27T17:14:57.629774
10,16,5,numa-balancing,1,True,11,0.1923,0,2026-08-27T17:14:57.444095,2026-08-27T17:14:57.636458
10,16,9,numa-balancing,1,True,18,0.6781,100,2026-08-27T17:14:56.981573,2026-08-27T17:14:57.659683
10,16,2,numa-balancing,1,True,9,0.6919,175,2026-08-27T17:14:56.969723,2026-08-27T17:14:57.661683
10,16,3,numa-balancing,1,True,10,1.5915,20,2026-08-27T17:14:56.074407,2026-08-27T17:14:57.665921
10,16,6,numa-balancing,1,True,13,0.7389,45,2026-08-27T17:14:56.950727,2026-08-27T17:14:57.689676
10,16,12,numa-balancing,1,True,21,0.8948,100,2026-08-27T17:14:56.829587,2026-08-27T17:14:57.724438
10,16,15,numa-balancing,1,True,3,0.3691,10,2026-08-27T17:14:57.378116,2026-08-27T17:14:57.747259
10,16,14,numa-balancing,1,True,21,1.2463,100,2026-08-27T17:14:56.537390,2026-08-27T17:14:57.783703
10,16,3,numa-balancing,1,True,11,0.1052,0,2026-08-27T17:14:57.689839,2026-08-27T17:14:57.795066
10,16,11,numa-balancing,1,True,20,0.4173,1804,2026-08-27T17:14:57.389101,2026-08-27T17:14:57.806458
10,16,9,numa-balancing,1,True,19,0.2041,1,2026-08-27T17:14:57.666730,2026-08-27T17:14:57.870904
10,16,5,numa-balancing,1,True,12,0.2531,2,2026-08-27T17:14:57.636561,2026-08-27T17:14:57.889648
10,16,10,numa-balancing,1,True,22,0.3667,7,2026-08-27T17:14:57.541609,2026-08-27T17:14:57.908383
10,16,6,numa-balancing,1,True,14,0.2303,1,2026-08-27T17:14:57.699211,2026-08-27T17:14:57.929602
10,16,13,numa-balancing,1,True,22,0.3646,7,2026-08-27T17:14:57.597818,2026-08-27T17:14:57.962423
10,16,13,numa-balancing,1,True,1,0.3333,4,2026-08-27T17:14:57.962539,2026-08-27T17:14:58.295857
10,16,7,numa-balancing,1,True,16,1.2779,27840,2026-08-27T17:14:57.007043,2026-08-27T17:14:58.297939
10,16,0,numa-balancing,1,True,9,0.6946,175,2026-08-27T17:14:57.612437,2026-08-27T17:14:58.308912
10,16,10,numa-balancing,1,True,1,0.4384,4,2026-08-27T17:14:57.908507,2026-08-27T17:14:58.346945
