sf,streams,stream,tag,pass,warmup,query,elapsed_s,rows,start_time,end_time
10,1,0,firsttouch,1,True,1,2.0161,4,2026-08-27T15:28:41.052921,2026-08-27T15:28:43.069034
10,1,0,firsttouch,1,True,2,0.3349,100,2026-08-27T15:28:43.069144,2026-08-27T15:28:43.404064
10,1,0,firsttouch,1,True,3,1.1182,10,2026-08-27T15:28:43.404137,2026-08-27T15:28:44.522333
10,1,0,firsttouch,1,True,4,0.9218,5,2026-08-27T15:28:44.522403,2026-08-27T15:28:45.444211
10,1,0,firsttouch,1,True,5,0.3202,5,2026-08-27T15:28:45.444291,2026-08-27T15:28:45.764480
10,1,0,firsttouch,1,True,6,0.0214,1,2026-08-27T15:28:45.764567,2026-08-27T15:28:45.785973
10,1,0,firsttouch,1,True,7,0.1322,4,2026-08-27T15:28:45.786059,2026-08-27T15:28:45.918240
10,1,0,firsttouch,1,True,8,0.3098,2,2026-08-27T15:28:45.918319,2026-08-27T15:28:46.228175
10,1,0,firsttouch,1,True,9,0.3021,175,2026-08-27T15:28:46.228254,2026-08-27T15:28:46.530341
10,1,0,firsttouch,1,True,10,0.4542,20,2026-08-27T15:28:46.530420,2026-08-27T15:28:46.984648
10,1,0,firsttouch,1,True,11,0.0389,0,2026-08-27T15:28:46.984717,2026-08-27T15:28:47.023670
10,1,0,firsttouch,1,True,12,0.1081,2,2026-08-27T15:28:47.023755,2026-08-27T15:28:47.131922
10,1,0,firsttouch,1,True,13,0.8002,45,2026-08-27T15:28:47.131999,2026-08-27T15:28:47.932227
10,1,0,firsttouch,1,True,14,0.0768,1,2026-08-27T15:28:47.932294,2026-08-27T15:28:48.009104
10,1,0,firsttouch,1,True,15,0.0479,1,2026-08-27T15:28:48.009174,2026-08-27T15:28:48.057111
10,1,0,firsttouch,1,True,16,0.158,27840,2026-08-27T15:28:48.057179,2026-08-27T15:28:48.215213
10,1,0,firsttouch,1,True,17,0.0783,1,2026-08-27T15:28:48.215288,2026-08-27T15:28:48.293656
10,1,0,firsttouch,1,True,18,0.2539,100,2026-08-27T15:28:48.293739,2026-08-27T15:28:48.547689
10,1,0,firsttouch,1,True,19,0.0681,1,2026-08-27T15:28:48.547755,2026-08-27T15:28:48.615823
10,1,0,firsttouch,1,True,20,0.0971,1804,2026-08-27T15:28:48.615889,2026-08-27T15:28:48.713057
10,1,0,firsttouch,1,True,21,0.1908,100,2026-08-27T15:28:48.713126,2026-08-27T15:28:48.903927
10,1,0,firsttouch,1,True,22,0.1323,7,2026-08-27T15:28:48.904006,2026-08-27T15:28:49.036279
10,1,0,firsttouch,2,False,1,0.0479,4,2026-08-27T15:28:49.038190,2026-08-27T15:28:49.086131
10,1,0,firsttouch,2,False,2,0.054,100,2026-08-27T15:28:49.086200,2026-08-27T15:28:49.140227
10,1,0,firsttouch,2,False,3,0.1258,10,2026-08-27T15:28:49.140291,2026-08-27T15:28:49.266065
10,1,0,firsttouch,2,False,4,0.1356,5,2026-08-27T15:28:49.266129,2026-08-27T15:28:49.401743
10,1,0,firsttouch,2,False,5,0.1349,5,2026-08-27T15:28:49.401821,2026-08-27T15:28:49.536780
10,1,0,firsttouch,2,False,6,0.0177,1,2026-08-27T15:28:49.536857,2026-08-27T15:28:49.554530
10,1,0,firsttouch,2,False,7,0.1194,4,2026-08-27T15:28:49.554600,2026-08-27T15:28:49.674057
10,1,0,firsttouch,2,False,8,0.1811,2,2026-08-27T15:28:49.674133,2026-08-27T15:28:49.855257
10,1,0,firsttouch,2,False,9,0.2512,175,2026-08-27T15:28:49.855336,2026-08-27T15:28:50.106510
10,1,0,firsttouch,2,False,10,0.2546,20,2026-08-27T15:28:50.106582,2026-08-27T15:28:50.361183
