sf,streams,stream,tag,pass,warmup,query,elapsed_s,rows,start_time,end_time
10,1,0,interleaved,1,True,1,1.9953,4,2026-08-27T16:39:15.076278,2026-08-27T16:39:17.071621
10,1,0,interleaved,1,True,2,0.3729,100,2026-08-27T16:39:17.071710,2026-08-27T16:39:17.444643
10,1,0,interleaved,1,True,3,1.1264,10,2026-08-27T16:39:17.444727,2026-08-27T16:39:18.571120
10,1,0,interleaved,1,True,4,1.0057,5,2026-08-27T16:39:18.571207,2026-08-27T16:39:19.576942
10,1,0,interleaved,1,True,5,0.3263,5,2026-08-27T16:39:19.577032,2026-08-27T16:39:19.903352
10,1,0,interleaved,1,True,6,0.0175,1,2026-08-27T16:39:19.903437,2026-08-27T16:39:19.920967
10,1,0,interleaved,1,True,7,0.1397,4,2026-08-27T16:39:19.921062,2026-08-27T16:39:20.060834
10,1,0,interleaved,1,True,8,0.2994,2,2026-08-27T16:39:20.060917,2026-08-27T16:39:20.360344
10,1,0,interleaved,1,True,9,0.3373,175,2026-08-27T16:39:20.360430,2026-08-27T16:39:20.697781
10,1,0,interleaved,1,True,10,0.4778,20,2026-08-27T16:39:20.697867,2026-08-27T16:39:21.175645
10,1,0,interleaved,1,True,11,0.0393,0,2026-08-27T16:39:21.175730,2026-08-27T16:39:21.215056
10,1,0,interleaved,1,True,12,0.1196,2,2026-08-27T16:39:21.215143,2026-08-27T16:39:21.334752
10,1,0,interleaved,1,True,13,0.8514,45,2026-08-27T16:39:21.334840,2026-08-27T16:39:22.186311
10,1,0,interleaved,1,True,14,0.0804,1,2026-08-27T16:39:22.186401,2026-08-27T16:39:22.266793
10,1,0,interleaved,1,True,15,0.0539,1,2026-08-27T16:39:22.266888,2026-08-27T16:39:22.320809
10,1,0,interleaved,1,True,16,0.1749,27840,2026-08-27T16:39:22.320903,2026-08-27T16:39:22.495803
10,1,0,interleaved,1,True,17,0.0784,1,2026-08-27T16:39:22.495896,2026-08-27T16:39:22.574310
10,1,0,interleaved,1,True,18,0.2674,100,2026-08-27T16:39:22.574402,2026-08-27T16:39:22.841790
10,1,0,interleaved,1,True,19,0.0683,1,2026-08-27T16:39:22.841867,2026-08-27T16:39:22.910154
10,1,0,interleaved,1,True,20,0.0952,1804,2026-08-27T16:39:22.910236,2026-08-27T16:39:23.005511
10,1,0,interleaved,1,True,21,0.2086,100,2026-08-27T16:39:23.005597,2026-08-27T16:39:23.214196
10,1,0,interleaved,1,True,22,0.1377,7,2026-08-27T16:39:23.214279,2026-08-27T16:39:23.352027
