sf,streams,stream,tag,pass,warmup,query,elapsed_s,rows,start_time,end_time
10,1,0,repl,1,True,1,1.9432,4,2026-08-27T14:52:20.633574,2026-08-27T14:52:22.576857
10,1,0,repl,1,True,2,0.3604,100,2026-08-27T14:52:22.576958,2026-08-27T14:52:22.937366
10,1,0,repl,1,True,3,1.1,10,2026-08-27T14:52:22.937466,2026-08-27T14:52:24.037484
10,1,0,repl,1,True,4,0.9808,5,2026-08-27T14:52:24.037578,2026-08-27T14:52:25.018395
10,1,0,repl,1,True,5,0.3083,5,2026-08-27T14:52:25.018463,2026-08-27T14:52:25.326778
10,1,0,repl,1,True,6,0.0556,1,2026-08-27T14:52:25.326852,2026-08-27T14:52:25.382458
10,1,0,repl,1,True,7,0.1931,4,2026-08-27T14:52:25.382527,2026-08-27T14:52:25.575657
10,1,0,repl,1,True,8,0.2861,2,2026-08-27T14:52:25.575732,2026-08-27T14:52:25.861854
10,1,0,repl,1,True,9,0.4069,175,2026-08-27T14:52:25.861925,2026-08-27T14:52:26.268883
10,1,0,repl,1,True,10,0.5144,20,2026-08-27T14:52:26.268940,2026-08-27T14:52:26.783369
10,1,0,repl,1,True,11,0.0486,0,2026-08-27T14:52:26.783444,2026-08-27T14:52:26.832062
10,1,0,repl,1,True,12,0.1541,2,2026-08-27T14:52:26.832149,2026-08-27T14:52:26.986276
10,1,0,repl,1,True,13,0.7847,45,2026-08-27T14:52:26.986361,2026-08-27T14:52:27.771110
10,1,0,repl,1,True,14,0.1196,1,2026-08-27T14:52:27.771194,2026-08-27T14:52:27.890813
10,1,0,repl,1,True,15,0.0779,1,2026-08-27T14:52:27.890902,2026-08-27T14:52:27.968838
10,1,0,repl,1,True,16,0.1743,27840,2026-08-27T14:52:27.968932,2026-08-27T14:52:28.143301
10,1,0,repl,1,True,17,0.1423,1,2026-08-27T14:52:28.143381,2026-08-27T14:52:28.285719
10,1,0,repl,1,True,18,0.2604,100,2026-08-27T14:52:28.285803,2026-08-27T14:52:28.546181
10,1,0,repl,1,True,19,0.1099,1,2026-08-27T14:52:28.546247,2026-08-27T14:52:28.656122
10,1,0,repl,1,True,20,0.1452,1804,2026-08-27T14:52:28.656194,2026-08-27T14:52:28.801456
10,1,0,repl,1,True,21,0.2847,100,2026-08-27T14:52:28.801550,2026-08-27T14:52:29.086313
10,1,0,repl,1,True,22,0.1568,7,2026-08-27T14:52:29.086398,2026-08-27T14:52:29.243198
10,1,0,repl,2,False,1,0.0843,4,2026-08-27T14:52:29.245586,2026-08-27T14:52:29.329922
10,1,0,repl,2,False,2,0.0776,100,2026-08-27T14:52:29.330003,2026-08-27T14:52:29.407629
10,1,0,repl,2,False,3,0.1515,10,2026-08-27T14:52:29.407711,2026-08-27T14:52:29.559275
10,1,0,repl,2,False,4,0.1647,5,2026-08-27T14:52:29.559344,2026-08-27T14:52:29.724055
10,1,0,repl,2,False,5,0.1549,5,2026-08-27T14:52:29.724137,2026-08-27T14:52:29.879094
10,1,0,repl,2,False,6,0.0307,1,2026-08-27T14:52:29.879179,2026-08-27T14:52:29.909867
10,1,0,repl,2,False,7,0.13,4,2026-08-27T14:52:29.909948,2026-08-27T14:52:30.040015
10,1,0,repl,2,False,8,0.2077,2,2026-08-27T14:52:30.040099,2026-08-27T14:52:30.247869
10,1,0,repl,2,False,9,0.3158,175,2026-08-27T14:52:30.247957,2026-08-27T14:52:30.563819
10,1,0,repl,2,False,10,0.3323,20,2026-08-27T14:52:30.563902,2026-08-27T14:52:30.896189
10,1,0,repl,2,False,11,0.0397,0,2026-08-27T14:52:30.896258,2026-08-27T14:52:30.935964
10,1,0,repl,2,False,12,0.1391,2,2026-08-27T14:52:30.936026,2026-08-27T14:52:31.075105
10,1,0,repl,2,False,13,0.3141,45,2026-08-27T14:52:31.075166,2026-08-27T14:52:31.389232
10,1,0,repl,2,False,14,0.0914,1,2026-08-27T14:52:31.389294,2026-08-27T14:52:31.480732
10,1,0,repl,2,False,15,0.0488,1,2026-08-27T14:52:31.480812,2026-08-27T14:52:31.529611
10,1,0,repl,2,False,16,0.1673,27840,2026-08-27T14:52:31.529692,2026-08-27T14:52:31.696994
10,1,0,repl,2,False,17,0.0949,1,2026-08-27T14:52:31.697056,2026-08-27T14:52:31.791972
10,1,0,repl,2,False,18,0.2286,100,2026-08-27T14:52:31.792051,2026-08-27T14:52:32.020693
10,1,0,repl,2,False,19,0.0826,1,2026-08-27T14:52:32.020775,2026-08-27T14:52:32.103409
10,1,0,repl,2,False,20,0.113,1804,2026-08-27T14:52:32.103491,2026-08-27T14:52:32.216510
10,1,0,repl,2,False,21,0.2287,100,2026-08-27T14:52:32.216592,2026-08-27T14:52:32.445341
10,1,0,repl,2,False,22,0.1297,7,2026-08-27T14:52:32.445406,2026-08-27T14:52:32.575177
10,1,0,repl,3,False,1,0.0663,4,2026-08-27T14:52:32.577707,2026-08-27T14:52:32.644049
10,1,0,repl,3,False,2,0.0589,100,2026-08-27T14:52:32.644128,2026-08-27T14:52:32.703019
10,1,0,repl,3,False,3,0.1409,10,2026-08-27T14:52:32.703100,2026-08-27T14:52:32.844039
10,1,0,repl,3,False,4,0.1886,5,2026-08-27T14:52:32.844121,2026-08-27T14:52:33.032783
10,1,0,repl,3,False,5,0.1407,5,2026-08-27T14:52:33.032867,2026-08-27T14:52:33.173586
10,1,0,repl,3,False,6,0.0176,1,2026-08-27T14:52:33.173679,2026-08-27T14:52:33.191327
10,1,0,repl,3,False,7,0.1281,4,2026-08-27T14:52:33.191411,2026-08-27T14:52:33.319543
10,1,0,repl,3,False,8,0.1842,2,2026-08-27T14:52:33.319625,2026-08-27T14:52:33.503860
10,1,0,repl,3,False,9,0.2852,175,2026-08-27T14:52:33.503946,2026-08-27T14:52:33.789165
10,1,0,repl,3,False,10,0.3311,20,2026-08-27T14:52:33.789246,2026-08-27T14:52:34.120373
10,1,0,repl,3,False,11,0.0367,0,2026-08-27T14:52:34.120455,2026-08-27T14:52:34.157185
10,1,0,repl,3,False,12,0.1218,2,2026-08-27T14:52:34.157270,2026-08-27T14:52:34.279077
10,1,0,repl,3,False,13,0.2904,45,2026-08-27T14:52:34.279165,2026-08-27T14:52:34.569612
10,1,0,repl,3,False,14,0.0813,1,2026-08-27T14:52:34.569695,2026-08-27T14:52:34.651048
10,1,0,repl,3,False,15,0.0393,1,2026-08-27T14:52:34.651132,2026-08-27T14:52:34.690443
10,1,0,repl,3,False,16,0.1451,27840,2026-08-27T14:52:34.690526,2026-08-27T14:52:34.835665
10,1,0,repl,3,False,17,0.0737,1,2026-08-27T14:52:34.835744,2026-08-27T14:52:34.909430
10,1,0,repl,3,False,18,0.2116,100,2026-08-27T14:52:34.909522,2026-08-27T14:52:35.121188
10,1,0,repl,3,False,19,0.0745,1,2026-08-27T14:52:35.121261,2026-08-27T14:52:35.195753
10,1,0,repl,3,False,20,0.0987,1804,2026-08-27T14:52:35.195838,2026-08-27T14:52:35.294551
10,1,0,repl,3,False,21,0.2156,100,2026-08-27T14:52:35.294637,2026-08-27T14:52:35.510242
10,1,0,repl,3,False,22,0.1287,7,2026-08-27T14:52:35.510309,2026-08-27T14:52:35.639072
10,1,0,repl,4,False,1,0.0572,4,2026-08-27T14:52:35.643267,2026-08-27T14:52:35.700525
10,1,0,repl,4,False,2,0.0609,100,2026-08-27T14:52:35.700582,2026-08-27T14:52:35.761537
10,1,0,repl,4,False,3,0.137,10,2026-08-27T14:52:35.761594,2026-08-27T14:52:35.898589
10,1,0,repl,4,False,4,0.144,5,2026-08-27T14:52:35.898648,2026-08-27T14:52:36.042661
10,1,0,repl,4,False,5,0.1442,5,2026-08-27T14:52:36.042735,2026-08-27T14:52:36.186965
10,1,0,repl,4,False,6,0.0167,1,2026-08-27T14:52:36.187052,2026-08-27T14:52:36.203744
10,1,0,repl,4,False,7,0.1177,4,2026-08-27T14:52:36.203820,2026-08-27T14:52:36.321545
10,1,0,repl,4,False,8,0.1838,2,2026-08-27T14:52:36.321625,2026-08-27T14:52:36.505414
10,1,0,repl,4,False,9,0.2592,175,2026-08-27T14:52:36.505509,2026-08-27T14:52:36.764705
10,1,0,repl,4,False,10,0.2753,20,2026-08-27T14:52:36.764786,2026-08-27T14:52:37.040097
10,1,0,repl,4,False,11,0.0301,0,2026-08-27T14:52:37.040180,2026-08-27T14:52:37.070278
10,1,0,repl,4,False,12,0.0989,2,2026-08-27T14:52:37.070365,2026-08-27T14:52:37.169317
10,1,0,repl,4,False,13,0.2816,45,2026-08-27T14:52:37.169402,2026-08-27T14:52:37.450995
10,1,0,repl,4,False,14,0.071,1,2026-08-27T14:52:37.451081,2026-08-27T14:52:37.522102
10,1,0,repl,4,False,15,0.0402,1,2026-08-27T14:52:37.522190,2026-08-27T14:52:37.562415
10,1,0,repl,4,False,16,0.1439,27840,2026-08-27T14:52:37.562499,2026-08-27T14:52:37.706461
10,1,0,repl,4,False,17,0.0678,1,2026-08-27T14:52:37.706542,2026-08-27T14:52:37.774315
10,1,0,repl,4,False,18,0.2157,100,2026-08-27T14:52:37.774394,2026-08-27T14:52:37.990136
10,1,0,repl,4,False,19,0.0708,1,2026-08-27T14:52:37.990214,2026-08-27T14:52:38.061005
10,1,0,repl,4,False,20,0.0861,1804,2026-08-27T14:52:38.061086,2026-08-27T14:52:38.147224
10,1,0,repl,4,False,21,0.2064,100,2026-08-27T14:52:38.147305,2026-08-27T14:52:38.353721
10,1,0,repl,4,False,22,0.12,7,2026-08-27T14:52:38.353804,2026-08-27T14:52:38.473832
10,1,0,repl,5,False,1,0.0523,4,2026-08-27T14:52:38.475270,2026-08-27T14:52:38.527638
