tag,readratio,writeratio,benchmark,read_bw_gb,write_bw_gb,read_bw_std,write_bw_std,read_bw_wall_gb,write_bw_wall_gb,read_bw_wall_std,write_bw_wall_std,wall_s,nb_runs
default,100,0,readwrite_random,122.62043638380001,0.0,12.560495801111161,0.0,122.63416406016002,0.0,12.55996153656568,0.0,30.0,5
interleaved,100,0,readwrite_random,146.6344040082,0.0,0.23709023459980033,0.0,146.65395219114666,0.0,0.23475661059376857,0.0,30.0,5
numabalancing,100,0,readwrite_random,145.4848487166,0.0,1.856402113477746,0.0,145.50232801279998,0.0,1.8586739820781852,0.0,30.0,5
repl,100,0,readwrite_random,303.4728763224,0.0,2.1541271148080914,0.0,303.50119922346664,0.0,2.154129782266338,0.0,30.0,5
unrepl-bound,100,0,readwrite_random,302.3931097922,0.0,1.0406659474394375,0.0,302.42535197354664,0.0,1.036037688946167,0.0,30.0,5
unrepl-firsttouch,100,0,readwrite_random,260.9055640422,0.0,10.114495206674087,0.0,260.94019657728,0.0,10.110850862654878,0.0,30.0,5
unrepl-interleaved,100,0,readwrite_random,302.0650296686,0.0,2.4080753819463085,0.0,302.099228672,0.0,2.4028707929668562,0.0,30.0,5
default,95,5,readwrite_random,114.49057005520001,5.7992264771999995,6.61089052961234,0.320494158900775,114.50735970986666,5.7996877823999995,6.6117261381756105,0.3204580274594357,30.0,5
interleaved,95,5,readwrite_random,135.2943441228,6.6650994916,0.6389794168820346,0.06891914974374219,135.31237493418666,6.6655427242666665,0.636852725122303,0.0687906286234591,30.0,5
numabalancing,95,5,readwrite_random,113.5483696576,6.2264917136,4.667833568264082,0.2872852917123151,113.56573444778667,6.226990803626667,4.66714404439104,0.28733227130491124,30.0,5
repl,95,5,readwrite_random,270.6391735142,0.1105904222,1.3658784488053113,0.0017897927230434267,270.66623022421334,0.11059849898666667,1.3642278188575214,0.0017872941086033596,30.0,5
unrepl-bound,95,5,readwrite_random,269.59100383919997,0.11598027920000001,1.5485156132514286,0.002054784192970928,269.62334613504,0.11598801578666666,1.5468472355845793,0.002055221392887561,30.0,5
unrepl-firsttouch,95,5,readwrite_random,248.7482311532,0.108874048,14.886844496829818,0.0032571425728606844,248.78290075648002,0.10888134656,14.885933025588256,0.0032590469621897695,30.0,5
unrepl-interleaved,95,5,readwrite_random,234.3202347908,0.1000929174,1.2525959153230704,0.004392914514385215,234.34992820224002,0.10010165248,1.2557507194177053,0.004395009320797566,30.0,5
default,90,10,readwrite_random,92.1413871952,11.2174356422,11.703270812201396,0.9899286835105372,92.15422808064,11.218272256,11.704305931399999,0.9902127265902888,30.0,5
interleaved,90,10,readwrite_random,120.06723502259999,13.6656388004,0.255865911400012,0.06382550050470068,120.08244002816,13.666914303999999,0.2538501809993459,0.06384463320655673,30.0,5
