tag,test,n_prompt,n_gen,runs,test_time,avg_ns,avg_ts,stddev_ts
baseline,pp512,512,0,10,2026-08-30T05:48:15Z,9087984688,56.398400,1.877074
baseline,tg128,0,128,10,2026-08-30T05:49:55Z,34453357234,3.715175,0.005353
baseline-warmup,pp512,512,0,10,2026-08-30T05:56:15Z,9236775009,55.519310,2.310638
baseline-warmup,tg128,0,128,10,2026-08-30T05:57:57Z,34350768389,3.726266,0.003277
baseline-balancing,pp512,512,0,10,2026-08-30T06:04:11Z,9664294341,53.049600,2.051184
baseline-balancing,tg128,0,128,10,2026-08-30T06:05:56Z,34441041140,3.716522,0.010424
baseline-balancing-warmup,pp512,512,0,10,2026-08-30T06:12:16Z,9568751764,53.593690,2.265760
baseline-balancing-warmup,tg128,0,128,10,2026-08-30T06:14:01Z,34278207384,3.734301,0.024824
distribute,pp512,512,0,10,2026-08-30T06:19:45Z,8667327286,59.079070,0.659072
distribute,tg128,0,128,10,2026-08-30T06:21:46Z,25573548019,5.005183,0.008021
distribute-warmup,pp512,512,0,10,2026-08-30T06:26:35Z,8622754385,59.381510,0.497818
distribute-warmup,tg128,0,128,10,2026-08-30T06:28:10Z,32451700368,3.944333,0.006455
interleaved-distribute,pp512,512,0,10,2026-08-30T06:33:37Z,9700909020,52.796200,1.015670
interleaved-distribute,tg128,0,128,10,2026-08-30T06:35:50Z,24573461606,5.209138,0.039385
interleaved-distribute-warmup,pp512,512,0,10,2026-08-30T06:40:29Z,9345698081,54.798280,0.906268
interleaved-distribute-warmup,tg128,0,128,10,2026-08-30T06:42:12Z,25066008864,5.106527,0.007278
