round,mem_used,tag
0,655888.000000,mem_repl
1,656032.000000,mem_repl
2,654240.000000,mem_repl
3,654240.000000,mem_repl
4,657260.000000,mem_repl
5,654256.000000,mem_repl
6,654240.000000,mem_repl
7,656608.000000,mem_repl
8,654240.000000,mem_repl
9,654240.000000,mem_repl
10,657248.000000,mem_repl
11,654240.000000,mem_repl
12,655712.000000,mem_repl
13,653488.000000,mem_repl
14,654240.000000,mem_repl
15,657248.000000,mem_repl
16,654816.000000,mem_repl
17,654240.000000,mem_repl
18,654240.000000,mem_repl
19,657248.000000,mem_repl
