round,elapsed_ms,tag
0,0.023493,pgtable_norepl
1,0.022445,pgtable_norepl
2,0.024523,pgtable_norepl
3,0.025107,pgtable_norepl
4,0.023209,pgtable_norepl
5,0.024311,pgtable_norepl
6,0.026252,pgtable_norepl
7,0.025490,pgtable_norepl
8,0.022408,pgtable_norepl
9,0.023609,pgtable_norepl
10,0.022403,pgtable_norepl
11,0.024501,pgtable_norepl
12,0.023446,pgtable_norepl
13,0.025365,pgtable_norepl
14,0.025612,pgtable_norepl
15,0.022179,pgtable_norepl
16,0.023990,pgtable_norepl
17,0.024514,pgtable_norepl
18,0.025828,pgtable_norepl
19,0.024255,pgtable_norepl
