round,mem_used,tag
0,393232.000000,mem_repl
1,393040.000000,mem_repl
2,393080.000000,mem_repl
3,393124.000000,mem_repl
4,393140.000000,mem_repl
5,393124.000000,mem_repl
6,393120.000000,mem_repl
7,392904.000000,mem_repl
8,392860.000000,mem_repl
9,393248.000000,mem_repl
10,392784.000000,mem_repl
11,393528.000000,mem_repl
12,393052.000000,mem_repl
13,393160.000000,mem_repl
14,393128.000000,mem_repl
15,392408.000000,mem_repl
16,393140.000000,mem_repl
17,393136.000000,mem_repl
18,393260.000000,mem_repl
19,392788.000000,mem_repl
