round,elapsed_ms,tag
0,0.142378,pgtable_norepl
1,0.138625,pgtable_norepl
2,0.138142,pgtable_norepl
3,0.140465,pgtable_norepl
4,0.140593,pgtable_norepl
5,0.139846,pgtable_norepl
6,0.139940,pgtable_norepl
7,0.140676,pgtable_norepl
8,0.139784,pgtable_norepl
9,0.139496,pgtable_norepl
10,0.140807,pgtable_norepl
11,0.139941,pgtable_norepl
12,0.139401,pgtable_norepl
13,0.140927,pgtable_norepl
14,0.138864,pgtable_norepl
15,0.140715,pgtable_norepl
16,0.140621,pgtable_norepl
17,0.141363,pgtable_norepl
18,0.139382,pgtable_norepl
19,0.141187,pgtable_norepl
