round,elapsed_ms,tag
0,0.006896,pgtable_sync_baseline
1,0.006890,pgtable_sync_baseline
2,0.006895,pgtable_sync_baseline
3,0.006858,pgtable_sync_baseline
4,0.006841,pgtable_sync_baseline
5,0.006904,pgtable_sync_baseline
6,0.006899,pgtable_sync_baseline
7,0.006885,pgtable_sync_baseline
8,0.006882,pgtable_sync_baseline
9,0.006911,pgtable_sync_baseline
10,0.006866,pgtable_sync_baseline
11,0.006818,pgtable_sync_baseline
12,0.006744,pgtable_sync_baseline
13,0.006853,pgtable_sync_baseline
14,0.006859,pgtable_sync_baseline
15,0.006866,pgtable_sync_baseline
16,0.006927,pgtable_sync_baseline
17,0.006795,pgtable_sync_baseline
18,0.006891,pgtable_sync_baseline
19,0.006819,pgtable_sync_baseline
