round,elapsed_ms,tag
0,0.019927,pgtable_sync_repl_2n
1,0.019823,pgtable_sync_repl_2n
2,0.019742,pgtable_sync_repl_2n
3,0.019650,pgtable_sync_repl_2n
4,0.019268,pgtable_sync_repl_2n
5,0.019364,pgtable_sync_repl_2n
6,0.019734,pgtable_sync_repl_2n
7,0.019035,pgtable_sync_repl_2n
8,0.019679,pgtable_sync_repl_2n
9,0.019816,pgtable_sync_repl_2n
10,0.019656,pgtable_sync_repl_2n
11,0.019286,pgtable_sync_repl_2n
12,0.018006,pgtable_sync_repl_2n
13,0.019491,pgtable_sync_repl_2n
14,0.019563,pgtable_sync_repl_2n
15,0.019603,pgtable_sync_repl_2n
16,0.019528,pgtable_sync_repl_2n
17,0.019574,pgtable_sync_repl_2n
18,0.019616,pgtable_sync_repl_2n
19,0.019555,pgtable_sync_repl_2n
0,0.006920,pgtable_sync_norepl_2n
1,0.006808,pgtable_sync_norepl_2n
2,0.006774,pgtable_sync_norepl_2n
3,0.006969,pgtable_sync_norepl_2n
4,0.006808,pgtable_sync_norepl_2n
5,0.006758,pgtable_sync_norepl_2n
6,0.006838,pgtable_sync_norepl_2n
7,0.006797,pgtable_sync_norepl_2n
8,0.006883,pgtable_sync_norepl_2n
9,0.006769,pgtable_sync_norepl_2n
10,0.006895,pgtable_sync_norepl_2n
11,0.006830,pgtable_sync_norepl_2n
12,0.007000,pgtable_sync_norepl_2n
13,0.006913,pgtable_sync_norepl_2n
14,0.006783,pgtable_sync_norepl_2n
15,0.006764,pgtable_sync_norepl_2n
16,0.006707,pgtable_sync_norepl_2n
17,0.006723,pgtable_sync_norepl_2n
18,0.006730,pgtable_sync_norepl_2n
19,0.006760,pgtable_sync_norepl_2n
