round,elapsed_ms,tag
0,0.004108,pgtable_sync_off
1,0.004371,pgtable_sync_off
2,0.004150,pgtable_sync_off
3,0.004138,pgtable_sync_off
4,0.004149,pgtable_sync_off
5,0.004111,pgtable_sync_off
6,0.004140,pgtable_sync_off
7,0.004117,pgtable_sync_off
8,0.004136,pgtable_sync_off
9,0.004135,pgtable_sync_off
10,0.004099,pgtable_sync_off
11,0.004111,pgtable_sync_off
12,0.004106,pgtable_sync_off
13,0.004071,pgtable_sync_off
14,0.004097,pgtable_sync_off
15,0.004119,pgtable_sync_off
16,0.004087,pgtable_sync_off
17,0.004124,pgtable_sync_off
18,0.004160,pgtable_sync_off
19,0.004079,pgtable_sync_off
