round,elapsed_ms,tag
0,0.005783,pgtable_sync_repl_1n
1,0.005344,pgtable_sync_repl_1n
2,0.005352,pgtable_sync_repl_1n
3,0.005063,pgtable_sync_repl_1n
4,0.005976,pgtable_sync_repl_1n
5,0.005030,pgtable_sync_repl_1n
6,0.005214,pgtable_sync_repl_1n
7,0.005935,pgtable_sync_repl_1n
8,0.005080,pgtable_sync_repl_1n
9,0.005924,pgtable_sync_repl_1n
10,0.005086,pgtable_sync_repl_1n
11,0.005466,pgtable_sync_repl_1n
12,0.005873,pgtable_sync_repl_1n
13,0.005162,pgtable_sync_repl_1n
14,0.005909,pgtable_sync_repl_1n
15,0.005400,pgtable_sync_repl_1n
16,0.006153,pgtable_sync_repl_1n
17,0.005260,pgtable_sync_repl_1n
18,0.005912,pgtable_sync_repl_1n
19,0.005905,pgtable_sync_repl_1n
0,0.004143,pgtable_sync_norepl_1n
1,0.004130,pgtable_sync_norepl_1n
2,0.004206,pgtable_sync_norepl_1n
3,0.004129,pgtable_sync_norepl_1n
4,0.004142,pgtable_sync_norepl_1n
5,0.004140,pgtable_sync_norepl_1n
6,0.004177,pgtable_sync_norepl_1n
7,0.004324,pgtable_sync_norepl_1n
8,0.004122,pgtable_sync_norepl_1n
9,0.004126,pgtable_sync_norepl_1n
10,0.004119,pgtable_sync_norepl_1n
11,0.004125,pgtable_sync_norepl_1n
12,0.004237,pgtable_sync_norepl_1n
13,0.004129,pgtable_sync_norepl_1n
14,0.004128,pgtable_sync_norepl_1n
15,0.004151,pgtable_sync_norepl_1n
16,0.004126,pgtable_sync_norepl_1n
17,0.004136,pgtable_sync_norepl_1n
18,0.004149,pgtable_sync_norepl_1n
19,0.004133,pgtable_sync_norepl_1n
