time,total,free,available,dirty,anon,mapped,pageTable,vmallocTotal,vmallocUsed,own_VmRSS,own_RssAnon,own_RssFile,own_VmPTE,Node0_total,Node0_free,Node0_used,Node0_dirty,Node0_anon,Node0_mapped,Node0_pageTable,Node1_total,Node1_free,Node1_used,Node1_dirty,Node1_anon,Node1_mapped,Node1_pageTable,Node2_total,Node2_free,Node2_used,Node2_dirty,Node2_anon,Node2_mapped,Node2_pageTable,Node3_total,Node3_free,Node3_used,Node3_dirty,Node3_anon,Node3_mapped,Node3_pageTable
2026-08-29T11:53:43.782292,787867104,775118388,782194168,0,151272,151356,5276,34359738367,477612,16004,6884,9120,108,195746820,194997664,749156,0,15088,35256,1768,197386256,196774320,611936,0,6148,2292,496,197354244,196722848,631396,0,95236,97524,2080,197379784,186630612,10749172,0,34800,16284,932
2026-08-29T11:53:44.283734,787867104,777718892,782176616,4,167200,153560,5804,34359738367,477596,16072,6888,9184,108,195746820,194997896,748924,0,15088,35416,1768,197386256,196774320,611936,0,6128,2288,472,197354244,196707572,646672,0,110836,98512,2504,197379784,189239104,8140680,4,35148,17344,1060
2026-08-29T11:53:44.784570,787867104,780408860,781620228,8,695168,153560,9780,34359738367,489980,16072,6888,9184,108,195746820,194819264,927556,0,188600,35416,3164,197386256,196594096,792160,0,182340,2288,480,197354244,196531444,822800,4,287008,98512,2784,197379784,192472120,4907664,4,37220,17344,3352
2026-08-29T11:53:45.286324,787867104,783929572,782263536,8,174964,153560,10576,34359738367,489852,16072,6888,9184,108,195746820,194988736,758084,0,18792,35416,3816,197386256,196764360,621896,0,6472,2288,576,197354244,196695436,658808,4,110904,98512,2784,197379784,195489104,1890680,4,38796,17344,3400
2026-08-29T11:53:45.787759,787867104,785348712,782979944,528,172544,153056,10320,34359738367,489852,16072,6888,9184,108,195746820,194999504,747316,520,16180,35416,3800,197386256,196764192,622064,0,6664,2288,684,197354244,196695248,658996,4,109892,98008,2600,197379784,196889768,490016,4,39808,17344,3236
2026-08-29T11:53:46.288871,787867104,785355552,782986172,656,172684,152628,10024,34359738367,489852,16072,6888,9184,108,195746820,195004332,742488,520,16028,35416,3700,197386256,196764208,622048,0,6716,2288,652,197354244,196695368,658876,132,109880,97580,2472,197379784,196891644,488140,4,40060,17344,3200
2026-08-29T11:53:46.790176,787867104,785358352,782988972,660,172684,152628,10024,34359738367,489852,16072,6888,9184,108,195746820,195005020,741800,520,16028,35416,3700,197386256,196764240,622016,0,6716,2288,652,197354244,196695368,658876,132,109880,97580,2472,197379784,196893724,486060,8,40060,17344,3200
2026-08-29T11:53:47.291451,787867104,785362024,782992648,668,172948,152628,10024,34359738367,489852,16072,6888,9184,108,195746820,195010364,736456,528,16028,35416,3700,197386256,196764508,621748,0,6716,2288,652,197354244,196691800,662444,132,110144,97580,2472,197379784,196895352,484432,8,40060,17344,3200
2026-08-29T11:53:47.792581,787867104,785380620,783011264,668,172948,152628,9992,34359738367,489852,16076,6892,9184,108,195746820,195015400,731420,528,16028,35416,3692,197386256,196770860,615396,0,6716,2288,644,197354244,196698364,655880,132,110144,97580,2464,197379784,196895996,483788,8,40060,17344,3192
2026-08-29T11:53:48.293718,787867104,785384444,783015088,668,172948,152628,9992,34359738367,489852,16076,6892,9184,108,195746820,195018560,728260,528,16028,35416,3692,197386256,196770920,615336,0,6716,2288,644,197354244,196698380,655864,132,110144,97580,2464,197379784,196896584,483200,8,40060,17344,3192
