time,total,free,available,dirty,anon,mapped,pageTable,vmallocTotal,vmallocUsed,own_VmRSS,own_RssAnon,own_RssFile,own_VmPTE,Node0_total,Node0_free,Node0_used,Node0_dirty,Node0_anon,Node0_mapped,Node0_pageTable,Node1_total,Node1_free,Node1_used,Node1_dirty,Node1_anon,Node1_mapped,Node1_pageTable,Node2_total,Node2_free,Node2_used,Node2_dirty,Node2_anon,Node2_mapped,Node2_pageTable,Node3_total,Node3_free,Node3_used,Node3_dirty,Node3_anon,Node3_mapped,Node3_pageTable
2026-08-14T17:56:27.430818,787867124,783329592,782151172,500,174156,156020,6616,34359738367,477436,16020,6884,9136,104,195746820,194350532,1396288,184,120156,93452,3144,197354244,196240244,1114000,12,12268,30544,1508,197386256,196395760,990496,48,16968,31544,464,197379804,196345576,1034228,256,24764,480,1500
2026-08-14T17:56:27.931665,787867124,785212092,782908232,508,189608,157104,6816,34359738367,477436,16100,6900,9200,104,195746820,194802396,944424,192,135608,94440,3344,197354244,196713820,640424,12,12268,30552,1508,197386256,196877540,508716,48,16968,31628,464,197379804,196818336,561468,256,24764,484,1500
2026-08-14T17:56:28.432632,787867124,784709288,782351312,784,759760,163028,11712,34359738367,489804,16100,6900,9200,104,195746820,194619060,1127760,776,324880,94456,6200,197354244,196505124,849120,0,215176,35940,1832,197386256,196726756,659500,4,191876,32024,892,197379804,196858348,521456,4,27828,608,2788
2026-08-14T17:56:28.933751,787867124,785152464,782809404,784,254884,177744,12076,34359738367,490668,16100,6900,9200,104,195746820,194782900,963920,776,150852,94596,6352,197354244,196622640,731604,0,57956,50516,2024,197386256,196888576,497680,4,17836,32024,772,197379804,196858348,521456,4,28240,608,2928
2026-08-14T17:56:29.435116,787867124,785106648,782779812,784,273816,190732,12084,34359738367,491644,16100,6900,9200,104,195746820,194782900,963920,776,150972,94596,6352,197354244,196576824,777420,0,76660,63504,2032,197386256,196888576,497680,4,17888,32024,772,197379804,196858348,521456,4,28296,608,2928
2026-08-14T17:56:29.936213,787867124,785070800,782753828,784,289944,199844,12084,34359738367,491644,16100,6900,9200,104,195746820,194782900,963920,776,150972,94596,6352,197354244,196540976,813268,0,92788,72616,2032,197386256,196888576,497680,4,17888,32024,772,197379804,196858348,521456,4,28296,608,2928
2026-08-14T17:56:30.437239,787867124,785012152,782708836,784,314136,211492,12588,34359738367,491644,16100,6900,9200,104,195746820,194782900,963920,776,150972,94596,6352,197354244,196482328,871916,0,116980,84264,2536,197386256,196888576,497680,4,17888,32024,772,197379804,196858348,521456,4,28296,608,2928
2026-08-14T17:56:30.938456,787867124,784732080,782499620,792,453012,213644,13040,34359738367,491644,16100,6900,9200,104,195746820,194784972,961848,784,150944,94760,6208,197354244,196200076,1154168,0,255812,86252,3108,197386256,196888412,497844,4,17924,32024,912,197379804,196858364,521440,4,28332,608,2812
2026-08-14T17:56:31.439728,787867124,784432560,782273968,792,602516,213644,13320,34359738367,491644,16100,6900,9200,104,195746820,194784972,961848,784,150944,94760,6208,197354244,195900300,1453944,0,405316,86252,3400,197386256,196888412,497844,4,17924,32024,912,197379804,196858364,521440,4,28332,608,2812
2026-08-14T17:56:31.940808,787867124,784144736,782060512,792,749972,213644,13620,34359738367,491644,16100,6900,9200,104,195746820,194786864,959956,784,150944,94760,6208,197354244,195607572,1746672,0,552772,86252,3688,197386256,196891936,494320,4,17924,32024,912,197379804,196858364,521440,4,28332,608,2812
2026-08-14T17:56:32.441988,787867124,783851208,781840968,792,897428,213644,13908,34359738367,491644,16104,6904,9200,104,195746820,194787404,959416,784,150944,94760,6208,197354244,195312396,2041848,0,700228,86252,3976,197386256,196892188,494068,4,17924,32024,912,197379804,196858964,520840,4,28332,608,2812
2026-08-14T17:56:32.943187,787867124,783558532,781623428,792,1048984,213644,14204,34359738367,491644,16104,6904,9200,104,195746820,194791700,955120,784,150948,94760,6208,197354244,195012380,2341864,0,851780,86252,4272,197386256,196894668,491588,4,17924,32024,912,197379804,196859272,520532,4,28332,608,2812
