time,total,free,available,dirty,anon,mapped,pageTable,vmallocTotal,vmallocUsed,own_VmRSS,own_RssAnon,own_RssFile,own_VmPTE,Node0_total,Node0_free,Node0_used,Node0_dirty,Node0_anon,Node0_mapped,Node0_pageTable,Node1_total,Node1_free,Node1_used,Node1_dirty,Node1_anon,Node1_mapped,Node1_pageTable,Node2_total,Node2_free,Node2_used,Node2_dirty,Node2_anon,Node2_mapped,Node2_pageTable,Node3_total,Node3_free,Node3_used,Node3_dirty,Node3_anon,Node3_mapped,Node3_pageTable
2026-03-16T17:56:52.511652,787867248,758637388,774939140,36744,78420,77292,5316,34359738367,477396,17148,6836,10312,104,195746820,172907936,22838884,14988,65512,71576,4312,197354368,195375708,1978660,12408,2740,20,232,197386256,195320712,2065544,6176,4580,5572,440,197379804,195033032,2346772,3172,5588,124,332
2026-03-16T17:56:53.512510,787867248,763157816,774920812,36748,388448,78496,9912,34359738367,489684,17152,6840,10312,104,195746820,177463004,18283816,14992,170112,72700,6148,197354368,195334332,2020036,12408,104804,20,480,197386256,195301912,2084344,6176,105876,5572,588,197379804,195062096,2317708,3172,10176,204,2696
2026-03-16T17:56:54.514257,787867248,766889528,774845652,36748,89456,78504,9960,34359738367,489556,17156,6844,10312,104,195746820,181178840,14567980,14992,69844,72700,6160,197354368,195304844,2049524,12408,4020,20,492,197386256,195310520,2075736,6176,5096,5572,600,197379804,195096332,2283472,3172,10496,212,2708
2026-03-16T17:56:55.515978,787867248,771673752,774940920,36748,89516,78504,9960,34359738367,489556,17156,6844,10312,104,195746820,185756192,9990628,14992,69904,72700,6160,197354368,195372032,1982336,12408,4020,20,492,197386256,195380040,2006216,6176,5096,5572,600,197379804,195165488,2214316,3172,10496,212,2708
2026-03-16T17:56:56.517499,787867248,776593844,775128392,22776,80552,78492,8872,34359738367,489348,17156,6844,10312,104,195746820,190450220,5296600,12940,65080,72688,5120,197354368,195444588,1909780,5000,2352,20,472,197386256,195414016,1972240,1708,4008,5572,588,197379804,195285020,2094784,3128,9112,212,2692
2026-03-16T17:56:57.519059,787867248,778540492,776175416,22956,100348,79560,9236,34359738367,489364,17156,6844,10312,104,195746820,192205580,3541240,13112,85132,73756,5540,197354368,195545088,1809280,5004,2352,20,472,197386256,195500168,1886088,1708,3752,5572,532,197379804,195289656,2090148,3132,9112,212,2692
2026-03-16T17:56:58.520735,787867248,778983460,776635220,26732,121084,95708,9688,34359738367,490388,17156,6844,10312,104,195746820,192221472,3525348,16888,105676,89904,6000,197354368,195702520,1651848,5004,2416,20,472,197386256,195615944,1770312,1708,3816,5572,524,197379804,195443524,1936280,3132,9176,212,2692
2026-03-16T17:56:59.522339,787867248,778963224,776621748,31432,136192,98832,9740,34359738367,490388,17156,6844,10312,104,195746820,192203924,3542896,21588,120784,93028,6052,197354368,195702772,1651596,5004,2416,20,472,197386256,195615960,1770296,1708,3816,5572,524,197379804,195448632,1931172,3132,9176,212,2692
2026-03-16T17:57:00.524333,787867248,779497204,777171736,35580,152032,111380,10032,34359738367,491380,17156,6844,10312,104,195746820,192310712,3436108,25736,136440,105576,6344,197354368,195851416,1502952,5004,2476,20,472,197386256,195758664,1627592,1708,3880,5572,524,197379804,195576412,1803392,3132,9236,212,2692
2026-03-16T17:57:01.525948,787867248,779490668,777173812,34944,174208,116592,10176,34359738367,491380,17156,6844,10312,104,195746820,192293400,3453420,31212,158616,110788,6488,197354368,195851416,1502952,1096,2476,20,472,197386256,195763752,1622504,76,3880,5572,524,197379804,195582100,1797704,2560,9236,212,2692
2026-03-16T17:57:02.528050,787867248,779556812,777250232,39596,180688,123884,10208,34359738367,491380,17156,6844,10312,104,195746820,192308588,3438232,35864,165096,118080,6520,197354368,195872356,1482012,1096,2476,20,472,197386256,195792028,1594228,76,3880,5572,524,197379804,195583840,1795964,2560,9236,212,2692
2026-03-16T17:57:03.529650,787867248,779553788,777253708,44480,193908,125776,10240,34359738367,491380,17156,6844,10312,104,195746820,192280872,3465948,40748,178316,119972,6552,197354368,195876604,1477764,1096,2476,20,472,197386256,195804004,1582252,76,3880,5572,524,197379804,195588276,1791528,2560,9236,212,2692
2026-03-16T17:57:04.531301,787867248,779685708,777393584,46600,223512,132720,10412,34359738367,491380,17160,6848,10312,104,195746820,192306124,3440696,42868,207920,126916,6724,197354368,195897876,1456492,1096,2476,20,472,197386256,195821336,1564920,76,3880,5572,524,197379804,195660372,1719432,2560,9236,212,2692
2026-03-16T17:57:05.532801,787867248,779651620,777359500,46608,334976,132720,10628,34359738367,491380,17160,6848,10312,104,195746820,192259256,3487564,42868,319824,126916,6940,197354368,195901124,1453244,1096,2476,20,472,197386256,195827672,1558584,76,3880,5572,524,197379804,195663568,1716236,2568,9236,212,2692
2026-03-16T17:57:06.534415,787867248,779707388,777415288,46600,434104,132720,10820,34359738367,491380,17160,6848,10312,104,195746820,192222552,3524268,43836,418524,126916,7132,197354368,195931908,1422460,1096,2476,20,472,197386256,195860240,1526016,76,3880,5572,524,197379804,195692688,1687116,1592,9236,212,2692
2026-03-16T17:57:07.535488,787867248,779730720,777438620,46600,537636,132720,11020,34359738367,491364,17160,6848,10312,104,195746820,192192524,3554296,43836,522420,126916,7336,197354368,195949568,1404800,1096,2476,20,472,197386256,195885408,1500848,76,3880,5572,524,197379804,195703220,1676584,1592,9236,212,2692
2026-03-16T17:57:08.537089,787867248,780100144,777808044,46612,636224,132720,11216,34359738367,491364,17160,6848,10312,104,195746820,192208220,3538600,43848,620632,126916,7528,197354368,196074828,1279540,1096,2476,20,472,197386256,195979808,1406448,76,3880,5572,524,197379804,195837288,1542516,1592,9236,212,2692
2026-03-16T17:57:09.538756,787867248,779581844,777414384,289908,687776,132720,11320,34359738367,491364,17160,6848,10312,104,195746820,191683368,4063452,287648,672184,126916,7632,197354368,196078284,1276084,1096,2476,20,472,197386256,195982904,1403352,76,3880,5572,524,197379804,195837288,1542516,1592,9236,212,2692
2026-03-16T17:57:10.540451,787867248,779476700,777428808,521076,931584,133728,11620,34359738367,491364,17160,6848,10312,104,195746820,191447740,4299080,518312,916496,127924,7932,197354368,196106812,1247556,1096,2476,20,472,197386256,196010300,1375956,76,3880,5572,524,197379804,195911848,1467956,1592,9236,212,2692
2026-03-16T17:57:11.542074,787867248,779658420,777611416,507972,1154808,134968,13164,34359738367,493380,17160,6848,10312,104,195746820,191328872,4417948,506216,1138264,129124,9168,197354368,196213272,1141096,88,2724,20,576,197386256,196106016,1280240,76,4124,5612,636,197379804,196010260,1369544,1592,9696,212,2784
2026-03-16T17:57:12.543180,787867248,778948424,777143836,978824,1793936,135224,15100,34359738367,493380,17160,6848,10312,104,195746820,190704212,5042608,977332,903204,129380,9164,197354368,196189708,1164660,40,266932,20,1156,197386256,196039188,1347068,0,341168,5612,1372,197379804,196015316,1364488,1452,282632,212,3408
