time,total,free,available,dirty,anon,mapped,pageTable,vmallocTotal,vmallocUsed,own_VmRSS,own_RssAnon,own_RssFile,own_VmPTE,Node0_total,Node0_free,Node0_used,Node0_dirty,Node0_anon,Node0_mapped,Node0_pageTable,Node1_total,Node1_free,Node1_used,Node1_dirty,Node1_anon,Node1_mapped,Node1_pageTable,Node2_total,Node2_free,Node2_used,Node2_dirty,Node2_anon,Node2_mapped,Node2_pageTable,Node3_total,Node3_free,Node3_used,Node3_dirty,Node3_anon,Node3_mapped,Node3_pageTable
2026-08-19T19:11:07.288772,791008784,771365340,780983592,11780,172020,151060,5348,34359738367,477420,16112,6880,9232,112,196497176,184598224,11898952,32,49144,107548,1912,198172692,196277044,1895648,5068,16988,3316,504,198172692,196117620,2055072,4572,11644,820,200,198166224,194372452,3793772,2108,94244,39376,2732
2026-08-19T19:11:08.289645,791008784,776172708,780675584,0,724548,159448,9920,34359738367,489660,16120,6888,9232,112,196497176,188565116,7932060,0,245032,115364,3504,198172692,196600568,1572124,0,193564,3316,692,198172692,196184372,1988320,0,186784,820,440,198166224,194822652,3343572,0,99168,39948,5284
2026-08-19T19:11:09.290769,791008784,781662324,781294744,8,200516,159568,9964,34359738367,489532,16120,6888,9232,112,196497176,193697636,2799540,0,70928,115476,3512,198172692,196776256,1396436,0,17392,3316,700,198172692,196352620,1820072,0,12676,820,448,198166224,194835812,3330412,8,99520,39956,5304
2026-08-19T19:11:10.291966,791008784,784670968,782295252,724,226104,159764,10264,34359738367,489548,16120,6888,9232,112,196497176,194909244,1587932,536,67232,115484,3512,198172692,196896768,1275924,128,17128,2380,652,198172692,196488608,1684084,0,12676,820,448,198166224,196376348,1789876,60,129068,41080,5652
2026-08-19T19:11:11.292939,791008784,785163200,782805036,4252,239096,176656,9848,34359738367,490364,16120,6888,9232,112,196497176,195024764,1472412,536,66256,115476,3500,198172692,197012212,1160480,128,16208,2380,632,198172692,196655656,1517036,0,11456,820,432,198166224,196470568,1695656,3588,145176,57980,5284
2026-08-19T19:11:12.293850,791008784,785408572,783062680,8164,258316,184420,10088,34359738367,491356,16120,6888,9232,112,196497176,195048688,1448488,536,66288,115476,3500,198172692,197099276,1073416,128,16280,2380,624,198172692,196770344,1402348,0,11532,820,432,198166224,196490264,1675960,7500,164216,65744,5532
2026-08-19T19:11:13.295182,791008784,785410584,783078188,15108,275504,194064,10184,34359738367,491356,16120,6888,9232,112,196497176,195058084,1439092,628,66288,115476,3500,198172692,197099276,1073416,160,16280,2380,624,198172692,196770344,1402348,28,11532,820,432,198166224,196482880,1683344,14292,181404,75388,5628
2026-08-19T19:11:14.296498,791008784,785470448,783145624,19044,295012,198828,10244,34359738367,491356,16120,6888,9232,112,196497176,195063556,1433620,628,66288,115476,3500,198172692,197101408,1071284,160,16280,2380,624,198172692,196783004,1389688,28,11532,820,432,198166224,196522480,1643744,18228,200912,80152,5688
2026-08-19T19:11:15.297944,791008784,785439044,783124580,23624,309116,205600,10300,34359738367,491356,16124,6892,9232,112,196497176,195066288,1430888,628,66288,115476,3500,198172692,197102344,1070348,160,16280,2380,624,198172692,196785380,1387312,28,11532,820,432,198166224,196485032,1681192,22808,215016,86924,5744
2026-08-19T19:11:16.299290,791008784,785406448,783100664,27860,334540,210124,10352,34359738367,491356,16124,6892,9232,112,196497176,195075660,1421516,632,66288,115476,3500,198172692,197104868,1067824,160,16280,2380,624,198172692,196785380,1387312,28,11532,820,432,198166224,196440540,1725684,27040,240440,91448,5796
2026-08-19T19:11:17.301261,791008784,785746864,783444436,28528,334636,213460,10456,34359738367,491340,16124,6892,9232,112,196497176,195155140,1342036,632,66288,115476,3500,198172692,197184068,988624,160,16104,2380,624,198172692,196898976,1273716,28,11532,820,432,198166224,196508680,1657544,27708,240712,94784,5900
2026-08-19T19:11:18.303093,791008784,785776296,783473916,29608,370560,213460,10528,34359738367,491340,16124,6892,9232,112,196497176,195185040,1312136,636,66288,115476,3500,198172692,197198828,973864,164,16104,2380,624,198172692,196911160,1261532,28,11532,820,432,198166224,196481268,1684956,28780,276636,94784,5972
2026-08-19T19:11:19.304316,791008784,785938440,783636060,29608,394892,213460,10576,34359738367,491340,16124,6892,9232,112,196497176,195229388,1267788,636,66288,115476,3500,198172692,197241680,931012,164,16104,2380,624,198172692,196956000,1216692,28,11532,820,432,198166224,196511372,1654852,28780,300968,94784,6020
