time,total,free,available,dirty,anon,mapped,pageTable,vmallocTotal,vmallocUsed,own_VmRSS,own_RssAnon,own_RssFile,own_VmPTE,Node0_total,Node0_free,Node0_used,Node0_dirty,Node0_anon,Node0_mapped,Node0_pageTable,Node1_total,Node1_free,Node1_used,Node1_dirty,Node1_anon,Node1_mapped,Node1_pageTable,Node2_total,Node2_free,Node2_used,Node2_dirty,Node2_anon,Node2_mapped,Node2_pageTable,Node3_total,Node3_free,Node3_used,Node3_dirty,Node3_anon,Node3_mapped,Node3_pageTable
2026-08-27T14:52:14.790946,787867096,747193984,778259052,0,174344,150516,4844,34359738367,477780,16012,6876,9136,108,195714808,176231732,19483076,0,67032,59448,3104,197386256,190896640,6489616,0,26440,25928,744,197386256,190702564,6683692,0,33276,1492,224,197379776,189363048,8016728,0,47596,63648,772
2026-08-27T14:52:15.792055,787867096,756941752,778127520,4,725424,155376,10444,34359738367,490132,16084,6884,9200,108,195714808,178837928,16876880,0,249748,60000,5492,197386256,193293544,4092712,0,202908,26052,2128,197386256,193033092,4353164,4,206228,1504,720,197379776,191781340,5598436,0,66540,67820,2104
2026-08-27T14:52:16.793188,787867096,767497944,778815140,8,201380,155500,9612,34359738367,490004,16084,6884,9200,108,195714808,180931192,14783616,4,71556,60000,5232,197386256,195857180,1529076,0,28812,26052,1876,197386256,195736360,1649896,4,34184,1504,480,197379776,194982272,2397504,0,66828,67944,2024
2026-08-27T14:52:17.794586,787867096,773299640,778903916,8,201436,155500,9612,34359738367,490004,16084,6884,9200,108,195714808,185264232,10450576,4,71612,60000,5232,197386256,196237860,1148396,0,28812,26052,1876,197386256,195908428,1477828,4,34184,1504,480,197379776,195898696,1481080,0,66828,67944,2024
2026-08-27T14:52:18.795707,787867096,778242888,779033076,8,194736,155500,8932,34359738367,489828,16084,6884,9200,108,195714808,190171804,5543004,4,67972,60000,4588,197386256,196244732,1141524,0,27580,26052,1864,197386256,195918520,1467736,4,33536,1504,472,197379776,195907832,1471944,0,65648,67944,2008
2026-08-27T14:52:19.796604,787867096,782387092,780015048,836,214728,155492,9292,34359738367,489844,16084,6884,9200,108,195714808,194087100,1627708,780,91256,59992,4952,197386256,196325164,1061092,0,27316,26052,1828,197386256,196038956,1347300,20,30508,1504,488,197379776,195935872,1443904,36,65648,67944,2024
2026-08-27T14:52:20.797746,787867096,782015120,779722008,984,817056,222120,16852,34359738367,502100,16084,6884,9200,108,195714808,193951116,1763692,804,231332,118324,6664,197386256,196237652,1148604,0,154904,26628,2432,197386256,196024560,1361696,20,154608,1828,1144,197379776,195801540,1578236,160,276276,75404,6612
2026-08-27T14:52:21.798997,787867096,781718128,779729504,984,1079756,522136,21136,34359738367,502100,16088,6888,9200,108,195714808,193726516,1988292,804,234484,418160,8348,197386256,196219636,1166620,0,236288,26628,2992,197386256,196019624,1366632,20,234976,1944,1648,197379776,195752352,1627424,160,374200,75404,8152
2026-08-27T14:52:22.800077,787867096,781093732,779366936,984,1626960,790036,24180,34359738367,502100,16088,6888,9200,108,195714808,193377920,2336888,804,334176,685164,9728,197386256,196053676,1332580,0,439632,27220,3660,197386256,195935684,1450572,20,388524,1980,2224,197379776,195726200,1653576,160,464628,75736,8568
2026-08-27T14:52:23.801160,787867096,779763936,778431068,984,3002844,993208,30048,34359738367,502100,16088,6888,9200,108,195714808,192808144,2906664,804,659784,888012,11492,197386256,195724428,1661828,0,831212,27404,5204,197386256,195732500,1653756,20,725120,2156,3544,197379776,195494516,1885260,160,789400,75828,9812
2026-08-27T14:52:24.802209,787867096,779248336,778674892,984,3262784,1250252,33076,34359738367,502068,16088,6888,9200,108,195714808,192494076,3220732,804,612660,1144824,11628,197386256,195679120,1707136,0,893996,27452,6120,197386256,195662108,1724148,20,835384,2156,4508,197379776,195412780,1966996,160,920808,75884,10820
2026-08-27T14:52:25.803306,787867096,778475828,778718820,1012,4101128,1545296,37088,34359738367,502068,16088,6888,9200,108,195714808,192244040,3470768,812,700700,1439560,12148,197386256,195473828,1912428,0,1167476,27516,7272,197386256,195556152,1830104,28,1064256,2160,5712,197379776,195201808,2177968,172,1168696,76060,11956
2026-08-27T14:52:26.804710,787867096,777768356,778595400,1052,4597224,1663604,38664,34359738367,502068,16088,6888,9200,108,195714808,192091312,3623496,844,722328,1557732,12348,197386256,195234388,2151868,0,1347028,27572,7736,197386256,195366852,2019404,32,1203280,2176,6152,197379776,195075804,2303972,176,1324588,76124,12428
2026-08-27T14:52:27.805797,787867096,777244776,778740424,1068,5054212,1903776,39608,34359738367,502068,16088,6888,9200,108,195714808,191857520,3857288,852,797744,1797744,12492,197386256,195078000,2308256,0,1539456,27592,8084,197386256,195323704,2062552,32,1288784,2236,6348,197379776,194985552,2394224,184,1428732,76204,12684
