time,total,free,available,dirty,anon,mapped,pageTable,vmallocTotal,vmallocUsed,own_VmRSS,own_RssAnon,own_RssFile,own_VmPTE,Node0_total,Node0_free,Node0_used,Node0_dirty,Node0_anon,Node0_mapped,Node0_pageTable,Node1_total,Node1_free,Node1_used,Node1_dirty,Node1_anon,Node1_mapped,Node1_pageTable,Node2_total,Node2_free,Node2_used,Node2_dirty,Node2_anon,Node2_mapped,Node2_pageTable,Node3_total,Node3_free,Node3_used,Node3_dirty,Node3_anon,Node3_mapped,Node3_pageTable
2026-08-27T15:28:37.525432,787867096,771349560,782059176,0,167008,151336,4196,34359738367,477588,15816,6880,8936,108,195714808,194787520,927288,0,21016,58256,1984,197386256,196818008,568248,0,44788,25856,944,197386256,182933844,14452412,0,58948,6660,472,197379776,196810188,569588,0,42256,60564,796
2026-08-27T15:28:38.526494,787867096,776634104,781470092,4,716608,154520,9040,34359738367,489892,15888,6888,9000,108,195714808,194591476,1123332,0,202336,58976,3584,197386256,196640632,745624,4,218552,26100,1332,197386256,188625040,8761216,0,249548,8312,1156,197379776,196776956,602820,0,46172,61132,2968
2026-08-27T15:28:39.527584,787867096,782249256,781964484,8,193048,154640,9128,34359738367,489764,15888,6888,9000,108,195714808,194755684,959124,0,24136,58976,3600,197386256,196804472,581784,4,46504,26100,1340,197386256,193912624,3473632,4,75436,8432,1156,197379776,196776476,603300,0,46972,61132,3032
2026-08-27T15:28:40.528630,787867096,785138204,782779804,656,226788,170064,9528,34359738367,489796,15888,6888,9000,108,195714808,194757912,956896,648,24192,58092,3600,197386256,196804844,581412,4,46504,26112,1340,197386256,196790364,595892,4,109120,24728,1556,197379776,196784580,595196,0,46972,61132,3032
2026-08-27T15:28:41.529768,787867096,784476984,782223740,656,835692,315884,17984,34359738367,502084,15888,6888,9000,108,195714808,194627884,1086924,648,150016,88836,4324,197386256,196697552,688704,4,172676,57332,2100,197386256,196486204,900052,4,329724,77156,7724,197379776,196665344,714432,0,183360,92672,3844
2026-08-27T15:28:42.530927,787867096,784175496,782106580,656,844016,623484,19652,34359738367,502116,15888,6888,9000,108,195714808,194549836,1164972,648,152128,166772,4752,197386256,196627244,759012,4,174908,131836,2492,197386256,196405996,980260,4,331752,156544,8148,197379776,196592420,787356,0,185228,168332,4260
2026-08-27T15:28:43.532439,787867096,783048956,781134008,776,1769044,877872,23172,34359738367,502116,15888,6888,9000,108,195714808,194314068,1400740,688,350756,219996,5500,197386256,196342792,1043464,24,397980,196372,3392,197386256,196061612,1324644,24,620440,236372,9208,197379776,196330484,1049292,40,399868,225288,5072
2026-08-27T15:28:44.533754,787867096,781963140,780219372,776,2526136,1113432,25500,34359738367,502116,15888,6888,9000,108,195714808,194030544,1684264,688,535636,280032,6076,197386256,196064588,1321668,24,602324,257580,3972,197386256,195808084,1578172,24,803828,293472,9776,197379776,196059672,1320104,40,584952,282348,5676
2026-08-27T15:28:45.534734,787867096,781739656,780194760,776,2241156,1387088,25524,34359738367,502116,15892,6892,9000,108,195714808,193973060,1741748,688,489172,349072,6080,197386256,196038680,1347576,24,500420,327772,3960,197386256,195754588,1631668,24,710552,360692,9780,197379776,195973328,1406448,40,541012,349552,5704
2026-08-27T15:28:46.536186,787867096,780936772,779550900,784,2673160,1627752,27208,34359738367,502116,15892,6892,9000,108,195714808,193777428,1937380,696,615112,410008,6476,197386256,195777332,1608924,24,652812,386092,4360,197386256,195559024,1827232,24,808208,419120,10284,197379776,195822988,1556788,40,597032,412532,6088
2026-08-27T15:28:47.537803,787867096,780797332,779773276,784,2465952,1864572,27048,34359738367,502084,15892,6892,9000,108,195714808,193777636,1937172,696,549696,448304,6300,197386256,195760256,1626000,24,574728,440560,4304,197386256,195500668,1885588,24,770508,485308,10328,197379776,195758772,1621004,40,571164,490464,6116
2026-08-27T15:28:48.538860,787867096,780047084,779283136,784,3068192,1979852,28008,34359738367,502084,15892,6892,9000,108,195714808,193590820,2123988,696,716992,477872,6584,197386256,195560656,1825600,24,720880,469324,4552,197386256,195217500,2168756,24,1026080,514840,10740,197379776,195679004,1700772,40,604016,517816,6132
2026-08-27T15:28:49.545533,787867096,780415556,779789760,788,2437492,1981180,27388,34359738367,502084,15892,6892,9000,108,195714808,193723840,1990968,696,525704,478180,6504,197386256,195613076,1773180,28,614092,469496,4384,197386256,195339232,2047024,24,785100,515412,10492,197379776,195739408,1640368,40,512596,518092,6008
2026-08-27T15:28:50.546929,787867096,780365468,779767716,804,2470360,1981180,27624,34359738367,502084,15892,6892,9000,108,195714808,193712592,2002216,704,504064,478180,6520,197386256,195621904,1764352,28,633868,469496,4452,197386256,195439352,1946904,24,715448,515412,10428,197379776,195591620,1788156,48,617264,518092,6224
2026-08-27T15:28:51.549520,787867096,780032008,779606828,804,2736308,1981180,28088,34359738367,502084,15892,6892,9000,108,195714808,193599532,2115276,704,609140,478180,6644,197386256,195654416,1731840,28,578928,469496,4452,197386256,195319592,2066664,24,838840,515412,10512,197379776,195458792,1920984,48,709476,518092,6480
2026-08-27T15:28:52.550612,787867096,780161472,779622040,804,2554320,1981180,28292,34359738367,502068,15892,6892,9000,108,195714808,193631460,2083348,704,574288,478180,6696,197386256,195634220,1752036,28,587908,469496,4588,197386256,195377840,2008416,24,752620,515412,10512,197379776,195517952,1861824,48,639504,518092,6496
2026-08-27T15:28:53.553522,787867096,780073836,779501232,804,2725020,1981180,28436,34359738367,502068,15892,6892,9000,108,195714808,193642908,2071900,704,574648,478180,6680,197386256,195482320,1903936,28,758636,469496,4784,197386256,195370268,2015988,24,797820,515412,10608,197379776,195578340,1801436,48,593916,518092,6364
2026-08-27T15:28:54.554910,787867096,780005248,779572904,804,2758324,1981180,28544,34359738367,502084,15892,6892,9000,108,195714808,193627340,2087468,704,577548,478180,6676,197386256,195522048,1864208,28,714752,469496,4692,197386256,195355208,2031048,24,816840,515412,10636,197379776,195500652,1879124,48,649184,518092,6540
2026-08-27T15:28:55.557547,787867096,779910068,779352400,804,2856200,1981180,28892,34359738367,502068,15892,6892,9000,108,195714808,193571616,2143192,704,647608,478180,6832,197386256,195538512,1847744,28,698808,469496,4772,197386256,195287492,2098764,24,877924,515412,10784,197379776,195512448,1867328,48,631860,518092,6504
2026-08-27T15:28:56.558977,787867096,779972288,779477040,804,2756664,1981180,28540,34359738367,502068,15892,6892,9000,108,195714808,193640904,2073904,704,554476,478180,6736,197386256,195513508,1872748,28,706428,469496,4596,197386256,195412336,1973920,24,747828,515412,10560,197379776,195405540,1974236,48,745884,518092,6648
2026-08-27T15:28:57.560033,787867096,779985036,779501416,812,2691308,1981180,28548,34359738367,502068,15892,6892,9000,108,195714808,193622612,2092196,712,538880,478180,6768,197386256,195552904,1833352,28,650764,469496,4608,197386256,195354636,2031620,24,826120,515412,10668,197379776,195454884,1924892,48,675544,518092,6504
2026-08-27T15:28:58.561101,787867096,780014864,779436876,812,2683300,1981180,28684,34359738367,502068,15892,6892,9000,108,195714808,193598188,2116620,712,610012,478180,6808,197386256,195506284,1879972,28,648032,469496,4680,197386256,195389536,1996720,24,798276,515412,10668,197379776,195520856,1858920,48,627484,518092,6528
2026-08-27T15:28:59.562179,787867096,779582444,779134532,812,3216352,1981180,29036,34359738367,502068,15892,6892,9000,108,195714808,193560324,2154484,712,648256,478180,6740,197386256,195413188,1973068,28,828776,469496,4900,197386256,195287096,2099160,24,898628,515412,10616,197379776,195317804,2061972,48,840692,518092,6780
2026-08-27T15:29:00.563192,787867096,779969248,779496216,816,2594632,1981180,28588,34359738367,502068,15892,6892,9000,108,195714808,193583856,2130952,712,567080,478180,6788,197386256,195491228,1895028,28,680308,469496,4748,197386256,195365460,2020796,24,766232,515412,10552,197379776,195528704,1851072,52,581012,518092,6500
2026-08-27T15:29:01.565555,787867096,779978348,779493744,816,2667404,1981180,28688,34359738367,502068,15896,6896,9000,108,195714808,193609628,2105180,712,572100,478180,6780,197386256,195549132,1837124,28,650896,469496,4756,197386256,195300388,2085868,24,835404,515412,10612,197379776,195523296,1856480,52,604912,518092,6540
2026-08-27T15:29:02.569534,787867096,779864832,779338132,832,2711356,1981180,28736,34359738367,502068,15896,6896,9000,108,195714808,193571872,2142936,712,575388,478180,6760,197386256,195538952,1847304,32,628508,469496,4728,197386256,195288600,2097656,24,852084,515412,10736,197379776,195465408,1914368,64,655376,518092,6512
2026-08-27T15:29:03.570939,787867096,780058236,779590204,832,2444600,1981180,28616,34359738367,502068,15896,6896,9000,108,195714808,193611536,2103272,712,524808,478180,6732,197386256,195636108,1750148,32,549164,469496,4628,197386256,195382052,2004204,24,721924,515412,10556,197379776,195428540,1951236,64,648704,518092,6700
2026-08-27T15:29:04.572482,787867096,779892896,779366276,840,2751120,1981180,28916,34359738367,502068,15896,6896,9000,108,195714808,193697308,2017500,720,492668,478180,6680,197386256,195572156,1814100,32,623928,469496,4676,197386256,195373840,2012416,24,765996,515412,10564,197379776,195249592,2130184,64,868528,518092,6996
2026-08-27T15:29:05.573525,787867096,779684820,779219924,840,2982724,1981180,29276,34359738367,502068,15896,6896,9000,108,195714808,193514540,2200268,720,689748,478180,6956,197386256,195511820,1874436,32,717700,469496,4896,197386256,195343780,2042476,24,807256,515412,10700,197379776,195314680,2065096,64,768020,518092,6724
2026-08-27T15:29:06.574593,787867096,779988784,779364040,840,2685580,1981180,29192,34359738367,502068,15896,6896,9000,108,195714808,193565456,2149352,720,628588,478180,6924,197386256,195595824,1790432,32,622220,469496,4864,197386256,195331216,2055040,24,819452,515412,10736,197379776,195496288,1883488,64,615320,518092,6668
2026-08-27T15:29:07.575858,787867096,779896296,779442908,840,2727348,1981180,29060,34359738367,502068,15896,6896,9000,108,195714808,193580052,2134756,720,591596,478180,6832,197386256,195589624,1796632,32,613760,469496,4768,197386256,195330128,2056128,24,788560,515412,10576,197379776,195396492,1983284,64,733432,518092,6884
2026-08-27T15:29:08.576996,787867096,779922152,779449120,656,2691336,1981180,29136,34359738367,502068,15896,6896,9000,108,195714808,193452136,2262672,648,707016,478180,7072,197386256,195629052,1757204,0,612836,469496,4740,197386256,195343136,2043120,4,748524,515412,10604,197379776,195497828,1881948,4,622960,518092,6720
2026-08-27T15:29:09.578417,787867096,779649244,779090640,680,2953060,1981180,29780,34359738367,502068,15896,6896,9000,108,195714808,193443476,2271332,652,693136,478180,7052,197386256,195537616,1848640,4,698656,469496,4976,197386256,195219656,2166600,16,873836,515412,10876,197379776,195448496,1931280,8,687432,518092,6876
2026-08-27T15:29:10.579410,787867096,780010524,779423164,680,2656268,1981180,28916,34359738367,502068,15896,6896,9000,108,195714808,193393188,2321620,652,774248,478180,7052,197386256,195669564,1716692,4,579876,469496,4680,197386256,195429484,1956772,16,687256,515412,10540,197379776,195518288,1861488,8,614888,518092,6644
