time,total,free,available,dirty,anon,mapped,pageTable,vmallocTotal,vmallocUsed,own_VmRSS,own_RssAnon,own_RssFile,own_VmPTE,Node0_total,Node0_free,Node0_used,Node0_dirty,Node0_anon,Node0_mapped,Node0_pageTable,Node1_total,Node1_free,Node1_used,Node1_dirty,Node1_anon,Node1_mapped,Node1_pageTable,Node2_total,Node2_free,Node2_used,Node2_dirty,Node2_anon,Node2_mapped,Node2_pageTable,Node3_total,Node3_free,Node3_used,Node3_dirty,Node3_anon,Node3_mapped,Node3_pageTable
2026-08-19T14:05:40.056629,787867136,776980032,781666124,232,175768,157220,7836,34359738367,477588,16844,6884,9960,108,195746820,194637380,1109440,68,62232,80956,2672,197386256,196625704,760552,72,66076,19440,1692,197354244,188895528,8458716,40,39616,56236,2512,197379816,196825956,553860,52,7844,588,960
2026-08-19T14:05:41.057484,787867136,783248148,781430844,4,720980,159544,10804,34359738367,489924,16852,6892,9960,108,195746820,194443228,1303592,0,244132,81380,5492,197386256,196443516,942740,0,257476,20388,2136,197354244,195531768,1822476,4,211136,57132,2456,197379816,196837700,542116,0,8236,644,720
2026-08-19T14:05:42.058553,787867136,784431168,782261112,376764,190380,185708,11580,34359738367,489988,16852,6892,9960,108,195746820,194622924,1123896,772,62696,81380,5508,197386256,196187020,1199236,375984,82504,46552,2880,197354244,196780020,574224,4,39584,57132,2472,197379816,196841204,538612,4,5596,644,720
2026-08-19T14:05:43.059655,787867136,784019776,782060496,566028,188984,185780,11084,34359738367,489988,16852,6892,9960,108,195746820,194624784,1122036,772,62260,81380,5508,197386256,195771220,1615036,565248,82056,46624,2384,197354244,196780900,573344,4,39088,57132,2472,197379816,196842872,536944,4,5580,644,720
2026-08-19T14:05:44.060574,787867136,784056656,782097376,163612,188988,185780,11084,34359738367,489988,16852,6892,9960,108,195746820,194632728,1114092,772,62260,81380,5508,197386256,195781556,1604700,157792,82060,46624,2384,197354244,196784784,569460,4,39088,57132,2472,197379816,196857588,522228,4,5580,644,720
2026-08-19T14:05:45.061893,787867136,784217900,781915416,904,237168,263756,16160,34359738367,492004,16852,6892,9960,108,195746820,194629816,1117004,788,80044,81380,6884,197386256,195968584,1417672,76,84336,124612,4680,197354244,196752284,601960,28,67488,57132,3668,197379816,196867216,512600,12,5816,644,928
2026-08-19T14:05:46.062925,787867136,783693984,781657044,916,486784,545920,18216,34359738367,492004,16852,6892,9960,108,195746820,194524816,1222004,800,187364,81380,7052,197386256,195707024,1679232,76,84592,406828,4972,197354244,196600292,753952,28,204692,57132,4016,197379816,196861852,517964,12,10212,644,2176
2026-08-19T14:05:47.063911,787867136,783007348,781306516,924,882324,822952,18304,34359738367,492004,16852,6892,9960,108,195746820,194315288,1431532,804,378504,81380,7052,197386256,195435984,1950272,76,84596,683852,4972,197354244,196437260,916984,32,363952,57132,4016,197379816,196818816,561000,12,55332,644,2264
2026-08-19T14:05:48.064878,787867136,781519924,780973128,924,2071752,967756,18304,34359738367,492004,16852,6892,9960,108,195746820,193830072,1916748,804,840768,81380,7052,197386256,195301952,2084304,76,84596,828600,4972,197354244,195953480,1400764,32,782288,57132,4016,197379816,196434420,945396,12,364604,644,2264
2026-08-19T14:05:49.066442,787867136,781125644,781058704,924,2545888,972716,18304,34359738367,492004,16856,6896,9960,108,195746820,193834208,1912612,804,848704,81380,7052,197386256,195313828,2072428,76,84596,833560,4972,197354244,195932412,1421832,32,825256,57132,4016,197379816,196045196,1334620,12,787332,644,2264
