time,total,free,available,dirty,anon,mapped,pageTable,vmallocTotal,vmallocUsed,own_VmRSS,own_RssAnon,own_RssFile,own_VmPTE,Node0_total,Node0_free,Node0_used,Node0_dirty,Node0_anon,Node0_mapped,Node0_pageTable,Node1_total,Node1_free,Node1_used,Node1_dirty,Node1_anon,Node1_mapped,Node1_pageTable,Node2_total,Node2_free,Node2_used,Node2_dirty,Node2_anon,Node2_mapped,Node2_pageTable,Node3_total,Node3_free,Node3_used,Node3_dirty,Node3_anon,Node3_mapped,Node3_pageTable
2026-04-05T02:47:31.191231,791008800,781279316,785238500,96,85132,61024,7332,34359738367,475304,16592,6836,9756,104,196529152,192675640,3853512,56,28944,52684,2964,198172692,196282236,1890456,12,9892,7508,1576,198140712,196172268,1968444,0,4216,168,1868,198166244,196149172,2017072,28,42080,664,924
2026-04-05T02:47:32.192632,791008800,786763352,784954164,16,614360,63476,9832,34359738367,487624,16616,6840,9776,104,196529152,194934648,1594504,16,205872,54532,3908,198172692,197233508,939184,0,183396,7508,640,198140712,197243940,896772,0,178248,212,1732,198166244,197351256,814988,0,46844,1224,3552
2026-04-05T02:47:33.194485,791008800,788088904,785848068,353464,91224,88768,10520,34359738367,487624,16620,6844,9776,104,196529152,195565080,964072,660,31776,54528,3912,198172692,197639924,532768,4,7344,6636,652,198140712,197683960,456752,0,4168,212,1744,198166244,197199940,966304,353304,47936,27392,4212
2026-04-05T02:47:34.196179,791008800,787646236,785628036,590488,90860,88820,10024,34359738367,487624,16620,6844,9776,104,196529152,195565496,963656,660,31820,54528,3912,198172692,197640152,532540,4,7256,6636,652,198140712,197684204,456508,0,4148,212,1744,198166244,196756384,1409860,589824,47636,27444,3716
2026-04-05T02:47:35.197768,791008800,787650776,785632576,172696,90868,88820,10024,34359738367,487624,16620,6844,9776,104,196529152,195567664,961488,660,31824,54528,3912,198172692,197640168,532524,4,7256,6636,652,198140712,197686308,454404,0,4148,212,1744,198166244,196756636,1409608,172032,47640,27444,3716
2026-04-05T02:47:36.199341,791008800,787851100,785458728,808,93340,149124,12440,34359738367,489656,16620,6844,9776,104,196529152,195571500,957652,688,31824,54528,3912,198172692,197643868,528824,28,7256,6636,652,198140712,197659128,481584,4,4164,30612,1744,198166244,196976604,1189640,88,50096,57416,6132
2026-04-05T02:47:37.200907,791008800,787471004,785213220,816,95096,418068,12600,34359738367,489656,16620,6844,9776,104,196529152,195571488,957664,696,31824,55220,3912,198172692,197640736,531956,28,7256,9624,652,198140712,197466468,674244,4,4164,172024,1736,198166244,196792312,1373932,88,51852,182060,6300
2026-04-05T02:47:38.202510,791008800,787202136,785076984,816,95100,684080,12600,34359738367,489656,16620,6844,9776,104,196529152,195557336,971816,696,31824,69632,3912,198172692,197635480,537212,28,7256,13992,652,198140712,197302292,838420,4,4164,316712,1736,198166244,196705012,1461232,88,51856,283812,6300
2026-04-05T02:47:39.205267,791008800,787020048,784988960,824,95100,874212,12600,34359738367,489656,16620,6844,9776,104,196529152,195470600,1058552,700,31824,142140,3912,198172692,197631448,541244,28,7256,19792,652,198140712,197255048,885664,8,4164,364076,1736,198166244,196662952,1503292,88,51856,348204,6300
2026-04-05T02:47:40.209247,791008800,787038624,785008440,824,95100,875752,12600,34359738367,489656,16620,6844,9776,104,196529152,195470096,1059056,700,31824,142888,3912,198172692,197633512,539180,28,7256,19820,652,198140712,197257136,883576,8,4164,364384,1736,198166244,196677880,1488364,88,51856,348660,6300
2026-04-05T02:47:41.213245,791008800,787049048,785018864,824,95100,875768,12600,34359738367,489624,16620,6844,9776,104,196529152,195471504,1057648,700,31824,142888,3912,198172692,197633832,538860,28,7256,19824,652,198140712,197257248,883464,8,4164,364396,1736,198166244,196686464,1479780,88,51856,348660,6300
2026-04-05T02:47:42.217256,791008800,787066664,785036540,824,94772,875768,12600,34359738367,489624,16620,6844,9776,104,196529152,195473888,1055264,700,31648,142888,3912,198172692,197638292,534400,28,7256,19824,652,198140712,197258524,882188,8,4164,364396,1736,198166244,196695960,1470284,88,51704,348660,6300
2026-04-05T02:47:43.221249,791008800,787084132,785054008,828,94772,875768,12600,34359738367,489624,16620,6844,9776,104,196529152,195477680,1051472,704,31648,142888,3912,198172692,197638544,534148,28,7256,19824,652,198140712,197259816,880896,8,4164,364396,1736,198166244,196708092,1458152,88,51704,348660,6300
2026-04-05T02:47:44.225253,791008800,787099784,785069660,836,94772,875768,12600,34359738367,489608,16620,6844,9776,104,196529152,195481212,1047940,712,31648,142888,3912,198172692,197638796,533896,28,7256,19824,652,198140712,197261440,879272,8,4164,364396,1736,198166244,196718336,1447908,88,51704,348660,6300
2026-04-05T02:47:45.229254,791008800,787122544,785092420,844,94772,875768,12600,34359738367,489608,16620,6844,9776,104,196529152,195485104,1044048,712,31648,142888,3912,198172692,197638812,533880,28,7256,19824,652,198140712,197268956,871756,8,4164,364396,1736,198166244,196729672,1436572,96,51704,348660,6300
2026-04-05T02:47:46.233243,791008800,787143812,785113688,844,94772,875768,12600,34359738367,489608,16620,6844,9776,104,196529152,195485248,1043904,712,31648,142888,3912,198172692,197639044,533648,28,7256,19824,652,198140712,197275276,865436,8,4164,364396,1736,198166244,196744244,1422000,96,51704,348660,6300
2026-04-05T02:47:47.237258,791008800,787166224,785136724,844,95356,875768,12600,34359738367,489608,16620,6844,9776,104,196529152,195485540,1043612,712,31648,142888,3912,198172692,197639296,533396,28,7256,19824,652,198140712,197282796,857916,8,4164,364396,1736,198166244,196758592,1407652,96,52288,348660,6300
2026-04-05T02:47:48.241260,791008800,787184416,785157136,844,95356,875768,12600,34359738367,489608,16620,6844,9776,104,196529152,195485792,1043360,712,31648,142888,3912,198172692,197639296,533396,28,7256,19824,652,198140712,197288120,852592,8,4164,364396,1736,198166244,196771208,1395036,96,52288,348660,6300
2026-04-05T02:47:49.245254,791008800,787196216,785168936,844,95356,875768,12600,34359738367,489608,16620,6844,9776,104,196529152,195485876,1043276,712,31648,142888,3912,198172692,197639296,533396,28,7256,19824,652,198140712,197289544,851168,8,4164,364396,1736,198166244,196781500,1384744,96,52288,348660,6300
2026-04-05T02:47:50.249248,791008800,787205436,785178156,844,95356,875768,12600,34359738367,489608,16620,6844,9776,104,196529152,195485876,1043276,712,31648,142888,3912,198172692,197639548,533144,28,7256,19824,652,198140712,197290168,850544,8,4164,364396,1736,198166244,196789844,1376400,96,52288,348660,6300
2026-04-05T02:47:51.253250,791008800,787214624,785187348,852,95356,875768,12600,34359738367,489608,16620,6844,9776,104,196529152,195486164,1042988,720,31648,142888,3912,198172692,197639548,533144,28,7256,19824,652,198140712,197290184,850528,8,4164,364396,1736,198166244,196798728,1367516,96,52288,348660,6300
2026-04-05T02:47:52.257253,791008800,787224092,785196816,852,95356,875768,12600,34359738367,489608,16620,6844,9776,104,196529152,195486164,1042988,720,31648,142888,3912,198172692,197639548,533144,28,7256,19824,652,198140712,197290184,850528,8,4164,364396,1736,198166244,196808196,1358048,96,52288,348660,6300
