time,total,free,available,dirty,anon,mapped,pageTable,vmallocTotal,vmallocUsed,own_VmRSS,own_RssAnon,own_RssFile,own_VmPTE,Node0_total,Node0_free,Node0_used,Node0_dirty,Node0_anon,Node0_mapped,Node0_pageTable,Node1_total,Node1_free,Node1_used,Node1_dirty,Node1_anon,Node1_mapped,Node1_pageTable,Node2_total,Node2_free,Node2_used,Node2_dirty,Node2_anon,Node2_mapped,Node2_pageTable,Node3_total,Node3_free,Node3_used,Node3_dirty,Node3_anon,Node3_mapped,Node3_pageTable
2026-08-29T14:19:34.238805,787867104,775603140,781820736,196,163304,151816,6740,34359738367,477484,15940,6876,9064,112,195746820,194850392,896428,24,13304,34364,1928,197386256,196348448,1037808,4,14524,2284,600,197354244,187800912,9553332,24,68284,97592,2244,197379784,196603388,776396,144,67192,17576,1968
2026-08-29T14:19:35.239754,787867104,779988856,781259036,4,708824,152632,10084,34359738367,489836,16008,6880,9128,112,195746820,194783112,963708,0,188476,34588,4008,197386256,196456384,929872,0,191028,2284,604,197354244,192007380,5346864,4,244824,98048,2256,197379784,196741980,637804,0,84496,17712,3216
2026-08-29T14:19:36.240819,787867104,785013328,782653024,8,187676,152632,11168,34359738367,489692,16012,6884,9128,112,195746820,194964064,782756,0,17184,34588,4320,197386256,196635040,751216,0,15876,2284,904,197354244,196660000,694244,4,69496,98048,2564,197379784,196754224,625560,4,85120,17712,3380
2026-08-29T14:19:37.242149,787867104,784812640,782464692,592,380120,173340,12312,34359738367,492332,16012,6884,9128,112,195746820,194954052,792768,580,44440,34588,4476,197386256,196656064,730192,4,22440,2248,996,197354244,196662000,692244,4,72160,98048,2652,197379784,196542076,837708,4,241200,38548,4244
2026-08-29T14:19:38.243113,787867104,783949712,781708936,592,1101436,294204,17428,34359738367,493788,16012,6884,9128,112,195746820,194762472,984348,580,245412,34728,5548,197386256,196465868,920388,4,184124,2852,2044,197354244,196477572,876672,4,275028,98172,3832,197379784,196243800,1135984,4,396872,158452,6004
2026-08-29T14:19:39.244360,787867104,783673744,781546016,596,1255292,421696,19324,34359738367,492796,16012,6884,9128,112,195746820,194690320,1056500,580,313208,34832,6296,197386256,196450300,935956,4,214944,2940,2316,197354244,196419320,934924,4,318040,98172,4196,197379784,196113804,1265980,8,409100,285752,6516
2026-08-29T14:19:40.245335,787867104,783328416,781359056,720,1390236,606248,20184,34359738367,492252,16012,6884,9128,112,195746820,194631892,1114928,600,361848,34832,6340,197386256,196401856,984400,4,250680,2940,2664,197354244,196364896,989348,24,369340,98172,4580,197379784,195929772,1450012,92,408368,470304,6600
2026-08-29T14:19:41.246564,787867104,783093528,781234220,736,1485668,730360,20896,34359738367,493548,16012,6884,9128,112,195746820,194577760,1169060,612,414664,34832,6340,197386256,196379428,1006828,4,275268,2940,3020,197354244,196334236,1020008,28,386680,98172,4508,197379784,195802104,1577680,92,409056,594920,7028
2026-08-29T14:19:42.247924,787867104,782885832,781155732,736,1594260,874788,22576,34359738367,492284,16016,6888,9128,112,195746820,194546588,1200232,612,451404,34832,6668,197386256,196356776,1029480,4,300352,2940,3604,197354244,196308756,1045488,28,433444,98172,4888,197379784,195673712,1706072,92,409060,738844,7416
2026-08-29T14:19:43.249148,787867104,782254736,780692220,740,1749352,1061616,23960,34359738367,493228,16016,6888,9128,112,195746820,194406760,1340060,612,515944,34832,7420,197386256,196271308,1114948,4,339980,2940,3488,197354244,196202532,1151712,28,484248,98172,5276,197379784,195427244,1952540,96,409180,925672,7776
2026-08-29T14:19:44.250115,787867104,782227552,780837928,740,1839104,1179280,24064,34359738367,493308,16016,6888,9128,112,195746820,194412792,1334028,612,555068,34832,7052,197386256,196269780,1116476,4,365808,2940,3696,197354244,196211820,1142424,28,509312,98172,5348,197379784,195333160,2046624,96,408916,1043840,7968
2026-08-29T14:19:45.251422,787867104,782029560,780890204,740,1948616,1321760,25264,34359738367,492236,16016,6888,9128,112,195746820,194365612,1381208,612,598520,34832,7492,197386256,196266860,1119396,4,399020,2940,3856,197354244,196188984,1165260,28,542388,98172,5684,197379784,195208104,2171680,96,408688,1185816,8232
2026-08-29T14:19:46.252629,787867104,781439996,780622036,748,2332440,1512032,26768,34359738367,493420,16016,6888,9128,112,195746820,194252392,1494428,612,722364,34832,8136,197386256,196149044,1237212,4,493096,2940,4164,197354244,196095036,1259208,32,635864,98172,6008,197379784,194943020,2436764,100,481116,1376088,8460
2026-08-29T14:19:47.254053,787867104,781408692,780798780,748,2173756,1628004,28316,34359738367,493132,16016,6888,9128,112,195746820,194262220,1484600,612,705764,34832,8404,197386256,196161516,1224740,4,456812,2940,4636,197354244,196117000,1237244,32,601924,98172,6352,197379784,194867956,2511828,100,409256,1492060,8924
2026-08-29T14:19:48.255480,787867104,781197548,780839624,764,2275572,1775052,28672,34359738367,492252,16016,6888,9128,112,195746820,194231452,1515368,620,746908,34832,8496,197386256,196150120,1236136,4,480092,2940,4624,197354244,196083680,1270564,32,639636,98172,6472,197379784,194732296,2647488,108,408936,1639108,9080
2026-08-29T14:19:49.256636,787867104,780832668,780791880,768,2411176,1958460,30112,34359738367,493436,16016,6888,9128,112,195746820,194156232,1590588,620,812316,34832,8540,197386256,196120228,1266028,4,507652,2940,5100,197354244,196026392,1327852,32,682492,98172,6880,197379784,194529816,2849968,112,409220,1823524,9592
2026-08-29T14:19:50.258023,787867104,780614712,780772376,768,2497876,2071652,31412,34359738367,493724,16016,6888,9128,112,195746820,194106868,1639952,620,855336,34832,8888,197386256,196099504,1286752,4,527720,2940,5300,197354244,196000760,1353484,32,705940,98172,7252,197379784,194407580,2972204,112,408880,1935708,9972
2026-08-29T14:19:51.259047,787867104,780389136,780815036,768,2610904,2224104,32332,34359738367,492908,16016,6888,9128,112,195746820,194052904,1693916,620,909592,34832,9348,197386256,196093072,1293184,4,559132,2940,5492,197354244,195978196,1376048,32,733736,98172,7492,197379784,194264964,3114820,112,408444,2088160,10000
2026-08-29T14:19:52.260334,787867104,780029976,780769928,772,2749780,2400580,33996,34359738367,493468,16016,6888,9128,112,195746820,193990620,1756200,620,966492,34832,9908,197386256,196043444,1342812,4,600744,2940,5784,197354244,195924584,1429660,32,772916,98172,7868,197379784,194070824,3308960,116,409628,2264636,10436
2026-08-29T14:19:53.261720,787867104,779607092,780563580,772,3048540,2519856,34452,34359738367,493420,16016,6888,9128,112,195746820,193884784,1862036,620,1068748,34832,9956,197386256,195968756,1417500,4,680924,2940,6120,197354244,195847520,1506724,32,842640,98172,7772,197379784,193906032,3473752,116,456228,2383912,10604
2026-08-29T14:19:54.262778,787867104,779565408,780790104,772,2962440,2673696,35628,34359738367,493516,16016,6888,9128,112,195746820,193899848,1846972,620,1050672,34832,10064,197386256,196003576,1382680,4,656176,2940,6368,197354244,195860508,1493736,32,846140,98172,8212,197379784,193801476,3578308,116,409452,2537752,10984
2026-08-29T14:19:55.263988,787867104,779192936,780717632,788,3091428,2845688,37004,34359738367,493644,16016,6888,9128,112,195746820,193849852,1896968,632,1103540,34832,10356,197386256,195948544,1437712,4,695556,2940,6580,197354244,195798296,1555948,32,883268,98172,8832,197379784,193596244,3783540,120,409064,2709744,11236
2026-08-29T14:19:56.264982,787867104,779035036,780782304,788,3187588,2968532,37368,34359738367,493404,16016,6888,9128,112,195746820,193810124,1936696,632,1139544,34832,10616,197386256,195956016,1430240,4,720576,2940,6672,197354244,195775332,1578912,32,918920,98172,8564,197379784,193493564,3886220,120,409052,2832588,11516
2026-08-29T14:19:57.265945,787867104,778768500,780785796,788,3298992,3125440,39008,34359738367,493484,16016,6888,9128,112,195746820,193746524,2000296,632,1190756,34832,10824,197386256,195930808,1455448,4,750884,2940,7140,197354244,195756832,1597412,32,948840,98172,9048,197379784,193333832,4045952,120,408512,2989496,11996
2026-08-29T14:19:58.267183,787867104,778375448,780674780,792,3423664,3285932,39184,34359738367,493532,16016,6888,9128,112,195746820,193669232,2077588,632,1248548,34832,10856,197386256,195870856,1515400,4,780420,2940,7280,197354244,195699436,1654808,32,986316,98172,9096,197379784,193135924,4243860,124,408380,3149988,11952
2026-08-29T14:19:59.268625,787867104,778206528,780729684,796,3521048,3413108,41464,34359738367,493324,16016,6888,9128,112,195746820,193645344,2101476,632,1291472,34832,11772,197386256,195839052,1547204,4,813608,2940,7656,197354244,195689296,1664948,36,1006836,98172,9640,197379784,193032836,4346948,124,409132,3277164,12396
2026-08-29T14:20:00.269580,787867104,777925668,780736960,808,3641276,3577612,42544,34359738367,492460,16016,6888,9128,112,195746820,193590076,2156744,632,1346540,34832,11532,197386256,195808268,1577988,4,847188,2940,8032,197354244,195665516,1688728,36,1038648,98172,9952,197379784,192861808,4517976,136,408900,3441668,13028
2026-08-29T14:20:01.270826,787867104,777613476,780684876,812,3746980,3732304,43812,34359738367,493036,16016,6888,9128,112,195746820,193522124,2224696,632,1399952,34832,12028,197386256,195779688,1606568,4,876224,2940,8488,197354244,195623348,1730896,36,1062792,98172,10056,197379784,192687812,4691972,140,408516,3596360,13240
2026-08-29T14:20:02.271870,787867104,777424796,780712444,820,3843196,3857756,46464,34359738367,493548,16016,6888,9128,112,195746820,193483240,2263580,640,1442496,34832,12800,197386256,195775852,1610404,4,897744,2940,9036,197354244,195588584,1765660,36,1093948,98172,11204,197379784,192577120,4802664,140,409008,3721812,13424
2026-08-29T14:20:03.273249,787867104,777075956,780656652,820,3965748,4024036,45304,34359738367,492428,16016,6888,9128,112,195746820,193394432,2352388,640,1503704,34832,12332,197386256,195726468,1659788,4,929752,2940,8788,197354244,195573140,1781104,36,1123856,98172,10604,197379784,192381916,4997868,140,408436,3888092,13580
2026-08-29T14:20:04.274568,787867104,776750116,780601856,824,4085404,4176016,46892,34359738367,492268,16016,6888,9128,112,195746820,193334940,2411880,640,1558732,34832,13240,197386256,195683968,1702288,4,962140,2940,9088,197354244,195532984,1821260,36,1155228,98172,10676,197379784,192198224,5181560,144,409304,4040072,13888
