time,total,free,available,dirty,anon,mapped,pageTable,vmallocTotal,vmallocUsed,own_VmRSS,own_RssAnon,own_RssFile,own_VmPTE,Node0_total,Node0_free,Node0_used,Node0_dirty,Node0_anon,Node0_mapped,Node0_pageTable,Node1_total,Node1_free,Node1_used,Node1_dirty,Node1_anon,Node1_mapped,Node1_pageTable,Node2_total,Node2_free,Node2_used,Node2_dirty,Node2_anon,Node2_mapped,Node2_pageTable,Node3_total,Node3_free,Node3_used,Node3_dirty,Node3_anon,Node3_mapped,Node3_pageTable
2026-04-05T02:10:04.992204,791008800,783632372,785110056,68,82120,63104,3764,34359738367,475208,16668,6844,9824,108,196529152,195594532,934620,36,10120,54464,2020,198172692,197083504,1089188,4,67752,7608,1016,198140712,193286668,4854044,4,3144,128,412,198166244,197675228,491016,24,1104,904,316
2026-04-05T02:10:05.993244,791008800,787836788,785430168,720,683804,79592,8796,34359738367,487576,16696,6852,9844,108,196529152,195388528,1140624,680,209820,55672,3896,198172692,197266052,906640,12,291272,22576,2532,198140712,197491636,649076,4,178324,128,660,198166244,197690572,475672,24,4388,1216,1708
2026-04-05T02:10:06.995230,791008800,788093840,785807788,720,164412,328008,9352,34359738367,487464,16696,6852,9844,108,196529152,195317204,1211948,680,38308,296520,4472,198172692,197429908,742784,12,117176,30656,2540,198140712,197655644,485068,4,4240,128,680,198166244,197690572,475672,24,4688,1216,1660
2026-04-05T02:10:07.997018,791008800,787817548,785673192,880,164468,611400,9908,34359738367,487464,16696,6852,9844,108,196529152,195035692,1493460,736,38364,579400,5028,198172692,197432812,739880,64,117176,30656,2540,198140712,197658216,482496,8,4240,128,680,198166244,197690828,475416,72,4688,1216,1660
2026-04-05T02:10:08.998689,791008800,787542460,785540952,880,164468,897096,10464,34359738367,487464,16696,6852,9844,108,196529152,194752084,1777068,736,38364,865096,5584,198172692,197438136,734556,64,117176,30656,2540,198140712,197660816,479896,8,4240,128,680,198166244,197691424,474820,72,4688,1216,1660
2026-04-05T02:10:10.000257,791008800,787255712,785398332,880,164468,1185352,11028,34359738367,487464,16696,6852,9844,108,196529152,194465144,2064008,736,38364,1153352,6148,198172692,197438180,734512,64,117176,30656,2540,198140712,197660816,479896,8,4240,128,680,198166244,197691572,474672,72,4688,1216,1660
2026-04-05T02:10:11.001883,791008800,786989392,785274348,896,164468,1470024,11584,34359738367,487464,16696,6852,9844,108,196529152,194183204,2345948,748,38364,1438024,6704,198172692,197444880,727812,64,117176,30656,2540,198140712,197669184,471528,12,4240,128,680,198166244,197692124,474120,72,4688,1216,1660
2026-04-05T02:10:12.003448,791008800,786710172,785137336,896,164468,1754440,12144,34359738367,487464,16696,6852,9844,108,196529152,193900092,2629060,748,38364,1722952,7264,198172692,197447972,724720,64,117176,30656,2540,198140712,197669248,471464,12,4240,128,680,198166244,197692348,473896,72,4688,1216,1660
2026-04-05T02:10:13.005007,791008800,786426952,785096980,896,164468,2038344,12696,34359738367,487448,16696,6852,9844,108,196529152,193615828,2913324,748,38364,2006856,7816,198172692,197449000,723692,64,117176,30656,2540,198140712,197669264,471448,12,4240,128,680,198166244,197692348,473896,72,4688,1216,1660
2026-04-05T02:10:14.006632,791008800,786147576,785103272,896,166108,2323784,13244,34359738367,487448,16696,6852,9844,108,196529152,193332996,3196156,748,38364,2291784,8364,198172692,197449252,723440,64,118816,30656,2540,198140712,197672832,467880,12,4240,128,680,198166244,197692496,473748,72,4688,1216,1660
2026-04-05T02:10:15.008204,791008800,785868992,785109388,884,165680,2608932,13324,34359738367,487416,16700,6856,9844,108,196529152,193047564,3481588,744,38364,2576968,8500,198172692,197453128,719564,60,118488,30656,2540,198140712,197675804,464908,8,4240,92,680,198166244,197692496,473748,72,4588,1216,1604
2026-04-05T02:10:16.009849,791008800,785582096,785108956,884,165684,2894884,14312,34359738367,487416,16700,6856,9844,108,196529152,192760668,3768484,744,38364,2862920,9488,198172692,197453128,719564,60,118492,30656,2540,198140712,197675804,464908,8,4240,92,680,198166244,197692496,473748,72,4588,1216,1604
2026-04-05T02:10:17.011444,791008800,785312396,785124696,888,165684,3180324,14868,34359738367,487416,16700,6856,9844,108,196529152,192477232,4051920,744,38364,3148360,10044,198172692,197461224,711468,64,118492,30656,2540,198140712,197680928,459784,8,4240,92,680,198166244,197693012,473232,72,4588,1216,1604
2026-04-05T02:10:18.013017,791008800,785025988,785124240,896,165684,3466788,15428,34359738367,487416,16700,6856,9844,108,196529152,192190264,4338888,744,38364,3434824,10604,198172692,197461272,711420,64,118492,30656,2540,198140712,197680928,459784,8,4240,92,680,198166244,197693012,473232,80,4588,1216,1604
2026-04-05T02:10:19.014633,791008800,784741644,785124824,904,165684,3751204,15988,34359738367,487416,16700,6856,9844,108,196529152,191904832,4624320,752,38364,3719752,11164,198172692,197461272,711420,64,118492,30656,2540,198140712,197681420,459292,8,4240,92,680,198166244,197693608,472636,80,4588,1216,1604
