time,total,free,available,dirty,anon,mapped,pageTable,vmallocTotal,vmallocUsed,own_VmRSS,own_RssAnon,own_RssFile,own_VmPTE,Node0_total,Node0_free,Node0_used,Node0_dirty,Node0_anon,Node0_mapped,Node0_pageTable,Node1_total,Node1_free,Node1_used,Node1_dirty,Node1_anon,Node1_mapped,Node1_pageTable,Node2_total,Node2_free,Node2_used,Node2_dirty,Node2_anon,Node2_mapped,Node2_pageTable,Node3_total,Node3_free,Node3_used,Node3_dirty,Node3_anon,Node3_mapped,Node3_pageTable
2026-08-19T11:51:03.095688,787867136,774621008,782187844,96,176616,161700,6004,34359738367,477732,17208,6880,10328,116,195746820,194943244,803576,44,61324,86528,2160,197386256,185904156,11482100,40,81880,16624,2592,197354244,196846900,507344,0,26632,58728,944,197379816,196926708,453108,12,6780,324,308
2026-08-19T11:51:04.096539,787867136,773773128,781347204,260,958880,171780,10888,34359738367,490324,17216,6888,10328,116,195746820,194741232,1005588,32,249340,87824,4284,197386256,185467276,11918980,208,496364,23524,2744,197354244,196663444,690800,8,202016,59880,1276,197379816,196901176,478640,12,11160,552,2584
2026-08-19T11:51:05.097635,787867136,773818372,781676268,1316,560904,172288,10940,34359738367,490196,17216,6888,10328,116,195746820,194907100,839720,40,79312,87824,4044,197386256,185182516,12203740,1256,442204,24016,3064,197354244,196827472,526772,8,27904,59880,1260,197379816,196901284,478532,12,11484,568,2572
2026-08-19T11:51:06.098645,787867136,773449176,781629920,1332,596504,172288,11008,34359738367,490196,17216,6888,10328,116,195746820,194910160,836660,40,79368,87824,4044,197386256,184897936,12488320,244,477748,24016,3132,197354244,196739228,615016,1036,27904,59880,1260,197379816,196901852,477964,12,11484,568,2572
2026-08-19T11:51:07.099678,787867136,773065648,781584596,2392,637680,172288,11088,34359738367,490196,17216,6888,10328,116,195746820,194910292,836528,40,79368,87824,4044,197386256,184554888,12831368,2316,518080,24016,3212,197354244,196698536,655708,24,28748,59880,1260,197379816,196901932,477884,12,11484,568,2572
2026-08-19T11:51:08.100691,787867136,772667620,781529952,3448,690120,172300,11092,34359738367,490196,17216,6888,10328,116,195746820,194912528,834292,40,79368,87824,4044,197386256,184282724,13103532,2344,569832,24028,3212,197354244,196569916,784328,28,29436,59880,1264,197379816,196902452,477364,12,11484,568,2572
2026-08-19T11:51:09.101705,787867136,772359780,781526140,1436,677360,172300,11172,34359738367,490196,17216,6888,10328,116,195746820,194912544,834276,48,79368,87824,4044,197386256,184014256,13372000,324,557072,24028,3292,197354244,196529980,824264,1052,29436,59880,1264,197379816,196903000,476816,12,11484,568,2572
2026-08-19T11:51:10.102773,787867136,771944976,781487644,1468,709656,172300,11172,34359738367,490196,17216,6888,10328,116,195746820,194912592,834228,48,79368,87824,4044,197386256,183688392,13697864,1376,588684,24028,3292,197354244,196436200,918044,32,30120,59880,1264,197379816,196907792,472024,12,11484,568,2572
2026-08-19T11:51:11.103778,787867136,771608320,781493776,1480,703488,172300,11140,34359738367,490196,17216,6888,10328,116,195746820,194914860,831960,48,79368,87824,4036,197386256,183474496,13911760,1384,581836,24028,3284,197354244,196308720,1045524,36,30800,59880,1256,197379816,196909220,470596,12,11484,568,2564
2026-08-19T11:51:12.104801,787867136,771310612,781514384,1512,684364,172300,11140,34359738367,490196,17216,6888,10328,116,195746820,194914860,831960,48,79368,87824,4036,197386256,183219412,14166844,384,562712,24028,3284,197354244,196266772,1087472,1068,30800,59880,1256,197379816,196909568,470248,12,11484,568,2564
2026-08-19T11:51:13.105827,787867136,770913352,781482012,1524,697344,172300,11176,34359738367,490164,17220,6892,10328,116,195746820,194899112,847708,48,90636,87824,4060,197386256,182930588,14455668,1416,563736,24028,3292,197354244,196173780,1180464,48,31488,59880,1260,197379816,196909872,469944,12,11484,568,2564
2026-08-19T11:51:14.106906,787867136,770548764,781447504,1568,710128,172300,11156,34359738367,490164,17220,6892,10328,116,195746820,194882396,864424,48,102048,87824,4036,197386256,182718504,14667752,1444,564424,24028,3296,197354244,196037704,1316540,64,32172,59880,1260,197379816,196910160,469656,12,11484,568,2564
2026-08-19T11:51:15.107927,787867136,770275916,781479496,1588,689504,172300,11156,34359738367,490164,17220,6892,10328,116,195746820,194907904,838916,48,79368,87824,4036,197386256,182420428,14965828,440,566480,24028,3296,197354244,196032580,1321664,1088,32172,59880,1260,197379816,196915004,464812,12,11484,568,2564
2026-08-19T11:51:16.108959,787867136,769865460,781447696,608,729428,172300,11232,34359738367,490164,17220,6892,10328,116,195746820,194868520,878300,48,117236,87824,4112,197386256,182165132,15221124,464,567852,24028,3296,197354244,195914216,1440028,76,32856,59880,1260,197379816,196917592,462224,20,11484,568,2564
2026-08-19T11:51:17.109944,787867136,769576928,781474604,1672,689268,172300,11032,34359738367,490164,17220,6892,10328,116,195746820,194839844,906976,60,140224,87824,4036,197386256,182038456,15347800,1504,504020,24028,3168,197354244,195780272,1573972,88,33540,59880,1264,197379816,196918356,461460,20,11484,568,2564
2026-08-19T11:51:18.111028,787867136,769278008,781506580,716,652344,172300,11168,34359738367,490164,17220,6892,10328,116,195746820,194878432,868388,68,101252,87824,4160,197386256,181700948,15685308,536,506068,24028,3180,197354244,195780272,1573972,92,33540,59880,1264,197379816,196918356,461460,20,11484,568,2564
2026-08-19T11:51:19.112230,787867136,768887504,781469344,1448,702260,172300,11184,34359738367,490164,17220,6892,10328,116,195746820,194838344,908476,32,149984,87824,4176,197386256,181478372,15907884,1352,506572,24028,3180,197354244,195652272,1701972,56,34220,59880,1264,197379816,196918516,461300,8,11484,568,2564
2026-08-19T11:51:20.113243,787867136,768604300,781483748,4436,677280,172300,11100,34359738367,490164,17220,6892,10328,116,195746820,194864020,882800,32,123408,87824,4096,197386256,181282952,16103304,2292,508124,24028,3176,197354244,195538400,1815844,1080,34264,59880,1264,197379816,196918928,460888,8,11484,568,2564
2026-08-19T11:51:21.114271,787867136,768203964,781433956,1396,709708,172300,11192,34359738367,490164,17220,6892,10328,116,195746820,194829588,917232,32,152088,87824,4188,197386256,180937708,16448548,1292,511228,24028,3176,197354244,195514968,1839276,64,34908,59880,1264,197379816,196921700,458116,8,11484,568,2564
2026-08-19T11:51:22.115618,787867136,767844208,781402604,1432,740372,172300,11184,34359738367,490164,17220,6892,10328,116,195746820,194804592,942228,32,180700,87824,4172,197386256,180730724,16655532,1312,512596,24028,3180,197354244,195387192,1967052,80,35592,59880,1268,197379816,196921700,458116,8,11484,568,2564
2026-08-19T11:51:23.116621,787867136,767587904,781441508,1448,705960,172300,11192,34359738367,490164,17220,6892,10328,116,195746820,194843876,902944,32,144916,87824,4172,197386256,180508064,16878192,304,513968,24028,3188,197354244,195314264,2039980,1104,35592,59880,1268,197379816,196921700,458116,8,11484,568,2564
2026-08-19T11:51:24.117644,787867136,767186732,781404196,1484,743856,172300,11264,34359738367,490164,17220,6892,10328,116,195746820,194804092,942728,40,180760,87824,4244,197386256,180201972,17184284,1348,515336,24028,3188,197354244,195258968,2095276,88,36276,59880,1268,197379816,196921700,458116,8,11484,568,2564
2026-08-19T11:51:25.118653,787867136,766858152,781417156,2532,709552,172300,11192,34359738367,490164,17220,6892,10328,116,195746820,194835328,911492,40,144916,87824,4172,197386256,179985008,17401248,2380,516188,24028,3188,197354244,195114840,2239404,104,36964,59880,1268,197379816,196921952,457864,8,11484,568,2564
2026-08-19T11:51:26.119661,787867136,766553156,781413068,1540,711436,172300,11192,34359738367,490164,17220,6892,10328,116,195746820,194835344,911476,40,144916,87824,4172,197386256,179724744,17661512,360,518072,24028,3188,197354244,195068788,2285456,1128,36964,59880,1268,197379816,196923256,456560,12,11484,568,2564
2026-08-19T11:51:27.120684,787867136,766161256,781380660,1576,738060,172300,11256,34359738367,490164,17220,6892,10328,116,195746820,194812460,934360,40,169496,87824,4224,197386256,179436120,17950136,1412,519436,24028,3196,197354244,194987732,2366512,120,37644,59880,1272,197379816,196924944,454872,4,11484,568,2564
2026-08-19T11:51:28.121699,787867136,765809248,781371348,1608,736020,172300,11208,34359738367,490164,17220,6892,10328,116,195746820,194811760,935060,40,166084,87824,4172,197386256,179212812,18173444,1436,520124,24028,3200,197354244,194859732,2494512,128,38328,59880,1272,197379816,196924944,454872,4,11484,568,2564
2026-08-19T11:51:29.122718,787867136,765506740,781383208,1628,716904,172300,11208,34359738367,490164,17220,6892,10328,116,195746820,194826616,920204,40,144916,87824,4172,197386256,178923016,18463240,432,522176,24028,3200,197354244,194832084,2522160,1152,38328,59880,1272,197379816,196925024,454792,4,11484,568,2564
2026-08-19T11:51:30.123741,787867136,765112776,781353184,1668,731112,172300,11236,34359738367,490164,17220,6892,10328,116,195746820,194819484,927336,40,157056,87824,4200,197386256,178644348,18741908,1472,523552,24028,3200,197354244,194723668,2630576,136,39020,59880,1272,197379816,196925276,454540,20,11484,568,2564
2026-08-19T11:51:31.124740,787867136,764788152,781365988,1704,729396,172300,11212,34359738367,490164,17220,6892,10328,116,195746820,194827212,919608,48,153988,87824,4172,197386256,178437448,18948808,1484,524228,24028,3200,197354244,194597284,2756960,152,39696,59880,1276,197379816,196926208,453608,20,11484,568,2564
2026-08-19T11:51:32.125757,787867136,764477652,781372656,1724,722380,172300,11224,34359738367,490164,17220,6892,10328,116,195746820,194833836,912984,48,144920,87824,4172,197386256,178132692,19253564,480,526280,24028,3212,197354244,194584772,2769472,1176,39696,59880,1276,197379816,196926352,453464,20,11484,568,2564
