time,total,free,available,dirty,anon,mapped,pageTable,vmallocTotal,vmallocUsed,own_VmRSS,own_RssAnon,own_RssFile,own_VmPTE,Node0_total,Node0_free,Node0_used,Node0_dirty,Node0_anon,Node0_mapped,Node0_pageTable,Node1_total,Node1_free,Node1_used,Node1_dirty,Node1_anon,Node1_mapped,Node1_pageTable,Node2_total,Node2_free,Node2_used,Node2_dirty,Node2_anon,Node2_mapped,Node2_pageTable,Node3_total,Node3_free,Node3_used,Node3_dirty,Node3_anon,Node3_mapped,Node3_pageTable
2026-08-19T20:58:58.780858,791008784,777867836,785441212,128,162412,158728,5296,34359738367,477708,16304,6884,9420,116,196497176,194368124,2129052,48,43448,112328,1932,198172692,195451024,2721668,0,47404,2932,860,198172692,196366696,1805996,0,15116,3876,560,198166224,191681992,6484232,80,56444,39592,1944
2026-08-19T20:58:59.781716,791008784,777002372,784576960,1280,951544,167544,11660,34359738367,490156,16308,6888,9420,116,196497176,194150800,2346376,44,223100,113476,4884,198172692,195271064,2901628,4,222444,3304,1472,198172692,195925644,2247048,1076,431368,10620,1324,198166224,191654864,6511360,156,74632,40144,3980
2026-08-19T20:59:00.782809,791008784,777079312,784916924,1304,543944,167988,11020,34359738367,490028,16308,6888,9420,116,196497176,194315064,2182112,44,48980,113540,4608,198172692,195413976,2758716,1028,50400,3304,1204,198172692,195694636,2478056,72,369628,11000,1484,198166224,191654612,6511612,160,74936,40144,3724
2026-08-19T20:59:01.783851,791008784,776628052,784811156,2352,630944,167988,11196,34359738367,490028,16308,6888,9420,116,196497176,194315224,2181952,44,49036,113540,4608,198172692,195283336,2889356,16,53320,3304,1212,198172692,195374680,2798012,2132,453652,11000,1652,198166224,191654812,6511412,160,74936,40144,3724
2026-08-19T20:59:02.785006,791008784,776288488,784771916,2372,644088,168000,11172,34359738367,490028,16308,6888,9420,116,196497176,194315296,2181880,44,49036,113540,4608,198172692,195171896,3000796,1040,53452,3304,1212,198172692,195146404,3026288,1128,466664,11012,1628,198166224,191654892,6511332,160,74936,40144,3724
2026-08-19T20:59:03.786058,791008784,775884424,784724336,1384,692580,168000,11312,34359738367,490028,16308,6888,9420,116,196497176,194315656,2181520,44,49036,113540,4608,198172692,195147544,3025148,32,54152,3304,1212,198172692,194764568,3408124,1148,514456,11012,1768,198166224,191655632,6510592,160,74936,40144,3724
2026-08-19T20:59:04.787114,791008784,775531936,784713248,2440,698764,168000,11260,34359738367,490028,16308,6888,9420,116,196497176,194315656,2181520,52,49036,113540,4608,198172692,195019784,3152908,40,54840,3304,1216,198172692,194544952,3627740,2188,518416,11012,1720,198166224,191651544,6514680,160,76472,40144,3716
2026-08-19T20:59:05.788208,791008784,775260232,784745500,3484,669904,168000,11260,34359738367,490028,16308,6888,9420,116,196497176,194317544,2179632,52,49036,113540,4608,198172692,194934960,3237732,1064,54840,3304,1216,198172692,194352532,3820160,2208,489556,11012,1720,198166224,191655196,6511028,160,76472,40144,3716
2026-08-19T20:59:06.789221,791008784,774828436,784689152,1464,711884,168000,11340,34359738367,490028,16308,6888,9420,116,196497176,194319336,2177840,52,49036,113540,4608,198172692,194888432,3284260,44,55528,3304,1216,198172692,193965360,4207332,1208,530848,11012,1800,198166224,191655308,6510916,160,76472,40144,3716
2026-08-19T20:59:07.790265,791008784,774494156,784670680,2512,729812,168000,11372,34359738367,490028,16308,6888,9420,116,196497176,194322936,2174240,52,49036,113540,4608,198172692,194760556,3412136,56,56212,3304,1216,198172692,193755260,4417432,2244,548092,11012,1832,198166224,191655404,6510820,160,76472,40144,3716
