time,total,free,available,dirty,anon,mapped,pageTable,vmallocTotal,vmallocUsed,own_VmRSS,own_RssAnon,own_RssFile,own_VmPTE,Node0_total,Node0_free,Node0_used,Node0_dirty,Node0_anon,Node0_mapped,Node0_pageTable,Node1_total,Node1_free,Node1_used,Node1_dirty,Node1_anon,Node1_mapped,Node1_pageTable,Node2_total,Node2_free,Node2_used,Node2_dirty,Node2_anon,Node2_mapped,Node2_pageTable,Node3_total,Node3_free,Node3_used,Node3_dirty,Node3_anon,Node3_mapped,Node3_pageTable
2026-04-08T21:21:18.542383,787867152,781141020,780818692,29604,94076,68448,3264,34359738367,475428,16792,6844,9948,112,195746820,194183560,1563260,22072,4460,22172,688,197354256,196320632,1033624,1956,8160,3228,472,197386256,196311484,1074772,4476,2488,48,48,197379820,194329108,3050712,1100,78968,43000,2056
2026-04-08T21:21:19.543277,787867152,783606992,781208684,30972,681440,76620,8732,34359738367,488100,16820,6852,9968,112,195746820,194561228,1185592,22680,190172,28960,2320,197354256,196372876,981380,2144,200212,3720,956,197386256,196403208,983048,4532,192812,120,492,197379820,196269680,1110140,1616,98244,43820,4964
2026-04-08T21:21:20.545217,787867152,783762196,781399344,33028,412272,77116,9152,34359738367,487972,16820,6852,9968,112,195746820,194642496,1104324,22688,84888,29496,2416,197354256,196459244,895012,4192,84720,3708,1064,197386256,196474320,911936,4532,81368,108,592,197379820,196186136,1193684,1616,161296,43804,5080
2026-04-08T21:21:21.546939,787867152,783361168,781128856,12012,497440,77496,9196,34359738367,487972,16820,6852,9968,112,195746820,194543292,1203528,6184,106812,29876,2424,197354256,196371448,982808,716,106492,3708,1084,197386256,196371092,1015164,3576,101084,108,600,197379820,196075336,1304484,1536,183052,43804,5088
2026-04-08T21:21:22.548609,787867152,783023768,780944372,13052,541632,77496,8688,34359738367,487828,16820,6852,9968,112,195746820,194451140,1295680,5160,117772,29876,2480,197354256,196292376,1061880,1744,117716,3708,1140,197386256,196287948,1098308,3588,114604,108,648,197379820,195992304,1387516,2560,191540,43804,4420
2026-04-08T21:21:23.550183,787867152,782683236,780763348,13084,556492,77496,8636,34359738367,487828,16820,6852,9968,112,195746820,194374320,1372500,5164,121504,29876,2496,197354256,196206812,1147444,1752,121444,3708,1152,197386256,196192280,1193976,4624,118312,108,664,197379820,195909824,1469996,1544,195232,43804,4324
2026-04-08T21:21:24.551758,787867152,782360680,780600868,12088,559472,77512,8664,34359738367,487828,16820,6852,9968,112,195746820,194293784,1453036,6204,122244,29892,2500,197354256,196122180,1232076,732,122188,3708,1160,197386256,196105800,1280456,3604,119064,108,672,197379820,195836900,1542920,1548,195976,43804,4332
2026-04-08T21:21:25.553391,787867152,782002736,780416468,14180,584060,77512,8720,34359738367,487828,16820,6852,9968,112,195746820,194209280,1537540,5196,128396,29892,2512,197354256,196025032,1329224,1760,128316,3708,1180,197386256,196017304,1368952,3620,125212,108,684,197379820,195751120,1628700,1556,202136,43804,4344
2026-04-08T21:21:26.554964,787867152,781686832,780350428,10800,580308,77512,8708,34359738367,487828,16820,6852,9968,112,195746820,194122372,1624448,4304,127456,29892,2508,197354256,195962212,1392044,460,127372,3708,1176,197386256,195941800,1444456,3488,124276,108,684,197379820,195660448,1719372,2548,201204,43804,4340
2026-04-08T21:21:27.556586,787867152,781357772,780350612,10828,565084,77512,8680,34359738367,487828,16820,6852,9968,112,195746820,194049716,1697104,5332,123636,29892,2500,197354256,195889336,1464920,468,123568,3708,1168,197386256,195856680,1529576,3500,120480,108,680,197379820,195562040,1817780,1528,197400,43804,4332
2026-04-08T21:21:28.558155,787867152,781017696,780343424,12900,582544,77512,8708,34359738367,487796,16820,6852,9968,112,195746820,193967320,1779500,5352,128584,29892,2508,197354256,195805248,1549008,1492,128552,3708,1172,197386256,195760344,1625912,3500,125472,108,688,197379820,195484784,1895036,2556,199996,43804,4340
2026-04-08T21:21:29.559727,787867152,780688664,780345608,10884,588100,77512,8724,34359738367,487796,16824,6856,9968,112,195746820,193874776,1872044,4344,129832,29892,2508,197354256,195718276,1635980,476,129780,3708,1176,197386256,195692040,1694216,4528,126684,108,692,197379820,195402548,1977272,1536,201804,43804,4348
2026-04-08T21:21:30.561391,787867152,780408940,780387956,10916,588100,77512,8724,34359738367,487796,16824,6856,9968,112,195746820,193794788,1952032,5372,129832,29892,2516,197354256,195644008,1710248,484,129792,3708,1172,197386256,195625024,1761232,3516,126680,108,688,197379820,195344096,2035724,1544,201796,43804,4348
2026-04-08T21:21:31.562974,787867152,780081892,780390708,7668,594528,77512,8728,34359738367,487796,16824,6856,9968,112,195746820,193707192,2039628,4100,131448,29892,2516,197354256,195555396,1798860,348,131392,3708,1172,197386256,195544504,1841752,1204,128280,108,688,197379820,195273776,2106044,2016,203408,43804,4352
2026-04-08T21:21:32.564606,787867152,779732852,780379196,7700,603556,77512,8752,34359738367,487796,16824,6856,9968,112,195746820,193614748,2132072,4116,133716,29892,2524,197354256,195459916,1894340,352,133648,3708,1180,197386256,195469212,1917044,2240,130528,108,692,197379820,195188976,2190844,992,205664,43804,4356
2026-04-08T21:21:33.566177,787867152,779392436,780384104,7720,594052,77512,8732,34359738367,487796,16824,6856,9968,112,195746820,193531920,2214900,4116,131336,29892,2516,197354256,195376400,1977856,360,131260,3708,1176,197386256,195385412,2000844,1216,128156,108,688,197379820,195098704,2281116,2028,203300,43804,4352
2026-04-08T21:21:34.567748,787867152,779113372,780420912,7744,594940,77512,8736,34359738367,487796,16824,6856,9968,112,195746820,193472412,2274408,5152,131540,29892,2516,197354256,195306240,2048016,372,131480,3708,1172,197386256,195311152,2075104,1216,128388,108,696,197379820,195022544,2357276,1004,203532,43804,4352
2026-04-08T21:21:35.569360,787867152,778762832,780414464,8792,597512,77512,8744,34359738367,487796,16824,6856,9968,112,195746820,193381344,2365476,5164,132184,29892,2516,197354256,195222408,2131848,380,132124,3708,1172,197386256,195219996,2166260,2244,129036,108,700,197379820,194939084,2440736,1004,204168,43804,4356
2026-04-08T21:21:36.570930,787867152,778466096,780447912,8828,598376,77512,8740,34359738367,487796,16824,6856,9968,112,195746820,193295036,2451784,5164,132400,29892,2516,197354256,195146348,2207908,384,132344,3708,1172,197386256,195152544,2233712,1232,129252,108,696,197379820,194872168,2507652,2048,204380,43804,4356
2026-04-08T21:21:37.572556,787867152,778140784,780444676,7164,600436,77512,8740,34359738367,487796,16824,6856,9968,112,195746820,193207480,2539340,4144,132916,29892,2516,197354256,195070788,2283468,352,132864,3708,1172,197386256,195070660,2315596,2016,129768,108,696,197379820,194790832,2588988,652,204888,43804,4356
2026-04-08T21:21:38.574121,787867152,777790276,780425372,7188,601808,77512,8744,34359738367,487796,16824,6856,9968,112,195746820,193107732,2639088,4152,133264,29892,2516,197354256,195001652,2352604,356,133208,3708,1172,197386256,194980772,2405484,992,130104,108,696,197379820,194699096,2680724,1688,205232,43804,4360
2026-04-08T21:21:39.575706,787867152,777430984,780410956,7220,610800,77512,8768,34359738367,487796,16824,6856,9968,112,195746820,193035364,2711456,4164,135068,29892,2524,197354256,194911492,2442764,356,135004,3708,1180,197386256,194875000,2511256,2028,131888,108,696,197379820,194609128,2770692,1696,208840,43804,4368
2026-04-08T21:21:40.577328,787867152,777071476,780392140,7240,607044,77512,8756,34359738367,487796,16828,6860,9968,112,195746820,192950012,2796808,4168,134132,29892,2520,197354256,194842128,2512128,368,134052,3708,1176,197386256,194765368,2620888,2028,130948,108,696,197379820,194513968,2865852,676,207912,43804,4364
2026-04-08T21:21:41.578918,787867152,776786864,780428476,8292,609100,77512,8756,34359738367,487796,16828,6860,9968,112,195746820,192873352,2873468,4176,134636,29892,2520,197354256,194770816,2583440,1400,134560,3708,1176,197386256,194697132,2689124,2032,131468,108,696,197379820,194445564,2934256,684,208436,43804,4364
2026-04-08T21:21:42.580551,787867152,776443572,780416956,9336,610636,77512,8756,34359738367,487796,16828,6860,9968,112,195746820,192784084,2962736,5200,135012,29892,2520,197354256,194698140,2656116,2428,134948,3708,1176,197386256,194614144,2772112,1012,131856,108,696,197379820,194347204,3032616,696,208820,43804,4364
2026-04-08T21:21:43.582149,787867152,776107164,780410848,6728,612528,77512,8764,34359738367,487796,16828,6860,9968,112,195746820,192691124,3055696,5056,135480,29892,2520,197354256,194604664,2749592,228,135424,3708,1176,197386256,194535932,2850324,904,132336,108,696,197379820,194275444,3104376,1564,209288,43804,4372
2026-04-08T21:21:44.583742,787867152,775764480,780393208,6748,614576,77512,8772,34359738367,487796,16828,6860,9968,112,195746820,192606552,3140268,4032,135992,29892,2520,197354256,194504376,2849880,1260,135948,3708,1180,197386256,194453932,2932324,912,132852,108,700,197379820,194199620,3180200,544,209784,43804,4372
2026-04-08T21:21:45.585387,787867152,775394756,780362964,7820,630060,77556,8772,34359738367,487796,16828,6860,9968,112,195746820,192507308,3239512,4056,139868,29936,2520,197354256,194416172,2938084,248,139820,3708,1180,197386256,194361872,3024384,1940,136716,108,700,197379820,194109404,3270416,552,213656,43804,4372
2026-04-08T21:21:46.586967,787867152,775060980,780362924,7860,618000,77556,8772,34359738367,487796,16828,6860,9968,112,195746820,192424496,3322324,4068,136860,29936,2520,197354256,194339472,3014784,252,136800,3708,1180,197386256,194281088,3105168,1944,133696,108,700,197379820,194015924,3363896,572,210644,43804,4372
2026-04-08T21:21:47.588606,787867152,774763724,780390388,4652,627440,77556,8772,34359738367,487796,16828,6860,9968,112,195746820,192346080,3400740,2656,139224,29936,2520,197354256,194250668,3103588,260,139156,3708,1180,197386256,194209000,3177256,128,136052,108,700,197379820,193957976,3421844,1608,213008,43804,4372
