,,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT2,SKT2,SKT2,SKT2,SKT2,SKT2,SKT2,SKT2,SKT2,SKT2,SKT2,SKT2,SKT2,SKT2,SKT2,SKT2,SKT3,SKT3,SKT3,SKT3,SKT3,SKT3,SKT3,SKT3,SKT3,SKT3,SKT3,SKT3,SKT3,SKT3,SKT3,SKT3,System,System,System
Date,Time,Ch0Read,Ch0Write,Ch1Read,Ch1Write,Ch2Read,Ch2Write,Ch3Read,Ch3Write,Ch4Read,Ch4Write,Ch5Read,Ch5Write,Mem Read (MB/s),Mem Write (MB/s),P. Write (T/s),Memory (MB/s),Ch0Read,Ch0Write,Ch1Read,Ch1Write,Ch2Read,Ch2Write,Ch3Read,Ch3Write,Ch4Read,Ch4Write,Ch5Read,Ch5Write,Mem Read (MB/s),Mem Write (MB/s),P. Write (T/s),Memory (MB/s),Ch0Read,Ch0Write,Ch1Read,Ch1Write,Ch2Read,Ch2Write,Ch3Read,Ch3Write,Ch4Read,Ch4Write,Ch5Read,Ch5Write,Mem Read (MB/s),Mem Write (MB/s),P. Write (T/s),Memory (MB/s),Ch0Read,Ch0Write,Ch1Read,Ch1Write,Ch2Read,Ch2Write,Ch3Read,Ch3Write,Ch4Read,Ch4Write,Ch5Read,Ch5Write,Mem Read (MB/s),Mem Write (MB/s),P. Write (T/s),Memory (MB/s),Read,Write,Memory
2026-03-16,17:56:54.311,  430.25,  723.32,  425.89,  719.66,  428.68,  721.24,  422.65,  715.60,  429.95,  721.71,  422.06,  715.87, 2559.48, 4317.41,7157111882, 6876.90,  384.37,  661.44,  376.71,  653.85,  378.20,  655.17,  375.50,  651.50,  377.69,  653.15,  375.12,  650.42, 2267.59, 3925.53,7155486515, 6193.13,  375.83,  655.75,  381.04,  662.24,  375.87,  655.92,  381.26,  658.66,  374.98,  654.01,  375.27,  654.02, 2264.26, 3940.61,7154360941, 6204.86,    1.79,    4.26,    1.82,    4.27,    1.81,    4.21,    1.54,    4.11,    1.53,    4.11,    1.50,    4.13,    9.98,   25.08,7152796642,   35.05,   7101.31,  12208.63,  19309.94
2026-03-16,17:56:55.310,   49.43,   80.99,   49.45,   81.06,   49.50,   81.02,   46.95,   77.42,   46.99,   77.55,   46.86,   77.39,  289.17,  475.43,7996882877,  764.60,    3.21,    3.96,    3.14,    3.84,    3.12,    3.85,    2.90,    3.52,    2.98,    3.62,    2.95,    3.57,   18.32,   22.36,7996629430,   40.68,    3.47,    2.97,    3.57,    3.05,    3.52,    3.02,    3.26,    2.75,    3.25,    2.75,    3.30,    2.80,   20.38,   17.33,7996358812,   37.70,    2.57,    3.07,    2.59,    3.07,    2.58,    3.08,    2.39,    2.80,    2.39,    2.81,    2.36,    2.76,   14.88,   17.59,7996344812,   32.47,    342.75,    532.70,    875.45
2026-03-16,17:56:56.310,   50.40,   91.07,   50.27,   90.93,   50.37,   91.00,   48.93,   87.40,   48.93,   87.41,   48.86,   87.42,  297.76,  535.24,8005601423,  833.01,    3.08,    1.95,    2.94,    1.85,    2.97,    1.85,    2.79,    1.63,    2.86,    1.70,    2.86,    1.72,   17.50,   10.70,8005411596,   28.20,    1.96,    1.62,    2.00,    1.69,    1.96,    1.64,    1.87,    1.52,    1.86,    1.52,    1.90,    1.53,   11.55,    9.53,8005347019,   21.08,    1.60,    1.15,    1.63,    1.18,    1.63,    1.15,    1.46,    1.00,    1.47,    1.01,    1.48,    1.04,    9.27,    6.53,8005306697,   15.80,    336.08,    562.00,    898.08
2026-03-16,17:56:57.310,   64.42,   85.14,   64.38,   85.06,   64.38,   85.08,   62.38,   81.80,   62.39,   81.83,   62.40,   81.77,  380.35,  500.68,7997463917,  881.02,    6.91,    8.43,    6.83,    8.31,    6.76,    8.32,    6.44,    7.87,    6.52,    7.97,    6.52,    7.96,   39.97,   48.86,7995301959,   88.83,    7.85,    5.96,    7.90,    6.01,    7.88,    5.98,    7.51,    5.65,    7.45,    5.59,    7.52,    5.68,   46.10,   34.88,7994433263,   80.98,    4.64,    5.61,    4.67,    5.63,    4.68,    5.62,    4.42,    5.32,    4.41,    5.30,    4.39,    5.28,   27.21,   32.76,7994593289,   59.97,    493.63,    617.17,   1110.80
2026-03-16,17:56:58.310,    9.96,   15.30,    9.91,   15.25,    9.91,   15.19,    8.25,   14.51,    8.26,   14.53,    8.31,   14.56,   54.59,   89.34,7977617346,  143.93,    3.20,    2.56,    3.02,    2.40,    3.02,    2.39,    2.71,    2.10,    2.81,    2.18,    2.93,    2.29,   17.69,   13.91,7980184927,   31.60,    2.74,    2.42,    2.80,    2.47,    2.68,    2.36,    2.48,    2.15,    2.46,    2.13,    2.45,    2.10,   15.60,   13.63,7976874386,   29.23,    2.79,    1.85,    2.80,    1.84,    2.77,    1.85,    2.56,    1.59,    2.51,    1.55,    2.56,    1.57,   15.99,   10.25,7980570048,   26.24,    103.88,    127.13,    231.01
2026-03-16,17:56:59.310,   10.22,   11.94,   10.04,   11.77,   10.17,   11.86,    8.97,   11.38,    8.99,   11.41,    8.98,   11.35,   57.38,   69.70,7996888544,  127.08,    1.55,    1.47,    1.43,    1.34,    1.56,    1.46,    1.25,    1.13,    1.31,    1.19,    1.33,    1.21,    8.44,    7.80,7996863243,   16.24,    1.16,    1.34,    1.11,    1.27,    1.07,    1.24,    0.94,    1.09,    0.93,    1.08,    0.92,    1.05,    6.13,    7.07,7996873547,   13.20,    2.08,    1.54,    2.13,    1.58,    2.08,    1.54,    1.89,    1.33,    1.84,    1.28,    1.86,    1.29,   11.89,    8.57,7997019876,   20.47,     83.84,     93.15,    176.98
2026-03-16,17:57:00.310,   11.38,   14.72,   11.43,   14.74,   11.34,   14.69,    9.90,   14.06,    9.88,   14.02,   10.00,   14.21,   63.93,   86.44,7994915377,  150.38,    3.22,    2.78,    3.17,    2.74,    3.12,    2.68,    2.65,    2.17,    2.71,    2.24,    2.83,    2.35,   17.71,   14.96,7994828794,   32.67,    2.94,    2.50,    2.97,    2.56,    2.89,    2.48,    2.48,    2.09,    2.47,    2.10,    2.44,    2.04,   16.19,   13.76,7994215833,   29.95,    2.34,    1.81,    2.30,    1.76,    2.26,    1.74,    1.95,    1.38,    1.91,    1.36,    1.93,    1.38,   12.70,    9.43,7994758996,   22.13,    110.53,    124.60,    235.12
2026-03-16,17:57:01.310,   18.81,   18.84,   18.66,   18.73,   18.83,   18.84,   17.39,   18.26,   17.37,   18.23,   17.28,   18.20,  108.34,  111.10,7990943074,  219.44,    2.34,    1.35,    2.25,    1.27,    2.20,    1.23,    2.03,    1.05,    2.11,    1.12,    2.13,    1.10,   13.07,    7.13,7990938803,   20.19,    1.29,    0.97,    1.30,    0.98,    1.28,    0.96,    1.19,    0.84,    1.14,    0.80,    1.13,    0.77,    7.33,    5.33,7990099213,   12.66,    1.23,    0.98,    1.22,    0.97,    1.22,    0.96,    1.09,    0.83,    1.07,    0.80,    1.08,    0.81,    6.90,    5.34,7990883187,   12.24,    135.64,    128.89,    264.53
2026-03-16,17:57:02.310,   11.87,   12.15,   11.87,   12.09,   11.96,   12.20,   10.99,   11.75,   10.97,   11.71,   10.91,   11.68,   68.58,   71.59,7997010457,  140.17,    1.60,    1.49,    1.53,    1.44,    1.52,    1.41,    1.37,    1.24,    1.42,    1.30,    1.47,    1.32,    8.90,    8.20,7997002297,   17.10,    1.49,    1.42,    1.46,    1.37,    1.42,    1.32,    1.31,    1.23,    1.26,    1.19,    1.23,    1.13,    8.18,    7.65,7995973397,   15.83,    0.99,    0.95,    0.98,    0.93,    0.96,    0.92,    0.81,    0.76,    0.80,    0.74,    0.83,    0.78,    5.38,    5.08,7996941515,   10.46,     91.05,     92.52,    183.56
