,,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT2,SKT2,SKT2,SKT2,SKT2,SKT2,SKT2,SKT2,SKT2,SKT2,SKT2,SKT2,SKT2,SKT2,SKT2,SKT2,SKT3,SKT3,SKT3,SKT3,SKT3,SKT3,SKT3,SKT3,SKT3,SKT3,SKT3,SKT3,SKT3,SKT3,SKT3,SKT3,System,System,System
Date,Time,Ch0Read,Ch0Write,Ch1Read,Ch1Write,Ch2Read,Ch2Write,Ch3Read,Ch3Write,Ch4Read,Ch4Write,Ch5Read,Ch5Write,Mem Read (MB/s),Mem Write (MB/s),P. Write (T/s),Memory (MB/s),Ch0Read,Ch0Write,Ch1Read,Ch1Write,Ch2Read,Ch2Write,Ch3Read,Ch3Write,Ch4Read,Ch4Write,Ch5Read,Ch5Write,Mem Read (MB/s),Mem Write (MB/s),P. Write (T/s),Memory (MB/s),Ch0Read,Ch0Write,Ch1Read,Ch1Write,Ch2Read,Ch2Write,Ch3Read,Ch3Write,Ch4Read,Ch4Write,Ch5Read,Ch5Write,Mem Read (MB/s),Mem Write (MB/s),P. Write (T/s),Memory (MB/s),Ch0Read,Ch0Write,Ch1Read,Ch1Write,Ch2Read,Ch2Write,Ch3Read,Ch3Write,Ch4Read,Ch4Write,Ch5Read,Ch5Write,Mem Read (MB/s),Mem Write (MB/s),P. Write (T/s),Memory (MB/s),Read,Write,Memory
2026-08-19,19:11:09.070,  413.73,  722.05,  413.92,  722.30,  414.38,  722.85,  410.13,  715.23,  410.39,  715.80,  410.07,  715.12, 2472.63, 4313.36,7110323816, 6785.99,  379.69,  655.18,  379.81,  655.44,  380.04,  655.81,  378.02,  651.09,  378.11,  651.31,  378.15,  651.15, 2273.82, 3919.98,7110934927, 6193.80,  372.14,  654.85,  371.87,  654.34,  371.94,  654.57,  370.67,  651.01,  370.43,  650.60,  370.56,  650.76, 2227.61, 3916.14,7110975245, 6143.75,    2.22,    4.42,    2.39,    4.52,    2.27,    4.41,    2.02,    4.36,    2.09,    4.42,    2.07,    4.35,   13.05,   26.49,7113882742,   39.54,   6987.10,  12175.98,  19163.08
2026-08-19,19:11:10.070,   39.42,   58.49,   39.46,   58.50,   39.89,   58.99,   37.49,   54.50,   37.55,   54.53,   37.37,   54.32,  231.18,  339.34,7998775830,  570.52,    6.40,    5.70,    6.44,    5.74,    6.55,    5.86,    5.92,    5.37,    5.84,    5.30,    5.88,    5.31,   37.04,   33.28,7999586350,   70.32,    5.03,    7.53,    5.01,    7.47,    4.96,    7.43,    4.57,    6.96,    4.56,    6.97,    4.54,    6.97,   28.66,   43.32,8001012809,   71.98,   32.19,   41.19,   32.31,   41.25,   32.32,   41.25,   31.06,   38.81,   31.03,   38.78,   30.99,   38.80,  189.90,  240.08,7999371091,  429.98,    486.78,    656.02,   1142.81
2026-08-19,19:11:11.070,    5.36,    4.12,    5.41,    4.21,    5.68,    4.47,    4.89,    3.70,    5.01,    3.87,    4.88,    3.68,   31.21,   24.05,7961114857,   55.26,    3.06,    2.39,    3.10,    2.41,    3.13,    2.45,    2.54,    2.01,    2.53,    2.02,    2.57,    2.04,   16.93,   13.31,7960594073,   30.24,    2.79,    2.67,    2.83,    2.70,    2.74,    2.61,    2.36,    2.24,    2.36,    2.29,    2.35,    2.23,   15.42,   14.74,7954885219,   30.16,   10.85,   21.21,   10.90,   21.25,   10.95,   21.30,    8.92,   20.50,    8.93,   20.54,    8.90,   20.54,   59.45,  125.34,7960988823,  184.80,    123.02,    177.44,    300.45
2026-08-19,19:11:12.072,    2.50,    1.94,    2.61,    2.08,    2.91,    2.39,    2.39,    1.86,    2.34,    1.86,    2.30,    1.78,   15.05,   11.92,7995462574,   26.97,    1.15,    1.14,    1.22,    1.20,    1.25,    1.24,    0.95,    0.91,    0.92,    0.90,    0.96,    0.93,    6.44,    6.33,7992828310,   12.77,    1.32,    1.20,    1.30,    1.18,    1.28,    1.16,    1.07,    0.93,    1.06,    0.93,    1.06,    0.91,    7.09,    6.31,7993644292,   13.40,   10.14,   15.87,   10.22,   15.98,   10.18,   15.88,    8.84,   15.25,    8.88,   15.32,    8.82,   15.30,   57.07,   93.60,8000257477,  150.67,     85.66,    118.16,    203.81
2026-08-19,19:11:13.071,    2.48,    2.12,    2.57,    2.15,    2.87,    2.49,    2.31,    1.92,    2.33,    2.02,    2.32,    1.92,   14.87,   12.62,7995568216,   27.49,    1.59,    1.49,    1.68,    1.58,    1.71,    1.60,    1.27,    1.20,    1.23,    1.17,    1.24,    1.19,    8.72,    8.22,7997626351,   16.94,    1.58,    1.59,    1.55,    1.58,    1.53,    1.54,    1.25,    1.24,    1.26,    1.28,    1.23,    1.26,    8.40,    8.48,7996834190,   16.88,   10.07,   17.19,   10.07,   17.18,   10.06,   17.22,    8.72,   16.74,    8.75,   16.77,    8.74,   16.71,   56.41,  101.81,7989730212,  158.22,     88.41,    131.13,    219.54
2026-08-19,19:11:14.071,    2.61,    1.88,    2.65,    1.87,    2.87,    2.13,    2.46,    1.68,    2.50,    1.80,    2.44,    1.70,   15.51,   11.07,8006251913,   26.58,    0.76,    0.85,    0.80,    0.88,    0.86,    0.94,    0.62,    0.68,    0.60,    0.67,    0.62,    0.69,    4.26,    4.72,8007038198,    8.99,    0.91,    1.00,    0.87,    0.94,    0.82,    0.91,    0.69,    0.74,    0.69,    0.75,    0.67,    0.73,    4.65,    5.06,8005591164,    9.71,   19.84,   20.85,   19.87,   20.85,   19.92,   20.93,   18.59,   20.37,   18.66,   20.40,   18.56,   20.32,  115.44,  123.72,8006115664,  239.17,    139.88,    144.57,    284.45
2026-08-19,19:11:15.071,    2.00,    1.57,    2.03,    1.54,    2.31,    1.85,    1.91,    1.43,    1.90,    1.50,    1.87,    1.41,   12.03,    9.30,7998270268,   21.33,    0.72,    0.74,    0.80,    0.82,    0.83,    0.84,    0.63,    0.62,    0.61,    0.63,    0.61,    0.62,    4.19,    4.27,7997457139,    8.47,    0.76,    0.77,    0.77,    0.78,    0.73,    0.73,    0.62,    0.61,    0.64,    0.64,    0.62,    0.62,    4.14,    4.16,7998712408,    8.30,   12.05,   15.17,   12.15,   15.23,   12.04,   15.19,   11.10,   14.69,   11.06,   14.71,   11.07,   14.69,   69.47,   89.67,7998622602,  159.14,     89.83,    107.40,    197.23
2026-08-19,19:11:16.072,    2.45,    1.78,    2.48,    1.75,    2.77,    2.06,    2.30,    1.58,    2.31,    1.65,    2.26,    1.57,   14.56,   10.39,7997126775,   24.94,    0.81,    0.80,    0.87,    0.88,    0.92,    0.92,    0.70,    0.68,    0.68,    0.65,    0.69,    0.68,    4.67,    4.61,7995471562,    9.27,    0.85,    0.84,    0.82,    0.82,    0.78,    0.77,    0.69,    0.66,    0.68,    0.67,    0.67,    0.65,    4.49,    4.41,7995466548,    8.90,    9.99,   10.60,   10.03,   10.59,    9.95,   10.59,    9.22,   10.20,    9.32,   10.26,    9.24,   10.21,   57.75,   62.46,7996959398,  120.20,     81.46,     81.86,    163.32
2026-08-19,19:11:17.072,    2.90,    2.00,    2.99,    2.05,    3.19,    2.30,    2.64,    1.77,    2.60,    1.78,    2.62,    1.75,   16.93,   11.66,3739313336,   28.60,    1.33,    1.11,    1.38,    1.16,    1.42,    1.17,    1.08,    0.91,    1.07,    0.91,    1.06,    0.92,    7.35,    6.19,3739636380,   13.54,    1.39,    1.20,    1.38,    1.19,    1.35,    1.14,    1.13,    0.96,    1.14,    0.98,    1.14,    0.98,    7.53,    6.44,3682583476,   13.97,   12.29,   15.41,   12.34,   15.50,   12.30,   15.38,   11.26,   14.96,   11.33,   14.97,   11.28,   15.01,   70.80,   91.23,3738561759,  162.03,    102.61,    115.53,    218.14
