,,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT2,SKT2,SKT2,SKT2,SKT2,SKT2,SKT2,SKT2,SKT2,SKT2,SKT2,SKT2,SKT2,SKT2,SKT2,SKT2,SKT3,SKT3,SKT3,SKT3,SKT3,SKT3,SKT3,SKT3,SKT3,SKT3,SKT3,SKT3,SKT3,SKT3,SKT3,SKT3,System,System,System
Date,Time,Ch0Read,Ch0Write,Ch1Read,Ch1Write,Ch2Read,Ch2Write,Ch3Read,Ch3Write,Ch4Read,Ch4Write,Ch5Read,Ch5Write,Mem Read (MB/s),Mem Write (MB/s),P. Write (T/s),Memory (MB/s),Ch0Read,Ch0Write,Ch1Read,Ch1Write,Ch2Read,Ch2Write,Ch3Read,Ch3Write,Ch4Read,Ch4Write,Ch5Read,Ch5Write,Mem Read (MB/s),Mem Write (MB/s),P. Write (T/s),Memory (MB/s),Ch0Read,Ch0Write,Ch1Read,Ch1Write,Ch2Read,Ch2Write,Ch3Read,Ch3Write,Ch4Read,Ch4Write,Ch5Read,Ch5Write,Mem Read (MB/s),Mem Write (MB/s),P. Write (T/s),Memory (MB/s),Ch0Read,Ch0Write,Ch1Read,Ch1Write,Ch2Read,Ch2Write,Ch3Read,Ch3Write,Ch4Read,Ch4Write,Ch5Read,Ch5Write,Mem Read (MB/s),Mem Write (MB/s),P. Write (T/s),Memory (MB/s),Read,Write,Memory
2026-08-19,14:05:41.808,  387.03,  666.50,  387.24,  666.92,  387.11,  666.79,  384.16,  662.25,  383.97,  661.85,  384.11,  662.09, 2313.61, 3986.40,6801611139, 6300.01,  384.51,  689.56,  384.48,  689.57,  384.22,  689.11,  415.79,  731.65,  379.20,  684.11,  379.05,  683.96, 2327.26, 4167.97,6800437892, 6495.23,  382.74,  656.63,  382.45,  656.56,  382.88,  656.68,  381.48,  652.77,  381.53,  652.91,  381.33,  652.67, 2292.40, 3928.21,6800147489, 6220.62,    2.99,    4.33,    2.92,    4.31,    3.05,    4.39,    2.77,    4.22,    2.72,    4.11,    2.71,    4.13,   17.17,   25.48,6803258871,   42.65,   6950.44,  12108.06,  19058.50
2026-08-19,14:05:42.808,    1.48,    1.33,    1.50,    1.37,    1.44,    1.30,    1.32,    1.18,    1.29,    1.14,    1.30,    1.16,    8.32,    7.48,7997606925,   15.80,   37.12,  116.12,   37.25,  116.28,   37.20,  116.17,   26.49,  115.77,   26.51,  115.88,   26.45,  115.77,  191.02,  695.98,7999080213,  887.00,    1.61,    1.43,    1.59,    1.42,    1.76,    1.58,    1.55,    1.30,    1.55,    1.33,    1.53,    1.28,    9.57,    8.34,8000313953,   17.92,    0.84,    0.88,    0.87,    0.94,    0.87,    0.91,    0.73,    0.75,    0.70,    0.73,    0.72,    0.74,    4.73,    4.95,8000354073,    9.68,    213.65,    716.76,    930.40
2026-08-19,14:05:43.807,    1.30,    1.20,    1.33,    1.25,    1.29,    1.20,    1.13,    1.02,    1.11,    1.00,    1.12,    0.99,    7.28,    6.67,7914448232,   13.95,   76.45,    4.94,   76.61,    5.07,   76.49,    4.95,   75.77,    4.66,   75.88,    4.80,   75.73,    4.65,  456.94,   29.07,7911629765,  486.01,    1.01,    1.06,    0.97,    1.04,    1.13,    1.17,    0.84,    0.85,    0.91,    0.94,    0.82,    0.84,    5.68,    5.89,7902668846,   11.57,    1.07,    0.96,    1.10,    1.01,    1.12,    1.02,    0.90,    0.78,    0.89,    0.77,    0.92,    0.79,    6.01,    5.33,7910524990,   11.33,    475.91,     46.96,    522.87
2026-08-19,14:05:44.807,    2.91,    2.91,    2.62,    2.73,    2.73,    2.81,    2.37,    2.40,    2.39,    2.40,    2.22,    2.26,   15.24,   15.50,7380460983,   30.74,   69.06,   24.87,   68.75,   24.52,   68.69,   24.48,   66.98,   23.03,   68.17,   24.51,   66.94,   23.00,  408.59,  144.42,7379632906,  553.01,    1.89,    2.07,    1.76,    1.99,    2.02,    2.19,    1.49,    1.64,    1.62,    1.79,    1.51,    1.67,   10.30,   11.35,7360487753,   21.65,    1.33,    1.27,    1.32,    1.31,    1.25,    1.23,    1.05,    1.03,    1.02,    0.98,    1.02,    1.00,    6.99,    6.81,7376413940,   13.80,    441.12,    178.08,    619.20
2026-08-19,14:05:45.807,  162.77,  160.79,  105.71,  105.27,  129.40,  131.36,  122.04,  119.36,  124.19,  122.64,   99.74,   98.60,  743.85,  738.02,8005869530, 1481.87,  160.43,  215.84,  158.23,  218.65,  136.89,  196.02,  113.62,  177.23,  129.32,  189.08,  140.83,  210.00,  839.33, 1206.81,8009187669, 2046.14,   38.72,   58.62,   40.85,   60.87,   53.17,   70.72,   24.54,   44.81,   27.59,   48.07,   25.00,   45.43,  209.87,  328.53,8009398346,  538.40,    3.65,    3.29,    3.90,    3.62,    4.00,    3.74,    2.32,    2.30,    2.02,    2.14,    2.01,    2.10,   17.90,   17.18,8007723815,   35.08,   1810.96,   2290.54,   4101.50
2026-08-19,14:05:46.807,  192.86,  203.25,  135.10,  144.44,  160.60,  173.08,  146.30,  156.27,  147.54,  158.07,  122.32,  132.01,  904.72,  967.13,7997075225, 1871.85,  210.53,  241.91,  213.44,  249.15,  180.26,  218.27,  151.43,  195.33,  171.42,  209.40,  185.25,  233.82, 1112.33, 1347.87,7994354867, 2460.20,   59.37,   78.08,   59.38,   78.32,   81.53,   96.04,   38.07,   57.55,   42.44,   62.18,   38.21,   58.10,  319.00,  430.27,7994345949,  749.27,   15.92,   19.84,   15.19,   19.27,   15.23,   19.20,    8.39,   12.87,    7.79,   12.28,    8.07,   12.55,   70.60,   96.00,7994343330,  166.60,   2406.64,   2841.28,   5247.92
2026-08-19,14:05:47.812,  593.47,  588.37,  543.04,  544.29,  568.99,  570.37,  411.78,  381.24,  415.68,  386.01,  392.89,  364.68, 2925.85, 2834.95,8001902451, 5760.81, 3268.64,  886.77, 3280.26,  905.24, 3210.82,  826.24, 3071.86,  701.91, 3145.90,  757.75, 3118.80,  757.26,19096.27, 4835.18,8009772459,23931.45,  432.37,  490.80,  408.85,  456.73,  483.97,  517.99,  258.31,  277.10,  263.51,  282.51,  258.20,  276.55, 2105.22, 2301.68,8036802464, 4406.90,  255.04,  345.08,  244.48,  331.88,  262.44,  357.45,  150.85,  227.74,  149.17,  225.06,  148.60,  224.46, 1210.58, 1711.67,8037777539, 2922.24,  25337.92,  11683.48,  37021.41
2026-08-19,14:05:48.814,12137.57,  612.16,12138.17,  614.10,12135.36,  605.50,11848.97,  421.25,11851.18,  422.18,11849.94,  420.99,71961.19, 3096.19,8000421741,75057.38,12950.99,  993.99,12951.40, 1009.62,12925.47,  946.41,12668.68,  802.56,12709.69,  833.24,12684.58,  822.03,76890.82, 5407.84,7993890174,82298.66,10276.03,  569.53,10262.24,  545.80,10283.79,  570.26, 9986.84,  356.47, 9993.46,  361.21, 9990.90,  355.81,60793.26, 2759.08,7997417881,63552.34,  347.42,  315.75,  334.81,  300.26,  356.35,  329.10,  270.22,  230.90,  279.65,  239.48,  271.91,  231.38, 1860.37, 1646.86,7997773849, 3507.22, 211505.61,  12909.97, 224415.58
2026-08-19,14:05:49.812,15032.47,   89.00,15034.77,   89.66,15034.96,   88.15,14820.99,   62.14,14820.06,   62.87,14818.83,   62.20,89562.09,  454.02,7999156505,90016.10,12873.78,  932.53,12884.07,  969.90,12784.22,  806.24,12599.61,  781.65,12681.16,  887.11,12711.87,  913.56,76534.71, 5291.00,7999348820,81825.71,14995.93,   85.90,15000.05,   89.16,14996.19,   85.77,14782.55,   60.08,14789.09,   64.23,14788.49,   61.00,89352.30,  446.14,7997735511,89798.45,10767.06,   26.09,10768.84,   26.26,10768.09,   26.60,10620.55,   27.53,10626.81,   33.15,10623.77,   29.33,64175.12,  168.97,7997886040,64344.09, 319624.22,   6360.13, 325984.34
