,,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT2,SKT2,SKT2,SKT2,SKT2,SKT2,SKT2,SKT2,SKT2,SKT2,SKT2,SKT2,SKT2,SKT2,SKT2,SKT2,SKT3,SKT3,SKT3,SKT3,SKT3,SKT3,SKT3,SKT3,SKT3,SKT3,SKT3,SKT3,SKT3,SKT3,SKT3,SKT3,System,System,System
Date,Time,Ch0Read,Ch0Write,Ch1Read,Ch1Write,Ch2Read,Ch2Write,Ch3Read,Ch3Write,Ch4Read,Ch4Write,Ch5Read,Ch5Write,Mem Read (MB/s),Mem Write (MB/s),P. Write (T/s),Memory (MB/s),Ch0Read,Ch0Write,Ch1Read,Ch1Write,Ch2Read,Ch2Write,Ch3Read,Ch3Write,Ch4Read,Ch4Write,Ch5Read,Ch5Write,Mem Read (MB/s),Mem Write (MB/s),P. Write (T/s),Memory (MB/s),Ch0Read,Ch0Write,Ch1Read,Ch1Write,Ch2Read,Ch2Write,Ch3Read,Ch3Write,Ch4Read,Ch4Write,Ch5Read,Ch5Write,Mem Read (MB/s),Mem Write (MB/s),P. Write (T/s),Memory (MB/s),Ch0Read,Ch0Write,Ch1Read,Ch1Write,Ch2Read,Ch2Write,Ch3Read,Ch3Write,Ch4Read,Ch4Write,Ch5Read,Ch5Write,Mem Read (MB/s),Mem Write (MB/s),P. Write (T/s),Memory (MB/s),Read,Write,Memory
2026-08-31,22:43:34.119,  440.58,  650.54,  440.44,  650.40,  440.91,  650.88,  438.42,  647.43,  438.18,  647.19,  438.54,  647.46, 2637.07, 3893.90,7427697244, 6530.97,  372.50,  651.02,  372.34,  650.70,  372.43,  650.78,  370.86,  647.10,  370.95,  647.26,  370.96,  647.07, 2230.03, 3893.93,7427627726, 6123.96,  374.01,  643.24,  373.95,  643.10,  373.84,  642.70,  372.48,  639.19,  372.56,  639.41,  372.38,  639.29, 2239.22, 3846.95,7429293843, 6086.16,    5.48,    4.81,    5.08,    4.67,    5.84,    5.26,    4.65,    4.28,    5.52,    4.87,    4.60,    4.25,   31.17,   28.12,7432961702,   59.29,   7137.48,  11662.90,  18800.38
2026-08-31,22:43:35.119,   36.70,   11.01,   36.55,   10.93,   36.92,   11.20,   36.04,   10.62,   35.99,   10.57,   36.01,   10.60,  218.21,   64.93,7989630942,  283.14,    1.68,    2.69,    1.69,    2.73,    1.71,    2.74,    1.42,    2.46,    1.43,    2.49,    1.44,    2.49,    9.36,   15.59,7988767116,   24.96,   27.52,    4.14,   27.57,    4.12,   27.57,    4.14,   26.98,    3.79,   27.00,    3.82,   27.01,    3.80,  163.64,   23.81,7986325006,  187.45,   19.74,    3.64,   19.43,    3.47,   20.21,    4.01,   19.06,    2.97,   19.87,    3.58,   19.05,    3.00,  117.36,   20.67,7983588594,  138.03,    508.57,    125.00,    633.57
2026-08-31,22:43:36.120,   29.59,    7.70,   29.57,    7.66,   29.72,    7.68,   29.10,    7.36,   29.00,    7.29,   29.09,    7.32,  176.08,   45.01,7996064856,  221.09,    2.60,    1.65,    2.64,    1.73,    2.62,    1.68,    2.22,    1.29,    2.24,    1.32,    2.29,    1.35,   14.61,    9.03,7999391994,   23.64,   41.36,    4.85,   41.41,    4.91,   41.40,    4.88,   40.75,    4.50,   40.79,    4.55,   40.76,    4.55,  246.47,   28.25,8001542206,  274.72,   11.91,    3.83,   11.61,    3.65,   12.45,    4.24,   11.11,    2.98,   11.99,    3.69,   11.14,    3.05,   70.21,   21.44,8003144907,   91.65,    507.36,    103.73,    611.09
2026-08-31,22:43:37.120,   44.40,   59.97,   44.38,   60.04,   44.38,   59.92,   41.79,   55.18,   41.87,   55.28,   41.97,   55.34,  258.78,  345.73,8003103126,  604.51,   12.53,    9.21,   12.45,    9.13,   12.53,    9.18,   11.21,    8.41,   11.22,    8.39,   11.37,    8.55,   71.31,   52.86,8000263344,  124.17,   18.09,   21.83,   18.02,   21.75,   18.06,   21.84,   16.37,   19.57,   16.34,   19.57,   16.39,   19.64,  103.26,  124.20,7997286067,  227.47,   12.35,   12.86,   12.35,   12.93,   13.13,   13.46,   10.68,   10.71,   11.57,   11.48,   10.80,   10.82,   70.88,   72.26,7997553972,  143.15,    504.24,    595.06,   1099.30
2026-08-31,22:43:38.120,   78.95,   91.52,   78.86,   91.54,   78.82,   91.56,   54.60,   67.20,   54.67,   67.21,   54.73,   67.33,  400.64,  476.36,7996998215,  877.00,   27.24,   25.19,   27.26,   25.25,   27.42,   25.26,    4.17,    2.78,    4.09,    2.69,    4.36,    2.74,   94.53,   83.90,7996493282,  178.43,   41.14,    9.83,   40.97,    9.87,   41.06,    9.81,   16.46,    7.82,   16.54,    7.87,   16.52,    7.86,  172.68,   53.05,7998477169,  225.73,  288.40,    8.19,  288.03,    7.76,  287.83,    8.38,  285.24,    5.90,  286.46,    6.54,  286.15,    5.87, 1722.09,   42.63,7998597475, 1764.72,   2389.94,    655.94,   3045.88
2026-08-31,22:43:39.120,  123.51,  135.82,  116.23,  137.18,   93.37,  103.80,   79.97,   89.50,   88.49,   98.77,   75.31,   87.75,  576.87,  652.82,7463674021, 1229.69,   16.04,   21.76,   17.12,   22.84,   17.37,   23.06,   12.25,   18.42,   11.98,   18.17,   13.74,   19.76,   88.49,  124.00,7466526265,  212.49,    9.26,   13.24,    8.89,   12.94,    9.40,   13.46,    6.76,   11.04,    6.57,   10.84,    6.89,   11.15,   47.77,   72.68,7455530099,  120.45,   13.35,   16.03,   12.91,   15.71,   13.84,   16.66,   10.84,   13.96,   10.54,   13.51,    9.63,   12.71,   71.11,   88.57,7462976147,  159.68,    784.25,    938.08,   1722.32
2026-08-31,22:43:40.120,  241.37,  228.80,  142.76,  131.02,  176.84,  165.88,  156.92,  141.42,  173.93,  158.77,  148.87,  142.18, 1040.70,  968.06,7998171072, 2008.76,   27.59,   34.69,   29.12,   36.15,   28.83,   35.70,   21.48,   29.34,   21.55,   29.45,   24.37,   31.88,  152.95,  197.22,7994957504,  350.17,   46.19,   62.27,   46.21,   62.45,   49.34,   65.55,   36.78,   54.45,   36.37,   53.99,   36.94,   54.60,  251.82,  353.31,7994299074,  605.13,   17.39,   17.96,   16.53,   17.27,   17.41,   18.34,   17.12,   18.17,   13.66,   14.62,   12.69,   13.79,   94.79,  100.15,7995030883,  194.93,   1540.26,   1618.73,   3158.99
2026-08-31,22:43:41.121,  268.45,  247.43,  166.58,  145.85,  199.72,  179.79,  179.48,  156.14,  198.44,  175.47,  173.74,  159.37, 1186.41, 1064.06,8002664414, 2250.47,   50.83,   56.59,   53.35,   59.18,   52.55,   58.18,   43.93,   50.84,   43.15,   50.11,   46.69,   53.42,  290.49,  328.32,8003848888,  618.81,   58.55,   63.05,   58.17,   62.73,   60.74,   65.34,   50.20,   55.95,   49.64,   55.35,   50.24,   55.92,  327.55,  358.34,8004162876,  685.89,   16.62,   13.65,   16.43,   13.73,   16.57,   14.07,   16.61,   14.19,   14.22,   11.60,   13.46,   11.14,   93.90,   78.39,8003531492,  172.29,   1898.36,   1829.10,   3727.46
2026-08-31,22:43:42.121,  455.39,  338.75,  338.77,  228.93,  379.07,  267.44,  351.93,  238.06,  376.09,  261.61,  347.97,  245.01, 2249.22, 1579.81,8003894494, 3829.03,  141.82,   79.09,  143.54,   80.76,  142.82,   80.07,  134.96,   73.94,  134.46,   73.29,  138.17,   76.31,  835.78,  463.46,8002744416, 1299.23,  196.83,  129.41,  195.38,  128.08,  198.95,  131.53,  186.11,  120.81,  185.82,  120.56,  185.95,  120.75, 1149.05,  751.14,8002983713, 1900.18,   59.72,   39.70,   60.13,   40.30,   59.69,   40.00,   57.30,   38.30,   54.01,   34.79,   53.48,   34.57,  344.32,  227.66,8003045589,  571.98,   4578.36,   3022.06,   7600.43
