,,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT2,SKT2,SKT2,SKT2,SKT2,SKT2,SKT2,SKT2,SKT2,SKT2,SKT2,SKT2,SKT2,SKT2,SKT2,SKT2,SKT3,SKT3,SKT3,SKT3,SKT3,SKT3,SKT3,SKT3,SKT3,SKT3,SKT3,SKT3,SKT3,SKT3,SKT3,SKT3,System,System,System
Date,Time,Ch0Read,Ch0Write,Ch1Read,Ch1Write,Ch2Read,Ch2Write,Ch3Read,Ch3Write,Ch4Read,Ch4Write,Ch5Read,Ch5Write,Mem Read (MB/s),Mem Write (MB/s),P. Write (T/s),Memory (MB/s),Ch0Read,Ch0Write,Ch1Read,Ch1Write,Ch2Read,Ch2Write,Ch3Read,Ch3Write,Ch4Read,Ch4Write,Ch5Read,Ch5Write,Mem Read (MB/s),Mem Write (MB/s),P. Write (T/s),Memory (MB/s),Ch0Read,Ch0Write,Ch1Read,Ch1Write,Ch2Read,Ch2Write,Ch3Read,Ch3Write,Ch4Read,Ch4Write,Ch5Read,Ch5Write,Mem Read (MB/s),Mem Write (MB/s),P. Write (T/s),Memory (MB/s),Ch0Read,Ch0Write,Ch1Read,Ch1Write,Ch2Read,Ch2Write,Ch3Read,Ch3Write,Ch4Read,Ch4Write,Ch5Read,Ch5Write,Mem Read (MB/s),Mem Write (MB/s),P. Write (T/s),Memory (MB/s),Read,Write,Memory
2026-08-27,21:33:19.221,  387.14,  667.71,  388.11,  668.13,  386.26,  666.89,  384.02,  663.88,  384.38,  664.37,  384.96,  663.99, 2314.87, 3994.97,7386210702, 6309.83,  449.61,  755.24,  449.23,  754.59,  449.05,  754.36,  444.82,  749.31,  444.99,  749.47,  445.27,  749.72, 2682.96, 4512.69,7385439392, 7195.65,  377.60,  656.76,  377.30,  656.27,  377.40,  656.41,  375.23,  651.86,  375.69,  652.64,  375.51,  652.23, 2258.73, 3926.19,7386630933, 6184.92,    4.07,    5.78,    3.98,    5.78,    4.03,    5.73,    3.59,    5.40,    3.55,    5.32,    3.59,    5.39,   22.81,   33.40,7388338632,   56.21,   7279.37,  12467.24,  19746.61
2026-08-27,21:33:20.221,    8.66,    5.86,    9.37,    6.35,    8.09,    5.51,    7.58,    5.12,    7.71,    5.30,    8.53,    5.69,   49.94,   33.84,7987958944,   83.78,   15.99,   21.69,   16.12,   21.96,   16.00,   21.72,   12.86,   18.39,   13.03,   18.44,   13.03,   18.54,   87.03,  120.75,7988122880,  207.78,   24.78,   44.98,   24.77,   44.99,   24.76,   45.04,   20.99,   43.44,   20.93,   43.46,   21.16,   43.71,  137.38,  265.63,7987313986,  403.01,    2.34,    2.20,    2.34,    2.20,    2.30,    2.17,    1.92,    1.81,    1.88,    1.75,    1.88,    1.77,   12.66,   11.89,7990165333,   24.55,    287.02,    432.11,    719.13
2026-08-27,21:33:21.220,  180.92,  239.15,  195.16,  254.00,  185.57,  244.04,  163.05,  227.72,  161.71,  226.92,  175.04,  240.45, 1061.45, 1432.27,8004016558, 2493.72,  100.96,  150.95,  102.16,  152.13,  101.96,  152.04,   76.86,  133.32,   76.28,  132.85,   76.28,  132.87,  534.50,  854.15,8003704266, 1388.65,  173.43,  243.05,  179.08,  249.76,  180.13,  246.68,  145.21,  221.70,  155.07,  231.51,  148.11,  226.80,  981.03, 1419.50,8000877283, 2400.53,   94.40,  147.24,   95.76,  148.74,   96.04,  149.02,   68.38,  126.03,   68.64,  126.45,   68.26,  126.05,  491.48,  823.52,7998231591, 1315.00,   3068.46,   4529.45,   7597.91
2026-08-27,21:33:22.220,  485.45,  556.35,  514.34,  585.05,  498.73,  569.56,  454.14,  538.08,  451.76,  535.64,  480.61,  566.65, 2885.02, 3351.33,7992533470, 6236.35,  331.98,  418.27,  333.10,  419.22,  332.70,  419.18,  294.62,  390.12,  295.04,  390.29,  295.61,  391.08, 1883.05, 2428.15,7993054039, 4311.20,  404.04,  509.94,  415.38,  522.80,  413.08,  515.12,  368.10,  484.35,  385.29,  500.79,  376.89,  496.54, 2362.78, 3029.53,7993473483, 5392.31,  345.33,  437.98,  348.12,  441.33,  347.35,  440.06,  310.18,  412.35,  309.59,  411.73,  309.74,  412.13, 1970.31, 2555.58,7993903747, 4525.88,   9101.15,  11364.59,  20465.74
2026-08-27,21:33:23.221,  386.06,  426.46,  415.77,  453.30,  399.14,  438.17,  353.12,  400.69,  348.86,  397.13,  378.80,  425.78, 2281.74, 2541.53,8002071050, 4823.27,  258.60,  324.86,  259.70,  326.20,  259.68,  325.93,  216.47,  284.28,  215.97,  283.68,  216.81,  284.53, 1427.24, 1829.48,8002071172, 3256.72,  352.70,  441.82,  362.33,  452.99,  361.77,  447.34,  306.29,  400.36,  323.78,  417.36,  316.31,  413.51, 2023.18, 2573.39,8002084248, 4596.57,  233.96,  295.78,  237.46,  299.71,  235.70,  296.99,  197.42,  263.52,  197.91,  263.84,  197.00,  263.16, 1299.46, 1682.98,8002100517, 2982.44,   7031.62,   8627.38,  15658.99
2026-08-27,21:33:24.221,  282.17,  288.39,  298.43,  303.21,  288.18,  293.03,  261.18,  271.94,  260.49,  272.23,  276.26,  285.98, 1666.71, 1714.78,8000820646, 3381.49,  158.62,  178.70,  160.10,  180.45,  159.27,  179.64,  125.82,  144.72,  124.81,  143.51,  125.29,  144.08,  853.90,  971.10,8000816848, 1825.00,  251.94,  286.69,  257.70,  293.62,  259.81,  291.61,  215.99,  249.69,  227.40,  261.12,  221.81,  258.50, 1434.65, 1641.23,8000820758, 3075.88,  179.85,  201.38,  183.00,  204.63,  181.07,  202.71,  145.90,  165.37,  146.33,  166.15,  145.81,  165.26,  981.96, 1105.50,8000880350, 2087.46,   4937.22,   5432.60,  10369.83
2026-08-27,21:33:25.221,  446.98,  492.39,  485.67,  528.57,  465.46,  509.58,  419.37,  475.24,  416.76,  474.09,  454.30,  510.90, 2688.53, 2990.76,8002022647, 5679.29,  326.08,  401.83,  328.54,  403.99,  327.42,  402.94,  294.75,  378.38,  294.65,  378.26,  294.86,  378.57, 1866.30, 2343.97,8001819440, 4210.27,  412.64,  511.28,  424.52,  525.82,  425.39,  520.62,  381.07,  491.13,  405.47,  514.19,  394.12,  508.84, 2443.21, 3071.89,8001424341, 5515.09,  325.48,  404.77,  329.73,  409.82,  327.31,  407.02,  293.06,  379.60,  293.61,  380.13,  293.38,  379.80, 1862.57, 2361.14,8002972096, 4223.71,   8860.61,  10767.75,  19628.36
2026-08-27,21:33:26.222,  325.98,  353.73,  355.30,  381.46,  335.98,  361.90,  301.41,  335.49,  298.69,  333.80,  325.45,  359.94, 1942.80, 2126.33,7995149058, 4069.13,  184.05,  227.29,  183.56,  226.50,  186.43,  229.87,  161.70,  210.24,  159.84,  208.02,  159.89,  208.03, 1035.47, 1309.95,7995083714, 2345.42,  264.52,  323.44,  274.00,  334.58,  275.38,  329.57,  240.72,  308.80,  259.30,  326.58,  250.65,  322.61, 1564.57, 1945.58,7997307323, 3510.15,  183.94,  221.12,  186.21,  223.65,  184.60,  221.90,  157.36,  200.85,  158.82,  202.01,  159.39,  203.16, 1030.32, 1272.69,7997723664, 2303.02,   5573.16,   6654.54,  12227.71
2026-08-27,21:33:27.221,  372.09,  413.93,  388.19,  431.04,  377.84,  419.66,  348.11,  398.43,  346.32,  397.50,  359.37,  411.84, 2191.91, 2472.39,8000322871, 4664.30,  245.23,  287.99,  244.51,  286.92,  246.06,  288.58,  214.91,  261.83,  215.41,  262.37,  214.95,  261.96, 1381.06, 1649.65,8000660923, 3030.71,  321.04,  376.68,  329.35,  385.17,  332.07,  383.38,  290.20,  349.54,  302.96,  362.09,  295.11,  357.72, 1870.74, 2214.58,7998831748, 4085.32,  253.45,  300.05,  253.93,  300.34,  255.93,  302.56,  222.94,  273.68,  223.82,  274.42,  223.56,  274.06, 1433.64, 1725.11,7996795950, 3158.75,   6877.35,   8061.73,  14939.08
