,,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT2,SKT2,SKT2,SKT2,SKT2,SKT2,SKT2,SKT2,SKT2,SKT2,SKT2,SKT2,SKT2,SKT2,SKT2,SKT2,SKT3,SKT3,SKT3,SKT3,SKT3,SKT3,SKT3,SKT3,SKT3,SKT3,SKT3,SKT3,SKT3,SKT3,SKT3,SKT3,System,System,System
Date,Time,Ch0Read,Ch0Write,Ch1Read,Ch1Write,Ch2Read,Ch2Write,Ch3Read,Ch3Write,Ch4Read,Ch4Write,Ch5Read,Ch5Write,Mem Read (MB/s),Mem Write (MB/s),P. Write (T/s),Memory (MB/s),Ch0Read,Ch0Write,Ch1Read,Ch1Write,Ch2Read,Ch2Write,Ch3Read,Ch3Write,Ch4Read,Ch4Write,Ch5Read,Ch5Write,Mem Read (MB/s),Mem Write (MB/s),P. Write (T/s),Memory (MB/s),Ch0Read,Ch0Write,Ch1Read,Ch1Write,Ch2Read,Ch2Write,Ch3Read,Ch3Write,Ch4Read,Ch4Write,Ch5Read,Ch5Write,Mem Read (MB/s),Mem Write (MB/s),P. Write (T/s),Memory (MB/s),Ch0Read,Ch0Write,Ch1Read,Ch1Write,Ch2Read,Ch2Write,Ch3Read,Ch3Write,Ch4Read,Ch4Write,Ch5Read,Ch5Write,Mem Read (MB/s),Mem Write (MB/s),P. Write (T/s),Memory (MB/s),Read,Write,Memory
2026-08-30,07:47:45.978,  409.74,  693.35,  409.84,  693.51,  409.72,  693.54,  402.03,  684.71,  402.05,  684.86,  402.30,  685.04, 2435.68, 4135.02,6923101079, 6570.70,  381.32,  628.43,  381.65,  628.93,  381.77,  629.21,  377.67,  623.79,  378.20,  624.62,  377.66,  623.69, 2278.27, 3758.68,6924725423, 6036.94,  399.99,  686.25,  399.91,  686.59,  400.50,  686.82,  394.68,  678.91,  395.74,  680.03,  394.78,  679.03, 2385.59, 4097.63,6924570643, 6483.23,   16.72,   20.41,   16.91,   20.53,   16.88,   20.47,   14.10,   17.98,   14.00,   17.98,   14.06,   17.99,   92.67,  115.37,6927486017,  208.04,   7192.21,  12106.70,  19298.91
2026-08-30,07:47:46.978,    7.89,    9.29,    7.97,    9.38,    7.87,    9.29,    5.71,    6.88,    5.68,    6.93,    5.66,    6.91,   40.79,   48.68,7979951040,   89.47,   24.59,   45.97,   24.59,   45.89,   24.53,   45.86,   20.62,   43.43,   20.64,   43.51,   20.60,   43.33,  135.57,  268.00,7978430986,  403.57,    5.79,    6.81,    5.33,    6.41,    6.11,    6.97,    3.94,    4.68,    4.67,    5.32,    3.84,    4.66,   29.68,   34.85,7977475016,   64.53,    5.32,    5.82,    5.49,    6.00,    5.43,    5.95,    4.23,    4.57,    4.17,    4.52,    4.17,    4.54,   28.81,   31.39,7979904843,   60.21,    234.85,    382.93,    617.78
2026-08-30,07:47:47.978,    1.15,    1.11,    1.27,    1.20,    1.15,    1.10,    1.00,    0.90,    0.98,    0.93,    1.00,    0.90,    6.55,    6.14,7851360228,   12.69,    6.69,  104.27,    6.68,  104.30,    6.75,  104.31,    2.83,  100.65,    2.78,  100.63,    2.70,  100.56,   28.42,  614.72,7851077000,  643.14,    1.70,    1.53,    1.00,    0.94,    1.75,    1.50,    0.99,    0.84,    1.69,    1.40,    0.80,    0.72,    7.93,    6.92,7827592202,   14.86,    1.09,    1.00,    1.27,    1.13,    1.20,    1.10,    1.02,    0.85,    1.00,    0.85,    0.94,    0.80,    6.53,    5.73,7849073962,   12.26,     49.43,    633.51,    682.95
2026-08-30,07:47:48.978,    1.12,    1.10,    1.20,    1.17,    1.10,    1.08,    0.95,    0.88,    0.94,    0.92,    0.92,    0.87,    6.23,    6.02,7829076147,   12.25,    6.50,  101.55,    6.52,  101.54,    6.56,  101.54,    2.62,   99.58,    2.59,   99.55,    2.52,   99.46,   27.31,  603.22,7829407949,  630.53,    1.57,    1.42,    0.93,    0.88,    1.66,    1.43,    0.92,    0.81,    1.57,    1.33,    0.72,    0.66,    7.38,    6.52,7803458325,   13.90,    1.02,    0.96,    1.18,    1.08,    1.12,    1.05,    0.94,    0.81,    0.92,    0.82,    0.87,    0.75,    6.06,    5.48,7827978547,   11.54,     46.99,    621.23,    668.22
2026-08-30,07:47:49.979,    1.11,    1.07,    1.22,    1.17,    1.11,    1.08,    0.98,    0.88,    0.96,    0.91,    0.95,    0.88,    6.33,    5.98,7829906509,   12.32,    6.42,  101.22,    6.41,  101.25,    6.44,  101.22,    2.60,   99.23,    2.57,   99.25,    2.51,   99.18,   26.94,  601.34,7828633733,  628.29,    1.60,    1.46,    0.95,    0.92,    1.66,    1.47,    0.91,    0.80,    1.54,    1.33,    0.74,    0.67,    7.39,    6.66,7801066855,   14.05,    1.07,    1.00,    1.26,    1.14,    1.18,    1.10,    0.99,    0.85,    0.97,    0.86,    0.92,    0.80,    6.38,    5.75,7826822973,   12.13,     47.04,    619.74,    666.78
2026-08-30,07:47:50.979,    1.35,    1.45,    1.47,    1.54,    1.32,    1.39,    1.15,    1.19,    1.14,    1.22,    1.09,    1.15,    7.53,    7.94,7850234541,   15.47,    6.44,  103.53,    6.46,  103.56,    6.51,  103.56,    2.61,   99.70,    2.59,   99.68,    2.48,   99.56,   27.07,  609.59,7850413832,  636.66,    2.05,    1.80,    1.44,    1.30,    2.14,    1.85,    1.37,    1.13,    2.01,    1.67,    1.18,    1.00,   10.18,    8.75,7827162527,   18.93,    1.57,    1.16,    1.73,    1.31,    1.67,    1.28,    1.42,    0.95,    1.42,    0.96,    1.38,    0.92,    9.19,    6.58,7849064310,   15.77,     53.98,    632.86,    686.83
2026-08-30,07:47:51.979,    1.09,    1.05,    1.21,    1.14,    1.08,    1.04,    0.91,    0.82,    0.90,    0.85,    0.90,    0.83,    6.09,    5.72,7840169418,   11.81,    6.32,  103.55,    6.34,  103.54,    6.37,  103.57,    2.52,   99.73,    2.47,   99.71,    2.39,   99.59,   26.41,  609.69,7839052609,  636.11,    1.48,    1.36,    0.83,    0.85,    1.53,    1.39,    0.83,    0.76,    1.42,    1.23,    0.64,    0.62,    6.73,    6.20,7816578561,   12.94,    1.01,    0.97,    1.19,    1.10,    1.11,    1.06,    0.94,    0.82,    0.92,    0.82,    0.86,    0.76,    6.03,    5.53,7838557333,   11.56,     45.27,    627.15,    672.41
2026-08-30,07:47:52.980,    1.06,    1.02,    1.14,    1.09,    1.03,    1.00,    0.90,    0.80,    0.88,    0.84,    0.87,    0.80,    5.88,    5.55,7819328480,   11.42,    6.27,  102.34,    6.30,  102.35,    6.32,  102.35,    2.51,  100.10,    2.48,  100.05,    2.41,   99.97,   26.29,  607.17,7819531298,  633.45,    1.48,    1.35,    0.83,    0.83,    1.50,    1.34,    0.83,    0.73,    1.39,    1.18,    0.66,    0.60,    6.68,    6.03,7793049884,   12.71,    0.97,    0.90,    1.13,    1.03,    1.06,    0.99,    0.90,    0.78,    0.90,    0.79,    0.83,    0.72,    5.79,    5.22,7818315144,   11.01,     44.64,    623.97,    668.60
2026-08-30,07:47:53.980,    1.06,    0.99,    1.16,    1.07,    1.03,    0.96,    0.88,    0.75,    0.87,    0.80,    0.87,    0.77,    5.87,    5.35,7786204154,   11.22,    6.31,  102.41,    6.32,  102.42,    6.34,  102.41,    2.52,   99.00,    2.48,   98.97,    2.43,   98.88,   26.38,  604.09,7783579796,  630.47,    1.58,    1.43,    0.92,    0.90,    1.63,    1.45,    0.90,    0.78,    1.43,    1.22,    0.73,    0.66,    7.19,    6.43,7754282013,   13.62,    0.93,    0.88,    1.12,    1.04,    1.04,    0.99,    0.90,    0.79,    0.90,    0.81,    0.84,    0.74,    5.74,    5.24,7781026317,   10.98,     45.18,    621.11,    666.29
