,,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT2,SKT2,SKT2,SKT2,SKT2,SKT2,SKT2,SKT2,SKT2,SKT2,SKT2,SKT2,SKT2,SKT2,SKT2,SKT2,SKT3,SKT3,SKT3,SKT3,SKT3,SKT3,SKT3,SKT3,SKT3,SKT3,SKT3,SKT3,SKT3,SKT3,SKT3,SKT3,System,System,System
Date,Time,Ch0Read,Ch0Write,Ch1Read,Ch1Write,Ch2Read,Ch2Write,Ch3Read,Ch3Write,Ch4Read,Ch4Write,Ch5Read,Ch5Write,Mem Read (MB/s),Mem Write (MB/s),P. Write (T/s),Memory (MB/s),Ch0Read,Ch0Write,Ch1Read,Ch1Write,Ch2Read,Ch2Write,Ch3Read,Ch3Write,Ch4Read,Ch4Write,Ch5Read,Ch5Write,Mem Read (MB/s),Mem Write (MB/s),P. Write (T/s),Memory (MB/s),Ch0Read,Ch0Write,Ch1Read,Ch1Write,Ch2Read,Ch2Write,Ch3Read,Ch3Write,Ch4Read,Ch4Write,Ch5Read,Ch5Write,Mem Read (MB/s),Mem Write (MB/s),P. Write (T/s),Memory (MB/s),Ch0Read,Ch0Write,Ch1Read,Ch1Write,Ch2Read,Ch2Write,Ch3Read,Ch3Write,Ch4Read,Ch4Write,Ch5Read,Ch5Write,Mem Read (MB/s),Mem Write (MB/s),P. Write (T/s),Memory (MB/s),Read,Write,Memory
2026-08-27,19:32:09.761,  365.41,  626.84,  365.52,  626.79,  364.63,  626.03,  362.10,  622.63,  362.55,  622.93,  363.37,  623.68, 2183.58, 3748.89,7360584639, 5932.47,  435.71,  690.54,  435.49,  690.17,  435.64,  690.34,  431.52,  686.57,  431.89,  686.85,  431.73,  686.95, 2601.97, 4131.42,7358833939, 6733.39,  503.28,  718.44,  502.56,  717.22,  502.78,  717.48,  496.68,  711.43,  496.82,  711.37,  496.79,  711.30, 2998.91, 4287.24,7358719972, 7286.16,    3.42,    4.44,    3.25,    4.29,    3.26,    4.20,    2.74,    3.80,    2.83,    3.88,    2.70,    3.79,   18.20,   24.39,7358643234,   42.59,   7802.67,  12191.94,  19994.61
2026-08-27,19:32:10.761,    5.15,    4.34,    5.60,    4.81,    4.59,    3.80,    4.19,    3.48,    4.45,    3.77,    5.13,    4.18,   29.11,   24.39,7999121906,   53.50,  153.64,  113.51,  153.65,  113.53,  153.76,  113.43,  153.02,  113.33,  153.09,  113.32,  152.82,  113.25,  919.98,  680.36,7999422755, 1600.34,  151.98,   98.27,  151.89,   98.27,  152.03,   98.42,  147.30,   95.47,  147.28,   95.60,  147.33,   95.49,  897.82,  581.54,7999367216, 1479.36,    2.09,    2.03,    1.97,    1.92,    1.86,    1.78,    1.50,    1.42,    1.53,    1.45,    1.47,    1.43,   10.43,   10.05,7999827915,   20.48,   1857.34,   1296.33,   3153.67
2026-08-27,19:32:11.761,    4.79,    4.08,    5.26,    4.55,    4.20,    3.46,    3.86,    3.19,    4.12,    3.48,    4.76,    3.86,   27.00,   22.63,7997865910,   49.63,  145.41,   92.49,  145.27,   92.43,  145.31,   92.45,  144.62,   91.94,  144.85,   92.08,  144.75,   92.01,  870.21,  553.40,7999096646, 1423.61,  165.36,  123.15,  165.33,  123.16,  165.49,  123.31,  159.80,  120.23,  159.86,  120.25,  159.80,  120.21,  975.64,  730.31,7999035343, 1705.95,    2.20,    2.09,    2.10,    1.98,    1.97,    1.82,    1.60,    1.47,    1.66,    1.52,    1.57,    1.47,   11.12,   10.35,7998562700,   21.46,   1883.97,   1316.68,   3200.65
2026-08-27,19:32:12.760,    4.88,    4.26,    5.37,    4.71,    4.29,    3.69,    3.88,    3.37,    4.20,    3.69,    4.83,    4.04,   27.45,   23.76,8003245579,   51.21,  208.20,  142.43,  208.11,  142.38,  208.15,  142.39,  209.42,  142.48,  209.58,  142.55,  209.67,  142.43, 1253.13,  854.65,8000681076, 2107.79,  158.55,  107.03,  158.48,  107.08,  158.67,  107.22,  152.82,  103.94,  152.74,  103.86,  152.64,  103.87,  933.90,  633.00,8000742437, 1566.90,    2.10,    2.06,    2.07,    2.04,    1.90,    1.82,    1.53,    1.50,    1.54,    1.48,    1.54,    1.52,   10.68,   10.42,8000767690,   21.11,   2225.16,   1521.84,   3747.00
2026-08-27,19:32:13.762,    4.91,    4.36,    5.44,    4.78,    4.34,    3.79,    4.12,    3.60,    4.34,    3.89,    4.90,    4.16,   28.06,   24.58,7995013018,   52.63,  187.03,  138.52,  186.93,  138.50,  186.80,  138.43,  187.48,  138.47,  187.57,  138.53,  187.51,  138.44, 1123.32,  830.90,7998129752, 1954.22,  175.07,  108.95,  175.00,  108.87,  175.16,  109.02,  168.79,  105.50,  168.87,  105.47,  168.79,  105.45, 1031.68,  643.24,7998239498, 1674.92,    2.02,    1.98,    1.96,    1.90,    1.83,    1.75,    1.46,    1.42,    1.51,    1.45,    1.46,    1.43,   10.24,    9.92,8012019444,   20.16,   2193.29,   1508.63,   3701.93
2026-08-27,19:32:14.761,    5.29,    4.75,    5.83,    5.22,    4.83,    4.30,    4.49,    4.01,    4.70,    4.26,    5.22,    4.54,   30.36,   27.10,8003375843,   57.46,  184.24,  116.73,  183.76,  116.60,  183.82,  116.71,  184.02,  115.91,  184.15,  116.05,  184.02,  115.95, 1104.01,  697.94,8000663876, 1801.95,  159.02,  109.45,  158.94,  109.44,  159.14,  109.59,  154.28,  106.12,  154.16,  106.04,  153.99,  106.05,  939.54,  646.69,8000493753, 1586.23,    2.33,    2.04,    2.24,    1.91,    2.21,    1.89,    1.77,    1.46,    1.85,    1.52,    1.76,    1.44,   12.16,   10.28,7986721637,   22.43,   2086.07,   1382.01,   3468.08
2026-08-27,19:32:15.762,    4.71,    4.28,    5.21,    4.74,    4.12,    3.76,    3.86,    3.54,    4.12,    3.82,    4.61,    4.08,   26.63,   24.21,8002246330,   50.84,  220.44,  140.57,  220.43,  140.55,  219.96,  140.54,  221.38,  140.64,  221.60,  140.70,  221.41,  140.57, 1325.22,  843.56,8002008928, 2168.78,  145.08,  115.57,  145.18,  115.60,  145.27,  115.72,  139.11,  111.76,  139.05,  111.82,  138.99,  111.80,  852.68,  682.25,8002039720, 1534.93,    1.70,    1.69,    1.65,    1.64,    1.54,    1.52,    1.23,    1.24,    1.25,    1.24,    1.24,    1.24,    8.60,    8.58,8015868940,   17.17,   2213.12,   1558.60,   3771.72
2026-08-27,19:32:16.762,    4.76,    4.37,    5.33,    4.89,    4.21,    3.82,    3.93,    3.60,    4.23,    3.93,    4.78,    4.24,   27.24,   24.85,7998953060,   52.10,  186.98,  142.32,  187.09,  142.41,  186.95,  142.32,  187.64,  142.05,  187.62,  142.07,  187.56,  142.05, 1123.85,  853.23,7998723004, 1977.08,  171.92,  105.54,  171.75,  105.53,  172.13,  105.65,  165.80,  101.71,  165.71,  101.70,  165.80,  101.73, 1013.12,  621.86,7998436723, 1634.98,    1.64,    1.61,    1.64,    1.62,    1.50,    1.48,    1.21,    1.21,    1.15,    1.12,    1.18,    1.18,    8.31,    8.21,8005384741,   16.52,   2172.52,   1508.16,   3680.68
2026-08-27,19:32:17.760,    4.56,    4.22,    5.10,    4.66,    3.98,    3.66,    3.73,    3.44,    3.98,    3.71,    4.51,    4.00,   25.87,   23.69,7998685006,   49.56,  176.22,  113.86,  176.07,  113.79,  176.01,  113.80,  176.46,  113.24,  176.77,  113.37,  176.66,  113.30, 1058.20,  681.36,8000715439, 1739.56,  158.78,  114.47,  158.72,  114.51,  158.80,  114.58,  153.77,  110.72,  153.67,  110.71,  153.52,  110.69,  937.27,  675.69,8001086381, 1612.97,    1.74,    1.71,    1.71,    1.69,    1.58,    1.55,    1.28,    1.28,    1.23,    1.19,    1.27,    1.25,    8.80,    8.67,7980299846,   17.47,   2030.14,   1389.41,   3419.55
2026-08-27,19:32:18.760,    4.61,    4.23,    5.22,    4.76,    4.10,    3.77,    3.80,    3.52,    4.10,    3.87,    4.62,    4.10,   26.46,   24.25,7997000105,   50.71,  223.56,  152.44,  223.60,  152.45,  223.37,  152.47,  224.82,  152.64,  225.00,  152.70,  224.88,  152.54, 1345.23,  915.24,7997321761, 2260.46,  148.07,  103.56,  147.97,  103.58,  148.13,  103.60,  142.19,   99.78,  142.18,   99.73,  142.06,   99.72,  870.60,  609.96,7997177986, 1480.57,    1.63,    1.62,    1.62,    1.62,    1.49,    1.47,    1.20,    1.22,    1.14,    1.12,    1.18,    1.18,    8.26,    8.23,7997188230,   16.49,   2250.54,   1557.68,   3808.23
2026-08-27,19:32:19.760,    5.09,    5.60,    5.61,    5.83,    4.51,    4.95,    4.24,    4.74,    4.51,    5.08,    5.01,    5.22,   28.96,   31.42,8005289070,   60.38,  192.38,  139.48,  192.46,  139.40,  192.32,  139.30,  192.47,  139.13,  192.69,  139.25,  192.77,  139.22, 1155.09,  835.78,8003507221, 1990.87,  133.27,   90.86,  133.07,   90.76,  133.32,   90.88,  128.99,   87.84,  129.05,   87.90,  129.05,   87.88,  786.76,  536.12,8003328070, 1322.88,   20.72,   19.16,   20.73,   19.18,   20.67,   19.11,   18.60,   17.77,   18.56,   17.71,   18.54,   17.69,  117.83,  110.62,8003095259,  228.45,   2088.64,   1513.94,   3602.58
2026-08-27,19:32:20.760,    5.19,    4.68,    5.85,    4.88,    4.64,    4.17,    4.41,    3.93,    4.53,    4.10,    5.43,    4.52,   30.05,   26.27,7996278322,   56.31,  179.27,  121.61,  179.06,  121.56,  179.06,  121.57,  179.41,  121.07,  179.39,  121.18,  179.39,  121.06, 1075.57,  728.04,7997797580, 1803.61,  121.28,  108.30,  121.31,  108.26,  121.40,  108.26,  116.49,  105.06,  116.29,  105.06,  116.26,  105.03,  713.04,  639.98,7997715604, 1353.03,   14.66,   14.13,   14.62,   14.11,   14.59,   14.03,   13.17,   12.98,   13.16,   12.94,   13.12,   12.95,   83.31,   81.14,7998011872,  164.45,   1901.97,   1475.43,   3377.41
2026-08-27,19:32:21.760,    4.76,    4.35,    5.50,    4.76,    4.22,    3.84,    4.09,    3.75,    4.22,    3.90,    5.00,    4.33,   27.78,   24.92,8004547381,   52.70,  180.04,  145.18,  180.16,  145.16,  179.97,  145.20,  180.74,  145.18,  180.75,  145.15,  180.79,  145.10, 1082.44,  870.96,8005652384, 1953.40,  144.83,   83.00,  144.78,   82.91,  144.98,   83.07,  140.24,   79.74,  140.24,   79.81,  140.01,   79.76,  855.09,  488.30,8006465676, 1343.38,   14.61,   16.39,   14.57,   16.38,   14.48,   16.28,   13.06,   15.13,   13.08,   15.15,   13.06,   15.12,   82.85,   94.45,8006402354,  177.31,   2048.16,   1478.64,   3526.80
2026-08-27,19:32:22.762,    8.72,    9.57,    9.40,    9.82,    8.14,    8.95,    7.89,    8.67,    8.03,    8.90,    8.81,    9.24,   51.00,   55.16,7997650922,  106.17,  182.63,  130.80,  182.55,  130.71,  182.47,  130.76,  182.64,  130.27,  182.95,  130.46,  182.73,  130.28, 1095.97,  783.28,7995647117, 1879.24,  138.98,   91.23,  138.88,   91.20,  138.94,   91.20,  135.58,   88.52,  135.54,   88.54,  135.53,   88.53,  823.45,  539.22,7994929010, 1362.67,   26.93,   24.61,   26.87,   24.61,   26.83,   24.50,   24.27,   22.98,   24.26,   22.99,   24.23,   22.99,  153.38,  142.68,8014439415,  296.06,   2123.80,   1520.34,   3644.14
2026-08-27,19:32:23.766,    4.72,    4.60,    5.49,    4.84,    4.15,    4.05,    4.00,    3.92,    4.12,    4.09,    4.95,    4.45,   27.43,   25.95,7999454586,   53.38,  155.47,  113.96,  155.35,  113.92,  155.35,  113.94,  155.40,  113.25,  155.56,  113.34,  155.63,  113.38,  932.76,  681.80,8000019564, 1614.56,  140.97,  103.74,  140.91,  103.67,  140.96,  103.66,  136.73,  100.91,  136.74,  100.90,  136.74,  100.92,  833.06,  613.81,8000314349, 1446.87,   16.61,   15.89,   16.62,   15.94,   16.52,   15.80,   14.90,   14.81,   14.95,   14.84,   14.90,   14.81,   94.50,   92.11,8029312036,  186.61,   1887.75,   1413.67,   3301.42
2026-08-27,19:32:24.759,    5.12,    4.59,    5.76,    4.92,    4.47,    3.97,    4.34,    3.86,    4.46,    4.04,    5.30,    4.51,   29.44,   25.89,7994643193,   55.33,  193.06,  142.68,  193.00,  142.69,  192.93,  142.69,  193.46,  142.57,  193.79,  142.68,  193.53,  142.60, 1159.77,  855.90,7992617726, 2015.68,  130.24,   94.69,  130.14,   94.60,  130.12,   94.63,  125.39,   91.53,  125.24,   91.59,  125.25,   91.58,  766.38,  558.62,7992232254, 1325.00,   12.65,   14.09,   12.57,   14.05,   12.51,   13.96,   11.29,   13.18,   11.34,   13.22,   11.28,   13.20,   71.64,   81.70,7943701174,  153.35,   2027.24,   1522.11,   3549.35
2026-08-27,19:32:25.762,    5.53,    4.89,    6.10,    5.05,    4.99,    4.30,    4.85,    4.15,    4.91,    4.31,    5.65,    4.65,   32.05,   27.34,8000693006,   59.39,  200.54,  141.91,  200.81,  141.94,  200.65,  141.90,  201.14,  141.54,  201.27,  141.61,  201.20,  141.58, 1205.61,  850.46,8004210603, 2056.07,  131.94,   81.66,  131.94,   81.54,  131.88,   81.61,  128.48,   79.02,  128.57,   79.00,  128.37,   79.02,  781.18,  481.85,8005342282, 1263.03,   27.94,   25.30,   27.82,   25.13,   27.87,   25.19,   25.24,   23.45,   25.31,   23.52,   25.20,   23.42,  159.38,  146.01,8018801252,  305.39,   2178.23,   1505.66,   3683.88
2026-08-27,19:32:26.761,    4.95,    4.42,    5.61,    4.61,    4.36,    3.83,    4.23,    3.75,    4.35,    3.93,    5.15,    4.24,   28.65,   24.77,8005091887,   53.42,  161.30,  115.20,  161.30,  115.16,  161.15,  115.07,  160.85,  114.10,  161.17,  114.31,  160.89,  114.16,  966.65,  688.00,8001856598, 1654.65,  134.37,  102.00,  134.29,  101.89,  134.36,  101.92,  129.83,   99.09,  129.81,   99.07,  129.74,   99.09,  792.40,  603.07,8001055498, 1395.46,   13.21,   12.73,   13.14,   12.68,   13.13,   12.64,   11.87,   11.85,   11.88,   11.87,   11.81,   11.79,   75.04,   73.56,7987580013,  148.61,   1862.74,   1389.40,   3252.14
2026-08-27,19:32:27.761,    4.99,    4.52,    5.68,    4.85,    4.41,    3.92,    4.28,    3.82,    4.38,    3.95,    5.11,    4.37,   28.86,   25.43,8001288142,   54.29,  199.13,  139.10,  199.18,  138.99,  199.17,  139.06,  199.64,  138.66,  199.85,  138.84,  199.74,  138.76, 1196.71,  833.41,8004452584, 2030.12,  134.34,   99.11,  134.23,   98.99,  134.25,   98.96,  129.48,   95.88,  129.47,   95.85,  129.37,   95.88,  791.14,  584.68,8005137895, 1375.82,   16.34,   17.72,   16.25,   17.67,   16.22,   17.60,   14.71,   16.68,   14.79,   16.74,   14.68,   16.65,   92.98,  103.07,8005143721,  196.05,   2109.69,   1546.59,   3656.28
2026-08-27,19:32:28.762,    5.08,    4.57,    5.65,    4.63,    4.44,    3.90,    4.33,    3.76,    4.41,    3.93,    5.15,    4.25,   29.06,   25.04,7997105451,   54.10,  196.35,  143.34,  196.45,  143.30,  196.33,  143.32,  197.20,  143.14,  197.40,  143.34,  197.40,  143.25, 1181.12,  859.70,7995282824, 2040.82,  126.45,   71.27,  126.30,   71.20,  126.30,   71.17,  123.09,   68.45,  123.12,   68.54,  123.16,   68.53,  748.42,  419.15,7994540725, 1167.58,   27.72,   24.97,   27.68,   24.94,   27.62,   24.82,   25.12,   23.47,   25.12,   23.48,   25.06,   23.44,  158.32,  145.13,8007341375,  303.45,   2116.93,   1449.02,   3565.95
2026-08-27,19:32:29.761,    4.91,    4.48,    5.56,    4.64,    4.28,    3.86,    4.18,    3.75,    4.25,    3.89,    5.12,    4.29,   28.30,   24.91,8001961049,   53.22,  178.95,  128.40,  178.84,  128.34,  178.98,  128.37,  179.11,  127.53,  179.31,  127.73,  179.05,  127.67, 1074.25,  768.05,8000657138, 1842.30,  117.87,   97.08,  117.74,   96.94,  117.82,   97.00,  113.10,   93.97,  113.11,   93.91,  113.03,   93.90,  692.68,  572.81,8000641832, 1265.49,   13.71,   13.46,   13.68,   13.43,   13.64,   13.37,   12.37,   12.56,   12.41,   12.57,   12.29,   12.49,   78.10,   77.88,7987830212,  155.99,   1873.34,   1443.65,   3316.99
2026-08-27,19:32:30.761,    5.09,    4.67,    5.70,    4.88,    4.49,    4.05,    4.34,    3.94,    4.49,    4.07,    5.21,    4.53,   29.31,   26.12,8001641817,   55.43,  195.86,  146.04,  195.66,  145.88,  195.70,  145.95,  196.62,  145.72,  196.73,  145.75,  196.67,  145.69, 1177.23,  875.03,8001930791, 2052.26,  144.53,   89.88,  144.19,   89.79,  144.39,   89.83,  139.58,   86.73,  139.67,   86.71,  139.54,   86.71,  851.91,  529.64,8001909135, 1381.55,   16.34,   17.76,   16.32,   17.81,   16.28,   17.72,   14.78,   16.67,   14.82,   16.67,   14.75,   16.62,   93.29,  103.26,8003655616,  196.56,   2151.74,   1534.05,   3685.79
2026-08-27,19:32:31.762,    4.89,    4.52,    5.48,    4.50,    4.27,    3.92,    4.15,    3.77,    4.24,    3.87,    4.78,    3.99,   27.81,   24.56,7995205087,   52.37,  170.39,  128.46,  170.31,  128.35,  170.25,  128.35,  170.28,  127.59,  170.48,  127.67,  170.31,  127.61, 1022.01,  768.03,7997564354, 1790.05,  132.83,   85.20,  132.73,   85.02,  132.65,   85.01,  129.32,   82.16,  129.44,   82.23,  129.33,   82.19,  786.31,  501.80,7997658118, 1288.11,   28.16,   25.38,   28.13,   25.32,   28.18,   25.36,   25.65,   23.65,   25.70,   23.73,   25.67,   23.65,  161.49,  147.09,8008128337,  308.58,   1997.63,   1441.48,   3439.11
2026-08-27,19:32:32.766,    6.02,    5.59,    6.74,    5.81,    5.48,    5.11,    5.38,    5.02,    5.45,    5.08,    6.17,    5.35,   35.25,   31.96,8002591555,   67.20,  178.94,  126.00,  178.84,  125.94,  179.04,  126.11,  179.38,  125.48,  179.45,  125.56,  179.30,  125.53, 1074.94,  754.61,8000980412, 1829.55,  117.99,   98.55,  117.94,   98.45,  117.89,   98.47,  113.53,   95.67,  113.59,   95.65,  113.55,   95.65,  694.50,  582.44,8000987498, 1276.94,   13.47,   13.67,   13.44,   13.67,   13.41,   13.60,   12.13,   12.58,   12.15,   12.58,   12.08,   12.52,   76.68,   78.61,8029257516,  155.29,   1881.37,   1447.61,   3328.98
