,,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT2,SKT2,SKT2,SKT2,SKT2,SKT2,SKT2,SKT2,SKT2,SKT2,SKT2,SKT2,SKT2,SKT2,SKT2,SKT2,SKT3,SKT3,SKT3,SKT3,SKT3,SKT3,SKT3,SKT3,SKT3,SKT3,SKT3,SKT3,SKT3,SKT3,SKT3,SKT3,System,System,System
Date,Time,Ch0Read,Ch0Write,Ch1Read,Ch1Write,Ch2Read,Ch2Write,Ch3Read,Ch3Write,Ch4Read,Ch4Write,Ch5Read,Ch5Write,Mem Read (MB/s),Mem Write (MB/s),P. Write (T/s),Memory (MB/s),Ch0Read,Ch0Write,Ch1Read,Ch1Write,Ch2Read,Ch2Write,Ch3Read,Ch3Write,Ch4Read,Ch4Write,Ch5Read,Ch5Write,Mem Read (MB/s),Mem Write (MB/s),P. Write (T/s),Memory (MB/s),Ch0Read,Ch0Write,Ch1Read,Ch1Write,Ch2Read,Ch2Write,Ch3Read,Ch3Write,Ch4Read,Ch4Write,Ch5Read,Ch5Write,Mem Read (MB/s),Mem Write (MB/s),P. Write (T/s),Memory (MB/s),Ch0Read,Ch0Write,Ch1Read,Ch1Write,Ch2Read,Ch2Write,Ch3Read,Ch3Write,Ch4Read,Ch4Write,Ch5Read,Ch5Write,Mem Read (MB/s),Mem Write (MB/s),P. Write (T/s),Memory (MB/s),Read,Write,Memory
2026-09-09,17:54:46.862,  416.03,  689.07,  415.88,  688.67,  415.98,  688.88,  412.15,  682.24,  411.89,  682.17,  411.82,  681.70, 2483.75, 4112.74,7151512855, 6596.49,  370.45,  640.55,  370.62,  640.76,  370.43,  640.30,  368.87,  636.94,  368.87,  637.00,  368.83,  636.84, 2218.06, 3832.39,7150666658, 6050.45,  382.56,  667.69,  383.07,  668.50,  382.99,  668.53,  381.07,  664.23,  381.13,  664.33,  381.18,  664.52, 2292.00, 3997.80,7152997128, 6289.80,    5.86,    5.62,    5.67,    5.50,    6.32,    6.00,    5.09,    5.12,    6.03,    5.87,    5.03,    5.06,   33.99,   33.17,7153410725,   67.16,   7027.80,  11976.10,  19003.90
2026-09-09,17:54:47.862,   50.48,   51.15,   50.30,   50.96,   50.39,   51.08,   48.01,   47.38,   47.97,   47.25,   48.18,   47.65,  295.34,  295.47,8001496986,  590.80,    8.63,   12.21,    8.59,   12.18,    8.64,   12.19,    7.78,   11.09,    7.76,   11.10,    7.78,   11.12,   49.19,   69.90,8001513217,  119.08,    3.87,    4.96,    3.93,    5.02,    3.91,    5.01,    3.23,    4.33,    3.22,    4.32,    3.19,    4.29,   21.35,   27.94,8001544312,   49.30,    3.96,    2.88,    3.81,    2.76,    4.73,    3.39,    3.17,    2.15,    4.11,    3.03,    3.14,    2.18,   22.93,   16.39,8004065634,   39.31,    388.80,    409.70,    798.50
2026-09-09,17:54:48.863,   19.48,   16.38,   19.45,   16.33,   19.56,   16.41,   18.52,   15.50,   18.49,   15.47,   18.48,   15.49,  113.97,   95.58,7993697690,  209.55,   25.02,   25.97,   24.95,   25.89,   25.09,   26.00,   23.89,   24.43,   23.91,   24.51,   23.93,   24.48,  146.79,  151.28,7996385389,  298.08,    6.98,    7.34,    7.05,    7.40,    7.04,    7.43,    6.33,    6.65,    6.31,    6.68,    6.29,    6.66,   40.01,   42.16,7994316638,   82.17,   24.87,   32.98,   24.32,   33.15,   25.26,   33.73,   21.43,   31.89,   22.31,   32.33,   21.22,   31.77,  139.40,  195.85,7994387553,  335.25,    440.17,    484.88,    925.06
2026-09-09,17:54:49.863,    1.87,    1.53,    1.82,    1.49,    1.94,    1.59,    1.53,    1.28,    1.44,    1.22,    1.41,    1.18,   10.01,    8.28,7856231230,   18.29,    1.57,    1.38,    1.55,    1.38,    1.57,    1.38,    1.16,    1.04,    1.18,    1.04,    1.16,    1.04,    8.18,    7.26,7851483793,   15.45,    1.52,    1.33,    1.53,    1.36,    1.52,    1.34,    1.18,    1.04,    1.19,    1.06,    1.16,    1.03,    8.09,    7.16,7827006282,   15.25,    9.12,   95.82,    8.19,   95.74,    9.01,   96.19,    4.15,   95.07,    5.03,   95.32,    3.88,   94.80,   39.40,  572.94,7852845050,  612.34,     65.68,    595.65,    661.33
2026-09-09,17:54:50.863,    1.78,    1.53,    1.76,    1.51,    1.84,    1.60,    1.39,    1.23,    1.28,    1.16,    1.29,    1.14,    9.34,    8.17,7816796318,   17.51,    1.48,    1.32,    1.47,    1.31,    1.51,    1.35,    1.10,    0.98,    1.12,    1.00,    1.09,    1.00,    7.75,    6.95,7814735289,   14.70,    1.41,    1.33,    1.47,    1.38,    1.46,    1.36,    1.10,    1.03,    1.12,    1.05,    1.09,    1.02,    7.65,    7.17,7789954121,   14.82,    8.75,   99.98,    7.81,   99.88,    8.64,  100.29,    3.81,   99.42,    4.64,   99.66,    3.53,   99.15,   37.18,  598.40,7815160728,  635.58,     61.92,    620.69,    682.61
2026-09-09,17:54:51.863,    1.81,    1.61,    1.75,    1.58,    1.87,    1.68,    1.36,    1.26,    1.29,    1.22,    1.28,    1.20,    9.36,    8.55,7826644488,   17.91,    1.23,    1.16,    1.21,    1.16,    1.30,    1.25,    0.95,    0.94,    0.96,    0.94,    0.97,    0.96,    6.62,    6.42,7826642049,   13.04,    1.96,    1.57,    1.99,    1.62,    1.99,    1.60,    1.62,    1.29,    1.62,    1.29,    1.58,    1.25,   10.76,    8.63,7800669029,   19.39,    9.04,  100.46,    8.12,  100.31,    8.96,  100.80,    4.32,   99.41,    5.13,   99.67,    3.94,   99.13,   39.50,  599.78,7826774758,  639.29,     66.24,    623.39,    689.63
2026-09-09,17:54:52.863,    1.60,    1.33,    1.56,    1.32,    1.67,    1.41,    1.20,    1.03,    1.12,    0.98,    1.11,    0.98,    8.25,    7.05,7806132809,   15.30,    1.14,    1.02,    1.15,    1.04,    1.20,    1.07,    0.87,    0.80,    0.88,    0.81,    0.87,    0.80,    6.10,    5.56,7803333823,   11.67,    1.22,    1.12,    1.26,    1.17,    1.27,    1.15,    0.96,    0.90,    0.96,    0.89,    0.93,    0.87,    6.61,    6.10,7776601429,   12.71,    8.38,  100.55,    7.43,  100.46,    8.28,  100.89,    3.62,   99.08,    4.45,   99.37,    3.32,   98.85,   35.48,  599.20,7804587003,  634.68,     56.45,    617.91,    674.35
2026-09-09,17:54:53.864,    1.45,    1.31,    1.45,    1.32,    1.53,    1.40,    1.09,    1.02,    1.00,    0.94,    1.02,    0.95,    7.53,    6.94,7797696911,   14.47,    1.14,    1.03,    1.15,    1.05,    1.20,    1.09,    0.85,    0.79,    0.85,    0.79,    0.86,    0.79,    6.06,    5.54,7797367843,   11.59,    1.16,    1.09,    1.25,    1.17,    1.20,    1.13,    0.90,    0.83,    0.91,    0.86,    0.89,    0.83,    6.30,    5.92,7771284689,   12.22,    8.31,  100.35,    7.40,  100.24,    8.25,  100.64,    3.59,   99.04,    4.48,   99.28,    3.28,   98.77,   35.30,  598.32,7800014518,  633.62,     55.19,    616.71,    671.90
2026-09-09,17:54:54.865,    1.28,    1.16,    1.25,    1.16,    1.34,    1.22,    1.02,    0.93,    0.94,    0.87,    0.93,    0.87,    6.76,    6.21,7830075761,   12.97,    1.04,    0.91,    1.05,    0.93,    1.08,    0.96,    0.78,    0.70,    0.79,    0.71,    0.78,    0.71,    5.51,    4.92,7826600416,   10.44,    1.09,    0.99,    1.13,    1.05,    1.11,    1.01,    0.83,    0.76,    0.84,    0.78,    0.83,    0.77,    5.83,    5.36,7801414765,   11.18,    8.12,  100.26,    7.23,  100.09,    8.09,  100.58,    3.47,   98.90,    4.34,   99.23,    3.21,   98.72,   34.45,  597.78,7828327613,  632.23,     52.55,    614.26,    666.81
