time,variant,elapsed,phase,limit,current_mb,high_events,psi_some_avg10,anon,file,pgscan,pgsteal,pgmajfault,repl_fail_events,repl_lock_main_lost,repl_pg_private_alloc,repl_pg_private_free,repl_pte_miss_events,repl_rdprotect_handled,repl_reclaimed,repl_reclaimed_replicas,repl_remote_faults_on_main,repl_repl_allocated,repl_repl_copy_events,repl_tlb_flushed,repl_total_faults,repl_unreplicated,repl_writes_to_replicated,vm_numa_pte_updates,vm_numa_huge_pte_updates,vm_numa_hint_faults,vm_numa_hint_faults_local,vm_numa_pages_migrated,vm_pgmigrate_success,vm_pgmigrate_fail
2026-08-14T21:11:52.066,interleaved,0.001,normal,max,2309,0,0.00,272056320,2108190720,0,0,20559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7003481,12018,771114,386663,420469,420469,0
2026-08-14T21:11:52.566,interleaved,0.501,normal,max,2311,0,0.00,272060416,2108190720,0,0,20559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7003481,12018,771114,386663,420469,420469,0
2026-08-14T21:11:53.066,interleaved,1.001,normal,max,2309,0,0.00,272060416,2108190720,0,0,20559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7003481,12018,771114,386663,420469,420469,0
2026-08-14T21:11:53.566,interleaved,1.501,normal,max,2312,0,0.00,272060416,2108190720,0,0,20559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7003481,12018,771114,386663,420469,420469,0
2026-08-14T21:11:54.066,interleaved,2.001,normal,max,2303,0,0.00,272109568,2108190720,0,0,20559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7003481,12018,771114,386663,420469,420469,0
2026-08-14T21:11:54.566,interleaved,2.501,normal,max,2305,0,0.00,272109568,2108190720,0,0,20559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7003481,12018,771114,386663,420469,420469,0
2026-08-14T21:11:55.066,interleaved,3.001,normal,max,2305,0,0.00,271953920,2108190720,0,0,20559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7003481,12018,771114,386663,420469,420469,0
2026-08-14T21:11:55.566,interleaved,3.501,normal,max,2301,0,0.00,271953920,2108190720,0,0,20559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7003481,12018,771114,386663,420469,420469,0
2026-08-14T21:11:56.066,interleaved,4.001,normal,max,2304,0,0.00,271953920,2108190720,0,0,20559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7003481,12018,771114,386663,420469,420469,0
2026-08-14T21:11:56.566,interleaved,4.501,normal,max,2305,0,0.00,272117760,2108190720,0,0,20559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7003481,12018,771114,386663,420469,420469,0
2026-08-14T21:11:57.066,interleaved,5.001,normal,max,2306,0,0.00,272117760,2108190720,0,0,20559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7003481,12018,771114,386663,420469,420469,0
2026-08-14T21:11:57.566,interleaved,5.501,normal,max,2307,0,0.00,272117760,2108190720,0,0,20559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7003481,12018,771114,386663,420469,420469,0
2026-08-14T21:11:58.066,interleaved,6.001,normal,max,2307,0,0.00,272117760,2108190720,0,0,20559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7003481,12018,771114,386663,420469,420469,0
2026-08-14T21:11:58.566,interleaved,6.501,normal,max,2304,0,0.00,272117760,2108190720,0,0,20559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7003481,12018,771114,386663,420469,420469,0
2026-08-14T21:11:59.066,interleaved,7.001,normal,max,2307,0,0.00,272121856,2108190720,0,0,20559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7003481,12018,771114,386663,420469,420469,0
2026-08-14T21:11:59.566,interleaved,7.501,normal,max,2307,0,0.00,272121856,2108190720,0,0,20559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7003481,12018,771114,386663,420469,420469,0
2026-08-14T21:12:00.066,interleaved,8.001,normal,max,2308,0,0.00,272121856,2108190720,0,0,20559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7003481,12018,771114,386663,420469,420469,0
2026-08-14T21:12:00.566,interleaved,8.501,normal,max,2310,0,0.00,272121856,2108190720,0,0,20559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7003481,12018,771114,386663,420469,420469,0
2026-08-14T21:12:01.066,interleaved,9.001,normal,max,2306,0,0.00,272121856,2108190720,0,0,20559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7003481,12018,771114,386663,420469,420469,0
2026-08-14T21:12:01.566,interleaved,9.501,normal,max,2310,0,0.00,272121856,2108190720,0,0,20559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7003481,12018,771114,386663,420469,420469,0
2026-08-14T21:12:02.066,interleaved,10.001,normal,max,2310,0,0.00,272121856,2108190720,0,0,20559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7003481,12018,771114,386663,420469,420469,0
2026-08-14T21:12:02.566,interleaved,10.501,normal,max,2311,0,0.00,272125952,2108190720,0,0,20559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7003481,12018,771114,386663,420469,420469,0
2026-08-14T21:12:03.066,interleaved,11.001,normal,max,2311,0,0.00,272125952,2108190720,0,0,20559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7003481,12018,771114,386663,420469,420469,0
2026-08-14T21:12:03.566,interleaved,11.501,normal,max,2311,0,0.00,272125952,2108190720,0,0,20559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7003481,12018,771114,386663,420469,420469,0
2026-08-14T21:12:04.066,interleaved,12.001,normal,max,2309,0,0.00,272125952,2108190720,0,0,20559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7003481,12018,771114,386663,420469,420469,0
2026-08-14T21:12:04.568,interleaved,12.503,normal,max,2304,0,0.00,272125952,2108190720,0,0,20559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7003481,12018,771114,386663,420469,420469,0
2026-08-14T21:12:05.066,interleaved,13.001,normal,max,2305,0,0.00,272125952,2108190720,0,0,20559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7003481,12018,771114,386663,420469,420469,0
