time,variant,elapsed,phase,limit,current_mb,high_events,psi_some_avg10,anon,file,pgscan,pgsteal,pgmajfault,repl_fail_events,repl_lock_main_lost,repl_pg_private_alloc,repl_pg_private_free,repl_pte_miss_events,repl_rdprotect_handled,repl_reclaimed,repl_reclaimed_replicas,repl_remote_faults_on_main,repl_repl_allocated,repl_repl_copy_events,repl_tlb_flushed,repl_total_faults,repl_unreplicated,repl_writes_to_replicated,vm_numa_pte_updates,vm_numa_huge_pte_updates,vm_numa_hint_faults,vm_numa_hint_faults_local,vm_numa_pages_migrated,vm_pgmigrate_success,vm_pgmigrate_fail
2026-08-14T18:13:06.646,numa-balancing,0.001,normal,max,5970,0,0.00,4110311424,2108391424,0,0,20562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4529949,8188,264552,142252,225093,225093,0
2026-08-14T18:13:07.146,numa-balancing,0.501,normal,max,5973,0,0.00,4110311424,2108391424,0,0,20562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4529949,8188,265252,142320,225646,225646,0
2026-08-14T18:13:07.646,numa-balancing,1.001,normal,max,5975,0,0.00,4110233600,2108391424,0,0,20562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4540261,8188,265472,142320,225864,225864,0
2026-08-14T18:13:08.147,numa-balancing,1.501,normal,max,5973,0,0.00,4110233600,2108391424,0,0,20562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4540261,8188,265669,142320,226061,226061,0
2026-08-14T18:13:08.646,numa-balancing,2.001,normal,max,5976,0,0.00,4110319616,2108391424,0,0,20562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4554708,8212,267205,143558,226078,226078,0
2026-08-14T18:13:09.146,numa-balancing,2.501,normal,max,5974,0,0.00,4110221312,2108391424,0,0,20562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4568471,8236,268452,144156,226649,226649,0
2026-08-14T18:13:09.646,numa-balancing,3.001,normal,max,5976,0,0.00,4110319616,2108391424,0,0,20562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4568747,8236,269282,144364,230434,230434,0
2026-08-14T18:13:10.146,numa-balancing,3.501,normal,max,5972,0,0.00,4110319616,2108391424,0,0,20562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4568747,8236,269494,144499,230450,230450,0
2026-08-14T18:13:10.646,numa-balancing,4.001,normal,max,5976,0,0.00,4110323712,2108391424,0,0,20562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4568747,8236,269649,144652,230452,230452,0
2026-08-14T18:13:11.148,numa-balancing,4.503,normal,max,5978,0,0.00,4110323712,2108391424,0,0,20562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4568764,8236,269675,144657,230472,230472,0
