time,variant,elapsed,phase,limit,current_mb,high_events,psi_some_avg10,anon,file,pgscan,pgsteal,pgmajfault,repl_fail_events,repl_lock_main_lost,repl_pg_private_alloc,repl_pg_private_free,repl_pte_miss_events,repl_rdprotect_handled,repl_reclaimed,repl_reclaimed_replicas,repl_remote_faults_on_main,repl_repl_allocated,repl_repl_copy_events,repl_skipped_pressure,repl_tlb_flushed,repl_total_faults,repl_unreplicated,repl_writes_to_replicated,vm_numa_pte_updates,vm_numa_huge_pte_updates,vm_numa_hint_faults,vm_numa_hint_faults_local,vm_numa_pages_migrated,vm_pgmigrate_success,vm_pgmigrate_fail
2026-08-27T19:09:03.515,repl-firsttouch,0.001,normal,max,7066,0,0.00,5252562944,2107400192,0,0,452319,454796,0,0,0,2225676,0,0,0,584922,1216159,1216159,0,2729123,2761777,0,0,31708356,28910,12840547,8061155,8611995,30720654,25321
2026-08-27T19:09:04.015,repl-firsttouch,0.501,normal,max,7065,0,0.00,5253570560,2107400192,0,0,452319,454796,0,0,0,2225676,0,0,0,584922,1216159,1216159,0,2729123,2761777,0,0,31708356,28910,12840547,8061155,8611995,30720654,25321
2026-08-27T19:09:04.515,repl-firsttouch,1.001,normal,max,7066,0,0.00,5253570560,2107400192,0,0,452319,454796,0,0,0,2225676,0,0,0,584922,1216159,1216159,0,2729123,2761777,0,0,31708356,28910,12840547,8061155,8611995,30720654,25321
2026-08-27T19:09:05.015,repl-firsttouch,1.501,normal,max,7067,0,0.00,5253570560,2107400192,0,0,452319,454796,0,0,0,2225676,0,0,0,584922,1216159,1216159,0,2729123,2761777,0,0,31708356,28910,12840547,8061155,8611995,30720654,25321
2026-08-27T19:09:05.515,repl-firsttouch,2.001,normal,max,7068,0,0.00,5252562944,2107400192,0,0,452319,454796,0,0,0,2225676,0,0,0,584922,1216159,1216159,0,2729123,2761777,0,0,31708356,28910,12840547,8061155,8611995,30720654,25321
2026-08-27T19:09:06.015,repl-firsttouch,2.501,normal,max,7068,0,0.00,5253570560,2107400192,0,0,452319,454796,0,0,0,2225676,0,0,0,584922,1216159,1216159,0,2729123,2761777,0,0,31708356,28910,12840547,8061155,8611995,30720654,25321
2026-08-27T19:09:06.515,repl-firsttouch,3.001,normal,max,7068,0,0.00,5253570560,2107400192,0,0,452319,454796,0,0,0,2225676,0,0,0,584922,1216159,1216159,0,2729123,2761777,0,0,31708356,28910,12840547,8061155,8611995,30720654,25321
2026-08-27T19:09:07.015,repl-firsttouch,3.501,normal,max,7068,0,0.00,5253570560,2107400192,0,0,452319,454796,0,0,0,2225676,0,0,0,584922,1216159,1216159,0,2729123,2761777,0,0,31708356,28910,12840547,8061155,8611995,30720654,25321
2026-08-27T19:09:07.515,repl-firsttouch,4.001,normal,max,7069,0,0.00,5252571136,2107400192,0,0,452319,454796,0,0,0,2225676,0,0,0,584922,1216159,1216159,0,2729123,2761777,0,0,31708356,28910,12840547,8061155,8611995,30720654,25321
2026-08-27T19:09:08.015,repl-firsttouch,4.501,normal,max,7072,0,0.00,5253578752,2107400192,0,0,452319,454796,0,0,0,2225676,0,0,0,584922,1216159,1216159,0,2729123,2761777,0,0,31708356,28910,12840547,8061155,8611995,30720654,25321
2026-08-27T19:09:08.517,repl-firsttouch,5.003,normal,max,7073,0,0.00,5253578752,2107400192,0,0,452319,454796,0,0,0,2225676,0,0,0,584922,1216159,1216159,0,2729123,2761777,0,0,31708356,28910,12840547,8061155,8611995,30720654,25321
2026-08-27T19:09:09.015,repl-firsttouch,5.501,normal,max,7070,0,0.00,5253578752,2107400192,0,0,452319,454796,0,0,0,2225681,0,0,0,584922,1216164,1216164,0,2729133,2761782,0,0,31708356,28910,12840547,8061155,8611995,30720654,25321
2026-08-27T19:09:09.515,repl-firsttouch,6.001,normal,max,7063,0,0.00,5253566464,2107400192,0,0,452319,454796,0,0,0,2225681,0,0,0,584922,1216164,1216164,0,2729133,2761782,0,0,31708356,28910,12840547,8061155,8611995,30720654,25321
2026-08-27T19:09:10.015,repl-firsttouch,6.501,normal,max,7065,0,0.00,5253607424,2107400192,0,0,452319,454796,0,0,0,2225683,0,0,0,584922,1216166,1216166,0,2729137,2761784,0,0,31708356,28910,12840547,8061155,8611995,30720654,25321
2026-08-27T19:09:10.515,repl-firsttouch,7.001,normal,max,7064,0,0.00,5253607424,2107400192,0,0,452319,454796,0,0,0,2225683,0,0,0,584922,1216166,1216166,0,2729137,2761784,0,0,31708356,28910,12840547,8061155,8611995,30720654,25321
2026-08-27T19:09:11.015,repl-firsttouch,7.501,normal,max,7064,0,0.00,5253607424,2107400192,0,0,452319,454796,0,0,0,2225683,0,0,0,584922,1216166,1216166,0,2729137,2761784,0,0,31708356,28910,12840547,8061155,8611995,30720654,25321
2026-08-27T19:09:11.515,repl-firsttouch,8.001,normal,max,7065,0,0.00,5253439488,2107400192,0,0,452319,454796,0,0,0,2225683,0,0,0,584922,1216166,1216166,0,2729137,2761784,0,0,31708356,28910,12840547,8061155,8611995,30720654,25321
2026-08-27T19:09:12.015,repl-firsttouch,8.501,normal,max,7066,0,0.00,5253611520,2107400192,0,0,452319,454796,0,0,0,2225683,0,0,0,584922,1216166,1216166,0,2729137,2761784,0,0,31708356,28910,12840547,8061155,8611995,30720654,25321
2026-08-27T19:09:12.515,repl-firsttouch,9.001,normal,max,7065,0,0.00,5253611520,2107400192,0,0,452319,454796,0,0,0,2225683,0,0,0,584922,1216166,1216166,0,2729137,2761784,0,0,31708356,28910,12840547,8061155,8611995,30720654,25321
2026-08-27T19:09:13.015,repl-firsttouch,9.501,normal,max,7066,0,0.00,5253611520,2107400192,0,0,452319,454796,0,0,0,2225683,0,0,0,584922,1216166,1216166,0,2729137,2761784,0,0,31708356,28910,12840547,8061155,8611995,30720654,25321
2026-08-27T19:09:13.515,repl-firsttouch,10.001,normal,max,7067,0,0.00,5253431296,2107400192,0,0,452319,454796,0,0,0,2225683,0,0,0,584922,1216166,1216166,0,2729137,2761784,0,0,31708356,28910,12840547,8061155,8611995,30720654,25321
2026-08-27T19:09:14.015,repl-firsttouch,10.501,normal,max,7065,0,0.00,5253611520,2107400192,0,0,452319,454796,0,0,0,2225683,0,0,0,584922,1216166,1216166,0,2729137,2761784,0,0,31708356,28910,12840547,8061155,8611995,30720654,25321
2026-08-27T19:09:14.515,repl-firsttouch,11.001,normal,max,7067,0,0.00,5253611520,2107400192,0,0,452319,454796,0,0,0,2225683,0,0,0,584922,1216166,1216166,0,2729137,2761784,0,0,31708356,28910,12840547,8061155,8611995,30720654,25321
2026-08-27T19:09:15.015,repl-firsttouch,11.501,normal,max,7067,0,0.00,5253611520,2107400192,0,0,452319,454796,0,0,0,2225683,0,0,0,584922,1216166,1216166,0,2729137,2761784,0,0,31708356,28910,12840547,8061155,8611995,30720654,25321
