time,variant,elapsed,phase,limit,current_mb,high_events,psi_some_avg10,anon,file,pgscan,pgsteal,pgmajfault,repl_fail_events,repl_lock_main_lost,repl_pg_private_alloc,repl_pg_private_free,repl_pte_miss_events,repl_rdprotect_handled,repl_reclaimed,repl_reclaimed_replicas,repl_remote_faults_on_main,repl_repl_allocated,repl_repl_copy_events,repl_skipped_pressure,repl_tlb_flushed,repl_total_faults,repl_unreplicated,repl_writes_to_replicated,vm_numa_pte_updates,vm_numa_huge_pte_updates,vm_numa_hint_faults,vm_numa_hint_faults_local,vm_numa_pages_migrated,vm_pgmigrate_success,vm_pgmigrate_fail
2026-08-29T12:06:53.048,repl-interleaved,0.001,normal,max,6715,0,0.00,4878008320,2107482112,0,0,457834,460042,0,0,0,2298786,0,0,0,442980,1124996,1124996,0,2637779,2698412,0,0,107,0,99,0,99,99,0
2026-08-29T12:06:53.548,repl-interleaved,0.501,normal,max,6717,0,0.00,4877000704,2107482112,0,0,457834,460042,0,0,0,2298809,0,0,0,442980,1125013,1125013,0,2637819,2698435,0,0,107,0,99,0,99,99,0
2026-08-29T12:06:54.048,repl-interleaved,1.001,normal,max,6720,0,0.00,4877000704,2107482112,0,0,457834,460042,0,0,0,2298812,0,0,0,442980,1125016,1125016,0,2637825,2698438,0,0,107,0,99,0,99,99,0
2026-08-29T12:06:54.548,repl-interleaved,1.501,normal,max,6722,0,0.00,4877000704,2107482112,0,0,457834,460042,0,0,0,2298812,0,0,0,442980,1125016,1125016,0,2637825,2698438,0,0,107,0,99,0,99,99,0
2026-08-29T12:06:55.050,repl-interleaved,2.002,normal,max,6720,0,0.00,4878090240,2107482112,0,0,457834,460042,0,0,0,2298812,0,0,0,442980,1125016,1125016,0,2637825,2698438,0,0,107,0,99,0,99,99,0
2026-08-29T12:06:55.550,repl-interleaved,2.502,normal,max,6719,0,0.00,4878090240,2107482112,0,0,457834,460042,0,0,0,2298815,0,0,0,442980,1125019,1125019,0,2637831,2698441,0,0,107,0,99,0,99,99,0
2026-08-29T12:06:56.048,repl-interleaved,3.001,normal,max,6707,0,0.00,4878118912,2107482112,0,0,457834,460042,0,0,0,2298822,0,0,0,442980,1125023,1125023,0,2637842,2698448,0,0,107,0,99,0,99,99,0
2026-08-29T12:06:56.548,repl-interleaved,3.501,normal,max,6705,0,0.00,4878118912,2107482112,0,0,457834,460042,0,0,0,2298822,0,0,0,442980,1125023,1125023,0,2637842,2698448,0,0,107,0,99,0,99,99,0
2026-08-29T12:06:57.048,repl-interleaved,4.001,normal,max,6705,0,0.00,4878118912,2107482112,0,0,457834,460042,0,0,0,2298822,0,0,0,442980,1125023,1125023,0,2637842,2698448,0,0,107,0,99,0,99,99,0
2026-08-29T12:06:57.548,repl-interleaved,4.501,normal,max,6701,0,0.00,4878118912,2107482112,0,0,457834,460042,0,0,0,2298822,0,0,0,442980,1125023,1125023,0,2637842,2698448,0,0,107,0,99,0,99,99,0
2026-08-29T12:06:58.048,repl-interleaved,5.001,normal,max,6703,0,0.00,4878118912,2107482112,0,0,457834,460042,0,0,0,2298822,0,0,0,442980,1125023,1125023,0,2637842,2698448,0,0,107,0,99,0,99,99,0
2026-08-29T12:06:58.548,repl-interleaved,5.501,normal,max,6706,0,0.00,4878118912,2107482112,0,0,457834,460042,0,0,0,2298822,0,0,0,442980,1125023,1125023,0,2637842,2698448,0,0,107,0,99,0,99,99,0
2026-08-29T12:06:59.048,repl-interleaved,6.001,normal,max,6708,0,0.00,4878036992,2107482112,0,0,457834,460042,0,0,0,2298823,0,0,0,442980,1125024,1125024,0,2637844,2698449,0,0,107,0,99,0,99,99,0
2026-08-29T12:06:59.548,repl-interleaved,6.501,normal,max,6710,0,0.00,4878127104,2107482112,0,0,457834,460042,0,0,0,2298823,0,0,0,442980,1125024,1125024,0,2637844,2698449,0,0,107,0,99,0,99,99,0
2026-08-29T12:07:00.048,repl-interleaved,7.001,normal,max,6712,0,0.00,4878127104,2107482112,0,0,457834,460042,0,0,0,2298851,0,0,0,442980,1125040,1125040,0,2637888,2698477,0,0,107,0,99,0,99,99,0
2026-08-29T12:07:00.548,repl-interleaved,7.501,normal,max,6714,0,0.00,4878127104,2107482112,0,0,457834,460042,0,0,0,2298851,0,0,0,442980,1125040,1125040,0,2637888,2698477,0,0,107,0,99,0,99,99,0
2026-08-29T12:07:01.048,repl-interleaved,8.001,normal,max,6716,0,0.00,4878192640,2107482112,0,0,457834,460042,0,0,0,2298851,0,0,0,442980,1125040,1125040,0,2637888,2698477,0,0,107,0,99,0,99,99,0
2026-08-29T12:07:01.550,repl-interleaved,8.502,normal,max,6718,0,0.00,4877185024,2107482112,0,0,457834,460042,0,0,0,2298851,0,0,0,442980,1125040,1125040,0,2637888,2698477,0,0,107,0,99,0,99,99,0
2026-08-29T12:07:02.048,repl-interleaved,9.001,normal,max,6717,0,0.00,4877185024,2107482112,0,0,457834,460042,0,0,0,2298851,0,0,0,442980,1125040,1125040,0,2637888,2698477,0,0,107,0,99,0,99,99,0
2026-08-29T12:07:02.548,repl-interleaved,9.501,normal,max,6715,0,0.00,4878196736,2107482112,0,0,457834,460042,0,0,0,2298851,0,0,0,442980,1125040,1125040,0,2637888,2698477,0,0,107,0,99,0,99,99,0
2026-08-29T12:07:03.048,repl-interleaved,10.001,normal,max,6714,0,0.00,4878196736,2107482112,0,0,457834,460042,0,0,0,2298858,0,0,0,442980,1125047,1125047,0,2637902,2698484,0,0,107,0,99,0,99,99,0
2026-08-29T12:07:03.548,repl-interleaved,10.501,normal,max,6712,0,0.00,4878229504,2107482112,0,0,457834,460042,0,0,0,2298860,0,0,0,442980,1125049,1125049,0,2637906,2698486,0,0,107,0,99,0,99,99,0
2026-08-29T12:07:04.048,repl-interleaved,11.001,normal,max,6712,0,0.00,4878229504,2107482112,0,0,457834,460042,0,0,0,2298863,0,0,0,442980,1125052,1125052,0,2637912,2698489,0,0,107,0,99,0,99,99,0
2026-08-29T12:07:04.548,repl-interleaved,11.501,normal,max,6712,0,0.00,4878249984,2107482112,0,0,457834,460042,0,0,0,2298863,0,0,0,442980,1125052,1125052,0,2637912,2698489,0,0,107,0,99,0,99,99,0
2026-08-29T12:07:05.048,repl-interleaved,12.001,normal,max,6710,0,0.00,4878249984,2107482112,0,0,457834,460042,0,0,0,2298863,0,0,0,442980,1125052,1125052,0,2637912,2698489,0,0,107,0,99,0,99,99,0
2026-08-29T12:07:05.548,repl-interleaved,12.501,normal,max,6711,0,0.00,4878249984,2107482112,0,0,457834,460042,0,0,0,2298863,0,0,0,442980,1125052,1125052,0,2637912,2698489,0,0,107,0,99,0,99,99,0
2026-08-29T12:07:06.048,repl-interleaved,13.001,normal,max,6705,0,0.00,4878249984,2107482112,0,0,457834,460042,0,0,0,2298863,0,0,0,442980,1125052,1125052,0,2637912,2698489,0,0,107,0,99,0,99,99,0
2026-08-29T12:07:06.548,repl-interleaved,13.501,normal,max,6707,0,0.00,4878159872,2107482112,0,0,457834,460042,0,0,0,2298863,0,0,0,442980,1125052,1125052,0,2637912,2698489,0,0,107,0,99,0,99,99,0
2026-08-29T12:07:07.048,repl-interleaved,14.001,normal,max,6709,0,0.00,4878159872,2107482112,0,0,457834,460042,0,0,0,2298863,0,0,0,442980,1125052,1125052,0,2637912,2698489,0,0,107,0,99,0,99,99,0
2026-08-29T12:07:07.548,repl-interleaved,14.501,normal,max,6712,0,0.00,4878266368,2107482112,0,0,457834,460042,0,0,0,2298882,0,0,0,442980,1125067,1125067,0,2637946,2698508,0,0,107,0,99,0,99,99,0
2026-08-29T12:07:08.048,repl-interleaved,15.001,normal,max,6714,0,0.00,4878266368,2107482112,0,0,457834,460042,0,0,0,2298884,0,0,0,442980,1125069,1125069,0,2637950,2698510,0,0,107,0,99,0,99,99,0
2026-08-29T12:07:08.548,repl-interleaved,15.501,normal,max,6716,0,0.00,4878266368,2107482112,0,0,457834,460042,0,0,0,2298884,0,0,0,442980,1125069,1125069,0,2637950,2698510,0,0,107,0,99,0,99,99,0
2026-08-29T12:07:09.048,repl-interleaved,16.001,normal,max,6716,0,0.00,4878319616,2107482112,0,0,457834,460042,0,0,0,2298884,0,0,0,442980,1125069,1125069,0,2637950,2698510,0,0,107,0,99,0,99,99,0
