ops_sec,mb_sec,lsm_sz,blob_sz,c_wgb,w_amp,c_mbps,c_wsecs,c_csecs,b_rgb,b_wgb,usec_op,p50,p99,p99.9,p99.99,pmax,uptime,stall%,Nstall,u_cpu,s_cpu,rss,test,date,version,job_id,githash,tag,nb_runs,start_time,end_time
12351791,3127.2,8GB,0GB,0.0,NA,0.0,0,0,0,0,14.4,10.8,33,733,6010,25849,120,0.0,,10.9,1.0,32.3,readrandom.t128,2026-08-29T19:12:17,10.5.0,,11a259a5f0,patched-repl-readrandom,0,2026-08-29T19:12:16.771955,2026-08-29T19:14:25.848992
11519274,2916.5,8GB,0GB,0.0,NA,0.0,0,0,0,0,15.6,11.2,37,841,6063,32166,120,0.0,,10.8,1.1,32.3,readrandom.t128,2026-08-29T19:14:28,10.5.0,,11a259a5f0,patched-repl-readrandom,1,2026-08-29T19:14:28.011801,2026-08-29T19:16:37.009857
11844057,2998.7,8GB,0GB,0.0,NA,0.0,0,0,0,0,15.0,11.0,34,787,6041,33520,120,0.0,,10.9,1.0,32.3,readrandom.t128,2026-08-29T19:16:39,10.5.0,,11a259a5f0,patched-repl-readrandom,2,2026-08-29T19:16:39.187612,2026-08-29T19:18:48.248808
12330369,3121.9,8GB,0GB,0.0,NA,0.0,0,0,0,0,14.5,10.9,33,753,6008,25720,120,0.0,,10.9,1.0,32.3,readrandom.t128,2026-08-29T19:18:50,10.5.0,,11a259a5f0,patched-repl-readrandom,3,2026-08-29T19:18:50.397611,2026-08-29T19:20:59.425511
12213662,3092.2,8GB,0GB,0.0,NA,0.0,0,0,0,0,14.7,11.0,33,779,6021,27566,120,0.0,,10.9,1.0,32.3,readrandom.t128,2026-08-29T19:21:02,10.5.0,,11a259a5f0,patched-repl-readrandom,4,2026-08-29T19:21:01.600362,2026-08-29T19:23:10.590878
15174875,3842.5,8GB,0GB,0.0,NA,0.0,0,0,0,0,11.8,86.3,274,10093,34263,66975,120,0.0,,10.9,1.1,32.4,multireadrandom.t128,2026-08-29T19:24:41,10.5.0,,11a259a5f0,patched-repl-multireadrandom,0,2026-08-29T19:24:40.884017,2026-08-29T19:26:49.971269
15115182,3827.4,8GB,0GB,0.0,NA,0.0,0,0,0,0,12.0,86.8,305,10220,34326,68094,120,0.0,,10.8,1.2,32.4,multireadrandom.t128,2026-08-29T19:26:52,10.5.0,,11a259a5f0,patched-repl-multireadrandom,1,2026-08-29T19:26:51.641739,2026-08-29T19:29:00.622924
15164576,3839.9,8GB,0GB,0.0,NA,0.0,0,0,0,0,11.8,86.3,273,10036,34179,70526,120,0.0,,10.9,1.1,32.4,multireadrandom.t128,2026-08-29T19:29:03,10.5.0,,11a259a5f0,patched-repl-multireadrandom,2,2026-08-29T19:29:02.783018,2026-08-29T19:31:11.813079
15207552,3850.7,8GB,0GB,0.0,NA,0.0,0,0,0,0,11.8,86.3,279,10097,34037,66202,120,0.0,,10.9,1.1,32.4,multireadrandom.t128,2026-08-29T19:31:13,10.5.0,,11a259a5f0,patched-repl-multireadrandom,3,2026-08-29T19:31:13.487914,2026-08-29T19:33:22.474421
15176133,3842.7,8GB,0GB,0.0,NA,0.0,0,0,0,0,11.8,86.4,280,10089,34126,65421,120,0.0,,10.9,1.1,32.4,multireadrandom.t128,2026-08-29T19:33:25,10.5.0,,11a259a5f0,patched-repl-multireadrandom,4,2026-08-29T19:33:24.627038,2026-08-29T19:35:33.673258
743575,59566.5,8GB,0GB,0.0,NA,0.0,0,0,0,0,242.7,173.8,466,27585,48379,140570,120,0.0,,11.1,0.9,32.3,fwdrange.t128,2026-08-29T19:37:02,10.5.0,,11a259a5f0,patched-repl-fwdrange,0,2026-08-29T19:37:02.345352,2026-08-29T19:39:09.630542
743660,59573.3,8GB,0GB,0.0,NA,0.0,0,0,0,0,244.1,174.0,488,27780,48367,133797,120,0.0,,11.1,0.9,32.3,fwdrange.t128,2026-08-29T19:39:11,10.5.0,,11a259a5f0,patched-repl-fwdrange,1,2026-08-29T19:39:11.440678,2026-08-29T19:41:18.733254
741436,59395.1,8GB,0GB,0.0,NA,0.0,0,0,0,0,242.3,176.4,446,27432,48349,129485,120,0.0,,11.2,0.9,32.3,fwdrange.t128,2026-08-29T19:41:20,10.5.0,,11a259a5f0,patched-repl-fwdrange,2,2026-08-29T19:41:20.561472,2026-08-29T19:43:27.910004
740015,59281.3,8GB,0GB,0.0,NA,0.0,0,0,0,0,243.3,178.6,459,27701,48412,122944,120,0.0,,11.1,0.9,32.3,fwdrange.t128,2026-08-29T19:43:29,10.5.0,,11a259a5f0,patched-repl-fwdrange,3,2026-08-29T19:43:29.440394,2026-08-29T19:45:36.762552
745092,59688.1,8GB,0GB,0.0,NA,0.0,0,0,0,0,242.6,170.8,468,27470,48386,143916,120,0.0,,11.1,0.9,32.3,fwdrange.t128,2026-08-29T19:45:38,10.5.0,,11a259a5f0,patched-repl-fwdrange,4,2026-08-29T19:45:38.287023,2026-08-29T19:47:45.601982
535750,42918.0,8GB,0GB,0.0,NA,0.0,0,0,0,0,335.5,217.8,999,35484,48952,144999,120,0.0,,11.2,0.8,32.3,revrange.t128,2026-08-29T19:49:11,10.5.0,,11a259a5f0,patched-repl-revrange,0,2026-08-29T19:49:11.393958,2026-08-29T19:51:19.053785
537199,43034.1,8GB,0GB,0.0,NA,0.0,0,0,0,0,336.7,217.7,1061,35609,48991,125090,120,0.0,,11.2,0.9,32.3,revrange.t128,2026-08-29T19:51:20,10.5.0,,11a259a5f0,patched-repl-revrange,1,2026-08-29T19:51:20.584400,2026-08-29T19:53:28.234792
535110,42866.8,8GB,0GB,0.0,NA,0.0,0,0,0,0,336.1,218.0,985,35549,48929,133526,120,0.0,,11.3,0.8,32.3,revrange.t128,2026-08-29T19:53:30,10.5.0,,11a259a5f0,patched-repl-revrange,2,2026-08-29T19:53:30.059693,2026-08-29T19:55:37.752244
530394,42489.0,8GB,0GB,0.0,NA,0.0,0,0,0,0,342.2,219.4,1153,35839,49000,141796,120,0.0,,11.2,0.9,32.3,revrange.t128,2026-08-29T19:55:39,10.5.0,,11a259a5f0,patched-repl-revrange,3,2026-08-29T19:55:39.281154,2026-08-29T19:57:46.886168
536955,43014.6,8GB,0GB,0.0,NA,0.0,0,0,0,0,336.7,217.8,1046,35584,48931,124740,120,0.0,,11.2,0.9,32.3,revrange.t128,2026-08-29T19:57:49,10.5.0,,11a259a5f0,patched-repl-revrange,4,2026-08-29T19:57:48.707930,2026-08-29T19:59:56.332749
11425353,2896.9,8GB,0GB,0.0,0.0,0.0,0,0,0,0,18.6,11.4,32,2505,9598,40493,120,0.0,,9.3,0.8,32.4,readwhilewriting.t128,2026-08-29T20:01:25,10.5.0,,11a259a5f0,patched-repl-readwhilewriting,0,2026-08-29T20:01:24.829468,2026-08-29T20:03:33.946762
10960617,2779.5,8GB,0GB,0.0,0.0,0.0,0,0,0,0,19.4,11.6,34,2818,9624,50828,120,0.0,,9.3,0.8,32.4,readwhilewriting.t128,2026-08-29T20:05:09,10.5.0,,11a259a5f0,patched-repl-readwhilewriting,1,2026-08-29T20:05:09.065848,2026-08-29T20:07:18.186235
11058966,2804.0,8GB,0GB,0.0,0.0,0.0,0,0,0,0,19.4,11.6,34,2842,9636,40733,120,0.0,,9.2,0.9,32.4,readwhilewriting.t128,2026-08-29T20:08:45,10.5.0,,11a259a5f0,patched-repl-readwhilewriting,2,2026-08-29T20:08:44.638174,2026-08-29T20:10:53.689069
11417926,2895.6,8GB,0GB,0.0,0.0,0.0,0,0,0,0,18.7,11.4,33,2521,9568,39106,120,0.0,,9.2,0.9,32.4,readwhilewriting.t128,2026-08-29T20:12:21,10.5.0,,11a259a5f0,patched-repl-readwhilewriting,3,2026-08-29T20:12:21.365180,2026-08-29T20:14:30.449955
11213621,2843.5,8GB,0GB,0.0,0.0,0.0,0,0,0,0,19.3,11.5,33,2809,9667,55305,120,0.0,,9.1,0.9,32.4,readwhilewriting.t128,2026-08-29T20:15:59,10.5.0,,11a259a5f0,patched-repl-readwhilewriting,4,2026-08-29T20:15:58.699843,2026-08-29T20:18:07.687138
42060,16.9,10GB,0GB,3.7,2.6,30.9,23,166,45,0,2634.3,2008.7,9661,16534,21851,63644,122,0.0,,0.6,0.2,2.3,overwrite.t128.s1,2026-08-29T20:19:44,10.5.0,,11a259a5f0,patched-repl-overwrite,0,2026-08-29T20:19:43.973081,2026-08-29T20:21:47.284926
41793,16.7,10GB,0GB,3.7,2.6,30.4,23,163,45,0,2610.1,1980.0,9644,16654,21571,70188,123,0.0,,0.6,0.2,2.2,overwrite.t128.s1,2026-08-29T20:23:15,10.5.0,,11a259a5f0,patched-repl-overwrite,1,2026-08-29T20:23:14.871585,2026-08-29T20:25:19.763628
43544,17.5,10GB,0GB,3.7,2.6,31.2,24,157,45,0,2621.6,1946.9,9700,17835,21952,75288,121,0.0,,0.6,0.2,1.7,overwrite.t128.s1,2026-08-29T20:26:46,10.5.0,,11a259a5f0,patched-repl-overwrite,2,2026-08-29T20:26:45.779834,2026-08-29T20:28:48.335232
43597,17.5,10GB,0GB,3.7,2.5,30.8,24,154,46,0,2593.8,1918.6,9590,16333,21732,63114,122,0.0,,0.6,0.2,1.7,overwrite.t128.s1,2026-08-29T20:30:16,10.5.0,,11a259a5f0,patched-repl-overwrite,3,2026-08-29T20:30:15.831538,2026-08-29T20:32:19.652196
43864,17.6,10GB,0GB,3.2,2.4,27.3,31,106,31,0,2617.6,1978.7,9602,16961,21827,65835,121,0.0,,0.6,0.2,2.1,overwrite.t128.s1,2026-08-29T20:33:44,10.5.0,,11a259a5f0,patched-repl-overwrite,4,2026-08-29T20:33:44.442545,2026-08-29T20:35:47.016216
