metric,imbalanced,balancing,firsttouch,interleaved,patched-repl
recall,0.97873,0.9787300000000001,0.97873,0.97873,0.97873
total_time,18.10583134859953,10.534237844818067,11.525325392571435,9.030768026666717,4.182382026388855
qps,55.234154445453406,95.39458805359692,86.89936897982216,110.78383836525998,239.4976003126489
samples,17.8,10.636363636363637,11.571428571428571,9.0,4.166666666666667
local_pct,42.04575163398693,26.132231404958677,25.717532467532468,25.0,99.0
local_pct_skt0,41.26143790849674,22.667217630853994,26.376623376623375,24.308641975308642,98.98611111111111
local_pct_skt1,96.37777777777778,27.07341597796143,24.33116883116883,24.074074074074073,98.98888888888888
local_pct_skt2,94.78496732026143,27.955371900826446,24.602813852813853,28.851851851851855,99.0
local_pct_skt3,70.88235294117646,25.86322314049587,27.96861471861472,23.691358024691358,99.0
ipc,0.05169934640522876,0.09718870523415978,0.07725108225108225,0.08740740740740742,0.18986111111111112
inst,674.0498692810457,1117.2195275482093,1022.9801623376623,1290.596913580247,3020.8075833333332
inst_skt0,282.3849607843137,238.82190220385675,280.81103896103895,307.0406172839506,747.1681111111111
inst_skt1,125.72822222222221,303.4415179063361,240.65270562770561,318.082962962963,767.3394722222223
inst_skt2,132.25745098039215,288.8582754820937,258.1226731601732,356.81493827160494,764.9565277777778
inst_skt3,133.67936601307187,286.0979104683195,243.3943722943723,308.6591358024691,741.3439166666667
afreq,0.9423856209150326,0.9458953168044076,0.9305194805194805,0.9265432098765432,0.9285277777777777
freq,0.0521437908496732,0.04465702479338843,0.05533549783549785,0.061604938271604945,0.061888888888888896
cpu_balance,0.4479358431117338,0.7559879304466477,0.8345250203321685,0.8157740512348151,0.7848343501703401
l3hit,0.09193464052287584,0.06955371900826447,0.07801948051948052,0.06037037037037038,0.07275
l2miss,3.971895424836601,5.383902203856749,5.341385281385281,7.185061728395062,13.040805555555556
l3miss,3.599771241830065,4.980414600550964,4.939025974025974,6.737901234567901,12.05888888888889
l3mpi,0.005228562091503268,0.004410785123966942,0.004651623376623377,0.005043209876543209,0.0038858333333333336
upi_in_gb,35.481346520118464,77.6846185608751,71.37521359662473,92.42618429301697,0.351489990234375
upi_out_gb,67.7903797679228,132.51203472580923,124.29262112968412,152.7140242814429,1.1505530327690972
upi_out_pct,24.533224400871458,48.109113865932045,45.09893578643578,55.529835390946495,0.0650462962962963
upi_in_pct,12.825599128540308,27.99368686868687,25.691738816738816,33.404320987654316,0.0
mem_bw_gb,63.47186080272295,112.55573892332414,103.71711623630276,131.1359715832369,264.0996721191407
mem_read_gb,62.471453022203946,110.48718725787707,101.66386097301135,128.92001834972996,263.6638925238715
mem_write_gb,1.000407769097222,2.0685515533531333,2.053256318063447,2.215952003761574,0.4357798394097222
mem_read_gb_skt0,61.68815939099049,17.490756020341912,48.78971762124594,32.340829306520064,63.49779684787326
mem_read_gb_skt1,0.2089555235745614,38.7640102695994,15.06555709085836,32.074694372106485,67.5923019748264
mem_read_gb_skt2,0.2193510827850877,13.799851876363062,28.349650988822372,32.13398448350694,65.14856651475695
mem_read_gb_skt3,0.35498864674707603,40.43257109222552,9.458934766893263,32.37051064573688,67.4252297905816
mem_write_gb_skt0,0.7407386524579678,0.3279770023566632,0.8566811058407737,0.4609161120756172,0.1575400390625
mem_write_gb_skt1,0.06460591991045322,0.5968826587070994,0.3534760869013799,0.5595315152391975,0.1385353461371528
mem_write_gb_skt2,0.06939783785635964,0.3786272297728708,0.49507836385619586,0.5714595269097222,0.06688170030381944
mem_write_gb_skt3,0.1256646278782895,0.7650652234346303,0.3480197510822511,0.6240445842978395,0.07282356770833334
data_mem_gb,4.091387769911025,4.088054345396268,4.090086693371529,4.089369032118055,14.844387510087756
data_mem_gb_node0,3.869120746188693,0.680419277685076,1.8362061058804071,1.0717440475652247,3.8686178631252712
data_mem_gb_node1,0.032505035400390625,1.2017737033938574,0.5900210508536466,0.9678916460202065,3.620133145650228
data_mem_gb_node2,0.15570831298828125,0.7708191080855272,1.2415712777670327,1.0850675606433255,3.6047391785515677
data_mem_gb_node3,0.034053802490234375,1.435041424985103,0.4222826606783516,0.9646635644229842,3.750892395443387
pagetable_mb,19.702083333333334,19.74688038050964,19.7410841112013,19.752748842592595,40.991015625
pagetable_mb_node0,14.448177083333334,6.0183647555096424,8.234125574945889,6.995659722222222,13.562402343750001
pagetable_mb_node1,0.515625,3.009948562327824,1.877342058982684,3.100356867283951,8.128797743055555
pagetable_mb_node2,2.37890625,5.3826709925964185,6.21969274215368,4.779562114197531,8.257953559027778
pagetable_mb_node3,2.359375,5.335357481060606,3.4084525500541125,4.877266589506173,11.041861979166667
tma_l3_bound,6.978797619047619,8.901861799816345,10.612337662337662,8.398544973544974,2.397685185185185
tma_dram_bound,86.5002205882353,79.23533516988063,78.61058441558441,79.29351851851851,74.17592592592592
tma_l1_bound,0.27051470588235293,0.20280073461891643,0.22164502164502164,0.24922839506172842,2.1333333333333333
tma_store_bound,0.12044117647058825,0.10272727272727274,0.0864935064935065,0.07114197530864198,0.041666666666666664
warmup_s,0.0,0.0,0.0,0.0,0.0
qps_std,0.4796649376177546,6.937757394619072,3.711680109231688,2.5397440834242584,10.050419638660793
runs,5.0,11.0,7.0,9.0,18.0
