metric,baseline,baseline-warmup,distribute,distribute-warmup,interleaved-distribute,interleaved-distribute-warmup,repl-distribute,repl-distribute-warmup
n_prompt,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0
n_gen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
runs,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
avg_ns,9087984688.0,9236775009.0,8667327286.0,8622754385.0,9700909020.0,9345698081.0,11871501524.0,8722512239.0
avg_ts,56.3984,55.51931,59.07907,59.38151,52.7962,54.79828,45.08187,58.69988
stddev_ts,1.877074,2.310638,0.659072,0.497818,1.01567,0.906268,8.837776,0.278193
samples,129.0,185.0,174.0,172.0,194.0,187.0,170.0,175.0
local_pct,43.689922480620154,39.567567567567565,46.201149425287355,44.11046511627907,25.443298969072163,25.49197860962567,55.32941176470588,58.45142857142857
local_pct_skt0,56.93798449612403,59.52972972972973,54.132183908045974,43.71511627906977,28.855670103092784,29.689839572192515,58.3,60.222857142857144
local_pct_skt1,43.82945736434109,40.567567567567565,45.53448275862069,43.48255813953488,24.603092783505154,23.459893048128343,56.22941176470588,65.21714285714286
local_pct_skt2,54.65891472868217,46.32432432432432,54.6551724137931,42.825581395348834,24.164948453608247,22.267379679144383,57.529411764705884,66.01714285714286
local_pct_skt3,44.116279069767444,44.524324324324326,52.58045977011494,43.075581395348834,24.15463917525773,22.855614973262032,50.923529411764704,49.6
ipc,0.41945736434108527,0.3264324324324324,0.36660919540229886,0.38436046511627914,0.3558247422680412,0.35390374331550806,0.4367058823529412,0.37857142857142856
inst,14683.012790697674,11717.316270270272,13005.707068965516,12205.706511627906,12085.305979381443,11134.435668449198,15049.868882352941,12272.675371428571
inst_skt0,3538.9837984496126,2769.5595675675677,3058.22908045977,3024.627209302326,2916.889381443299,2669.0704812834224,3633.312470588235,3150.0270857142855
inst_skt1,3645.551240310078,3248.3853513513513,3617.9280459770116,3071.5459302325576,3038.842989690722,2803.9638502673797,3786.1728823529406,3063.5509142857145
inst_skt2,3796.449224806201,2915.439135135135,3184.5230459770114,3085.243488372093,3075.1130927835047,2817.9524064171123,3754.263529411765,3017.160971428572
inst_skt3,3702.0277519379847,2783.932108108108,3145.026149425287,3024.2905232558146,3054.4605154639166,2843.448823529412,3876.119764705882,3041.9357142857134
afreq,0.8665891472868217,0.9090810810810813,0.9833333333333335,0.9309883720930232,0.9782989690721651,0.9355614973262032,0.9795882352941179,0.9425714285714285
freq,0.11240310077519382,0.12464864864864864,0.13540229885057473,0.12284883720930234,0.13314432989690725,0.12315508021390376,0.12735294117647059,0.12605714285714284
cpu_balance,0.9321825708416445,0.8525957569705858,0.8452984806760865,0.9802437099872335,0.9485470268682099,0.9386736484219387,0.937358154841206,0.9578206438642144
l3hit,0.6555813953488373,0.6261621621621621,0.582471264367816,0.6465116279069768,0.5849999999999999,0.6281283422459893,0.5691764705882353,0.6367428571428572
l2miss,15.037596899224805,11.465567567567568,11.67183908045977,14.004941860465118,11.07438144329897,12.456042780748662,14.639647058823531,17.45651428571428
l3miss,5.943643410852713,4.668378378378378,4.886436781609196,5.141453488372092,4.235979381443299,4.507058823529412,5.584529411764705,6.318399999999999
l3mpi,0.00037209302325581404,0.0017918918918918923,0.00034655172413793105,0.0005784883720930233,0.000334020618556701,0.0005871657754010695,0.0003782352941176471,0.0009211428571428572
upi_in_gb,16.62722519985465,18.45714379222973,20.387229705459767,20.803062488644624,28.31690444788982,30.481463903743315,13.176063591452206,15.024059486607145
upi_out_gb,42.74070812136628,48.498356946790544,53.24117917115661,54.098213004178774,64.17321636396585,66.15034305021724,34.995155847886025,40.800368415178575
upi_out_pct,15.228682170542639,17.334684684684685,19.06226053639847,19.382751937984494,23.076890034364265,23.835115864527626,12.34656862745098,14.462857142857144
upi_in_pct,5.708010335917312,6.383783783783784,6.987547892720308,7.108527131782945,9.914948453608247,10.68716577540107,4.345098039215687,4.987619047619048
mem_bw_gb,45.87355280949519,43.381684517238455,46.79007852014089,48.32163983471821,54.59012438587307,57.81614351813169,37.74511885340073,49.4021866020115
mem_read_gb,21.066399113581728,24.91945259425951,27.35592304913295,28.111137497742053,29.42668059358892,31.573344804896394,17.09818698299632,28.03503979211566
mem_write_gb,24.807153545673078,18.462231657608694,19.43415620484104,20.210502280527454,25.16344414465207,26.242798661012696,20.646931927849263,21.367146304777304
mem_read_gb_skt0,4.195784104567308,2.9644711701766306,4.45112496613078,10.088839414739885,7.326398497905928,8.001358675217245,4.968758616727941,8.64648970680675
mem_read_gb_skt1,5.3369722806490385,12.788216871178667,14.909888344472543,5.7121375429010115,6.809343488240979,7.278535208472593,3.7182403492647063,6.378782159213362
mem_read_gb_skt2,4.255115384615384,4.157679124915082,3.8984081466763003,5.749299415191474,6.531293089561856,6.953358591661096,3.7082375344669116,5.942041127873564
mem_read_gb_skt3,7.278526367187499,5.009086277173913,4.096500575776734,6.560860899114885,8.759645517880154,9.340091598429145,4.702950195312501,7.0677271910919535
mem_write_gb_skt0,5.490266451322116,3.720153543223505,5.01846002303107,6.757923139450866,6.236583189030283,6.661479257185829,5.796328354779411,7.002880691002154
mem_write_gb_skt1,5.6598236177884615,4.447672490658967,5.470902219562861,4.215511368768063,5.892547670344716,6.136733058990641,4.635643210018382,4.840072288074712
mem_write_gb_skt2,5.374161283052884,4.316173891813859,4.409069048049132,4.164030380690028,5.608127516913659,5.6815843812667115,4.562644244025734,4.328303082345546
mem_write_gb_skt3,8.282902268629808,5.978230776579484,4.535724970646676,5.073037391618497,7.426186120731316,7.763002068014706,5.652315774356618,5.195890243354884
data_mem_gb,7.897330830115398,8.254422954891039,7.921715025267849,8.005132531844122,7.906716966137444,8.044607397069267,15.475151350331862,25.468158129988044
data_mem_gb_node0,0.13215223705495588,0.14695269128550653,1.8778997652792517,2.223704674340397,1.899191453284824,1.9474264542686748,4.666982406793639,6.4705828085713
data_mem_gb_node1,7.375150636862252,7.67948409785395,3.810302624123634,2.1338866129086886,2.1875990641485785,2.2085748764282878,1.9906213006307913,5.7700665134123
data_mem_gb_node2,0.13005922040866533,0.2016486292300017,1.1051186357619445,1.8210027617526192,1.865591599769199,1.8913117679045162,2.231970942297647,5.900786717732748
data_mem_gb_node3,0.26063563805500056,0.22628504297007684,1.129185274157221,1.8257287086089913,1.9552495897430733,1.9976962288433218,6.586492804593818,7.3273561192655015
pagetable_mb,26.90657800572519,28.09370754076087,28.493564848265898,27.863958634393065,28.351381282216494,27.993357286096256,64.41646984011628,66.47802173132185
pagetable_mb_node0,3.2478530534351147,3.3975033967391304,7.575483200867052,7.843050036127168,7.231374838917525,7.025108622994653,17.736123728197676,17.779364224137932
pagetable_mb_node1,18.909619513358777,19.60444972826087,12.165891437861271,8.778743677745664,8.633033988402062,8.665879846256685,13.350563226744185,14.03014996408046
pagetable_mb_node2,2.0087666984732824,2.3481657608695654,3.9145366690751446,5.218230671965318,5.841152545103093,5.581550802139038,15.079124273255815,15.642869971264368
pagetable_mb_node3,2.7369692270992365,2.7355638586956523,4.838127709537572,6.0257406069364166,6.648578447164948,6.71835310828877,18.25109011627907,19.02557022270115
tma_l3_bound,2.48046875,8.802234636871509,8.673529411764706,11.61705882352941,9.985185185185186,12.904918032786885,1.318452380952381,11.078947368421053
tma_dram_bound,3.1796875,5.897222222222222,3.104705882352941,5.09470588235294,3.2698412698412698,4.979234972677596,2.8226190476190474,5.7590643274853806
tma_l1_bound,7.9078125,7.796111111111109,6.170588235294118,9.4,6.773544973544973,9.686885245901639,5.431547619047619,12.210526315789474
tma_store_bound,3.2249999999999996,2.292222222222222,1.432941176470588,1.7223529411764704,3.2412698412698413,3.3726775956284145,1.6714285714285715,1.772514619883041
warmup_s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
