metric,imbalanced,balancing,interleaved,patched-repl
ops_sec,41860.6,41803.8,42412.0,42971.6
mb_sec,16.8,16.759999999999998,17.0,17.240000000000002
c_wgb,8.34,9.18,8.0,3.6
w_amp,3.9799999999999995,4.24,3.8600000000000003,2.54
c_mbps,69.67999999999999,76.22,66.3,30.119999999999997
c_wsecs,241.8,187.6,241.8,25.0
c_csecs,35.2,59.6,34.0,149.2
b_rgb,370.6,492.2,339.8,42.4
b_wgb,0.0,0.0,0.0,0.0
usec_op,2200.94,2188.2400000000002,2222.7400000000002,2615.48
p50,1619.04,1606.7,1645.9,1966.58
p99,11576.8,11932.8,11353.2,9639.4
p99.9,18940.8,19045.2,18298.0,16863.4
p99.99,24197.0,23489.0,21813.2,21786.6
pmax,75755.6,66996.6,70230.4,67613.8
uptime,122.8,123.4,123.4,121.8
stall%,0.0,0.0,0.0,0.0
u_cpu,0.6799999999999999,0.7,0.7,0.6
s_cpu,0.2,0.2,0.2,0.2
rss,3.4799999999999995,3.88,3.3,2.0
nb_runs,2.0,2.0,2.0,2.0
samples,39.4,40.2,40.2,38.2
local_pct,33.39884808174282,39.194191576502234,28.96985616010006,37.02044807965861
local_pct_skt0,31.4924358974359,38.07335717342136,38.94571607254534,38.255298719772405
local_pct_skt1,40.50984191247349,39.39582829023779,25.82138836772983,39.912304409672835
local_pct_skt2,40.896880663196455,34.65790573995965,22.39524702939337,41.558371266002844
local_pct_skt3,47.88971659919029,35.141373861482975,26.57473420888055,40.938705547652916
ipc,0.29813684210526314,0.3035737881288587,0.29492808005003124,0.2646415362731152
inst,493.820042481203,508.0059262516047,495.6810794246404,424.37764153627313
inst_skt0,113.84124694428378,121.41773522525827,154.45501438399,101.09832766714082
inst_skt1,135.56321533641795,157.09057962283757,118.7426378986867,120.5334581081081
inst_skt2,134.64576791016003,114.9852127819549,102.62571482176361,98.18114032716927
inst_skt3,109.76945787545787,114.51215773580293,119.85750469043151,104.56487780938835
afreq,0.6083939367649893,0.6117599364264319,0.6054233896185115,0.6022149359886202
freq,0.008730528243686139,0.008910358212604682,0.009001876172607882,0.009258890469416785
cpu_balance,0.6163498960049997,0.6369643506542533,0.6533105626904503,0.756771686229959
l3hit,0.844440293040293,0.8242049422336329,0.8473458411507192,0.854425746799431
l2miss,2.8758462887989205,2.766910034231921,2.9322401500938087,2.927916856330014
l3miss,0.41570769230769233,0.4497870316033987,0.41662789243277054,0.3968293029871977
l3mpi,0.0008424784075573551,0.000884742985512562,0.000842626641651032,0.0009334758179231864
upi_in_gb,0.9409996773314747,0.8888765299479167,0.9188155292370231,0.7757170339310322
upi_out_gb,3.1830142805744828,3.1424749955586373,3.1611644716912912,2.709622896778872
upi_out_pct,0.7061274982327614,0.6242245603847016,0.7586408171774026,0.4946301564722617
upi_in_pct,0.03884703746545852,0.008281195875868532,0.002053366687513029,0.0
mem_bw_gb,1.6776572686411662,1.6067976050214177,1.630659841569912,1.4006767788418795
mem_read_gb,0.8764129212846292,0.8359930452445716,0.8437729448579768,0.7186158840399974
mem_write_gb,0.801244386983458,0.7708050029200857,0.7868868503970006,0.6820607484546398
mem_read_gb_skt0,0.730575052793591,0.1614611097398695,0.24287583608650057,0.18869890691215474
mem_read_gb_skt1,0.05658957931937238,0.31542638411307716,0.23111686422372624,0.29393182950473246
mem_read_gb_skt2,0.05500282897657836,0.18172001783680958,0.18629775736561774,0.08275598264299693
mem_read_gb_skt3,0.03424534529681102,0.1773851656070766,0.18348273868324105,0.15322905100507897
mem_write_gb_skt0,0.6750030505873695,0.15468970858072165,0.2132584810474404,0.17905237934927748
mem_write_gb_skt1,0.04675042335407311,0.2872220647773279,0.22181325070667807,0.2780161920666238
mem_write_gb_skt2,0.04621873257405842,0.1631640349747566,0.17714019842921422,0.076871939999091
mem_write_gb_skt3,0.033272895152473336,0.16572919746782822,0.17467458937991415,0.148119717563393
data_mem_gb,1.9686811009899094,2.050574709464784,1.894470977964371,1.9911859993670795
data_mem_gb_node0,1.6830649254999213,0.40433752292423425,0.430630835932012,0.4572821798594857
data_mem_gb_node1,0.2250462253027667,0.8496732106568199,0.6497021796819741,0.8994884794701127
data_mem_gb_node2,0.04023582085372552,0.415404883831898,0.41319791260391286,0.2477914694349775
data_mem_gb_node3,0.020357513427734376,0.3811865151383939,0.4009664405449261,0.3866271833659184
pagetable_mb,15.794047388847966,15.969943087281848,15.654200030152774,17.132254238360325
pagetable_mb_node0,9.340922388847964,4.4649659185119805,5.115582064991865,6.097198148616734
pagetable_mb_node1,3.42578125,6.417837389539015,4.765801829782594,4.796372090080972
pagetable_mb_node2,0.67578125,1.848482049731799,2.0331009259047006,2.929045420040486
pagetable_mb_node3,2.3515625,3.238657729499052,3.7397152094736135,3.3093180668016196
tma_l3_bound,5.157204102492935,5.0583885652216845,5.207646555412923,5.320041580041581
tma_dram_bound,4.4289862796538015,4.506483492972582,4.30131562489714,4.2788218988218985
tma_l1_bound,14.904268190378588,14.940309848260426,14.920127711398573,15.102841302841302
tma_store_bound,1.1765673513940524,0.8747329910141207,1.1821464072940324,0.7617740817740818
warmup_s,75.0,75.0,75.0,75.0
ops_sec_std,1541.1188468122768,617.1460118966985,1604.9833332467972,966.3406749174961
mb_sec_std,0.6123724356957941,0.26076809620810576,0.6442049363362551,0.4098780306383857
runs,5.0,5.0,5.0,5.0
