metric,imbalanced,balancing,interleaved,patched-repl
ops_sec,8820131.6,10895457.4,10855145.8,11751501.6
mb_sec,2233.34,2758.78,2748.46,2975.44
c_wgb,0.0,0.0,0.0,0.0
c_mbps,0.0,0.0,0.0,0.0
c_wsecs,0.0,0.0,0.0,0.0
c_csecs,0.0,0.0,0.0,0.0
b_rgb,0.0,0.0,0.0,0.0
b_wgb,0.0,0.0,0.0,0.0
usec_op,19.04,15.48,15.540000000000001,15.180000000000001
p50,13.219999999999999,11.8,11.84,11.14
p99,46.8,32.6,32.6,33.4
p99.9,1949.0,885.6,874.2,813.8
p99.99,6224.4,6112.6,6112.0,6051.6
pmax,60885.8,112232.6,56125.6,84610.0
uptime,120.0,120.0,120.0,120.0
stall%,0.0,0.0,0.0,0.0
u_cpu,11.4,11.4,11.42,10.860000000000001
s_cpu,0.2,0.2,0.2,1.02
rss,8.1,8.1,8.1,32.3
nb_runs,2.0,2.0,2.0,2.0
samples,37.2,37.2,37.4,43.6
local_pct,36.778520625889044,25.0,25.0,96.50697674418605
local_pct_skt0,36.12275960170697,25.8,24.594594594594593,97.2
local_pct_skt1,83.3551920341394,25.66500711237553,25.540113798008534,94.99545454545455
local_pct_skt2,87.13669985775249,25.00526315789474,24.949075391180653,99.0
local_pct_skt3,72.26856330014225,24.85945945945946,25.216073968705548,95.0
ipc,0.3639999999999999,0.4468108108108108,0.446,0.48422938689217754
inst,97322.91131152205,119701.92333712659,119358.7220796586,129511.25196511627
inst_skt0,35789.917593172126,30803.875483641536,29234.869749644382,32698.071585623682
inst_skt1,20493.822904694167,30033.23993741109,30324.374418207677,31883.063397463004
inst_skt2,20512.95192176387,29722.432462304412,29815.36400284495,33221.13597674419
inst_skt3,20526.219055476533,29142.374702702706,29984.114596017072,31708.980450317125
afreq,1.0,1.0,1.0,1.0
freq,0.997697012802276,0.9982247510668565,0.9994125177809389,0.9985697674418604
cpu_balance,0.5717732687986992,0.9210972810368299,0.9383847338224095,0.8780170972141901
l3hit,0.7099473684210527,0.7058492176386912,0.7054466571834992,0.7988181818181818
l2miss,195.32506543385492,235.5789758179232,235.83504551920342,267.9110856236786
l3miss,54.32932005689901,66.20002987197725,66.50538549075391,51.55959830866807
l3mpi,0.0005989189189189189,0.0005657041251778093,0.000583456614509246,0.0004000000000000001
upi_in_gb,39.44689729840861,57.254720591994136,57.16508343705548,3.1300463330387815
upi_out_gb,77.57632066117309,116.33717272098372,115.77838880662118,10.914230066150237
upi_out_pct,27.85015410146989,42.19813892840209,41.99466571834993,3.549330514446793
upi_in_pct,14.064236605026078,20.510881934566147,20.45599810336652,0.7080250176180408
mem_bw_gb,66.34083084353885,86.23204568728885,85.4315626472484,77.80371080433238
mem_read_gb,59.59641759785073,76.8225226581948,76.67007377700482,75.5745291637074
mem_write_gb,6.744413509623934,9.409522926298008,8.7614888160673,2.2291816850142046
mem_read_gb_skt0,59.283779074613264,25.551165701680297,19.483241015069346,19.089837935014206
mem_read_gb_skt1,0.09766233441500712,14.998728671208216,19.110086076413587,18.9154482865767
mem_read_gb_skt2,0.09151894503467282,19.790168974484352,19.013246229885315,18.7944775834517
mem_read_gb_skt3,0.12345750911273115,16.482458778782895,19.06350081959015,18.774765269886366
mem_write_gb_skt0,6.595110450191145,3.0243552020359177,1.8932554468016538,0.44521568714488635
mem_write_gb_skt1,0.04572507612464438,1.9444386904894202,2.342196857219061,0.8535434570312501
mem_write_gb_skt2,0.043553281694523466,2.3283085340171583,2.240773886190879,0.09614306640625
mem_write_gb_skt3,0.06002496138202347,2.1124203969594597,2.285261847939634,0.83427978515625
warmup_s,75.0,75.0,75.0,75.0
ops_sec_std,100066.94956527847,263721.0282965695,465510.82741296163,267755.6683420539
mb_sec_std,25.321986493954313,66.76359037679146,117.85356591974647,67.74808484377985
runs,5.0,5.0,5.0,5.0
