metric,imbalanced,balancing,firsttouch,interleaved,patched-repl
recall,0.9777700000000001,0.97777,0.9777699999999999,0.97777,0.9777899999999999
total_time,1.4667569193749972,0.8676006877064429,0.5845796215875338,0.5713510168570556,0.38495765798648857
qps,682.2352477733856,1195.3328056297141,1711.1673590215512,1751.1116217812391,2598.5060834908495
samples,1.5178571428571428,1.0091743119266054,1.0,1.0,1.0
local_pct,27.580357142857142,25.665137614678898,25.0375,25.0,93.97297297297297
local_pct_skt0,26.696428571428573,21.743119266055047,24.825,24.974025974025974,85.22972972972973
local_pct_skt1,97.86607142857143,32.3394495412844,25.2875,25.337662337662337,97.61643835616438
local_pct_skt2,95.92857142857143,21.344036697247706,24.9,24.961038961038962,96.54794520547945
local_pct_skt3,78.47321428571429,25.96330275229358,25.45,25.025974025974026,97.93150684931507
ipc,0.17366071428571428,0.4903211009174312,0.402375,0.40480519480519483,0.6491891891891892
inst,5249.051696428572,8868.105183486237,12462.0985,12729.41935064935,20183.70527027027
inst_skt0,1431.4270535714284,1914.4219266055045,3053.781125,3123.3275324675324,5165.2006756756755
inst_skt1,1292.8813392857141,2733.5606880733944,3211.0342499999997,3289.8984415584414,4935.529452054795
inst_skt2,1268.3449107142858,1902.8811926605504,3119.92475,3185.1974025974027,5077.043013698631
inst_skt3,1256.3991964285713,2317.2421559633026,3077.3581249999997,3130.9964935064936,4999.697671232877
afreq,1.0,0.999816513761468,1.0,1.0,1.0
freq,0.11267857142857142,0.06876146788990825,0.115625,0.11818181818181818,0.11540540540540539
cpu_balance,0.6845600449688491,0.45607136621354943,0.9382361792548666,0.9390170964628319,0.9386697300601133
l3hit,0.13901785714285714,0.11623853211009175,0.10162500000000001,0.09922077922077922,0.19972972972972974
l2miss,8.440089285714285,16.062614678899084,22.789375,23.28272727272727,38.226216216216216
l3miss,7.142232142857142,13.971605504587156,20.154125,20.647142857142857,30.182972972972973
l3mpi,0.001363392857142857,0.0015972477064220183,0.0016,0.0016,0.0015013513513513514
upi_in_gb,39.9660680280413,68.97437455203556,98.01979406738282,100.50694018871754,10.822659549197635
upi_out_gb,73.90178144182478,120.61611865682339,159.62163513183594,163.96552189021915,28.149362595016893
upi_out_pct,26.776041666666664,43.701388888888886,58.025,59.59090909090909,9.802511415525114
upi_in_pct,14.347470238095239,24.80229357798165,35.446875,36.332251082251084,3.4817351598173514
mem_bw_gb,59.3417817905971,99.58487545737738,135.72894712094907,150.88872938368056,173.501103515625
mem_read_gb,54.67628705705915,92.27035038815269,125.33811595775462,139.02777072482638,166.491279296875
mem_write_gb,4.665494210379464,7.3145242039161396,10.39083152488426,11.860961371527777,7.00982421875
mem_read_gb_skt0,54.05546395438058,20.867630798339842,28.11499782986111,35.27723849826389,46.906123046874995
mem_read_gb_skt1,0.180743408203125,22.89679498291016,30.34827473958333,35.120805664062495,39.368764648437505
mem_read_gb_skt2,0.18288521902901786,20.637907622132122,33.78089301215278,34.64076985677083,40.0682958984375
mem_read_gb_skt3,0.25719456263950896,27.826612687895572,33.09395037615741,33.988955620659716,40.148095703125
mem_write_gb_skt0,4.460897914341517,1.7802568969726562,2.388146339699074,3.0656038411458333,4.519453125
mem_write_gb_skt1,0.05675711495535714,1.6727671508789062,2.4553591579861114,2.982463107638889,0.7322265625
mem_write_gb_skt2,0.059967302594866066,1.9104692444620255,2.634754050925926,2.967598198784722,1.0607666015625
mem_write_gb_skt3,0.08787126813616072,1.9446062846123418,2.912572699652778,2.8452967664930555,0.6973828125
data_mem_gb,2.5561293193272183,2.5532540626896236,2.5491130162799167,2.5505162048339844,8.323921203613281
data_mem_gb_node0,2.3338222163064137,0.5247135162353516,0.5365374126131572,0.6760523986816406,2.3142623901367188
data_mem_gb_node1,0.032501220703125,0.5231518421358275,0.5064363630991133,0.5891020202636719,1.9682483673095703
data_mem_gb_node2,0.15573883056640625,0.8753227863496947,0.6761268736824156,0.7031459045410157,1.950052261352539
data_mem_gb_node3,0.03406776700701032,0.63008602846016,0.8300123668852306,0.5822158813476562,2.091358184814453
pagetable_mb,16.199114118303573,16.17872041868932,16.170758928571427,16.10578125,27.498046875
pagetable_mb_node0,10.945207868303571,5.533411711165049,5.4140625,6.1646875,9.75390625
pagetable_mb_node1,0.515625,1.684788379854369,1.9600074404761905,2.11,4.71875
pagetable_mb_node2,2.37890625,4.948763652912621,3.91015625,3.88078125,5.119140625
pagetable_mb_node3,2.359375,4.011756674757281,4.886532738095238,3.9503125,7.90625
tma_l3_bound,8.221428571428572,6.001086956521739,6.985365853658536,6.916666666666667,4.263333333333334
tma_dram_bound,35.885714285714286,32.15,32.20975609756098,32.016666666666666,29.69333333333333
tma_l1_bound,0.8151785714285715,2.0934782608695652,2.0195121951219512,2.038095238095238,3.7866666666666666
tma_store_bound,0.19821428571428573,0.2,0.20000000000000004,0.19761904761904764,0.2
warmup_s,0.0,0.0,0.0,0.0,0.0
qps_std,16.747006645251822,243.47667284109232,29.233858435761995,36.73008105683718,46.28362399145558
runs,56.0,109.0,80.0,77.0,74.0
