label,dataset,runner_name,tag,run_id,recall,total_time,qps,start_time,end_time,warmup,samples,local_pct,local_pct_skt0,local_pct_skt1,local_pct_skt2,local_pct_skt3,ipc,inst,inst_skt0,inst_skt1,inst_skt2,inst_skt3,afreq,freq,cpu_balance,l3hit,l2miss,l3miss,l3mpi,upi_in_gb,upi_out_gb,upi_out_pct,upi_in_pct,mem_bw_gb,mem_read_gb,mem_write_gb,mem_read_gb_skt0,mem_read_gb_skt1,mem_read_gb_skt2,mem_read_gb_skt3,mem_write_gb_skt0,mem_write_gb_skt1,mem_write_gb_skt2,mem_write_gb_skt3,data_mem_gb,data_mem_gb_node0,data_mem_gb_node1,data_mem_gb_node2,data_mem_gb_node3,pagetable_mb,pagetable_mb_node0,pagetable_mb_node1,pagetable_mb_node2,pagetable_mb_node3,tma_l3_bound,tma_dram_bound,tma_l1_bound,tma_store_bound,warmup_s
locality,gist-960-euclidean,usearch,firsttouch,1,0.97813,5.8584724080000115,170.69296061452033,2026-09-04T20:32:05.145445,2026-09-04T20:32:11.003943,True,6,30.666666666666668,65.33333333333333,10.333333333333334,10.0,23.0,0.21666666666666667,163.37499999999997,39.86166666666667,38.02333333333333,31.608333333333334,53.88833333333333,0.6416666666666667,0.008333333333333333,0.586552438684935,0.7733333333333334,2.2800000000000002,0.6933333333333334,0.002133333333333333,0.93001953125,3.9144677734374995,0.9722222222222222,0.13888888888888887,16.915751953125,13.105289713541667,3.810460611979167,2.664599609375,3.3611865234375,2.9766861979166666,4.102817382812501,0.6804606119791666,0.9060270182291665,0.8076123046875,1.4163606770833332,1.4712543487548828,0.2209459940592448,0.22373263041178384,0.259185791015625,0.7676302591959635,14.720052083333334,4.3671875,1.4303385416666667,2.2259114583333335,6.696614583333333,6.783333333333334,7.833333333333333,32.85,3.5,0.0
locality,gist-960-euclidean,usearch,firsttouch,2,0.97813,0.5940314150000177,1683.4126525109286,2026-09-04T20:32:11.049616,2026-09-04T20:32:11.643686,True,1,29.0,30.0,28.0,30.0,28.0,0.41,9020.89,2254.9,2159.72,2304.33,2301.94,0.99,0.08,0.9372442315119796,0.15,17.12,14.32,0.0016,70.81880859375,127.9086328125,46.0,25.416666666666668,,,,,,,,,,,,,,,,,,,,,,6.8,32.4,2.0,0.2,0.0
locality,gist-960-euclidean,usearch,firsttouch,3,0.97813,0.591359132999969,1691.0197952418407,2026-09-04T20:32:11.689439,2026-09-04T20:32:12.280832,True,1,25.0,25.0,25.0,25.0,26.0,0.4,12336.97,3061.44,3028.47,3055.4,3191.67,1.0,0.12,0.948866894133792,0.1,22.78,20.08,0.0016,103.225703125,173.293828125,63.583333333333336,37.583333333333336,140.605166015625,123.705849609375,16.89931640625,25.59994140625,32.7589453125,28.984296875,36.36267578125,3.664990234375,4.21134765625,4.015107421875,5.00787109375,2.5567359924316406,0.4593315124511719,0.5196647644042969,0.5245475769042969,1.053192138671875,14.93359375,4.66796875,1.56640625,2.3671875,6.33203125,,,,,0.0
locality,gist-960-euclidean,usearch,firsttouch,5,0.97813,0.5930759749999197,1686.1246149789415,2026-09-04T20:32:12.964249,2026-09-04T20:32:13.557362,True,1,25.0,26.0,24.0,26.0,25.0,0.41,11259.87,2910.64,2727.3,2847.06,2774.88,1.0,0.1,0.9370104169529726,0.1,20.7,18.22,0.0016,91.363203125,153.573232421875,55.666666666666664,32.916666666666664,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
locality,gist-960-euclidean,usearch,firsttouch,6,0.97813,0.6016384399999879,1662.1278387731013,2026-09-04T20:32:13.603058,2026-09-04T20:32:14.204734,True,1,25.0,26.0,25.0,26.0,24.0,0.4,11825.41,3056.56,2936.83,2902.77,2929.25,1.0,0.11,0.9496852670976522,0.1,21.54,19.08,0.0016,99.586376953125,166.156357421875,60.5,36.0,146.47755859375,132.576982421875,13.900576171875,27.34009765625,35.143603515625,30.920244140625,39.17302734375,3.038271484375,3.3962890625,3.20990234375,4.25611328125,2.5573348999023438,0.45970916748046875,0.5198326110839844,0.5246200561523438,1.0531730651855469,15.26953125,5.00390625,1.56640625,2.3671875,6.33203125,,,,,0.0
locality,gist-960-euclidean,usearch,firsttouch,8,0.97813,0.597448399999962,1673.7847151319909,2026-09-04T20:32:14.892893,2026-09-04T20:32:15.490379,True,1,25.0,25.0,25.0,25.0,26.0,0.39,11121.81,2792.77,2769.44,2670.45,2889.15,1.0,0.1,0.924302995690774,0.1,20.32,17.95,0.0016,93.73994140625,154.919755859375,56.0,33.666666666666664,132.664384765625,120.6033984375,12.06099609375,24.882724609375,32.00076171875,28.10732421875,35.612578125,2.6329296875,2.9794140625,2.77505859375,3.67359375,,,,,,,,,,,,,,,0.0
locality,gist-960-euclidean,usearch,firsttouch,11,0.97813,0.6002022800000759,1666.104967145199,2026-09-04T20:32:16.828756,2026-09-04T20:32:17.428994,True,1,25.0,25.0,25.0,25.0,26.0,0.39,12342.71,3045.22,3051.04,3003.89,3242.55,1.0,0.12,0.9263974341182093,0.1,22.66,19.99,0.0016,101.400576171875,166.719921875,60.166666666666664,36.416666666666664,131.7204296875,120.395966796875,11.32447265625,24.8202734375,31.9380078125,28.070771484375,35.5669140625,2.464931640625,2.771982421875,2.617255859375,3.470302734375,2.557140350341797,0.45929718017578125,0.5199127197265625,0.5246925354003906,1.0532379150390625,15.30078125,5.03515625,1.56640625,2.3671875,6.33203125,,,,,0.0
locality,gist-960-euclidean,usearch,firsttouch,13,0.97813,0.6085853849999694,1643.1548056318347,2026-09-04T20:32:18.123589,2026-09-04T20:32:18.732210,True,1,25.0,26.0,25.0,26.0,24.0,0.4,10600.22,2786.61,2630.12,2616.15,2567.35,1.0,0.1,0.9213165817965198,0.1,19.24,16.97,0.0016,89.221669921875,148.511455078125,54.166666666666664,32.416666666666664,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
locality,gist-960-euclidean,usearch,firsttouch,14,0.97813,0.6087329719999843,1642.7564235834193,2026-09-04T20:32:18.777858,2026-09-04T20:32:19.386628,True,1,25.0,25.0,26.0,24.0,26.0,0.39,12047.88,3027.77,3054.66,2870.38,3095.08,1.0,0.11,0.9274009072463394,0.1,22.15,19.53,0.0016,102.137705078125,167.6775390625,60.833333333333336,37.083333333333336,130.018388671875,119.200087890625,10.81830078125,24.56560546875,31.59220703125,27.79173828125,35.25052734375,2.3493359375,2.596875,2.550048828125,3.322041015625,2.5571670532226562,0.4593048095703125,0.5199165344238281,0.5246963500976562,1.0532493591308594,15.32421875,5.05859375,1.56640625,2.3671875,6.33203125,6.2,33.0,2.0,0.2,0.0
locality,gist-960-euclidean,usearch,firsttouch,16,0.97813,0.6069387020000931,1647.6128424577653,2026-09-04T20:32:20.079151,2026-09-04T20:32:20.686127,True,1,25.0,26.0,25.0,25.0,24.0,0.4,10667.02,2778.15,2679.55,2637.84,2571.48,1.0,0.1,0.925608768425031,0.1,19.5,17.17,0.0016,88.99974609375,147.747353515625,53.5,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
