variant,tag,pass,warmup,query,elapsed_s,rows
-raw,imbalanced,1,True,1,0.0772,1
-raw,imbalanced,1,True,2,0.8123,1
-raw,imbalanced,1,True,3,0.9751,1
-raw,imbalanced,1,True,4,3.5572,1
-raw,imbalanced,1,True,5,0.2399,1
-raw,imbalanced,1,True,6,5.1536,1
-raw,imbalanced,1,True,7,0.0203,1
-raw,imbalanced,1,True,8,0.019,18
-raw,imbalanced,1,True,9,1.8775,10
-raw,imbalanced,1,True,10,0.3672,10
-raw,imbalanced,1,True,11,1.9769,10
-raw,imbalanced,1,True,12,0.9209,10
-raw,imbalanced,1,True,13,0.2004,10
-raw,imbalanced,1,True,14,0.39,10
-raw,imbalanced,1,True,15,1.0529,10
-raw,imbalanced,1,True,16,0.2304,10
-raw,imbalanced,1,True,17,0.484,10
-raw,imbalanced,1,True,18,0.4794,10
-raw,imbalanced,1,True,19,3.6247,10
-raw,imbalanced,1,True,20,0.0114,4
-raw,imbalanced,1,True,21,33.2222,1
-raw,imbalanced,1,True,22,0.1791,10
-raw,imbalanced,1,True,23,28.251,10
-raw,imbalanced,1,True,24,0.4288,10
-raw,imbalanced,1,True,25,0.0105,10
-raw,imbalanced,1,True,26,0.051,10
-raw,imbalanced,1,True,27,0.0118,10
-raw,imbalanced,1,True,28,0.3835,25
-raw,imbalanced,1,True,29,17.7383,25
-raw,imbalanced,1,True,30,0.045,1
-raw,imbalanced,1,True,31,1.3867,10
-raw,imbalanced,1,True,32,1.8362,10
-raw,imbalanced,1,True,33,1.3336,10
-raw,imbalanced,1,True,34,1.1281,10
-raw,imbalanced,1,True,35,1.1916,10
-raw,imbalanced,1,True,36,0.2067,10
-raw,imbalanced,1,True,37,0.042,10
-raw,imbalanced,1,True,38,0.0237,10
-raw,imbalanced,1,True,39,0.0169,10
-raw,imbalanced,1,True,40,0.0702,10
-raw,imbalanced,1,True,41,0.0429,10
-raw,imbalanced,1,True,42,0.0254,10
-raw,imbalanced,1,True,43,0.0221,10
-raw,imbalanced,2,False,1,0.0014,1
-raw,imbalanced,2,False,2,0.0386,1
-raw,imbalanced,2,False,3,0.0094,1
-raw,imbalanced,2,False,4,0.0162,1
-raw,imbalanced,2,False,5,0.2033,1
-raw,imbalanced,2,False,6,0.2322,1
-raw,imbalanced,2,False,7,0.0555,1
-raw,imbalanced,2,False,8,0.0125,18
-raw,imbalanced,2,False,9,0.251,10
-raw,imbalanced,2,False,10,0.3797,10
-raw,imbalanced,2,False,11,0.079,10
-raw,imbalanced,2,False,12,0.0915,10
-raw,imbalanced,2,False,13,0.1987,10
-raw,imbalanced,2,False,14,0.3933,10
-raw,imbalanced,2,False,15,0.2124,10
-raw,imbalanced,2,False,16,0.2452,10
-raw,imbalanced,2,False,17,0.4777,10
-raw,imbalanced,2,False,18,0.4643,10
-raw,imbalanced,2,False,19,0.9931,10
-raw,imbalanced,2,False,20,0.0091,4
-raw,imbalanced,2,False,21,0.2369,1
-raw,imbalanced,2,False,22,0.1533,10
-raw,imbalanced,2,False,23,0.2471,10
-raw,imbalanced,2,False,24,0.0886,10
-raw,imbalanced,2,False,25,0.0101,10
-raw,imbalanced,2,False,26,0.0509,10
-raw,imbalanced,2,False,27,0.0111,10
-raw,imbalanced,2,False,28,0.1394,25
-raw,imbalanced,2,False,29,5.0647,25
-raw,imbalanced,2,False,30,0.0443,1
-raw,imbalanced,2,False,31,0.1805,10
-raw,imbalanced,2,False,32,0.272,10
-raw,imbalanced,2,False,33,1.3261,10
-raw,imbalanced,2,False,34,1.1246,10
-raw,imbalanced,2,False,35,1.1842,10
-raw,imbalanced,2,False,36,0.2131,10
-raw,imbalanced,2,False,37,0.0463,10
-raw,imbalanced,2,False,38,0.0181,10
-raw,imbalanced,2,False,39,0.0173,10
-raw,imbalanced,2,False,40,0.0824,10
-raw,imbalanced,2,False,41,0.0233,10
-raw,imbalanced,2,False,42,0.0207,10
-raw,imbalanced,2,False,43,0.0264,10
-raw,imbalanced,3,False,1,0.0013,1
-raw,imbalanced,3,False,2,0.0399,1
-raw,imbalanced,3,False,3,0.0093,1
-raw,imbalanced,3,False,4,0.0154,1
-raw,imbalanced,3,False,5,0.2195,1
-raw,imbalanced,3,False,6,0.2332,1
-raw,imbalanced,3,False,7,0.0553,1
-raw,imbalanced,3,False,8,0.0132,18
-raw,imbalanced,3,False,9,0.269,10
-raw,imbalanced,3,False,10,0.3744,10
-raw,imbalanced,3,False,11,0.0857,10
-raw,imbalanced,3,False,12,0.0912,10
-raw,imbalanced,3,False,13,0.2046,10
-raw,imbalanced,3,False,14,0.3975,10
-raw,imbalanced,3,False,15,0.2107,10
-raw,imbalanced,3,False,16,0.2332,10
-raw,imbalanced,3,False,17,0.5076,10
-raw,imbalanced,3,False,18,0.488,10
-raw,imbalanced,3,False,19,0.9991,10
-raw,imbalanced,3,False,20,0.008,4
-raw,imbalanced,3,False,21,0.2371,1
-raw,imbalanced,3,False,22,0.1615,10
-raw,imbalanced,3,False,23,0.2462,10
-raw,imbalanced,3,False,24,0.0941,10
-raw,imbalanced,3,False,25,0.0122,10
-raw,imbalanced,3,False,26,0.0511,10
-raw,imbalanced,3,False,27,0.0106,10
-raw,imbalanced,3,False,28,0.1363,25
-raw,imbalanced,3,False,29,5.0893,25
-raw,imbalanced,3,False,30,0.048,1
-raw,imbalanced,3,False,31,0.1792,10
-raw,imbalanced,3,False,32,0.2587,10
-raw,imbalanced,3,False,33,1.3486,10
-raw,imbalanced,3,False,34,1.1229,10
-raw,imbalanced,3,False,35,1.1869,10
-raw,imbalanced,3,False,36,0.2062,10
-raw,imbalanced,3,False,37,0.0365,10
-raw,imbalanced,3,False,38,0.0232,10
-raw,imbalanced,3,False,39,0.0208,10
-raw,imbalanced,3,False,40,0.0652,10
-raw,imbalanced,3,False,41,0.0186,10
-raw,imbalanced,3,False,42,0.0126,10
-raw,imbalanced,3,False,43,0.0196,10
-raw,imbalanced,4,False,1,0.0013,1
-raw,imbalanced,4,False,2,0.0365,1
-raw,imbalanced,4,False,3,0.0093,1
-raw,imbalanced,4,False,4,0.0206,1
-raw,imbalanced,4,False,5,0.231,1
-raw,imbalanced,4,False,6,0.2399,1
-raw,imbalanced,4,False,7,0.0543,1
-raw,imbalanced,4,False,8,0.0139,18
-raw,imbalanced,4,False,9,0.2488,10
-raw,imbalanced,4,False,10,0.3783,10
-raw,imbalanced,4,False,11,0.0924,10
-raw,imbalanced,4,False,12,0.0922,10
-raw,imbalanced,4,False,13,0.201,10
-raw,imbalanced,4,False,14,0.3949,10
-raw,imbalanced,4,False,15,0.2135,10
-raw,imbalanced,4,False,16,0.2426,10
-raw,imbalanced,4,False,17,0.4789,10
-raw,imbalanced,4,False,18,0.4763,10
-raw,imbalanced,4,False,19,1.006,10
-raw,imbalanced,4,False,20,0.011,4
-raw,imbalanced,4,False,21,0.2366,1
-raw,imbalanced,4,False,22,0.1626,10
-raw,imbalanced,4,False,23,0.2465,10
-raw,imbalanced,4,False,24,0.079,10
-raw,imbalanced,4,False,25,0.0132,10
-raw,imbalanced,4,False,26,0.0511,10
-raw,imbalanced,4,False,27,0.0109,10
-raw,imbalanced,4,False,28,0.1302,25
-raw,imbalanced,4,False,29,5.1751,25
-raw,imbalanced,4,False,30,0.0426,1
-raw,imbalanced,4,False,31,0.1883,10
-raw,imbalanced,4,False,32,0.2776,10
-raw,imbalanced,4,False,33,1.3072,10
-raw,imbalanced,4,False,34,1.1501,10
-raw,imbalanced,4,False,35,1.1794,10
-raw,imbalanced,4,False,36,0.2059,10
-raw,imbalanced,4,False,37,0.0459,10
-raw,imbalanced,4,False,38,0.0262,10
-raw,imbalanced,4,False,39,0.0255,10
-raw,imbalanced,4,False,40,0.0574,10
-raw,imbalanced,4,False,41,0.0236,10
-raw,imbalanced,4,False,42,0.0125,10
-raw,imbalanced,4,False,43,0.018,10
-raw,imbalanced,5,False,1,0.0013,1
-raw,imbalanced,5,False,2,0.0368,1
-raw,imbalanced,5,False,3,0.0093,1
-raw,imbalanced,5,False,4,0.0155,1
-raw,imbalanced,5,False,5,0.2097,1
-raw,imbalanced,5,False,6,0.2324,1
-raw,imbalanced,5,False,7,0.0541,1
-raw,imbalanced,5,False,8,0.0226,18
-raw,imbalanced,5,False,9,0.2567,10
-raw,imbalanced,5,False,10,0.3777,10
-raw,imbalanced,5,False,11,0.0923,10
-raw,imbalanced,5,False,12,0.1122,10
-raw,imbalanced,5,False,13,0.1982,10
-raw,imbalanced,5,False,14,0.4016,10
-raw,imbalanced,5,False,15,0.2183,10
-raw,imbalanced,5,False,16,0.2437,10
-raw,imbalanced,5,False,17,0.4951,10
-raw,imbalanced,5,False,18,0.4743,10
-raw,imbalanced,5,False,19,1.0009,10
-raw,imbalanced,5,False,20,0.0122,4
-raw,imbalanced,5,False,21,0.2366,1
-raw,imbalanced,5,False,22,0.1577,10
-raw,imbalanced,5,False,23,0.2253,10
-raw,imbalanced,5,False,24,0.0924,10
-raw,imbalanced,5,False,25,0.0101,10
-raw,imbalanced,5,False,26,0.0502,10
-raw,imbalanced,5,False,27,0.0111,10
-raw,imbalanced,5,False,28,0.1386,25
-raw,imbalanced,5,False,29,5.1088,25
-raw,imbalanced,5,False,30,0.0424,1
-raw,imbalanced,5,False,31,0.1774,10
-raw,imbalanced,5,False,32,0.2567,10
-raw,imbalanced,5,False,33,1.3204,10
-raw,imbalanced,5,False,34,1.1388,10
-raw,imbalanced,5,False,35,1.1658,10
-raw,imbalanced,5,False,36,0.2198,10
-raw,imbalanced,5,False,37,0.0433,10
-raw,imbalanced,5,False,38,0.0278,10
-raw,imbalanced,5,False,39,0.0115,10
-raw,imbalanced,5,False,40,0.0932,10
-raw,imbalanced,5,False,41,0.011,10
-raw,imbalanced,5,False,42,0.0157,10
-raw,imbalanced,5,False,43,0.0208,10
-raw,imbalanced,6,False,1,0.0013,1
-raw,imbalanced,6,False,2,0.035,1
-raw,imbalanced,6,False,3,0.0093,1
-raw,imbalanced,6,False,4,0.0153,1
-raw,imbalanced,6,False,5,0.2109,1
-raw,imbalanced,6,False,6,0.2638,1
-raw,imbalanced,6,False,7,0.0538,1
-raw,imbalanced,6,False,8,0.0133,18
-raw,imbalanced,6,False,9,0.2662,10
-raw,imbalanced,6,False,10,0.3846,10
-raw,imbalanced,6,False,11,0.1055,10
-raw,imbalanced,6,False,12,0.089,10
-raw,imbalanced,6,False,13,0.2096,10
-raw,imbalanced,6,False,14,0.4027,10
-raw,imbalanced,6,False,15,0.2097,10
-raw,imbalanced,6,False,16,0.2367,10
-raw,imbalanced,6,False,17,0.4824,10
-raw,imbalanced,6,False,18,0.4622,10
-raw,imbalanced,6,False,19,1.011,10
-raw,imbalanced,6,False,20,0.0099,4
-raw,imbalanced,6,False,21,0.2359,1
-raw,imbalanced,6,False,22,0.1577,10
-raw,imbalanced,6,False,23,0.2598,10
-raw,imbalanced,6,False,24,0.081,10
-raw,imbalanced,6,False,25,0.0122,10
-raw,imbalanced,6,False,26,0.0501,10
-raw,imbalanced,6,False,27,0.0126,10
-raw,imbalanced,6,False,28,0.1382,25
-raw,imbalanced,6,False,29,5.131,25
-raw,imbalanced,6,False,30,0.0505,1
-raw,imbalanced,6,False,31,0.182,10
-raw,imbalanced,6,False,32,0.2541,10
-raw,imbalanced,6,False,33,1.3591,10
-raw,imbalanced,6,False,34,1.1309,10
-raw,imbalanced,6,False,35,1.1798,10
-raw,imbalanced,6,False,36,0.2119,10
-raw,imbalanced,6,False,37,0.0324,10
-raw,imbalanced,6,False,38,0.0271,10
-raw,imbalanced,6,False,39,0.0185,10
-raw,imbalanced,6,False,40,0.0819,10
-raw,imbalanced,6,False,41,0.0195,10
-raw,imbalanced,6,False,42,0.013,10
-raw,imbalanced,6,False,43,0.0156,10
-raw,imbalanced,7,False,1,0.0014,1
-raw,imbalanced,7,False,2,0.0606,1
-raw,imbalanced,7,False,3,0.0114,1
-raw,imbalanced,7,False,4,0.0156,1
-raw,imbalanced,7,False,5,0.2169,1
-raw,imbalanced,7,False,6,0.2287,1
-raw,imbalanced,7,False,7,0.0546,1
-raw,imbalanced,7,False,8,0.0129,18
-raw,imbalanced,7,False,9,0.261,10
-raw,imbalanced,7,False,10,0.375,10
-raw,imbalanced,7,False,11,0.0834,10
-raw,imbalanced,7,False,12,0.0981,10
-raw,imbalanced,7,False,13,0.2063,10
-raw,imbalanced,7,False,14,0.4207,10
-raw,imbalanced,7,False,15,0.2193,10
-raw,imbalanced,7,False,16,0.2341,10
-raw,imbalanced,7,False,17,0.4847,10
-raw,imbalanced,7,False,18,0.4795,10
-raw,imbalanced,7,False,19,0.9999,10
