variant,tag,pass,warmup,query,elapsed_s,rows
-raw,numa-balancing,1,True,1,0.077,1
-raw,numa-balancing,1,True,2,0.8167,1
-raw,numa-balancing,1,True,3,0.9737,1
-raw,numa-balancing,1,True,4,3.531,1
-raw,numa-balancing,1,True,5,0.1927,1
-raw,numa-balancing,1,True,6,5.0701,1
-raw,numa-balancing,1,True,7,0.0219,1
-raw,numa-balancing,1,True,8,0.018,18
-raw,numa-balancing,1,True,9,1.8876,10
-raw,numa-balancing,1,True,10,0.3783,10
-raw,numa-balancing,1,True,11,1.9842,10
-raw,numa-balancing,1,True,12,0.9215,10
-raw,numa-balancing,1,True,13,0.2165,10
-raw,numa-balancing,1,True,14,0.2918,10
-raw,numa-balancing,1,True,15,0.9435,10
-raw,numa-balancing,1,True,16,0.2078,10
-raw,numa-balancing,1,True,17,0.4069,10
-raw,numa-balancing,1,True,18,0.3628,10
-raw,numa-balancing,1,True,19,3.5252,10
-raw,numa-balancing,1,True,20,0.0108,4
-raw,numa-balancing,1,True,21,33.3714,1
-raw,numa-balancing,1,True,22,0.1324,10
-raw,numa-balancing,1,True,23,28.2834,10
-raw,numa-balancing,1,True,24,0.436,10
-raw,numa-balancing,1,True,25,0.0108,10
-raw,numa-balancing,1,True,26,0.0499,10
-raw,numa-balancing,1,True,27,0.01,10
-raw,numa-balancing,1,True,28,0.3876,25
-raw,numa-balancing,1,True,29,17.7134,25
-raw,numa-balancing,1,True,30,0.0454,1
-raw,numa-balancing,1,True,31,1.3903,10
-raw,numa-balancing,1,True,32,1.8098,10
-raw,numa-balancing,1,True,33,1.0081,10
-raw,numa-balancing,1,True,34,0.7356,10
-raw,numa-balancing,1,True,35,0.7494,10
-raw,numa-balancing,1,True,36,0.1811,10
-raw,numa-balancing,1,True,37,0.0416,10
-raw,numa-balancing,1,True,38,0.0172,10
-raw,numa-balancing,1,True,39,0.0172,10
-raw,numa-balancing,1,True,40,0.0764,10
-raw,numa-balancing,1,True,41,0.0427,10
-raw,numa-balancing,1,True,42,0.0163,10
-raw,numa-balancing,1,True,43,0.0203,10
-raw,numa-balancing,2,False,1,0.0013,1
-raw,numa-balancing,2,False,2,0.0393,1
-raw,numa-balancing,2,False,3,0.0086,1
-raw,numa-balancing,2,False,4,0.0118,1
-raw,numa-balancing,2,False,5,0.1697,1
-raw,numa-balancing,2,False,6,0.2057,1
-raw,numa-balancing,2,False,7,0.0444,1
-raw,numa-balancing,2,False,8,0.0154,18
-raw,numa-balancing,2,False,9,0.2261,10
-raw,numa-balancing,2,False,10,0.3328,10
-raw,numa-balancing,2,False,11,0.0794,10
-raw,numa-balancing,2,False,12,0.0805,10
-raw,numa-balancing,2,False,13,0.1614,10
-raw,numa-balancing,2,False,14,0.285,10
-raw,numa-balancing,2,False,15,0.1684,10
-raw,numa-balancing,2,False,16,0.2017,10
-raw,numa-balancing,2,False,17,0.414,10
-raw,numa-balancing,2,False,18,0.3709,10
-raw,numa-balancing,2,False,19,0.7073,10
-raw,numa-balancing,2,False,20,0.0075,4
-raw,numa-balancing,2,False,21,0.2115,1
-raw,numa-balancing,2,False,22,0.1182,10
-raw,numa-balancing,2,False,23,0.1524,10
-raw,numa-balancing,2,False,24,0.0636,10
-raw,numa-balancing,2,False,25,0.0101,10
-raw,numa-balancing,2,False,26,0.0483,10
-raw,numa-balancing,2,False,27,0.0101,10
-raw,numa-balancing,2,False,28,0.0919,25
-raw,numa-balancing,2,False,29,5.0121,25
-raw,numa-balancing,2,False,30,0.0453,1
-raw,numa-balancing,2,False,31,0.1655,10
-raw,numa-balancing,2,False,32,0.2235,10
-raw,numa-balancing,2,False,33,1.1398,10
-raw,numa-balancing,2,False,34,0.7476,10
-raw,numa-balancing,2,False,35,0.7838,10
-raw,numa-balancing,2,False,36,0.1914,10
-raw,numa-balancing,2,False,37,0.0365,10
-raw,numa-balancing,2,False,38,0.0185,10
-raw,numa-balancing,2,False,39,0.0091,10
-raw,numa-balancing,2,False,40,0.0602,10
-raw,numa-balancing,2,False,41,0.0173,10
-raw,numa-balancing,2,False,42,0.0163,10
-raw,numa-balancing,2,False,43,0.0182,10
-raw,numa-balancing,3,False,1,0.0013,1
-raw,numa-balancing,3,False,2,0.0393,1
-raw,numa-balancing,3,False,3,0.0087,1
-raw,numa-balancing,3,False,4,0.0122,1
-raw,numa-balancing,3,False,5,0.171,1
-raw,numa-balancing,3,False,6,0.1988,1
-raw,numa-balancing,3,False,7,0.0437,1
-raw,numa-balancing,3,False,8,0.0136,18
-raw,numa-balancing,3,False,9,0.2093,10
-raw,numa-balancing,3,False,10,0.3325,10
-raw,numa-balancing,3,False,11,0.0728,10
-raw,numa-balancing,3,False,12,0.094,10
-raw,numa-balancing,3,False,13,0.1614,10
-raw,numa-balancing,3,False,14,0.3015,10
-raw,numa-balancing,3,False,15,0.1718,10
-raw,numa-balancing,3,False,16,0.2063,10
-raw,numa-balancing,3,False,17,0.4122,10
-raw,numa-balancing,3,False,18,0.4101,10
-raw,numa-balancing,3,False,19,0.7115,10
-raw,numa-balancing,3,False,20,0.0067,4
-raw,numa-balancing,3,False,21,0.2054,1
-raw,numa-balancing,3,False,22,0.1071,10
-raw,numa-balancing,3,False,23,0.1653,10
-raw,numa-balancing,3,False,24,0.0561,10
-raw,numa-balancing,3,False,25,0.0118,10
-raw,numa-balancing,3,False,26,0.0509,10
-raw,numa-balancing,3,False,27,0.0103,10
-raw,numa-balancing,3,False,28,0.0919,25
-raw,numa-balancing,3,False,29,5.073,25
-raw,numa-balancing,3,False,30,0.0429,1
-raw,numa-balancing,3,False,31,0.1712,10
-raw,numa-balancing,3,False,32,0.2241,10
-raw,numa-balancing,3,False,33,1.0098,10
-raw,numa-balancing,3,False,34,0.7324,10
-raw,numa-balancing,3,False,35,0.755,10
-raw,numa-balancing,3,False,36,0.1883,10
-raw,numa-balancing,3,False,37,0.0346,10
-raw,numa-balancing,3,False,38,0.0315,10
-raw,numa-balancing,3,False,39,0.0161,10
-raw,numa-balancing,3,False,40,0.059,10
-raw,numa-balancing,3,False,41,0.0178,10
-raw,numa-balancing,3,False,42,0.0123,10
-raw,numa-balancing,3,False,43,0.0177,10
-raw,numa-balancing,4,False,1,0.0014,1
-raw,numa-balancing,4,False,2,0.0336,1
-raw,numa-balancing,4,False,3,0.0085,1
-raw,numa-balancing,4,False,4,0.0116,1
-raw,numa-balancing,4,False,5,0.1831,1
-raw,numa-balancing,4,False,6,0.2079,1
-raw,numa-balancing,4,False,7,0.0438,1
-raw,numa-balancing,4,False,8,0.0122,18
-raw,numa-balancing,4,False,9,0.2234,10
-raw,numa-balancing,4,False,10,0.3497,10
-raw,numa-balancing,4,False,11,0.0778,10
-raw,numa-balancing,4,False,12,0.0973,10
-raw,numa-balancing,4,False,13,0.1668,10
-raw,numa-balancing,4,False,14,0.2829,10
-raw,numa-balancing,4,False,15,0.1699,10
-raw,numa-balancing,4,False,16,0.195,10
-raw,numa-balancing,4,False,17,0.4163,10
-raw,numa-balancing,4,False,18,0.3687,10
-raw,numa-balancing,4,False,19,0.7088,10
-raw,numa-balancing,4,False,20,0.0084,4
-raw,numa-balancing,4,False,21,0.2049,1
-raw,numa-balancing,4,False,22,0.1085,10
-raw,numa-balancing,4,False,23,0.1684,10
-raw,numa-balancing,4,False,24,0.0539,10
-raw,numa-balancing,4,False,25,0.0119,10
-raw,numa-balancing,4,False,26,0.0527,10
-raw,numa-balancing,4,False,27,0.0109,10
-raw,numa-balancing,4,False,28,0.0905,25
-raw,numa-balancing,4,False,29,5.075,25
-raw,numa-balancing,4,False,30,0.0468,1
-raw,numa-balancing,4,False,31,0.1566,10
-raw,numa-balancing,4,False,32,0.2125,10
-raw,numa-balancing,4,False,33,1.0131,10
-raw,numa-balancing,4,False,34,0.718,10
-raw,numa-balancing,4,False,35,0.7425,10
-raw,numa-balancing,4,False,36,0.1926,10
-raw,numa-balancing,4,False,37,0.0283,10
-raw,numa-balancing,4,False,38,0.0259,10
-raw,numa-balancing,4,False,39,0.0112,10
-raw,numa-balancing,4,False,40,0.0753,10
-raw,numa-balancing,4,False,41,0.0175,10
-raw,numa-balancing,4,False,42,0.0297,10
-raw,numa-balancing,4,False,43,0.0175,10
-raw,numa-balancing,5,False,1,0.0013,1
-raw,numa-balancing,5,False,2,0.0346,1
-raw,numa-balancing,5,False,3,0.0139,1
-raw,numa-balancing,5,False,4,0.0112,1
-raw,numa-balancing,5,False,5,0.1743,1
-raw,numa-balancing,5,False,6,0.2065,1
-raw,numa-balancing,5,False,7,0.0433,1
-raw,numa-balancing,5,False,8,0.0187,18
-raw,numa-balancing,5,False,9,0.2233,10
-raw,numa-balancing,5,False,10,0.3328,10
-raw,numa-balancing,5,False,11,0.104,10
-raw,numa-balancing,5,False,12,0.0907,10
-raw,numa-balancing,5,False,13,0.1572,10
-raw,numa-balancing,5,False,14,0.2793,10
-raw,numa-balancing,5,False,15,0.1662,10
-raw,numa-balancing,5,False,16,0.1946,10
-raw,numa-balancing,5,False,17,0.3964,10
-raw,numa-balancing,5,False,18,0.3686,10
-raw,numa-balancing,5,False,19,0.7154,10
-raw,numa-balancing,5,False,20,0.0068,4
-raw,numa-balancing,5,False,21,0.204,1
-raw,numa-balancing,5,False,22,0.1184,10
-raw,numa-balancing,5,False,23,0.1625,10
-raw,numa-balancing,5,False,24,0.0532,10
-raw,numa-balancing,5,False,25,0.0099,10
-raw,numa-balancing,5,False,26,0.0509,10
