variant,tag,pass,warmup,query,elapsed_s,rows
-raw,repl,1,True,1,0.0717,1
-raw,repl,1,True,2,0.8163,1
-raw,repl,1,True,3,0.9676,1
-raw,repl,1,True,4,3.6155,1
-raw,repl,1,True,5,0.2632,1
-raw,repl,1,True,6,5.0448,1
-raw,repl,1,True,7,0.0176,1
-raw,repl,1,True,8,0.0235,18
-raw,repl,1,True,9,1.8339,10
-raw,repl,1,True,10,0.3688,10
-raw,repl,1,True,11,2.036,10
-raw,repl,1,True,12,0.9174,10
-raw,repl,1,True,13,0.2202,10
-raw,repl,1,True,14,0.3282,10
-raw,repl,1,True,15,0.9463,10
-raw,repl,1,True,16,0.1889,10
-raw,repl,1,True,17,0.3705,10
-raw,repl,1,True,18,0.3483,10
-raw,repl,1,True,19,3.4039,10
-raw,repl,1,True,20,0.0093,4
-raw,repl,1,True,21,33.3338,1
-raw,repl,1,True,22,0.382,10
-raw,repl,1,True,23,28.2628,10
-raw,repl,1,True,24,0.4632,10
-raw,repl,1,True,25,0.013,10
-raw,repl,1,True,26,0.0472,10
-raw,repl,1,True,27,0.0128,10
-raw,repl,1,True,28,0.4273,25
-raw,repl,1,True,29,17.5088,25
-raw,repl,1,True,30,0.0414,1
-raw,repl,1,True,31,1.4377,10
-raw,repl,1,True,32,1.8017,10
-raw,repl,1,True,33,0.9947,10
-raw,repl,1,True,34,0.9549,10
-raw,repl,1,True,35,0.9106,10
-raw,repl,1,True,36,0.1662,10
-raw,repl,1,True,37,0.0314,10
-raw,repl,1,True,38,0.015,10
-raw,repl,1,True,39,0.044,10
-raw,repl,1,True,40,0.0637,10
-raw,repl,1,True,41,0.0477,10
-raw,repl,1,True,42,0.0209,10
-raw,repl,1,True,43,0.0184,10
-raw,repl,2,False,1,0.0011,1
-raw,repl,2,False,2,0.036,1
-raw,repl,2,False,3,0.0147,1
-raw,repl,2,False,4,0.0099,1
-raw,repl,2,False,5,0.1599,1
-raw,repl,2,False,6,0.1662,1
-raw,repl,2,False,7,0.0407,1
-raw,repl,2,False,8,0.0146,18
-raw,repl,2,False,9,0.2081,10
-raw,repl,2,False,10,0.3013,10
-raw,repl,2,False,11,0.0899,10
-raw,repl,2,False,12,0.1002,10
-raw,repl,2,False,13,0.1427,10
-raw,repl,2,False,14,0.2548,10
-raw,repl,2,False,15,0.1577,10
-raw,repl,2,False,16,0.1631,10
-raw,repl,2,False,17,0.3501,10
-raw,repl,2,False,18,0.3208,10
-raw,repl,2,False,19,0.7404,10
-raw,repl,2,False,20,0.0057,4
-raw,repl,2,False,21,0.2569,1
-raw,repl,2,False,22,0.1882,10
-raw,repl,2,False,23,0.3855,10
-raw,repl,2,False,24,0.049,10
-raw,repl,2,False,25,0.0112,10
-raw,repl,2,False,26,0.041,10
-raw,repl,2,False,27,0.0117,10
-raw,repl,2,False,28,0.1383,25
-raw,repl,2,False,29,4.6272,25
-raw,repl,2,False,30,0.0344,1
-raw,repl,2,False,31,0.156,10
-raw,repl,2,False,32,0.2204,10
-raw,repl,2,False,33,0.9303,10
-raw,repl,2,False,34,0.6742,10
-raw,repl,2,False,35,0.7108,10
-raw,repl,2,False,36,0.1591,10
-raw,repl,2,False,37,0.0295,10
-raw,repl,2,False,38,0.0201,10
-raw,repl,2,False,39,0.0164,10
-raw,repl,2,False,40,0.0838,10
-raw,repl,2,False,41,0.0109,10
-raw,repl,2,False,42,0.0192,10
-raw,repl,2,False,43,0.0195,10
-raw,repl,3,False,1,0.0011,1
-raw,repl,3,False,2,0.0336,1
-raw,repl,3,False,3,0.0158,1
-raw,repl,3,False,4,0.0099,1
-raw,repl,3,False,5,0.1426,1
-raw,repl,3,False,6,0.1645,1
-raw,repl,3,False,7,0.0403,1
-raw,repl,3,False,8,0.0107,18
-raw,repl,3,False,9,0.2006,10
-raw,repl,3,False,10,0.2985,10
-raw,repl,3,False,11,0.0788,10
-raw,repl,3,False,12,0.0897,10
-raw,repl,3,False,13,0.1394,10
-raw,repl,3,False,14,0.2511,10
-raw,repl,3,False,15,0.1433,10
-raw,repl,3,False,16,0.1675,10
-raw,repl,3,False,17,0.3372,10
-raw,repl,3,False,18,0.3224,10
-raw,repl,3,False,19,0.7165,10
-raw,repl,3,False,20,0.0052,4
-raw,repl,3,False,21,0.1695,1
-raw,repl,3,False,22,0.0919,10
-raw,repl,3,False,23,0.3413,10
-raw,repl,3,False,24,0.0476,10
-raw,repl,3,False,25,0.0095,10
-raw,repl,3,False,26,0.0438,10
-raw,repl,3,False,27,0.0089,10
-raw,repl,3,False,28,0.0823,25
-raw,repl,3,False,29,4.514,25
-raw,repl,3,False,30,0.0336,1
-raw,repl,3,False,31,0.1422,10
-raw,repl,3,False,32,0.2035,10
-raw,repl,3,False,33,0.9647,10
-raw,repl,3,False,34,0.6686,10
-raw,repl,3,False,35,0.6931,10
-raw,repl,3,False,36,0.1521,10
-raw,repl,3,False,37,0.0295,10
-raw,repl,3,False,38,0.025,10
-raw,repl,3,False,39,0.0134,10
-raw,repl,3,False,40,0.0603,10
-raw,repl,3,False,41,0.0087,10
-raw,repl,3,False,42,0.0128,10
-raw,repl,3,False,43,0.0228,10
-raw,repl,4,False,1,0.0011,1
-raw,repl,4,False,2,0.0288,1
-raw,repl,4,False,3,0.0085,1
-raw,repl,4,False,4,0.0097,1
-raw,repl,4,False,5,0.1451,1
-raw,repl,4,False,6,0.1757,1
-raw,repl,4,False,7,0.0406,1
-raw,repl,4,False,8,0.0111,18
-raw,repl,4,False,9,0.1815,10
-raw,repl,4,False,10,0.2793,10
-raw,repl,4,False,11,0.0807,10
-raw,repl,4,False,12,0.0883,10
-raw,repl,4,False,13,0.1441,10
-raw,repl,4,False,14,0.265,10
-raw,repl,4,False,15,0.151,10
-raw,repl,4,False,16,0.173,10
-raw,repl,4,False,17,0.3312,10
-raw,repl,4,False,18,0.332,10
-raw,repl,4,False,19,0.6844,10
-raw,repl,4,False,20,0.0053,4
-raw,repl,4,False,21,0.1675,1
-raw,repl,4,False,22,0.0821,10
-raw,repl,4,False,23,0.3211,10
-raw,repl,4,False,24,0.0684,10
-raw,repl,4,False,25,0.0097,10
-raw,repl,4,False,26,0.0428,10
-raw,repl,4,False,27,0.0096,10
-raw,repl,4,False,28,0.071,25
-raw,repl,4,False,29,4.3821,25
-raw,repl,4,False,30,0.0347,1
-raw,repl,4,False,31,0.1372,10
-raw,repl,4,False,32,0.1977,10
-raw,repl,4,False,33,0.9119,10
-raw,repl,4,False,34,0.6486,10
-raw,repl,4,False,35,0.7034,10
-raw,repl,4,False,36,0.1675,10
-raw,repl,4,False,37,0.0295,10
-raw,repl,4,False,38,0.0251,10
-raw,repl,4,False,39,0.0077,10
-raw,repl,4,False,40,0.0695,10
-raw,repl,4,False,41,0.0213,10
-raw,repl,4,False,42,0.0104,10
-raw,repl,4,False,43,0.0122,10
-raw,repl,5,False,1,0.0011,1
-raw,repl,5,False,2,0.035,1
-raw,repl,5,False,3,0.0068,1
-raw,repl,5,False,4,0.0094,1
-raw,repl,5,False,5,0.1413,1
-raw,repl,5,False,6,0.1742,1
-raw,repl,5,False,7,0.0405,1
-raw,repl,5,False,8,0.0104,18
-raw,repl,5,False,9,0.1796,10
-raw,repl,5,False,10,0.2723,10
-raw,repl,5,False,11,0.0693,10
-raw,repl,5,False,12,0.0768,10
-raw,repl,5,False,13,0.1357,10
-raw,repl,5,False,14,0.268,10
-raw,repl,5,False,15,0.1538,10
-raw,repl,5,False,16,0.1623,10
-raw,repl,5,False,17,0.3342,10
-raw,repl,5,False,18,0.3565,10
-raw,repl,5,False,19,0.6696,10
-raw,repl,5,False,20,0.0052,4
-raw,repl,5,False,21,0.1607,1
-raw,repl,5,False,22,0.076,10
-raw,repl,5,False,23,0.3002,10
-raw,repl,5,False,24,0.0542,10
-raw,repl,5,False,25,0.0087,10
-raw,repl,5,False,26,0.0427,10
-raw,repl,5,False,27,0.0085,10
-raw,repl,5,False,28,0.0725,25
-raw,repl,5,False,29,4.2798,25
-raw,repl,5,False,30,0.0348,1
-raw,repl,5,False,31,0.1346,10
-raw,repl,5,False,32,0.1922,10
-raw,repl,5,False,33,0.9066,10
-raw,repl,5,False,34,0.682,10
-raw,repl,5,False,35,0.7042,10
-raw,repl,5,False,36,0.1533,10
-raw,repl,5,False,37,0.0293,10
-raw,repl,5,False,38,0.0276,10
-raw,repl,5,False,39,0.0167,10
-raw,repl,5,False,40,0.0486,10
-raw,repl,5,False,41,0.0139,10
-raw,repl,5,False,42,0.0102,10
-raw,repl,5,False,43,0.022,10
-raw,repl,6,False,1,0.0011,1
-raw,repl,6,False,2,0.0395,1
-raw,repl,6,False,3,0.0124,1
-raw,repl,6,False,4,0.0109,1
-raw,repl,6,False,5,0.1458,1
-raw,repl,6,False,6,0.178,1
-raw,repl,6,False,7,0.0403,1
-raw,repl,6,False,8,0.0105,18
-raw,repl,6,False,9,0.1844,10
-raw,repl,6,False,10,0.2908,10
-raw,repl,6,False,11,0.0751,10
-raw,repl,6,False,12,0.0741,10
-raw,repl,6,False,13,0.135,10
-raw,repl,6,False,14,0.2707,10
-raw,repl,6,False,15,0.143,10
-raw,repl,6,False,16,0.1593,10
-raw,repl,6,False,17,0.3521,10
-raw,repl,6,False,18,0.3532,10
-raw,repl,6,False,19,0.6817,10
-raw,repl,6,False,20,0.0063,4
-raw,repl,6,False,21,0.1582,1
-raw,repl,6,False,22,0.079,10
-raw,repl,6,False,23,0.2868,10
-raw,repl,6,False,24,0.0559,10
-raw,repl,6,False,25,0.0106,10
-raw,repl,6,False,26,0.0403,10
-raw,repl,6,False,27,0.009,10
